,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,11051,1a_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,10,-10.07,-0.24560975609756097,0.0,0.0,1,185.06,-13.35,-12.76,-0.59,-13.35,0.0,-2.19,3.28,-2.19,59,8,0.0,0.0,0.0,9.576077,17.945279,5.392028,0.95672901,0.16036329,-0.24280283,57.779846,"143.906845, 181.62207, 109.546356, 62.606182, 98.527672, 110.441994, 60.838799, 54.959526, 248.124619, 216.479736, 18.53126, ","[["" 125.944"", "" 129.928"", ""  55.745""], ["" 126.705"", "" 130.944"", ""  56.207""], ["" 126.332"", "" 129.016"", ""  55.015""], ["" 126.252"", "" 131.587"", ""  56.839""], ["" 124.483"", "" 129.945"", ""  56.196""], ["" 124.309"", "" 130.582"", ""  57.888""], ["" 125.107"", "" 129.397"", ""  58.948""], ["" 126.037"", "" 128.614"", ""  61.043""], ["" 125.399"", "" 129.641"", ""  60.307""], ["" 126.350"", "" 127.417"", ""  60.385""], ["" 125.061"", "" 130.921"", ""  60.937""], ["" 126.013"", "" 127.234"", ""  59.038""], ["" 124.794"", "" 131.931"", ""  61.436""], ["" 125.397"", "" 128.223"", ""  58.339""], ["" 126.397"", "" 128.726"", ""  62.489""], ["" 127.066"", "" 128.977"", ""  65.208""], ["" 128.060"", "" 128.774"", ""  64.251""], ["" 125.727"", "" 129.059"", ""  64.795""], ["" 127.731"", "" 128.654"", ""  62.903""], ["" 125.400"", "" 128.937"", ""  63.447""], ["" 127.486"", "" 129.086"", ""  66.519""], ["" 128.582"", "" 128.295"", ""  66.964""], ["" 126.320"", "" 125.970"", ""  58.287""], ["" 127.459"", "" 125.864"", ""  57.472""], ["" 125.472"", "" 124.855"", ""  58.371""], ["" 127.742"", "" 124.691"", ""  56.778""], ["" 125.752"", "" 123.681"", ""  57.679""], ["" 126.895"", "" 123.590"", ""  56.873""], ["" 127.254"", "" 122.467"", ""  56.152""], ["" 127.144"", "" 122.490"", ""  54.733""], ["" 128.065"", "" 131.228"", ""  55.977""], ["" 128.788"", "" 130.832"", ""  54.841""], ["" 128.704"", "" 131.972"", ""  56.969""], ["" 130.132"", "" 131.173"", ""  54.714""], ["" 130.049"", "" 132.312"", ""  56.840""], ["" 130.779"", "" 131.917"", ""  55.712""], ["" 132.226"", "" 132.304"", ""  55.603""], ["" 132.764"", "" 132.622"", ""  54.538""], ["" 132.882"", "" 132.263"", ""  56.791""], ["" 133.126"", "" 131.029"", ""  57.454""], ["" 132.564"", "" 131.097"", ""  58.877""]]",[],1a_Ghoteimi_2023
1,6589,1a_Grossjean_2025,4h2i_c_3_mae_prepped,1,19,-8.39,-0.31074074074074076,0.0,0.0,14,187.89,-10.48,-10.18,-0.3,-10.48,0.0,-1.05,2.09,-1.05,44,3,0.0,0.0,0.0,11.605765,16.371902,5.248003,-0.60063702,0.76393146,-0.23588957,326.281097,"266.510712, 295.975433, 155.606888, 47.73518, 287.135315, 156.814056, 278.483124, ","[["" 126.840"", "" 127.092"", ""  57.521""], ["" 126.015"", "" 126.348"", ""  58.365""], ["" 126.237"", "" 124.987"", ""  58.551""], ["" 127.293"", "" 124.342"", ""  57.894""], ["" 128.126"", "" 125.094"", ""  57.051""], ["" 127.905"", "" 126.456"", ""  56.866""], ["" 126.521"", "" 128.459"", ""  57.406""], ["" 126.304"", "" 129.210"", ""  56.305""], ["" 126.347"", "" 128.806"", ""  55.143""], ["" 126.413"", "" 128.930"", ""  58.292""], ["" 125.981"", "" 130.682"", ""  56.570""], ["" 127.284"", "" 131.509"", ""  57.531""], ["" 128.605"", "" 131.906"", ""  56.408""], ["" 130.909"", "" 132.345"", ""  55.802""], ["" 129.959"", "" 132.030"", ""  56.801""], ["" 130.479"", "" 132.536"", ""  54.485""], ["" 130.380"", "" 131.874"", ""  58.196""], ["" 129.122"", "" 132.417"", ""  54.192""], ["" 130.714"", "" 131.751"", ""  59.297""], ["" 128.196"", "" 132.113"", ""  55.131""], ["" 132.399"", "" 132.496"", ""  56.102""], ["" 128.592"", "" 132.622"", ""  52.785""], ["" 127.502"", "" 122.871"", ""  58.113""], ["" 128.120"", "" 122.409"", ""  59.076""], ["" 126.929"", "" 122.099"", ""  57.152""], ["" 125.857"", "" 122.590"", ""  56.359""], ["" 126.361"", "" 122.881"", ""  54.942""]]",[],1a_Grossjean_2025
2,11250,1aa_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,2,-8.63,-0.2104878048780488,0.0,0.0,1,185.8,-11.91,-11.39,-0.52,-11.91,0.0,-2.9,3.28,-2.9,87,7,0.0,0.0,0.0,11.715425,17.700847,9.259806,0.76451684,0.55711929,-0.32424081,131.314087,"331.856476, 261.993561, 341.942566, 285.797241, 74.667656, 89.402016, 58.354485, 42.263855, 253.640121, 17.238966, 124.308548, ","[["" 124.743"", "" 130.886"", ""  58.673""], ["" 126.086"", "" 130.879"", ""  58.512""], ["" 123.936"", "" 131.300"", ""  57.840""], ["" 126.617"", "" 130.497"", ""  59.282""], ["" 124.189"", "" 130.334"", ""  59.997""], ["" 124.730"", "" 131.060"", ""  61.108""], ["" 125.888"", "" 130.623"", ""  61.736""], ["" 127.006"", "" 129.563"", ""  63.610""], ["" 125.810"", "" 129.995"", ""  62.991""], ["" 128.214"", "" 129.768"", ""  62.928""], ["" 124.499"", "" 129.785"", ""  63.606""], ["" 128.230"", "" 130.392"", ""  61.675""], ["" 127.075"", "" 130.819"", ""  61.099""], ["" 123.461"", "" 129.621"", ""  64.091""], ["" 127.057"", "" 128.902"", ""  64.947""], ["" 127.141"", "" 127.627"", ""  67.453""], ["" 125.982"", "" 127.592"", ""  66.679""], ["" 128.268"", "" 128.304"", ""  66.961""], ["" 125.939"", "" 128.219"", ""  65.437""], ["" 128.223"", "" 128.932"", ""  65.720""], ["" 127.092"", "" 126.977"", ""  68.671""], ["" 128.291"", "" 126.450"", ""  69.226""], ["" 129.496"", "" 130.649"", ""  60.909""], ["" 130.574"", "" 131.324"", ""  61.502""], ["" 129.645"", "" 130.217"", ""  59.581""], ["" 131.748"", "" 131.565"", ""  60.794""], ["" 130.818"", "" 130.457"", ""  58.871""], ["" 131.883"", "" 131.138"", ""  59.475""], ["" 133.083"", "" 131.422"", ""  58.852""], ["" 133.442"", "" 130.703"", ""  57.677""], ["" 126.877"", "" 131.314"", ""  57.433""], ["" 127.940"", "" 132.225"", ""  57.527""], ["" 126.551"", "" 130.771"", ""  56.189""], ["" 128.657"", "" 132.583"", ""  56.388""], ["" 127.268"", "" 131.130"", ""  55.052""], ["" 128.329"", "" 132.040"", ""  55.136""], ["" 129.082"", "" 132.407"", ""  53.889""], ["" 128.646"", "" 132.206"", ""  52.751""], ["" 130.287"", "" 132.980"", ""  54.138""], ["" 131.388"", "" 132.205"", ""  54.598""], ["" 132.115"", "" 132.963"", ""  55.712""]]",[],1aa_Ghoteimi_2023
3,11718,1b_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,13,-8.88,-0.2537142857142857,0.0,0.0,1,185.08,-11.27,-10.72,-0.55,-11.27,0.0,-1.53,2.39,-1.53,40,7,0.0,0.0,0.0,14.03335,15.206702,7.576331,-0.78903465,0.54934727,0.27503071,218.67662,"214.435715, 59.005501, 234.703186, 202.231384, 231.901108, 255.568542, 1.428777, 35.600422, ","[["" 128.979"", "" 129.060"", ""  59.497""], ["" 129.405"", "" 127.710"", ""  59.446""], ["" 130.423"", "" 127.286"", ""  58.480""], ["" 131.227"", "" 126.953"", ""  57.717""], ["" 128.865"", "" 126.808"", ""  60.390""], ["" 128.000"", "" 127.202"", ""  61.356""], ["" 127.593"", "" 128.497"", ""  61.416""], ["" 128.074"", "" 129.436"", ""  60.497""], ["" 129.446"", "" 130.114"", ""  58.548""], ["" 130.334"", "" 132.112"", ""  56.781""], ["" 131.238"", "" 131.449"", ""  57.612""], ["" 128.974"", "" 131.773"", ""  56.843""], ["" 130.799"", "" 130.461"", ""  58.489""], ["" 128.538"", "" 130.785"", ""  57.722""], ["" 130.859"", "" 133.078"", ""  55.944""], ["" 132.160"", "" 132.890"", ""  55.398""], ["" 129.277"", "" 125.077"", ""  60.470""], ["" 127.893"", "" 124.207"", ""  61.280""], ["" 126.848"", "" 123.615"", ""  60.323""], ["" 127.247"", "" 123.537"", ""  59.033""], ["" 125.747"", "" 123.250"", ""  60.740""], ["" 128.170"", "" 123.879"", ""  58.813""], ["" 126.516"", "" 123.050"", ""  57.956""], ["" 126.919"", "" 122.126"", ""  57.099""], ["" 125.234"", "" 123.496"", ""  57.642""], ["" 125.880"", "" 121.944"", ""  56.185""], ["" 124.868"", "" 122.777"", ""  56.526""], ["" 126.624"", "" 128.846"", ""  62.511""], ["" 125.401"", "" 129.469"", ""  62.222""], ["" 126.907"", "" 128.554"", ""  63.855""], ["" 124.501"", "" 129.791"", ""  63.233""], ["" 126.009"", "" 128.873"", ""  64.869""], ["" 124.793"", "" 129.499"", ""  64.564""], ["" 123.840"", "" 129.854"", ""  65.499""], ["" 124.088"", "" 129.593"", ""  66.876""]]",[],1b_Ghoteimi_2023
4,11530,1b_Grossjean_2025,4h2i_c_3_mae_prepped,1,13,-7.94,-0.3053846153846154,0.0,0.0,7,187.68,-9.73,-9.44,-0.29,-9.73,0.0,-0.89,1.79,-0.89,45,3,0.0,0.0,0.0,13.290187,17.125634,6.121661,0.19476692,-0.96934717,-0.14977283,186.515762,"146.336411, 222.939316, 315.855927, 154.648041, 98.034515, 54.77063, ","[["" 126.345"", "" 129.239"", ""  56.367""], ["" 126.570"", "" 128.462"", ""  57.448""], ["" 126.353"", "" 128.857"", ""  55.197""], ["" 126.537"", "" 128.929"", ""  58.343""], ["" 126.049"", "" 130.710"", ""  56.667""], ["" 127.380"", "" 131.496"", ""  57.625""], ["" 128.670"", "" 131.934"", ""  56.480""], ["" 130.953"", "" 132.411"", ""  55.830""], ["" 130.032"", "" 132.058"", ""  56.842""], ["" 130.492"", "" 132.610"", ""  54.524""], ["" 130.499"", "" 131.801"", ""  58.207""], ["" 129.135"", "" 132.445"", ""  54.254""], ["" 130.870"", "" 131.599"", ""  59.284""], ["" 128.236"", "" 132.108"", ""  55.207""], ["" 132.447"", "" 132.581"", ""  56.099""], ["" 128.575"", "" 132.638"", ""  52.856""], ["" 126.864"", "" 127.088"", ""  57.533""], ["" 126.028"", "" 126.342"", ""  58.364""], ["" 127.910"", "" 126.444"", ""  56.854""], ["" 126.225"", "" 124.974"", ""  58.521""], ["" 128.107"", "" 125.076"", ""  57.012""], ["" 127.269"", "" 124.323"", ""  57.845""], ["" 127.511"", "" 122.847"", ""  57.991""], ["" 128.115"", "" 122.350"", ""  58.946""], ["" 127.005"", "" 122.117"", ""  56.964""], ["" 125.909"", "" 122.597"", ""  56.196""]]",[],1b_Grossjean_2025
5,6834,1c_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,12,-9.14,-0.2611428571428572,0.0,0.0,3,189.02,-11.52,-10.94,-0.58,-11.52,0.0,-1.6,2.39,-1.6,49,8,0.0,0.0,0.0,13.017038,16.443641,8.147225,-0.54653997,-0.37414091,0.74920801,142.944519,"160.003174, 302.352386, 70.600853, 227.170258, 330.217407, 74.676544, 288.043732, 239.278214, ","[["" 126.010"", "" 128.583"", ""  61.080""], ["" 125.433"", "" 129.623"", ""  60.314""], ["" 125.055"", "" 130.898"", ""  60.932""], ["" 124.757"", "" 131.904"", ""  61.420""], ["" 125.246"", "" 129.401"", ""  58.934""], ["" 125.575"", "" 128.233"", ""  58.330""], ["" 126.092"", "" 127.217"", ""  59.070""], ["" 126.320"", "" 127.377"", ""  60.441""], ["" 126.342"", "" 128.707"", ""  62.531""], ["" 126.961"", "" 128.892"", ""  65.264""], ["" 127.970"", "" 128.688"", ""  64.324""], ["" 125.631"", "" 128.999"", ""  64.828""], ["" 127.665"", "" 128.593"", ""  62.970""], ["" 125.328"", "" 128.904"", ""  63.473""], ["" 127.356"", "" 128.973"", ""  66.586""], ["" 128.618"", "" 128.435"", ""  66.968""], ["" 124.692"", "" 130.674"", ""  57.821""], ["" 124.731"", "" 129.901"", ""  56.171""], ["" 126.130"", "" 129.946"", ""  55.545""], ["" 126.776"", "" 131.126"", ""  55.664""], ["" 126.563"", "" 128.956"", ""  54.954""], ["" 126.314"", "" 131.858"", ""  56.181""], ["" 127.974"", "" 131.479"", ""  55.062""], ["" 128.228"", "" 131.597"", ""  53.777""], ["" 129.301"", "" 131.862"", ""  56.111""], ["" 129.469"", "" 131.990"", ""  53.564""], ["" 130.250"", "" 132.202"", ""  54.695""], ["" 126.434"", "" 125.955"", ""  58.332""], ["" 125.588"", "" 124.836"", ""  58.369""], ["" 127.615"", "" 125.856"", ""  57.582""], ["" 125.906"", "" 123.669"", ""  57.680""], ["" 127.936"", "" 124.692"", ""  56.890""], ["" 127.078"", "" 123.584"", ""  56.933""], ["" 127.312"", "" 122.390"", ""  56.279""], ["" 127.181"", "" 122.335"", ""  54.863""]]",[],1c_Ghoteimi_2023
6,12010,1c_Grossjean_2025,4h2i_c_3_mae_prepped,2,5,-7.08,-0.295,0.0,0.0,11,189.86,-8.58,-8.35,-0.23,-8.58,0.0,-1.86,1.49,-1.86,34,5,0.0,0.0,0.0,14.973606,18.745063,3.211344,-0.21196815,0.46674894,-0.85861221,211.94545,"181.867157, 282.211243, 43.466976, 5.937924, 103.05825, ","[["" 129.878"", "" 132.342"", ""  55.332""], ["" 129.385"", "" 131.724"", ""  56.426""], ["" 130.878"", "" 133.060"", ""  55.306""], ["" 128.599"", "" 131.110"", ""  56.274""], ["" 129.104"", "" 132.097"", ""  54.035""], ["" 128.984"", "" 130.327"", ""  53.642""], ["" 128.087"", "" 129.520"", ""  54.953""], ["" 127.728"", "" 127.843"", ""  56.665""], ["" 128.549"", "" 128.373"", ""  55.642""], ["" 126.515"", "" 128.472"", ""  56.963""], ["" 129.848"", "" 127.760"", ""  55.353""], ["" 126.151"", "" 129.613"", ""  56.251""], ["" 130.873"", "" 127.275"", ""  55.124""], ["" 126.920"", "" 130.136"", ""  55.267""], ["" 128.113"", "" 126.604"", ""  57.471""], ["" 124.856"", "" 130.350"", ""  56.538""], ["" 129.849"", "" 131.755"", ""  57.755""], ["" 129.117"", "" 132.250"", ""  58.845""], ["" 131.121"", "" 131.221"", ""  57.970""], ["" 129.667"", "" 132.223"", ""  60.123""], ["" 131.668"", "" 131.195"", ""  59.250""], ["" 130.942"", "" 131.701"", ""  60.339""], ["" 131.402"", "" 131.719"", ""  61.642""], ["" 132.742"", "" 131.320"", ""  61.910""]]",[],1c_Grossjean_2025
7,6478,1d_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,9,-7.87,-0.26233333333333336,0.0,0.0,6,189.3,-10.26,-9.8,-0.46,-10.26,0.0,-0.98,2.39,-0.98,45,7,0.0,0.0,0.0,15.884598,14.886287,6.533205,0.30394025,-0.475446,-0.82557339,157.987427,"175.025635, 111.235458, 344.267975, 70.607399, 20.753691, 290.906555, 237.10849, 2.753033, ","[["" 127.485"", "" 124.587"", ""  57.896""], ["" 128.665"", "" 125.845"", ""  58.331""], ["" 129.772"", "" 127.991"", ""  58.105""], ["" 128.773"", "" 127.087"", ""  57.665""], ["" 130.569"", "" 127.625"", ""  59.196""], ["" 127.843"", "" 127.461"", ""  56.596""], ["" 130.382"", "" 126.394"", ""  59.836""], ["" 127.110"", "" 127.758"", ""  55.752""], ["" 129.440"", "" 125.522"", ""  59.394""], ["" 130.021"", "" 129.323"", ""  57.474""], ["" 130.507"", "" 131.822"", ""  56.280""], ["" 131.543"", "" 130.904"", ""  56.446""], ["" 129.215"", "" 131.478"", ""  56.707""], ["" 131.304"", "" 129.665"", ""  57.034""], ["" 128.978"", "" 130.239"", ""  57.295""], ["" 130.838"", "" 133.028"", ""  55.692""], ["" 132.199"", "" 133.298"", ""  55.378""], ["" 131.202"", "" 125.957"", ""  61.015""], ["" 132.413"", "" 125.269"", ""  60.845""], ["" 130.777"", "" 126.216"", ""  62.327""], ["" 133.169"", "" 124.859"", ""  61.940""], ["" 131.529"", "" 125.807"", ""  63.424""], ["" 132.737"", "" 125.121"", ""  63.238""], ["" 133.549"", "" 124.674"", ""  64.263""], ["" 133.348"", "" 125.182"", ""  65.578""], ["" 128.140"", "" 123.724"", ""  56.436""], ["" 127.156"", "" 122.613"", ""  56.079""], ["" 127.120"", "" 122.127"", ""  54.947""], ["" 126.380"", "" 122.259"", ""  57.125""], ["" 124.991"", "" 122.549"", ""  57.123""]]",[],1d_Ghoteimi_2023
8,11431,1d_Grossjean_2025,4h2i_c_3_mae_prepped,1,8,-7.08,-0.32181818181818184,0.0,0.0,13,188.55,-8.27,-7.97,-0.3,-8.27,0.0,-1.34,1.19,-1.34,32,6,0.0,0.0,0.0,16.552282,18.950769,3.089015,-0.93813204,0.11244507,0.32751242,96.3125,"294.155701, 243.550873, 138.259644, 269.663696, ","[["" 129.400"", "" 130.033"", ""  53.501""], ["" 128.431"", "" 129.362"", ""  54.833""], ["" 127.970"", "" 127.838"", ""  56.658""], ["" 128.841"", "" 128.267"", ""  55.631""], ["" 126.746"", "" 128.492"", ""  56.835""], ["" 130.106"", "" 127.567"", ""  55.396""], ["" 126.412"", "" 129.546"", ""  55.988""], ["" 131.104"", "" 127.012"", ""  55.213""], ["" 127.232"", "" 129.976"", ""  55.000""], ["" 128.306"", "" 126.675"", ""  57.590""], ["" 125.096"", "" 130.287"", ""  56.122""], ["" 129.600"", "" 131.813"", ""  53.818""], ["" 130.118"", "" 132.092"", ""  55.230""], ["" 131.036"", "" 131.215"", ""  55.692""], ["" 129.670"", "" 133.053"", ""  55.855""], ["" 131.267"", "" 130.448"", ""  55.078""], ["" 131.719"", "" 131.190"", ""  56.923""], ["" 130.912"", "" 131.218"", ""  58.064""], ["" 133.115"", "" 131.119"", ""  57.062""], ["" 131.487"", "" 131.191"", ""  59.331""], ["" 133.687"", "" 131.091"", ""  58.331""], ["" 132.872"", "" 131.128"", ""  59.460""]]",[],1d_Grossjean_2025
9,11647,1e_Grossjean_2025,4h2i_c_3_mae_prepped,1,6,-7.3,-0.3173913043478261,0.0,0.0,3,183.59,-8.5,-8.39,-0.1,-8.5,0.0,-1.5,1.19,-1.5,45,3,0.0,0.0,0.0,14.78084,11.681155,8.983077,0.02061989,-0.83221039,0.55407643,212.947388,"82.323288, 302.239288, 214.305801, 67.691376, ","[["" 128.341"", "" 122.919"", ""  62.047""], ["" 129.752"", "" 121.991"", ""  61.372""], ["" 130.709"", "" 123.080"", ""  60.337""], ["" 132.738"", "" 124.129"", ""  59.528""], ["" 132.114"", "" 123.228"", ""  60.421""], ["" 131.957"", "" 124.819"", ""  58.595""], ["" 132.925"", "" 122.454"", ""  61.365""], ["" 130.583"", "" 124.593"", ""  58.564""], ["" 133.567"", "" 121.844"", ""  62.109""], ["" 129.964"", "" 123.737"", ""  59.411""], ["" 134.245"", "" 124.380"", ""  59.530""], ["" 129.686"", "" 125.296"", ""  57.564""], ["" 127.153"", "" 122.935"", ""  61.084""], ["" 127.459"", "" 123.061"", ""  59.774""], ["" 126.010"", "" 122.858"", ""  61.538""], ["" 128.435"", "" 123.182"", ""  59.546""], ["" 126.587"", "" 123.118"", ""  58.673""], ["" 126.995"", "" 122.796"", ""  57.410""], ["" 125.280"", "" 123.547"", ""  58.934""], ["" 126.101"", "" 122.888"", ""  56.393""], ["" 124.371"", "" 123.635"", ""  57.877""], ["" 124.780"", "" 123.303"", ""  56.585""], ["" 126.623"", "" 122.513"", ""  55.019""]]",[],1e_Grossjean_2025
