,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,12811,1a_Ghoteimi_2023,receptor_tmp,1,14,-9.57,-0.23341463414634148,0.0,0.0,1,185.2,-12.85,-12.25,-0.6,-12.85,0.0,-1.73,3.28,-1.73,61,6,0.0,0.0,0.0,17.058387,13.78321,11.969781,-0.30210066,0.93756157,-0.17237602,112.097244,"62.247929, 21.357628, 173.896988, 341.616821, 351.507324, 300.144318, 71.00795, 65.05323, 258.297089, 7.860393, 119.954865, ","[["" 129.744"", "" 123.715"", ""  62.448""], ["" 128.835"", "" 124.360"", ""  61.684""], ["" 130.133"", "" 122.560"", ""  62.278""], ["" 128.659"", "" 125.324"", ""  61.922""], ["" 130.320"", "" 124.527"", ""  63.608""], ["" 130.227"", "" 126.314"", ""  63.291""], ["" 129.323"", "" 127.013"", ""  64.653""], ["" 128.944"", "" 127.538"", ""  66.988""], ["" 129.756"", "" 126.939"", ""  65.995""], ["" 127.755"", "" 128.163"", ""  66.590""], ["" 131.004"", "" 126.257"", ""  66.352""], ["" 127.395"", "" 128.217"", ""  65.238""], ["" 131.989"", "" 125.719"", ""  66.635""], ["" 128.182"", "" 127.643"", ""  64.289""], ["" 129.280"", "" 127.547"", ""  68.444""], ["" 129.876"", "" 127.578"", ""  71.191""], ["" 130.469"", "" 128.500"", ""  70.328""], ["" 128.975"", "" 126.637"", ""  70.670""], ["" 130.172"", "" 128.489"", ""  68.968""], ["" 128.680"", "" 126.627"", ""  69.309""], ["" 130.230"", "" 127.666"", ""  72.523""], ["" 130.892"", "" 126.567"", ""  73.139""], ["" 126.136"", "" 128.878"", ""  64.757""], ["" 125.787"", "" 128.882"", ""  63.396""], ["" 125.268"", "" 129.519"", ""  65.654""], ["" 124.619"", "" 129.496"", ""  62.953""], ["" 124.099"", "" 130.133"", ""  65.215""], ["" 123.763"", "" 130.125"", ""  63.854""], ["" 122.626"", "" 130.705"", ""  63.326""], ["" 122.466"", "" 130.759"", ""  61.913""], ["" 128.116"", "" 123.905"", ""  60.562""], ["" 126.722"", "" 123.978"", ""  60.418""], ["" 128.881"", "" 123.359"", ""  59.532""], ["" 126.112"", "" 123.501"", ""  59.261""], ["" 128.270"", "" 122.882"", ""  58.375""], ["" 126.879"", "" 122.948"", ""  58.225""], ["" 126.252"", "" 122.428"", ""  56.963""], ["" 126.879"", "" 121.802"", ""  56.102""], ["" 124.930"", "" 122.719"", ""  56.862""], ["" 124.491"", "" 124.016"", ""  56.476""], ["" 123.741"", "" 124.666"", ""  57.643""]]",[],1a_Ghoteimi_2023
1,3318,1a_Grossjean_2025,receptor_tmp,1,14,-7.9,-0.2925925925925926,0.0,0.0,3,187.79,-9.98,-9.7,-0.28,-9.98,0.0,-1.19,2.09,-1.19,48,3,0.0,0.0,0.0,15.493953,15.774829,2.282046,0.13640932,0.96164989,0.23795375,298.489624,"156.113571, 283.527832, 347.311005, 98.1446, 13.567268, 271.581116, 115.68042, ","[["" 129.510"", "" 126.350"", ""  55.380""], ["" 128.157"", "" 126.467"", ""  55.701""], ["" 127.444"", "" 125.365"", ""  56.165""], ["" 128.073"", "" 124.123"", ""  56.320""], ["" 129.436"", "" 124.011"", ""  56.003""], ["" 130.150"", "" 125.112"", ""  55.539""], ["" 130.131"", "" 127.527"", ""  54.917""], ["" 130.063"", "" 128.127"", ""  53.710""], ["" 129.406"", "" 127.728"", ""  52.748""], ["" 130.686"", "" 127.998"", ""  55.616""], ["" 130.887"", "" 129.409"", ""  53.568""], ["" 129.837"", "" 130.885"", ""  53.418""], ["" 128.993"", "" 131.101"", ""  54.969""], ["" 128.665"", "" 132.052"", ""  57.172""], ["" 129.437"", "" 131.975"", ""  55.990""], ["" 127.518"", "" 131.261"", ""  57.294""], ["" 130.669"", "" 132.757"", ""  55.860""], ["" 127.168"", "" 130.411"", ""  56.247""], ["" 131.642"", "" 133.376"", ""  55.761""], ["" 127.890"", "" 130.323"", ""  55.105""], ["" 129.038"", "" 132.965"", ""  58.339""], ["" 125.941"", "" 129.522"", ""  56.322""], ["" 127.273"", "" 122.954"", ""  56.819""], ["" 127.024"", "" 121.959"", ""  56.131""], ["" 126.864"", "" 123.094"", ""  58.107""], ["" 125.596"", "" 123.658"", ""  58.416""], ["" 125.539"", "" 123.998"", ""  59.908""]]",[],1a_Grossjean_2025
2,12980,1aa_Ghoteimi_2023,receptor_tmp,1,6,-8.7,-0.2121951219512195,0.0,0.0,1,186.06,-11.98,-11.22,-0.77,-11.98,0.0,-2.9,3.28,-2.9,49,10,0.0,0.0,0.0,16.583007,13.965573,14.423967,0.79517935,-0.54393259,-0.26800587,219.440887,"204.629074, 337.108093, 291.409424, 222.045151, 265.464355, 47.603878, 21.960077, 355.517853, 132.705597, 113.438057, 173.397034, ","[["" 133.102"", "" 125.148"", ""  65.000""], ["" 132.134"", "" 124.588"", ""  64.239""], ["" 134.310"", "" 125.061"", ""  64.778""], ["" 131.186"", "" 124.758"", ""  64.544""], ["" 132.654"", "" 125.953"", ""  66.230""], ["" 131.336"", "" 125.560"", ""  66.634""], ["" 130.377"", "" 126.518"", ""  66.930""], ["" 128.629"", "" 128.047"", ""  66.229""], ["" 129.596"", "" 127.068"", ""  65.900""], ["" 128.486"", "" 128.407"", ""  67.576""], ["" 129.786"", "" 126.597"", ""  64.527""], ["" 129.288"", "" 127.819"", ""  68.562""], ["" 130.226"", "" 126.894"", ""  68.230""], ["" 129.938"", "" 126.223"", ""  63.443""], ["" 127.751"", "" 128.718"", ""  65.225""], ["" 126.073"", "" 129.985"", ""  63.357""], ["" 125.605"", "" 128.913"", ""  64.116""], ["" 127.392"", "" 130.426"", ""  63.542""], ["" 126.433"", "" 128.286"", ""  65.043""], ["" 128.219"", "" 129.798"", ""  64.469""], ["" 125.182"", "" 130.544"", ""  62.462""], ["" 123.785"", "" 130.416"", ""  62.701""], ["" 129.186"", "" 128.180"", ""  70.016""], ["" 130.266"", "" 128.769"", ""  70.691""], ["" 128.008"", "" 127.946"", ""  70.744""], ["" 130.174"", "" 129.103"", ""  72.040""], ["" 127.914"", "" 128.278"", ""  72.092""], ["" 129.003"", "" 128.861"", ""  72.754""], ["" 129.004"", "" 129.224"", ""  74.087""], ["" 128.186"", "" 130.308"", ""  74.512""], ["" 132.229"", "" 123.803"", ""  63.075""], ["" 131.147"", "" 123.196"", ""  62.421""], ["" 133.516"", "" 123.645"", ""  62.559""], ["" 131.360"", "" 122.440"", ""  61.270""], ["" 133.728"", "" 122.890"", ""  61.410""], ["" 132.654"", "" 122.278"", ""  60.751""], ["" 132.917"", "" 121.469"", ""  59.513""], ["" 132.747"", "" 120.247"", ""  59.454""], ["" 133.359"", "" 122.214"", ""  58.468""], ["" 132.714"", "" 123.430"", ""  58.109""], ["" 133.484"", "" 124.097"", ""  56.965""]]",[],1aa_Ghoteimi_2023
3,13152,1b_Ghoteimi_2023,receptor_tmp,1,3,-8.98,-0.25657142857142856,0.0,0.0,12,184.47,-11.37,-10.66,-0.71,-11.37,0.0,-2.68,2.39,-2.68,72,10,0.0,0.0,0.0,17.856949,12.925836,8.493877,-0.97721032,0.15477891,0.14527037,105.787621,"353.685577, 30.502934, 64.327614, 101.629257, 213.528503, 222.010544, 4.772001, 177.951584, ","[["" 130.896"", "" 124.241"", ""  62.209""], ["" 132.218"", "" 124.182"", ""  61.705""], ["" 133.363"", "" 124.419"", ""  62.590""], ["" 134.266"", "" 124.606"", ""  63.289""], ["" 132.396"", "" 123.830"", ""  60.348""], ["" 131.356"", "" 123.507"", ""  59.541""], ["" 130.086"", "" 123.555"", ""  60.019""], ["" 129.839"", "" 123.916"", ""  61.348""], ["" 130.558"", "" 124.622"", ""  63.613""], ["" 129.902"", "" 125.325"", ""  66.254""], ["" 130.140"", "" 123.993"", ""  65.914""], ["" 129.988"", "" 126.310"", ""  65.258""], ["" 130.463"", "" 123.644"", ""  64.606""], ["" 130.310"", "" 125.957"", ""  63.951""], ["" 129.588"", "" 125.578"", ""  67.576""], ["" 129.466"", "" 126.927"", ""  68.014""], ["" 133.981"", "" 123.714"", ""  59.544""], ["" 133.723"", "" 122.965"", ""  57.900""], ["" 133.111"", "" 123.901"", ""  56.848""], ["" 131.760"", "" 123.959"", ""  56.864""], ["" 133.831"", "" 124.533"", ""  56.072""], ["" 131.280"", "" 123.386"", ""  57.541""], ["" 130.941"", "" 124.714"", ""  56.032""], ["" 130.850"", "" 124.598"", ""  54.717""], ["" 130.095"", "" 125.717"", ""  56.503""], ["" 129.918"", "" 125.546"", ""  54.293""], ["" 129.470"", "" 126.214"", ""  55.383""], ["" 128.992"", "" 123.193"", ""  59.054""], ["" 129.276"", "" 122.504"", ""  57.866""], ["" 127.652"", "" 123.526"", ""  59.311""], ["" 128.266"", "" 122.165"", ""  56.971""], ["" 126.639"", "" 123.188"", ""  58.419""], ["" 126.940"", "" 122.502"", ""  57.235""], ["" 126.005"", "" 122.125"", ""  56.291""], ["" 124.648"", "" 122.515"", ""  56.464""]]",[],1b_Ghoteimi_2023
4,13226,1b_Grossjean_2025,receptor_tmp,1,14,-7.79,-0.2996153846153846,0.0,0.0,5,187.55,-9.58,-9.31,-0.27,-9.58,0.0,-1.03,1.79,-1.03,40,3,0.0,0.0,0.0,17.263817,15.608678,3.345155,-0.16198572,-0.98634603,-0.02970093,176.368027,"32.777065, 213.631821, 150.389069, 247.033478, 271.602386, 89.566284, ","[["" 130.117"", "" 128.081"", ""  53.781""], ["" 130.131"", "" 127.503"", ""  55.002""], ["" 129.546"", "" 127.636"", ""  52.785""], ["" 130.654"", "" 127.990"", ""  55.715""], ["" 130.877"", "" 129.403"", ""  53.673""], ["" 129.758"", "" 130.826"", ""  53.499""], ["" 128.957"", "" 131.066"", ""  55.071""], ["" 128.704"", "" 132.033"", ""  57.275""], ["" 129.442"", "" 131.938"", ""  56.074""], ["" 127.533"", "" 131.282"", ""  57.421""], ["" 130.647"", "" 132.748"", ""  55.882""], ["" 127.118"", "" 130.465"", ""  56.372""], ["" 131.598"", "" 133.389"", ""  55.733""], ["" 127.809"", "" 130.357"", ""  55.213""], ["" 129.130"", "" 132.935"", ""  58.433""], ["" 125.853"", "" 129.633"", ""  56.465""], ["" 129.541"", "" 126.304"", ""  55.445""], ["" 128.255"", "" 126.424"", ""  55.971""], ["" 130.146"", "" 125.039"", ""  55.390""], ["" 127.575"", "" 125.303"", ""  56.438""], ["" 129.465"", "" 123.919"", ""  55.859""], ["" 128.173"", "" 124.035"", ""  56.387""], ["" 127.468"", "" 122.804"", ""  56.881""], ["" 126.790"", "" 122.073"", ""  56.152""], ["" 127.645"", "" 122.580"", ""  58.208""], ["" 127.099"", "" 123.465"", ""  59.177""]]",[],1b_Grossjean_2025
5,3400,1c_Ghoteimi_2023,receptor_tmp,1,6,-8.4,-0.24000000000000002,0.0,0.0,4,192.37,-10.79,-10.11,-0.68,-10.79,0.0,-2.05,2.39,-2.05,34,7,0.0,0.0,0.0,15.494825,16.116549,14.276772,0.3965084,-0.84865632,0.35009076,115.94223,"0.23348, 12.560862, 32.020275, 305.271698, 289.286072, 336.678314, 44.570511, 298.787537, ","[["" 129.487"", "" 126.779"", ""  65.937""], ["" 128.978"", "" 126.450"", ""  67.215""], ["" 129.592"", "" 125.391"", ""  68.024""], ["" 130.078"", "" 124.556"", ""  68.662""], ["" 127.871"", "" 127.180"", ""  67.694""], ["" 127.272"", "" 128.157"", ""  66.972""], ["" 127.732"", "" 128.450"", ""  65.727""], ["" 128.838"", "" 127.776"", ""  65.198""], ["" 130.701"", "" 126.150"", ""  65.339""], ["" 133.001"", "" 125.009"", ""  64.197""], ["" 133.014"", "" 125.455"", ""  65.519""], ["" 131.824"", "" 125.141"", ""  63.443""], ["" 131.877"", "" 126.023"", ""  66.084""], ["" 130.688"", "" 125.709"", ""  64.012""], ["" 134.175"", "" 124.459"", ""  63.719""], ["" 134.226"", "" 123.989"", ""  62.376""], ["" 127.235"", "" 126.990"", ""  69.345""], ["" 128.379"", "" 127.939"", ""  70.398""], ["" 128.977"", "" 127.084"", ""  71.520""], ["" 129.192"", "" 125.788"", ""  71.204""], ["" 129.186"", "" 127.589"", ""  72.624""], ["" 128.985"", "" 125.500"", ""  70.260""], ["" 129.575"", "" 124.776"", ""  72.071""], ["" 129.383"", "" 124.711"", ""  73.371""], ["" 130.361"", "" 123.396"", ""  71.375""], ["" 129.845"", "" 123.581"", ""  73.871""], ["" 130.425"", "" 122.698"", ""  72.965""], ["" 127.019"", "" 129.545"", ""  64.988""], ["" 125.620"", "" 129.653"", ""  65.013""], ["" 127.735"", "" 130.496"", ""  64.245""], ["" 124.964"", "" 130.673"", ""  64.330""], ["" 127.082"", "" 131.519"", ""  63.562""], ["" 125.684"", "" 131.615"", ""  63.601""], ["" 124.952"", "" 132.594"", ""  62.957""], ["" 125.281"", "" 132.940"", ""  61.616""]]",[],1c_Ghoteimi_2023
6,13519,1c_Grossjean_2025,receptor_tmp,1,18,-7.05,-0.29375,0.0,0.0,3,191.89,-8.54,-8.33,-0.21,-8.54,0.0,-1.36,1.49,-1.36,64,3,0.0,0.0,0.0,14.157436,19.770307,9.91414,-0.66269554,0.56370986,0.49301706,183.753021,"27.753826, 262.926117, 13.212232, 96.558975, 219.163467, ","[["" 129.995"", "" 131.788"", ""  61.839""], ["" 129.242"", "" 131.699"", ""  60.722""], ["" 131.107"", "" 132.311"", ""  61.910""], ["" 128.320"", "" 131.305"", ""  60.837""], ["" 129.374"", "" 131.183"", ""  63.099""], ["" 128.325"", "" 132.379"", ""  63.978""], ["" 127.351"", "" 133.262"", ""  62.777""], ["" 125.525"", "" 133.558"", ""  61.214""], ["" 126.199"", "" 132.737"", ""  62.147""], ["" 126.006"", "" 134.847"", ""  60.963""], ["" 125.678"", "" 131.404"", ""  62.462""], ["" 127.134"", "" 135.293"", ""  61.649""], ["" 125.266"", "" 130.352"", ""  62.710""], ["" 127.796"", "" 134.523"", ""  62.544""], ["" 124.277"", "" 133.098"", ""  60.462""], ["" 127.695"", "" 136.686"", ""  61.434""], ["" 129.526"", "" 132.138"", ""  59.414""], ["" 128.698"", "" 132.982"", ""  58.659""], ["" 130.738"", "" 131.704"", ""  58.875""], ["" 129.080"", "" 133.365"", ""  57.376""], ["" 131.117"", "" 132.090"", ""  57.592""], ["" 130.286"", "" 132.925"", ""  56.830""], ["" 130.577"", "" 133.358"", ""  55.550""], ["" 130.027"", "" 132.658"", ""  54.439""]]",[],1c_Grossjean_2025
7,3491,1d_Ghoteimi_2023,receptor_tmp,1,17,-7.5,-0.25,0.0,0.0,3,191.97,-9.88,-9.21,-0.68,-9.88,0.0,-0.97,2.39,-0.97,36,12,0.0,0.0,0.0,14.93691,15.5909,14.916156,0.21750928,0.96413418,0.15210193,139.922485,"250.315247, 192.75351, 280.938721, 226.715042, 56.459366, 126.400482, 356.286682, 336.872406, ","[["" 126.702"", "" 129.579"", ""  65.334""], ["" 127.977"", "" 128.602"", ""  66.099""], ["" 129.840"", "" 127.050"", ""  66.120""], ["" 128.885"", "" 127.792"", ""  65.382""], ["" 129.860"", "" 127.191"", ""  67.514""], ["" 128.887"", "" 127.763"", ""  63.916""], ["" 128.957"", "" 128.043"", ""  68.158""], ["" 128.889"", "" 127.740"", ""  62.759""], ["" 128.027"", "" 128.731"", ""  67.447""], ["" 130.839"", "" 126.129"", ""  65.497""], ["" 132.704"", "" 124.393"", ""  64.308""], ["" 131.369"", "" 124.377"", ""  63.909""], ["" 133.108"", "" 125.295"", ""  65.305""], ["" 130.444"", "" 125.238"", ""  64.495""], ["" 132.182"", "" 126.156"", ""  65.888""], ["" 133.549"", "" 123.500"", ""  63.678""], ["" 133.904"", "" 123.721"", ""  62.317""], ["" 128.942"", "" 128.237"", ""  69.647""], ["" 129.999"", "" 128.880"", ""  70.309""], ["" 127.871"", "" 127.772"", ""  70.425""], ["" 129.986"", "" 129.053"", ""  71.689""], ["" 127.855"", "" 127.943"", ""  71.807""], ["" 128.919"", "" 128.588"", ""  72.453""], ["" 128.992"", "" 128.800"", ""  73.816""], ["" 128.247"", "" 129.867"", ""  74.393""], ["" 125.108"", "" 128.888"", ""  65.869""], ["" 124.083"", "" 130.019"", ""  65.839""], ["" 123.981"", "" 130.818"", ""  66.771""], ["" 123.351"", "" 130.018"", ""  64.705""], ["" 123.988"", "" 130.015"", ""  63.436""]]",[],1d_Ghoteimi_2023
8,13256,1d_Grossjean_2025,receptor_tmp,1,16,-7.21,-0.3277272727272727,0.0,0.0,7,189.73,-8.4,-8.23,-0.18,-8.4,0.0,-1.24,1.19,-1.24,40,2,0.0,0.0,0.0,17.272107,17.441092,1.517987,0.09020839,-0.99544441,0.03086859,301.184418,"140.546234, 279.16037, 204.688843, 162.626221, ","[["" 130.443"", "" 131.439"", ""  53.400""], ["" 129.272"", "" 130.831"", ""  54.593""], ["" 128.014"", "" 130.897"", ""  56.661""], ["" 128.967"", "" 131.494"", ""  55.805""], ["" 127.428"", "" 129.682"", ""  56.290""], ["" 129.629"", "" 132.741"", ""  56.195""], ["" 127.805"", "" 129.086"", ""  55.089""], ["" 130.150"", "" 133.726"", ""  56.507""], ["" 128.713"", "" 129.642"", ""  54.252""], ["" 127.596"", "" 131.522"", ""  57.991""], ["" 127.214"", "" 127.765"", ""  54.637""], ["" 132.102"", "" 130.977"", ""  53.984""], ["" 132.378"", "" 131.488"", ""  55.399""], ["" 132.318"", "" 130.554"", ""  56.373""], ["" 132.610"", "" 132.685"", ""  55.571""], ["" 132.068"", "" 129.621"", ""  56.079""], ["" 132.533"", "" 130.680"", ""  57.758""], ["" 131.404"", "" 130.987"", ""  58.521""], ["" 133.773"", "" 130.499"", ""  58.396""], ["" 131.505"", "" 131.129"", ""  59.902""], ["" 133.871"", "" 130.640"", ""  59.777""], ["" 132.739"", "" 130.955"", ""  60.525""]]",[],1d_Grossjean_2025
9,13247,1e_Grossjean_2025,receptor_tmp,2,7,-7.1,-0.30869565217391304,0.0,0.0,2,186.4,-8.29,-8.02,-0.27,-8.29,0.0,-1.27,1.19,-1.27,42,5,0.0,0.0,0.0,17.135981,17.930786,1.940999,-0.35481933,0.73660571,0.57577363,201.075302,"56.064526, 253.111923, 73.041214, 20.581432, ","[["" 131.339"", "" 129.752"", ""  52.587""], ["" 130.499"", "" 131.359"", ""  52.714""], ["" 129.399"", "" 131.319"", ""  54.115""], ["" 128.685"", "" 131.847"", ""  56.369""], ["" 129.655"", "" 131.965"", ""  55.348""], ["" 127.514"", "" 131.123"", ""  56.121""], ["" 130.859"", "" 132.769"", ""  55.572""], ["" 127.331"", "" 130.541"", ""  54.869""], ["" 131.810"", "" 133.405"", ""  55.752""], ["" 128.248"", "" 130.638"", ""  53.878""], ["" 128.853"", "" 132.491"", ""  57.745""], ["" 126.076"", "" 129.760"", ""  54.533""], ["" 130.422"", "" 128.593"", ""  52.983""], ["" 130.372"", "" 128.306"", ""  54.302""], ["" 129.810"", "" 127.984"", ""  52.103""], ["" 130.977"", "" 128.844"", ""  54.906""], ["" 129.636"", "" 127.300"", ""  54.951""], ["" 129.834"", "" 125.975"", ""  54.686""], ["" 128.670"", "" 127.727"", ""  55.870""], ["" 129.077"", "" 125.059"", ""  55.342""], ["" 127.900"", "" 126.773"", ""  56.538""], ["" 128.100"", "" 125.417"", ""  56.275""], ["" 129.353"", "" 123.607"", ""  54.999""]]",[],1e_Grossjean_2025
