,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,10581,1a_Ghoteimi_2023,receptor_tmp,1,3,-8.72,-0.21268292682926832,0.0,0.0,7,184.56,-12.0,-11.58,-0.42,-12.0,0.0,-2.68,3.28,-2.68,44,9,0.0,0.0,0.0,11.987879,11.392548,4.363698,-0.18042307,0.0482868,-0.98240313,306.501984,"186.892944, 174.412842, 315.099457, 310.922668, 167.160828, 192.03093, 336.786072, 50.150192, 273.259735, 312.675201, 354.618591, ","[["" 128.110"", "" 125.246"", ""  55.745""], ["" 127.488"", "" 126.391"", ""  55.387""], ["" 129.298"", "" 125.140"", ""  56.048""], ["" 126.496"", "" 126.323"", ""  55.216""], ["" 127.226"", "" 123.999"", ""  55.768""], ["" 127.149"", "" 123.260"", ""  57.427""], ["" 127.758"", "" 124.497"", ""  58.549""], ["" 129.236"", "" 125.356"", ""  60.266""], ["" 128.847"", "" 124.288"", ""  59.422""], ["" 128.517"", "" 126.557"", ""  60.196""], ["" 129.552"", "" 123.003"", ""  59.461""], ["" 127.458"", "" 126.704"", ""  59.292""], ["" 130.108"", "" 121.988"", ""  59.492""], ["" 127.093"", "" 125.675"", ""  58.482""], ["" 130.374"", "" 125.283"", ""  61.232""], ["" 132.514"", "" 125.105"", ""  63.045""], ["" 131.247"", "" 125.489"", ""  63.482""], ["" 132.706"", "" 124.804"", ""  61.688""], ["" 130.185"", "" 125.574"", ""  62.587""], ["" 131.642"", "" 124.891"", ""  60.793""], ["" 133.506"", "" 125.048"", ""  64.005""], ["" 133.159"", "" 125.228"", ""  65.373""], ["" 126.659"", "" 127.969"", ""  59.173""], ["" 126.056"", "" 128.340"", ""  57.959""], ["" 126.493"", "" 128.826"", ""  60.272""], ["" 125.316"", "" 129.514"", ""  57.852""], ["" 125.753"", "" 130.000"", ""  60.168""], ["" 125.155"", "" 130.354"", ""  58.951""], ["" 124.402"", "" 131.496"", ""  58.754""], ["" 123.416"", "" 131.852"", ""  59.717""], ["" 128.005"", "" 127.694"", ""  55.255""], ["" 129.350"", "" 128.048"", ""  55.443""], ["" 127.083"", "" 128.678"", ""  54.898""], ["" 129.754"", "" 129.371"", ""  55.281""], ["" 127.488"", "" 130.001"", ""  54.737""], ["" 128.828"", "" 130.363"", ""  54.926""], ["" 129.233"", "" 131.797"", ""  54.741""], ["" 128.884"", "" 132.481"", ""  53.774""], ["" 130.023"", "" 132.264"", ""  55.741""], ["" 131.441"", "" 132.217"", ""  55.640""], ["" 132.020"", "" 131.584"", ""  56.909""]]",[],1a_Ghoteimi_2023
1,6218,1a_Grossjean_2025,receptor_tmp,1,6,-8.49,-0.31444444444444447,0.0,0.0,8,188.08,-10.57,-10.34,-0.23,-10.57,0.0,-1.1,2.09,-1.1,38,6,0.0,0.0,0.0,15.506279,16.289303,2.373133,-0.04880179,-0.93030247,0.36353226,185.201416,"318.981323, 296.133118, 340.199432, 306.212097, 101.212196, 135.929047, 90.912766, ","[["" 128.203"", "" 127.221"", ""  55.002""], ["" 128.629"", "" 126.114"", ""  54.267""], ["" 128.295"", "" 124.826"", ""  54.673""], ["" 127.525"", "" 124.619"", ""  55.825""], ["" 127.091"", "" 125.734"", ""  56.558""], ["" 127.424"", "" 127.024"", ""  56.153""], ["" 128.601"", "" 128.476"", ""  54.502""], ["" 127.875"", "" 129.593"", ""  54.283""], ["" 126.669"", "" 129.716"", ""  54.497""], ["" 129.589"", "" 128.545"", ""  54.310""], ["" 128.656"", "" 130.783"", ""  53.721""], ["" 128.629"", "" 132.213"", ""  54.843""], ["" 129.832"", "" 131.913"", ""  56.119""], ["" 130.562"", "" 131.246"", ""  58.331""], ["" 129.504"", "" 131.447"", ""  57.415""], ["" 131.873"", "" 131.529"", ""  57.934""], ["" 128.118"", "" 131.203"", ""  57.824""], ["" 132.102"", "" 132.008"", ""  56.646""], ["" 127.024"", "" 131.011"", ""  58.149""], ["" 131.105"", "" 132.204"", ""  55.751""], ["" 130.334"", "" 130.737"", ""  59.753""], ["" 133.500"", "" 132.342"", ""  56.159""], ["" 127.186"", "" 123.215"", ""  56.237""], ["" 127.902"", "" 122.534"", ""  56.978""], ["" 126.007"", "" 122.775"", ""  55.726""], ["" 124.857"", "" 123.611"", ""  55.709""], ["" 124.217"", "" 123.626"", ""  57.100""]]",[],1a_Grossjean_2025
2,10826,1aa_Ghoteimi_2023,receptor_tmp,1,2,-7.57,-0.1846341463414634,0.0,0.0,1,184.16,-10.85,-10.56,-0.28,-10.85,0.0,-2.83,3.28,-2.83,42,9,0.0,0.0,0.0,16.557971,17.186731,5.757235,0.28272505,-0.41867833,0.86300348,146.384689,"12.905895, 334.264435, 328.559937, 65.17408, 330.372559, 121.966637, 351.066284, 45.717178, 94.730507, 72.997398, 260.656708, ","[["" 130.215"", "" 130.561"", ""  60.410""], ["" 129.003"", "" 129.995"", ""  60.207""], ["" 130.522"", "" 131.234"", ""  61.394""], ["" 128.907"", "" 129.460"", ""  59.356""], ["" 131.285"", "" 130.339"", ""  59.329""], ["" 130.838"", "" 129.369"", ""  58.373""], ["" 130.511"", "" 128.083"", ""  58.779""], ["" 129.228"", "" 126.042"", ""  58.508""], ["" 129.546"", "" 127.349"", ""  58.069""], ["" 129.910"", "" 125.536"", ""  59.623""], ["" 128.919"", "" 127.945"", ""  56.888""], ["" 130.869"", "" 126.311"", ""  60.287""], ["" 131.151"", "" 127.572"", ""  59.867""], ["" 128.424"", "" 128.417"", ""  55.955""], ["" 128.210"", "" 125.170"", ""  57.851""], ["" 126.309"", "" 123.501"", ""  56.621""], ["" 127.663"", "" 123.385"", ""  56.307""], ["" 125.909"", "" 124.459"", ""  57.565""], ["" 128.605"", "" 124.208"", ""  56.916""], ["" 126.853"", "" 125.282"", ""  58.173""], ["" 125.447"", "" 122.643"", ""  55.967""], ["" 124.046"", "" 122.889"", ""  56.024""], ["" 131.616"", "" 125.822"", ""  61.494""], ["" 132.793"", "" 125.071"", ""  61.361""], ["" 131.164"", "" 126.106"", ""  62.794""], ["" 133.486"", "" 124.616"", ""  62.479""], ["" 131.855"", "" 125.652"", ""  63.913""], ["" 133.027"", "" 124.898"", ""  63.763""], ["" 133.779"", "" 124.404"", ""  64.812""], ["" 133.825"", "" 125.131"", ""  66.035""], ["" 127.840"", "" 130.022"", ""  61.000""], ["" 127.450"", "" 129.016"", ""  61.896""], ["" 127.042"", "" 131.159"", ""  60.859""], ["" 126.275"", "" 129.151"", ""  62.631""], ["" 125.869"", "" 131.293"", ""  61.595""], ["" 125.470"", "" 130.292"", ""  62.490""], ["" 124.197"", "" 130.467"", ""  63.268""], ["" 123.075"", "" 130.365"", ""  62.762""], ["" 124.404"", "" 130.749"", ""  64.579""], ["" 124.615"", "" 129.711"", ""  65.529""], ["" 123.751"", "" 129.969"", ""  66.767""]]",[],1aa_Ghoteimi_2023
3,10640,1b_Ghoteimi_2023,receptor_tmp,1,12,-8.93,-0.2551428571428571,0.0,0.0,1,184.31,-11.32,-10.91,-0.41,-11.32,0.0,-2.19,2.39,-2.19,43,10,0.0,0.0,0.0,17.559186,14.774493,5.122424,-0.66264201,0.72289289,0.19578415,91.078613,"184.048248, 275.970123, 82.274185, 258.675873, 75.084396, 205.556534, 215.011932, 325.612946, ","[["" 131.059"", "" 125.790"", ""  58.887""], ["" 131.657"", "" 125.414"", ""  57.660""], ["" 132.826"", "" 124.529"", ""  57.641""], ["" 133.749"", "" 123.830"", ""  57.628""], ["" 131.057"", "" 125.866"", ""  56.463""], ["" 129.917"", "" 126.599"", ""  56.457""], ["" 129.334"", "" 126.958"", ""  57.630""], ["" 129.890"", "" 126.560"", ""  58.851""], ["" 131.599"", "" 125.406"", ""  60.226""], ["" 132.626"", "" 124.705"", ""  62.747""], ["" 131.825"", "" 125.838"", ""  62.599""], ["" 132.918"", "" 123.923"", ""  61.620""], ["" 131.318"", "" 126.187"", ""  61.350""], ["" 132.409"", "" 124.275"", ""  60.373""], ["" 133.086"", "" 124.437"", ""  64.022""], ["" 132.654"", "" 125.258"", ""  65.102""], ["" 131.673"", "" 125.499"", ""  54.833""], ["" 130.270"", "" 125.583"", ""  53.670""], ["" 129.156"", "" 124.557"", ""  53.921""], ["" 128.409"", "" 124.794"", ""  55.022""], ["" 128.989"", "" 123.607"", ""  53.152""], ["" 128.650"", "" 125.600"", ""  55.580""], ["" 127.342"", "" 124.038"", ""  55.493""], ["" 127.432"", "" 122.917"", ""  56.192""], ["" 126.009"", "" 124.382"", ""  55.274""], ["" 126.127"", "" 122.498"", ""  56.451""], ["" 125.278"", "" 123.393"", ""  55.892""], ["" 128.080"", "" 127.781"", ""  57.532""], ["" 127.228"", "" 127.932"", ""  58.636""], ["" 127.724"", "" 128.429"", ""  56.339""], ["" 126.067"", "" 128.694"", ""  58.549""], ["" 126.565"", "" 129.194"", ""  56.248""], ["" 125.722"", "" 129.332"", ""  57.359""], ["" 124.553"", "" 130.068"", ""  57.367""], ["" 124.172"", "" 130.753"", ""  58.555""]]",[],1b_Ghoteimi_2023
4,10505,1b_Grossjean_2025,receptor_tmp,1,5,-7.99,-0.30730769230769234,0.0,0.0,4,186.99,-9.78,-9.55,-0.22,-9.78,0.0,-0.94,1.79,-0.94,37,4,0.0,0.0,0.0,15.187201,14.266517,5.854402,-0.98982959,-0.05622881,-0.13067405,210.521545,"123.911095, 222.537521, 290.985413, 173.13414, 263.553131, 232.473969, ","[["" 130.711"", "" 125.647"", ""  56.723""], ["" 130.250"", "" 126.657"", ""  57.494""], ["" 131.269"", "" 125.776"", ""  55.634""], ["" 129.808"", "" 126.385"", ""  58.360""], ["" 130.514"", "" 124.243"", ""  57.297""], ["" 129.004"", "" 124.119"", ""  58.302""], ["" 127.635"", "" 123.923"", ""  57.181""], ["" 125.295"", "" 123.716"", ""  56.596""], ["" 126.283"", "" 123.872"", ""  57.594""], ["" 125.684"", "" 123.630"", ""  55.256""], ["" 125.896"", "" 124.009"", ""  59.001""], ["" 127.038"", "" 123.711"", ""  54.937""], ["" 125.587"", "" 124.116"", ""  60.110""], ["" 128.001"", "" 123.861"", ""  55.877""], ["" 123.804"", "" 123.641"", ""  56.919""], ["" 127.523"", "" 123.634"", ""  53.501""], ["" 130.271"", "" 128.047"", ""  57.275""], ["" 129.763"", "" 128.472"", ""  56.048""], ["" 130.753"", "" 128.999"", ""  58.186""], ["" 129.733"", "" 129.826"", ""  55.726""], ["" 130.724"", "" 130.352"", ""  57.862""], ["" 130.213"", "" 130.784"", ""  56.631""], ["" 130.196"", "" 132.253"", ""  56.317""], ["" 129.210"", "" 132.974"", ""  56.505""], ["" 131.367"", "" 132.706"", ""  55.802""], ["" 132.511"", "" 131.865"", ""  55.738""]]",[],1b_Grossjean_2025
5,6888,1c_Ghoteimi_2023,receptor_tmp,1,5,-8.39,-0.23971428571428574,0.0,0.0,10,187.9,-10.78,-10.47,-0.3,-10.78,0.0,-2.85,2.39,-2.85,23,7,0.0,0.0,0.0,13.447436,15.07662,7.238833,0.21211751,-0.83408243,0.50922752,191.782867,"233.89679, 314.800232, 263.031799, 195.681824, 63.67038, 145.657333, 161.739944, 9.751177, ","[["" 128.164"", "" 125.906"", ""  59.383""], ["" 126.975"", "" 125.152"", ""  59.240""], ["" 126.633"", "" 124.090"", ""  60.192""], ["" 126.365"", "" 123.253"", ""  60.944""], ["" 126.122"", "" 125.463"", ""  58.161""], ["" 126.409"", "" 126.430"", ""  57.257""], ["" 127.568"", "" 127.129"", ""  57.367""], ["" 128.452"", "" 126.885"", ""  58.424""], ["" 129.118"", "" 125.745"", ""  60.520""], ["" 130.946"", "" 125.466"", ""  62.634""], ["" 130.078"", "" 126.557"", ""  62.589""], ["" 130.897"", "" 124.511"", ""  61.607""], ["" 129.174"", "" 126.697"", ""  61.542""], ["" 129.991"", "" 124.654"", ""  60.560""], ["" 131.810"", "" 125.408"", ""  63.712""], ["" 131.280"", "" 125.483"", ""  65.031""], ["" 124.520"", "" 124.715"", ""  57.956""], ["" 124.673"", "" 123.687"", ""  56.459""], ["" 126.126"", "" 123.565"", ""  55.988""], ["" 126.623"", "" 124.656"", ""  55.365""], ["" 126.733"", "" 122.507"", ""  56.157""], ["" 126.023"", "" 125.465"", ""  55.297""], ["" 127.842"", "" 124.755"", ""  54.714""], ["" 128.939"", "" 125.345"", ""  55.138""], ["" 127.978"", "" 123.973"", ""  53.172""], ["" 129.926"", "" 125.209"", ""  54.274""], ["" 129.637"", "" 124.491"", ""  53.118""], ["" 127.817"", "" 128.186"", ""  56.330""], ["" 126.756"", "" 128.861"", ""  55.707""], ["" 129.123"", "" 128.529"", ""  55.949""], ["" 126.990"", "" 129.844"", ""  54.749""], ["" 129.362"", "" 129.512"", ""  54.993""], ["" 128.291"", "" 130.181"", ""  54.384""], ["" 128.431"", "" 131.168"", ""  53.427""], ["" 127.321"", "" 131.496"", ""  52.598""]]",[],1c_Ghoteimi_2023
6,11044,1c_Grossjean_2025,receptor_tmp,1,10,-6.83,-0.28458333333333335,0.0,0.0,10,185.73,-8.32,-8.22,-0.1,-8.32,0.0,-2.01,1.49,-2.01,34,5,0.0,0.0,0.0,15.039515,12.679074,3.157919,0.71949719,0.23734491,0.65268001,288.10849,"190.810318, 272.907501, 35.437313, 5.292436, 119.176613, ","[["" 127.787"", "" 123.333"", ""  55.104""], ["" 128.383"", "" 123.699"", ""  56.259""], ["" 126.649"", "" 122.874"", ""  55.002""], ["" 129.294"", "" 124.125"", ""  56.174""], ["" 128.628"", "" 123.527"", ""  53.841""], ["" 128.967"", "" 125.283"", ""  53.517""], ["" 129.664"", "" 126.002"", ""  54.991""], ["" 129.743"", "" 127.536"", ""  56.865""], ["" 129.075"", "" 127.070"", ""  55.709""], ["" 130.936"", "" 126.922"", ""  57.259""], ["" 127.795"", "" 127.664"", ""  55.312""], ["" 131.431"", "" 125.860"", ""  56.507""], ["" 126.786"", "" 128.133"", ""  54.999""], ["" 130.810"", "" 125.399"", ""  55.396""], ["" 129.211"", "" 128.687"", ""  57.716""], ["" 132.712"", "" 125.142"", ""  56.891""], ["" 127.893"", "" 123.636"", ""  57.578""], ["" 128.617"", "" 123.147"", ""  58.675""], ["" 126.602"", "" 124.128"", ""  57.772""], ["" 128.040"", "" 123.139"", ""  59.942""], ["" 126.028"", "" 124.120"", ""  59.041""], ["" 126.745"", "" 123.620"", ""  60.138""], ["" 126.259"", "" 123.570"", ""  61.431""], ["" 124.906"", "" 123.939"", ""  61.678""]]",[],1c_Grossjean_2025
7,5995,1d_Ghoteimi_2023,receptor_tmp,1,10,-7.53,-0.251,0.0,0.0,7,189.15,-9.92,-9.34,-0.57,-9.92,0.0,-1.07,2.39,-1.07,29,5,0.0,0.0,0.0,13.310244,17.165727,7.046605,-0.76970951,-0.16389928,0.61699619,105.718857,"339.288849, 316.561615, 195.858688, 338.68808, 46.35984, 214.567551, 57.420097, 2.247351, ","[["" 128.808"", "" 131.486"", ""  57.091""], ["" 127.901"", "" 130.329"", ""  58.092""], ["" 126.637"", "" 129.628"", ""  60.040""], ["" 127.318"", "" 130.654"", ""  59.338""], ["" 126.543"", "" 128.363"", ""  59.447""], ["" 127.356"", "" 132.022"", ""  59.864""], ["" 127.110"", "" 128.120"", ""  58.190""], ["" 127.386"", "" 133.101"", ""  60.279""], ["" 127.783"", "" 129.100"", ""  57.534""], ["" 126.003"", "" 129.820"", ""  61.380""], ["" 124.792"", "" 130.184"", ""  63.892""], ["" 124.159"", "" 130.626"", ""  62.730""], ["" 126.037"", "" 129.545"", ""  63.790""], ["" 124.756"", "" 130.444"", ""  61.486""], ["" 126.631"", "" 129.364"", ""  62.544""], ["" 124.129"", "" 130.413"", ""  65.082""], ["" 124.475"", "" 129.645"", ""  66.229""], ["" 127.030"", "" 126.786"", ""  57.506""], ["" 127.607"", "" 126.580"", ""  56.243""], ["" 126.369"", "" 125.705"", ""  58.106""], ["" 127.526"", "" 125.345"", ""  55.607""], ["" 126.285"", "" 124.468"", ""  57.473""], ["" 126.866"", "" 124.278"", ""  56.212""], ["" 126.833"", "" 123.090"", ""  55.507""], ["" 127.733"", "" 122.903"", ""  54.420""], ["" 130.571"", "" 131.080"", ""  57.273""], ["" 131.356"", "" 132.031"", ""  56.374""], ["" 130.822"", "" 132.606"", ""  55.424""], ["" 132.646"", "" 132.147"", ""  56.754""], ["" 133.342"", "" 131.033"", ""  57.292""]]",[],1d_Ghoteimi_2023
8,11052,1d_Grossjean_2025,receptor_tmp,1,9,-8.48,-0.3854545454545455,0.0,0.0,1,191.89,-9.67,-9.43,-0.24,-9.67,0.0,-0.39,1.19,-0.39,50,3,0.0,0.0,0.0,15.247766,15.078587,22.092792,-0.55334168,-0.69894931,0.4530815,140.476959,"260.95697, 171.81163, 318.951355, 342.553497, ","[["" 130.727"", "" 126.944"", ""  72.516""], ["" 131.186"", "" 125.425"", ""  73.320""], ["" 132.635"", "" 123.980"", ""  74.616""], ["" 132.400"", "" 125.243"", ""  74.023""], ["" 131.680"", "" 122.969"", ""  74.473""], ["" 133.407"", "" 126.301"", ""  74.119""], ["" 130.522"", "" 123.228"", ""  73.742""], ["" 134.206"", "" 127.135"", ""  74.197""], ["" 130.275"", "" 124.430"", ""  73.169""], ["" 133.903"", "" 123.667"", ""  75.408""], ["" 129.455"", "" 122.170"", ""  73.542""], ["" 128.919"", "" 126.930"", ""  72.322""], ["" 128.263"", "" 128.160"", ""  72.951""], ["" 127.088"", "" 127.933"", ""  73.578""], ["" 128.810"", "" 129.257"", ""  72.837""], ["" 126.743"", "" 126.984"", ""  73.544""], ["" 126.244"", "" 128.825"", ""  74.265""], ["" 126.826"", "" 130.037"", ""  74.645""], ["" 124.893"", "" 128.582"", ""  74.562""], ["" 126.078"", "" 130.994"", ""  75.326""], ["" 124.146"", "" 129.540"", ""  75.242""], ["" 124.741"", "" 130.741"", ""  75.622""]]",[],1d_Grossjean_2025
9,10444,1e_Grossjean_2025,receptor_tmp,1,20,-7.44,-0.3234782608695652,0.0,0.0,12,188.35,-8.63,-8.51,-0.12,-8.63,0.0,-1.4,1.19,-1.4,28,4,0.0,0.0,0.0,18.460598,18.535555,4.193793,-0.01980023,-0.03079832,0.99932948,152.741547,"181.59848, 240.500671, 288.950439, 8.875534, ","[["" 132.931"", "" 131.814"", ""  56.419""], ["" 133.110"", "" 130.972"", ""  58.021""], ["" 131.622"", "" 130.049"", ""  58.350""], ["" 129.725"", "" 129.331"", ""  59.674""], ["" 130.892"", "" 130.120"", ""  59.560""], ["" 129.329"", "" 128.534"", ""  58.595""], ["" 131.287"", "" 131.004"", ""  60.659""], ["" 130.093"", "" 128.545"", ""  57.430""], ["" 131.598"", "" 131.702"", ""  61.529""], ["" 131.215"", "" 129.290"", ""  57.300""], ["" 128.860"", "" 129.315"", ""  60.934""], ["" 129.705"", "" 127.718"", ""  56.219""], ["" 131.463"", "" 132.018"", ""  56.040""], ["" 130.939"", "" 131.101"", ""  55.199""], ["" 130.857"", "" 132.993"", ""  56.490""], ["" 131.569"", "" 130.390"", ""  54.854""], ["" 129.637"", "" 131.038"", ""  54.672""], ["" 128.599"", "" 130.494"", ""  55.374""], ["" 129.462"", "" 131.543"", ""  53.378""], ["" 127.372"", "" 130.456"", ""  54.796""], ["" 128.193"", "" 131.498"", ""  52.798""], ["" 127.127"", "" 130.947"", ""  53.511""], ["" 126.267"", "" 129.840"", ""  55.634""]]",[],1e_Grossjean_2025
