,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,10536,ZINC100024116,receptor_tmp,4,18,-5.37,-0.4475,0.0,0.0,20,185.2,-5.37,-5.29,-0.08,-5.37,0.0,0.0,0.0,0.0,28,0,0.0,0.0,0.0,12.715304,11.977379,6.41811,-0.20291344,-0.84020579,0.50287212,135.843582,,"[["" 128.393"", "" 122.726"", ""  60.039""], ["" 127.706"", "" 124.339"", ""  59.663""], ["" 128.247"", "" 124.845"", ""  58.295""], ["" 127.955"", "" 126.608"", ""  58.185""], ["" 127.598"", "" 124.158"", ""  57.058""], ["" 128.261"", "" 122.505"", ""  56.851""], ["" 126.048"", "" 124.127"", ""  57.155""], ["" 125.355"", "" 123.249"", ""  55.757""], ["" 125.534"", "" 123.544"", ""  58.497""], ["" 123.752"", "" 123.696"", ""  58.560""], ["" 126.154"", "" 124.303"", ""  59.699""], ["" 125.582"", "" 123.629"", ""  61.257""]]",[],ZINC100024116
1,156,ZINC100034590,receptor_tmp,1,14,-3.09,-0.11035714285714285,0.0,0.0,2,183.31,-5.77,-5.86,0.08,-5.77,0.0,-1.07,2.68,-1.07,75,3,0.0,0.0,0.0,14.217616,11.572969,4.997368,-0.42126139,0.72812432,0.54071603,108.358444,"260.590424, 356.991821, 303.414978, 316.659363, 202.51265, 278.276978, 62.713093, 264.345276, 232.843216, ","[["" 128.221"", "" 124.043"", ""  56.831""], ["" 127.384"", "" 125.035"", ""  56.503""], ["" 128.252"", "" 123.812"", ""  58.250""], ["" 128.662"", "" 124.853"", ""  59.141""], ["" 128.719"", "" 126.004"", ""  58.465""], ["" 129.876"", "" 124.606"", ""  59.638""], ["" 127.614"", "" 124.941"", ""  60.266""], ["" 126.381"", "" 125.175"", ""  59.811""], ["" 127.912"", "" 125.876"", ""  61.170""], ["" 127.536"", "" 123.293"", ""  61.208""], ["" 127.875"", "" 122.168"", ""  60.328""], ["" 126.385"", "" 123.259"", ""  62.117""], ["" 128.840"", "" 123.525"", ""  62.151""], ["" 129.664"", "" 124.406"", ""  56.382""], ["" 129.991"", "" 123.821"", ""  55.230""], ["" 129.812"", "" 125.719"", ""  56.200""], ["" 130.576"", "" 124.040"", ""  57.285""], ["" 127.695"", "" 122.724"", ""  56.202""], ["" 127.409"", "" 122.880"", ""  54.906""], ["" 128.624"", "" 121.768"", ""  56.295""], ["" 126.521"", "" 122.326"", ""  56.919""], ["" 125.257"", "" 122.893"", ""  56.555""], ["" 125.398"", "" 123.703"", ""  55.502""], ["" 124.395"", "" 121.929"", ""  56.223""], ["" 124.739"", "" 123.683"", ""  57.772""], ["" 125.006"", "" 124.983"", ""  57.650""], ["" 123.418"", "" 123.561"", ""  57.911""], ["" 125.307"", "" 123.267"", ""  58.905""]]",[],ZINC100034590
2,10856,ZINC100043079,receptor_tmp,1,12,-2.33,-0.0862962962962963,0.0,0.0,7,182.86,-3.22,-3.31,0.08,-3.22,0.0,0.1,0.89,0.1,75,0,0.0,0.0,0.0,12.285205,11.373053,7.932879,0.11907676,-0.56338075,-0.81757132,232.849792,"114.222694, 30.303165, 299.114594, ","[["" 128.479"", "" 123.255"", ""  61.400""], ["" 128.886"", "" 122.144"", ""  60.780""], ["" 127.789"", "" 122.859"", ""  62.474""], ["" 129.735"", "" 124.027"", ""  61.887""], ["" 129.420"", "" 125.190"", ""  62.459""], ["" 130.558"", "" 124.297"", ""  60.872""], ["" 130.434"", "" 123.332"", ""  62.785""], ["" 127.548"", "" 124.080"", ""  60.449""], ["" 126.370"", "" 124.219"", ""  61.063""], ["" 128.044"", "" 125.318"", ""  60.377""], ["" 127.367"", "" 123.450"", ""  58.998""], ["" 128.479"", "" 123.891"", ""  57.977""], ["" 125.952"", "" 123.718"", ""  58.367""], ["" 128.304"", "" 123.263"", ""  56.562""], ["" 125.776"", "" 123.090"", ""  56.952""], ["" 126.894"", "" 123.551"", ""  55.978""], ["" 127.471"", "" 122.118"", ""  59.076""], ["" 128.450"", "" 125.221"", ""  57.852""], ["" 129.688"", "" 123.577"", ""  58.450""], ["" 124.994"", "" 123.256"", ""  59.175""], ["" 125.766"", "" 125.038"", ""  58.266""], ["" 129.243"", "" 123.729"", ""  55.734""], ["" 128.477"", "" 121.940"", ""  56.644""], ["" 124.579"", "" 123.411"", ""  56.454""], ["" 125.812"", "" 121.758"", ""  57.056""], ["" 126.772"", "" 124.864"", ""  55.769""], ["" 126.752"", "" 122.948"", ""  54.795""]]",[],ZINC100043079
3,7738,ZINC100045963,receptor_tmp,1,14,-9.23,-0.24289473684210527,0.0,0.0,5,185.46,-12.21,-11.72,-0.49,-12.21,0.0,-2.25,2.98,-2.25,37,7,0.0,0.0,0.0,13.58663,17.769032,8.527486,-0.65333024,0.75173258,-0.08976483,179.498657,"265.596558, 307.10141, 10.325215, 234.794998, 151.632248, 155.932678, 252.426193, 359.728699, 344.30481, 9.20626, ","[["" 125.614"", "" 136.132"", ""  61.333""], ["" 126.076"", "" 137.597"", ""  61.303""], ["" 124.922"", "" 138.588"", ""  61.070""], ["" 124.881"", "" 139.716"", ""  62.114""], ["" 125.805"", "" 140.892"", ""  61.764""], ["" 126.706"", "" 135.318"", ""  61.753""], ["" 126.628"", "" 133.947"", ""  61.601""], ["" 127.834"", "" 133.249"", ""  61.636""], ["" 125.430"", "" 133.238"", ""  61.421""], ["" 127.856"", "" 131.866"", ""  61.478""], ["" 125.452"", "" 131.854"", ""  61.265""], ["" 126.664"", "" 131.166"", ""  61.273""], ["" 126.668"", "" 129.704"", ""  61.110""], ["" 127.308"", "" 128.967"", ""  60.171""], ["" 127.344"", "" 127.497"", ""  60.117""], ["" 128.091"", "" 129.386"", ""  58.989""], ["" 126.762"", "" 126.575"", ""  60.992""], ["" 128.053"", "" 127.063"", ""  58.998""], ["" 128.653"", "" 128.268"", ""  58.366""], ["" 128.330"", "" 130.664"", ""  58.476""], ["" 126.837"", "" 125.202"", ""  60.741""], ["" 128.033"", "" 125.691"", ""  58.666""], ["" 129.623"", "" 128.456"", ""  57.358""], ["" 129.193"", "" 130.861"", ""  57.393""], ["" 127.464"", "" 124.779"", ""  59.563""], ["" 129.848"", "" 129.745"", ""  56.861""], ["" 126.231"", "" 124.222"", ""  61.675""], ["" 125.051"", "" 124.358"", ""  61.986""], ["" 126.931"", "" 123.308"", ""  62.104""], ["" 128.489"", "" 125.176"", ""  57.362""], ["" 127.806"", "" 125.419"", ""  56.371""], ["" 129.559"", "" 124.578"", ""  57.327""], ["" 130.492"", "" 127.370"", ""  56.871""], ["" 130.328"", "" 126.981"", ""  55.719""], ["" 131.296"", "" 126.873"", ""  57.654""], ["" 129.439"", "" 132.220"", ""  56.852""], ["" 130.140"", "" 132.992"", ""  57.501""], ["" 128.935"", "" 132.526"", ""  55.776""]]",[],ZINC100045963
4,9382,ZINC100046143,receptor_tmp,1,7,-3.98,-0.13724137931034483,0.0,0.0,2,183.96,-7.86,-7.81,-0.05,-7.86,0.0,-0.07,3.88,-0.07,69,0,0.0,0.0,0.0,15.097542,10.826483,8.798696,-0.00768865,0.12069314,0.99266009,153.284164,"249.117203, 142.483383, 275.849121, 61.284248, 0.909614, 331.94928, 16.021883, 345.569458, 307.731506, 18.960791, 8.428467, 89.205009, 341.081573, ","[["" 129.343"", "" 121.385"", ""  61.309""], ["" 130.687"", "" 120.636"", ""  61.406""], ["" 130.523"", "" 119.107"", ""  61.349""], ["" 131.739"", "" 118.393"", ""  60.733""], ["" 131.546"", "" 116.867"", ""  60.648""], ["" 132.506"", "" 116.165"", ""  61.434""], ["" 132.723"", "" 114.830"", ""  61.277""], ["" 133.830"", "" 114.293"", ""  61.349""], ["" 131.516"", "" 114.049"", ""  61.008""], ["" 130.985"", "" 113.143"", ""  61.853""], ["" 129.477"", "" 122.888"", ""  60.953""], ["" 129.856"", "" 123.559"", ""  62.044""], ["" 130.457"", "" 123.038"", ""  60.060""], ["" 128.144"", "" 123.475"", ""  60.395""], ["" 127.120"", "" 122.839"", ""  60.973""], ["" 128.041"", "" 124.750"", ""  60.782""], ["" 128.012"", "" 123.383"", ""  58.839""], ["" 129.125"", "" 123.857"", ""  58.275""], ["" 127.942"", "" 122.099"", ""  58.478""], ["" 126.774"", "" 124.149"", ""  58.266""], ["" 125.732"", "" 123.987"", ""  59.086""], ["" 127.027"", "" 125.460"", ""  58.260""], ["" 126.367"", "" 123.701"", ""  56.825""], ["" 126.625"", "" 124.677"", ""  55.952""], ["" 127.108"", "" 122.658"", ""  56.443""], ["" 124.872"", "" 123.311"", ""  56.694""], ["" 124.503"", "" 123.232"", ""  55.414""], ["" 124.611"", "" 122.128"", ""  57.252""], ["" 124.070"", "" 124.201"", ""  57.281""]]",[],ZINC100046143
5,9906,ZINC100050078,receptor_tmp,1,17,-9.13,-0.2536111111111111,0.0,0.0,13,187.06,-11.82,-11.47,-0.35,-11.82,0.0,-2.09,2.68,-2.09,39,5,0.0,0.0,0.0,15.418685,13.891318,6.086893,-0.66898569,0.47080701,-0.57515121,134.305023,"67.55117, 244.018219, 220.565964, 111.189201, 353.993378, 331.224792, 80.847565, 298.712372, 353.777008, ","[["" 129.597"", "" 130.603"", ""  57.581""], ["" 129.455"", "" 131.958"", ""  56.883""], ["" 128.381"", "" 132.293"", ""  56.377""], ["" 130.591"", "" 132.694"", ""  56.886""], ["" 131.751"", "" 132.239"", ""  56.203""], ["" 132.825"", "" 131.857"", ""  57.226""], ["" 129.469"", "" 129.528"", ""  56.652""], ["" 129.671"", "" 128.231"", ""  57.089""], ["" 130.880"", "" 127.776"", ""  57.639""], ["" 128.597"", "" 127.340"", ""  56.963""], ["" 131.014"", "" 126.459"", ""  58.067""], ["" 128.750"", "" 126.011"", ""  57.393""], ["" 129.947"", "" 125.560"", ""  57.961""], ["" 127.428"", "" 127.837"", ""  56.411""], ["" 126.671"", "" 128.806"", ""  57.127""], ["" 130.073"", "" 124.092"", ""  58.443""], ["" 128.658"", "" 123.362"", ""  58.462""], ["" 127.709"", "" 123.829"", ""  59.608""], ["" 128.033"", "" 123.236"", ""  57.040""], ["" 128.112"", "" 124.337"", ""  60.652""], ["" 126.205"", "" 123.606"", ""  59.392""], ["" 126.508"", "" 123.061"", ""  56.961""], ["" 128.706"", "" 123.251"", ""  56.010""], ["" 125.711"", "" 123.937"", ""  57.961""], ["" 124.231"", "" 123.507"", ""  57.872""], ["" 125.896"", "" 125.446"", ""  57.643""], ["" 130.949"", "" 123.926"", ""  59.756""], ["" 130.622"", "" 122.675"", ""  60.604""], ["" 132.480"", "" 123.980"", ""  59.530""], ["" 129.872"", "" 121.762"", ""  60.258""], ["" 131.368"", "" 122.655"", ""  61.950""], ["" 133.280"", "" 123.988"", ""  60.843""], ["" 133.026"", "" 124.010"", ""  58.428""], ["" 132.917"", "" 122.797"", ""  61.791""], ["" 133.493"", "" 123.125"", ""  63.183""], ["" 133.497"", "" 121.482"", ""  61.208""]]",[],ZINC100050078
6,13147,ZINC100050142,receptor_tmp,1,12,-7.44,-0.20108108108108108,0.0,0.0,2,201.14,-11.02,-10.56,-0.46,-11.02,0.0,-3.07,3.58,-3.07,50,8,0.0,0.0,0.0,18.358077,21.301277,23.737993,-0.83244283,-0.16641669,0.52853043,53.911491,"289.194733, 120.985802, 301.561371, 314.732697, 270.256775, 196.644165, 183.977829, 81.800804, 257.826172, 164.49884, 118.349419, 19.156786, ","[["" 134.794"", "" 134.095"", ""  76.522""], ["" 133.572"", "" 133.409"", ""  76.617""], ["" 132.628"", "" 133.375"", ""  75.570""], ["" 132.946"", "" 134.081"", ""  74.390""], ["" 134.172"", "" 134.754"", ""  74.282""], ["" 135.091"", "" 134.784"", ""  75.332""], ["" 135.737"", "" 134.091"", ""  77.537""], ["" 135.531"", "" 134.870"", ""  78.710""], ["" 136.291"", "" 135.506"", ""  75.121""], ["" 136.943"", "" 135.497"", ""  73.806""], ["" 138.039"", "" 134.432"", ""  73.599""], ["" 138.003"", "" 133.824"", ""  72.326""], ["" 137.183"", "" 133.330"", ""  72.248""], ["" 136.368"", "" 136.756"", ""  75.879""], ["" 137.587"", "" 136.840"", ""  76.813""], ["" 138.769"", "" 137.413"", ""  76.152""], ["" 139.700"", "" 137.864"", ""  75.632""], ["" 131.397"", "" 132.679"", ""  75.647""], ["" 130.339"", "" 133.375"", ""  75.567""], ["" 129.203"", "" 132.564"", ""  75.654""], ["" 128.465"", "" 132.306"", ""  74.480""], ["" 128.778"", "" 131.967"", ""  76.872""], ["" 127.327"", "" 131.506"", ""  74.508""], ["" 127.621"", "" 131.168"", ""  76.863""], ["" 126.885"", "" 130.928"", ""  75.698""], ["" 128.937"", "" 132.974"", ""  72.952""], ["" 129.504"", "" 132.145"", ""  78.168""], ["" 129.355"", "" 133.168"", ""  78.828""], ["" 130.255"", "" 131.249"", ""  78.545""], ["" 125.670"", "" 130.076"", ""  75.724""], ["" 125.750"", "" 128.924"", ""  75.306""], ["" 124.628"", "" 130.551"", ""  76.164""], ["" 132.026"", "" 134.051"", ""  73.316""], ["" 132.038"", "" 134.772"", ""  72.175""], ["" 132.871"", "" 135.632"", ""  71.887""], ["" 131.202"", "" 133.492"", ""  73.486""], ["" 130.892"", "" 134.498"", ""  71.206""]]",[],ZINC100050142
7,3680,ZINC100052783,receptor_tmp,1,11,-10.65,-0.22659574468085106,0.0,0.0,10,182.91,-14.23,-14.22,0.0,-14.23,0.0,-2.68,3.58,-2.68,101,4,0.0,0.0,0.0,17.584542,12.534505,7.681598,-0.46102021,0.21378369,0.8612531,124.510757,"10.197347, 356.667603, 248.722488, 52.189541, 310.903809, 132.877686, 204.134491, 332.988556, 114.252647, 320.436035, 86.30159, 53.76226, ","[["" 132.784"", "" 123.895"", ""  59.843""], ["" 133.574"", "" 124.436"", ""  58.830""], ["" 132.878"", "" 125.141"", ""  57.849""], ["" 131.496"", "" 125.198"", ""  58.029""], ["" 131.119"", "" 124.300"", ""  59.484""], ["" 133.184"", "" 123.071"", ""  61.086""], ["" 132.682"", "" 123.786"", ""  62.370""], ["" 131.765"", "" 125.087"", ""  64.720""], ["" 130.937"", "" 124.207"", ""  64.006""], ["" 133.058"", "" 125.312"", ""  64.221""], ["" 131.385"", "" 123.570"", ""  62.853""], ["" 133.508"", "" 124.676"", ""  63.068""], ["" 131.307"", "" 125.739"", ""  65.900""], ["" 132.205"", "" 126.626"", ""  66.641""], ["" 130.173"", "" 125.191"", ""  66.646""], ["" 134.607"", "" 123.022"", ""  61.067""], ["" 134.894"", "" 122.359"", ""  61.699""], ["" 132.656"", "" 121.612"", ""  61.039""], ["" 131.290"", "" 121.306"", ""  61.079""], ["" 133.570"", "" 120.553"", ""  60.982""], ["" 130.854"", "" 119.985"", ""  61.048""], ["" 133.134"", "" 119.232"", ""  60.953""], ["" 131.765"", "" 118.918"", ""  60.982""], ["" 131.318"", "" 117.566"", ""  60.959""], ["" 132.006"", "" 116.552"", ""  61.759""], ["" 130.514"", "" 117.079"", ""  59.837""], ["" 130.411"", "" 125.878"", ""  57.163""], ["" 130.837"", "" 125.745"", ""  55.813""], ["" 131.409"", "" 124.976"", ""  55.752""], ["" 129.028"", "" 125.179"", ""  57.275""], ["" 128.907"", "" 123.845"", ""  56.866""], ["" 127.892"", "" 125.816"", ""  57.794""], ["" 127.691"", "" 123.175"", ""  56.953""], ["" 126.676"", "" 125.145"", ""  57.883""], ["" 126.546"", "" 123.812"", ""  57.461""], ["" 125.302"", "" 123.126"", ""  57.556""], ["" 124.239"", "" 123.652"", ""  58.415""], ["" 124.894"", "" 122.194"", ""  56.505""], ["" 130.367"", "" 127.386"", ""  57.536""], ["" 130.891"", "" 127.869"", ""  58.743""], ["" 129.814"", "" 128.308"", ""  56.639""], ["" 130.849"", "" 129.226"", ""  59.045""], ["" 129.775"", "" 129.666"", ""  56.941""], ["" 130.292"", "" 130.156"", ""  58.151""], ["" 130.247"", "" 131.545"", ""  58.463""], ["" 130.150"", "" 131.981"", ""  59.856""], ["" 130.761"", "" 132.525"", ""  57.506""]]",[],ZINC100052783
8,10166,ZINC100053898,receptor_tmp,1,8,-10.3,-0.23953488372093024,0.0,0.0,3,190.69,-14.17,-13.95,-0.22,-14.17,0.0,-2.79,3.88,-2.79,78,12,0.0,0.0,0.0,12.769289,20.477437,9.414225,-0.4879616,0.59531418,-0.63835296,82.360458,"163.331039, 107.191406, 178.459625, 186.930771, 68.657455, 22.317348, 7.400876, 253.237854, 134.58812, 12.113257, 172.907059, 29.41917, 114.597786, ","[["" 127.784"", "" 134.251"", ""  61.741""], ["" 127.657"", "" 133.271"", ""  62.657""], ["" 127.195"", "" 133.417"", ""  63.793""], ["" 128.161"", "" 134.077"", ""  60.820""], ["" 127.388"", "" 135.514"", ""  61.981""], ["" 126.340"", "" 135.838"", ""  61.336""], ["" 125.706"", "" 137.161"", ""  61.430""], ["" 125.814"", "" 139.485"", ""  62.202""], ["" 126.375"", "" 138.199"", ""  62.092""], ["" 124.552"", "" 139.716"", ""  61.639""], ["" 123.874"", "" 138.693"", ""  60.980""], ["" 124.446"", "" 137.428"", ""  60.876""], ["" 126.434"", "" 140.547"", ""  62.837""], ["" 126.956"", "" 141.624"", ""  62.066""], ["" 127.119"", "" 141.154"", ""  60.617""], ["" 123.965"", "" 140.953"", ""  61.725""], ["" 124.495"", "" 141.587"", ""  62.214""], ["" 128.151"", "" 131.874"", ""  62.221""], ["" 127.035"", "" 130.806"", ""  62.348""], ["" 125.937"", "" 130.887"", ""  61.297""], ["" 124.751"", "" 131.602"", ""  61.563""], ["" 126.105"", "" 130.253"", ""  60.048""], ["" 123.739"", "" 131.684"", ""  60.586""], ["" 125.093"", "" 130.333"", ""  59.072""], ["" 123.909"", "" 131.049"", ""  59.341""], ["" 122.927"", "" 131.128"", ""  58.396""], ["" 122.964"", "" 130.418"", ""  57.752""], ["" 128.667"", "" 131.896"", ""  60.847""], ["" 129.960"", "" 132.002"", ""  60.482""], ["" 130.882"", "" 132.079"", ""  61.299""], ["" 127.964"", "" 131.825"", ""  60.126""], ["" 130.243"", "" 131.988"", ""  58.994""], ["" 129.184"", "" 132.086"", ""  58.083""], ["" 131.549"", "" 131.872"", ""  58.492""], ["" 129.404"", "" 132.078"", ""  56.699""], ["" 131.805"", "" 131.861"", ""  57.115""], ["" 130.721"", "" 131.967"", ""  56.232""], ["" 128.269"", "" 132.187"", ""  55.748""], ["" 127.274"", "" 131.494"", ""  55.940""], ["" 128.364"", "" 132.965"", ""  54.804""], ["" 133.192"", "" 131.740"", ""  56.602""], ["" 134.089"", "" 131.457"", ""  57.392""], ["" 133.396"", "" 131.925"", ""  55.405""]]",[],ZINC100053898
9,5665,ZINC100058471,receptor_tmp,1,13,-9.29,-0.40391304347826085,0.0,0.0,6,187.24,-9.88,-9.9,0.02,-9.88,0.0,-0.23,0.6,-0.23,45,0,0.0,0.0,0.0,18.350779,7.404602,10.84207,-0.31833661,-0.03877602,0.94718437,256.007324,"326.176208, 221.753815, ","[["" 131.735"", "" 117.176"", ""  60.436""], ["" 131.650"", "" 117.088"", ""  59.039""], ["" 131.348"", "" 115.877"", ""  58.416""], ["" 131.126"", "" 114.734"", ""  59.182""], ["" 131.206"", "" 114.803"", ""  60.570""], ["" 130.875"", "" 113.090"", ""  61.724""], ["" 131.509"", "" 116.015"", ""  61.194""], ["" 132.056"", "" 118.467"", ""  61.057""], ["" 131.562"", "" 119.586"", ""  60.673""], ["" 131.975"", "" 120.690"", ""  61.369""], ["" 134.255"", "" 120.518"", ""  60.882""], ["" 133.281"", "" 121.083"", ""  61.385""], ["" 133.354"", "" 122.359"", ""  62.214""], ["" 131.898"", "" 122.707"", ""  62.520""], ["" 133.893"", "" 123.623"", ""  61.468""], ["" 131.085"", "" 121.609"", ""  61.846""], ["" 131.722"", "" 124.143"", ""  61.926""], ["" 133.897"", "" 124.767"", ""  62.486""], ["" 132.657"", "" 124.093"", ""  60.745""], ["" 129.853"", "" 121.574"", ""  61.804""], ["" 132.605"", "" 125.077"", ""  62.757""], ["" 132.657"", "" 125.095"", ""  59.605""], ["" 132.258"", "" 123.659"", ""  59.348""]]",[],ZINC100058471
