,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,13928,ZINC100024116,receptor_tmp,12,12,-5.27,-0.43916666666666665,0.0,0.0,20,191.77,-5.27,-5.29,0.02,-5.27,0.0,0.0,0.0,0.0,26,0,0.0,0.0,0.0,16.412888,19.009455,4.140284,0.33850798,-0.91758711,0.2084376,167.959564,,"[["" 132.781"", "" 130.701"", ""  57.283""], ["" 131.034"", "" 130.884"", ""  57.643""], ["" 130.565"", "" 132.328"", ""  57.302""], ["" 128.999"", "" 132.625"", ""  58.115""], ["" 130.392"", "" 132.600"", ""  55.780""], ["" 131.996"", "" 132.802"", ""  55.003""], ["" 129.571"", "" 131.485"", ""  55.079""], ["" 129.477"", "" 131.795"", ""  53.317""], ["" 130.107"", "" 130.059"", ""  55.370""], ["" 129.002"", "" 128.854"", ""  54.641""], ["" 130.198"", "" 129.808"", ""  56.898""], ["" 130.832"", "" 128.172"", ""  57.251""]]",[],ZINC100024116
1,3842,ZINC100034590,receptor_tmp,1,12,-3.43,-0.12250000000000001,0.0,0.0,10,190.88,-6.11,-6.14,0.03,-6.11,0.0,-0.73,2.68,-0.73,62,3,0.0,0.0,0.0,14.963995,19.672587,8.076196,-0.51805758,-0.84240804,-0.14820607,129.554626,"70.220367, 126.633934, 285.921692, 338.747955, 42.784321, 45.419815, 15.328945, 76.158852, 263.381348, ","[["" 128.831"", "" 132.138"", ""  59.960""], ["" 129.356"", "" 133.360"", ""  59.797""], ["" 129.209"", "" 131.244"", ""  58.900""], ["" 129.295"", "" 131.718"", ""  57.553""], ["" 128.860"", "" 132.980"", ""  57.510""], ["" 128.526"", "" 130.988"", ""  56.740""], ["" 130.773"", "" 131.643"", ""  57.128""], ["" 131.197"", "" 130.392"", ""  56.937""], ["" 131.588"", "" 132.234"", ""  58.004""], ["" 131.018"", "" 132.551"", ""  55.477""], ["" 132.269"", "" 133.320"", ""  55.479""], ["" 129.752"", "" 133.112"", ""  54.990""], ["" 131.306"", "" 131.243"", ""  54.555""], ["" 127.279"", "" 132.233"", ""  59.965""], ["" 126.753"", "" 131.875"", ""  58.794""], ["" 126.736"", "" 131.437"", ""  60.888""], ["" 126.854"", "" 133.470"", ""  60.228""], ["" 129.413"", "" 131.520"", ""  61.260""], ["" 128.792"", "" 131.989"", ""  62.346""], ["" 129.254"", "" 130.193"", ""  61.249""], ["" 130.808"", "" 131.837"", ""  61.318""], ["" 131.767"", "" 130.818"", ""  61.008""], ["" 131.432"", "" 129.670"", ""  61.604""], ["" 131.806"", "" 130.604"", ""  59.691""], ["" 133.137"", "" 131.305"", ""  61.516""], ["" 134.088"", "" 131.099"", ""  60.604""], ["" 133.125"", "" 132.611"", ""  61.787""], ["" 133.507"", "" 130.662"", ""  62.624""]]",[],ZINC100034590
2,7461,ZINC100043079,receptor_tmp,1,1,-2.94,-0.10888888888888888,0.0,0.0,20,188.9,-3.84,-3.88,0.05,-3.84,0.0,-0.09,0.89,-0.09,81,0,0.0,0.0,0.0,16.213749,20.689944,5.735116,0.3329507,0.8993729,0.28332353,121.645042,"181.235764, 347.278412, 246.262009, ","[["" 131.973"", "" 130.762"", ""  58.148""], ["" 131.010"", "" 129.895"", ""  58.474""], ["" 132.381"", "" 131.323"", ""  59.291""], ["" 133.161"", "" 129.965"", ""  57.546""], ["" 134.262"", "" 130.066"", ""  58.291""], ["" 133.471"", "" 130.408"", ""  56.326""], ["" 132.888"", "" 128.665"", ""  57.434""], ["" 131.392"", "" 131.863"", ""  57.198""], ["" 130.543"", "" 132.605"", ""  57.915""], ["" 132.391"", "" 132.693"", ""  56.886""], ["" 130.688"", "" 131.296"", ""  55.886""], ["" 131.182"", "" 131.982"", ""  54.561""], ["" 129.118"", "" 131.348"", ""  55.941""], ["" 130.499"", "" 131.416"", ""  53.279""], ["" 128.435"", "" 130.781"", ""  54.661""], ["" 128.951"", "" 131.485"", ""  53.377""], ["" 130.992"", "" 130.000"", ""  55.746""], ["" 130.924"", "" 133.291"", ""  54.629""], ["" 132.506"", "" 131.857"", ""  54.444""], ["" 128.673"", "" 130.680"", ""  57.009""], ["" 128.732"", "" 132.619"", ""  56.095""], ["" 130.918"", "" 132.086"", ""  52.202""], ["" 130.866"", "" 130.141"", ""  53.114""], ["" 127.109"", "" 130.916"", ""  54.751""], ["" 128.689"", "" 129.473"", ""  54.571""], ["" 128.576"", "" 132.767"", ""  53.406""], ["" 128.395"", "" 130.937"", ""  52.295""]]",[],ZINC100043079
3,11221,ZINC100045963,receptor_tmp,1,10,-9.52,-0.25052631578947365,0.0,0.0,2,186.5,-12.51,-11.7,-0.81,-12.51,0.0,-2.13,2.98,-2.13,66,10,0.0,0.0,0.0,14.531467,19.012512,16.426864,0.74374069,-0.31386955,-0.5901997,236.827728,"331.298187, 77.21888, 290.982849, 328.755005, 149.681168, 328.215759, 349.825623, 286.931671, 19.520655, 322.60733, ","[["" 125.224"", "" 127.495"", ""  73.087""], ["" 125.022"", "" 127.303"", ""  74.598""], ["" 124.115"", "" 128.375"", ""  75.225""], ["" 124.903"", "" 129.465"", ""  75.972""], ["" 124.193"", "" 130.826"", ""  75.972""], ["" 126.566"", "" 127.917"", ""  72.857""], ["" 127.216"", "" 127.516"", ""  71.705""], ["" 128.603"", "" 127.656"", ""  71.694""], ["" 126.570"", "" 126.986"", ""  70.577""], ["" 129.341"", "" 127.290"", ""  70.572""], ["" 127.310"", "" 126.619"", ""  69.454""], ["" 128.694"", "" 126.788"", ""  69.440""], ["" 129.458"", "" 126.391"", ""  68.248""], ["" 129.221"", "" 126.715"", ""  66.955""], ["" 130.079"", "" 126.360"", ""  65.814""], ["" 128.098"", "" 127.455"", ""  66.339""], ["" 131.284"", "" 125.650"", ""  65.813""], ["" 129.522"", "" 126.811"", ""  64.618""], ["" 128.336"", "" 127.637"", ""  64.973""], ["" 126.934"", "" 127.966"", ""  66.918""], ["" 131.931"", "" 125.337"", ""  64.613""], ["" 130.096"", "" 126.399"", ""  63.397""], ["" 127.507"", "" 128.513"", ""  64.241""], ["" 126.031"", "" 128.734"", ""  66.174""], ["" 131.312"", "" 125.706"", ""  63.413""], ["" 126.347"", "" 129.016"", ""  64.842""], ["" 133.216"", "" 124.595"", ""  64.612""], ["" 133.451"", "" 123.829"", ""  63.682""], ["" 133.999"", "" 124.774"", ""  65.540""], ["" 129.421"", "" 126.567"", ""  62.097""], ["" 128.458"", "" 125.847"", ""  61.846""], ["" 129.823"", "" 127.457"", ""  61.356""], ["" 127.858"", "" 129.012"", ""  62.899""], ["" 128.716"", "" 129.885"", ""  62.821""], ["" 127.239"", "" 128.571"", ""  61.935""], ["" 124.795"", "" 129.270"", ""  66.796""], ["" 124.120"", "" 130.074"", ""  66.160""], ["" 124.490"", "" 128.890"", ""  67.922""]]",[],ZINC100045963
4,12504,ZINC100046143,receptor_tmp,1,15,-3.98,-0.13724137931034483,0.0,0.0,12,186.86,-7.86,-7.8,-0.06,-7.86,0.0,-0.56,3.88,-0.56,68,2,0.0,0.0,0.0,14.775661,16.054067,3.139196,0.79397449,-0.32183037,0.5157807,260.306702,"217.424438, 304.223572, 342.5755, 348.046204, 88.005898, 128.067917, 312.99234, 111.979805, 84.421494, 2.448895, 348.591675, 97.454224, 337.474792, ","[["" 128.668"", "" 128.819"", ""  53.797""], ["" 127.788"", "" 130.045"", ""  53.479""], ["" 128.487"", "" 131.056"", ""  52.552""], ["" 129.864"", "" 131.499"", ""  53.074""], ["" 129.784"", "" 132.761"", ""  53.954""], ["" 131.012"", "" 133.018"", ""  54.629""], ["" 131.213"", "" 132.641"", ""  55.922""], ["" 130.490"", "" 132.974"", ""  56.863""], ["" 132.382"", "" 131.787"", ""  56.128""], ["" 132.448"", "" 130.781"", ""  57.022""], ["" 128.696"", "" 128.429"", ""  55.297""], ["" 129.563"", "" 129.219"", ""  55.934""], ["" 127.499"", "" 128.675"", ""  55.833""], ["" 129.081"", "" 126.931"", ""  55.501""], ["" 130.053"", "" 126.617"", ""  54.639""], ["" 129.619"", "" 126.788"", ""  56.716""], ["" 127.884"", "" 125.939"", ""  55.333""], ["" 127.034"", "" 126.098"", ""  56.350""], ["" 127.196"", "" 126.260"", ""  54.234""], ["" 128.317"", "" 124.437"", ""  55.250""], ["" 129.204"", "" 124.284"", ""  54.263""], ["" 128.962"", "" 124.099"", ""  56.369""], ["" 127.127"", "" 123.449"", ""  55.028""], ["" 126.119"", "" 124.076"", ""  54.417""], ["" 127.498"", "" 122.461"", ""  54.210""], ["" 126.588"", "" 122.820"", ""  56.339""], ["" 127.482"", "" 121.995"", ""  56.885""], ["" 126.295"", "" 123.745"", ""  57.256""], ["" 125.474"", "" 122.115"", ""  56.134""]]",[],ZINC100046143
5,13664,ZINC100050078,receptor_tmp,1,4,-8.64,-0.24000000000000002,0.0,0.0,4,187.18,-11.33,-11.22,-0.1,-11.33,0.0,-2.49,2.68,-2.49,57,5,0.0,0.0,0.0,15.11255,13.102527,10.209497,0.65734692,-0.48807142,0.57417882,78.190422,"41.828602, 254.309982, 323.81601, 291.939026, 355.458466, 327.515228, 140.651718, 108.392014, 6.180443, ","[["" 127.396"", "" 122.979"", ""  58.333""], ["" 126.376"", "" 122.626"", ""  57.246""], ["" 126.748"", "" 122.174"", ""  56.161""], ["" 125.093"", "" 122.863"", ""  57.606""], ["" 124.590"", "" 124.191"", ""  57.662""], ["" 123.758"", "" 124.366"", ""  58.936""], ["" 126.783"", "" 123.702"", ""  59.398""], ["" 127.579"", "" 124.242"", ""  60.392""], ["" 127.806"", "" 125.620"", ""  60.544""], ["" 128.184"", "" 123.346"", ""  61.284""], ["" 128.612"", "" 126.097"", ""  61.572""], ["" 129.002"", "" 123.844"", ""  62.313""], ["" 129.213"", "" 125.218"", ""  62.479""], ["" 127.933"", "" 121.998"", ""  61.089""], ["" 128.992"", "" 121.138"", ""  60.685""], ["" 130.105"", "" 125.731"", ""  63.639""], ["" 131.488"", "" 124.947"", ""  63.700""], ["" 131.368"", "" 123.470"", ""  64.186""], ["" 132.376"", "" 125.203"", ""  62.445""], ["" 130.440"", "" 123.061"", ""  64.881""], ["" 132.497"", "" 122.513"", ""  63.774""], ["" 133.441"", "" 124.145"", ""  62.116""], ["" 132.268"", "" 126.208"", ""  61.743""], ["" 132.969"", "" 122.681"", ""  62.307""], ["" 134.200"", "" 121.770"", ""  62.111""], ["" 131.827"", "" 122.334"", ""  61.312""], ["" 129.335"", "" 125.875"", ""  65.018""], ["" 130.212"", "" 125.687"", ""  66.278""], ["" 128.520"", "" 127.183"", ""  65.178""], ["" 131.439"", "" 125.595"", ""  66.277""], ["" 129.390"", "" 125.656"", ""  67.578""], ["" 127.658"", "" 127.202"", ""  66.451""], ["" 128.546"", "" 128.126"", ""  64.388""], ["" 128.477"", "" 126.914"", ""  67.752""], ["" 127.465"", "" 126.596"", ""  68.872""], ["" 129.357"", "" 128.146"", ""  68.087""]]",[],ZINC100050078
6,9558,ZINC100050142,receptor_tmp,1,14,-8.05,-0.2175675675675676,0.0,0.0,2,188.24,-11.63,-11.27,-0.37,-11.63,0.0,-4.01,3.58,-4.01,55,12,0.0,0.0,0.0,14.719581,15.723603,4.53183,0.66437283,0.16137095,-0.72977268,236.141159,"354.811432, 239.027328, 137.650497, 324.579376, 118.031563, 159.066803, 120.111549, 333.737457, 69.441986, 181.379333, 232.068787, 116.213089, ","[["" 129.215"", "" 130.251"", ""  55.793""], ["" 129.031"", "" 129.185"", ""  56.689""], ["" 128.867"", "" 127.849"", ""  56.269""], ["" 128.881"", "" 127.603"", ""  54.880""], ["" 129.082"", "" 128.660"", ""  53.980""], ["" 129.234"", "" 129.978"", ""  54.414""], ["" 129.418"", "" 131.556"", ""  56.212""], ["" 129.248"", "" 131.904"", ""  57.582""], ["" 129.416"", "" 130.970"", ""  53.419""], ["" 130.756"", "" 131.494"", ""  53.128""], ["" 131.256"", "" 132.627"", ""  54.048""], ["" 130.216"", "" 133.363"", ""  54.653""], ["" 129.625"", "" 132.749"", ""  55.095""], ["" 128.506"", "" 130.836"", ""  52.280""], ["" 127.134"", "" 131.496"", ""  52.504""], ["" 126.383"", "" 130.879"", ""  53.607""], ["" 125.790"", "" 130.393"", ""  54.475""], ["" 128.691"", "" 126.763"", ""  57.161""], ["" 129.452"", "" 125.761"", ""  57.002""], ["" 129.172"", "" 124.769"", ""  57.947""], ["" 129.840"", "" 124.812"", ""  59.189""], ["" 128.222"", "" 123.737"", ""  57.719""], ["" 129.600"", "" 123.852"", ""  60.167""], ["" 128.009"", "" 122.782"", ""  58.729""], ["" 128.685"", "" 122.821"", ""  59.953""], ["" 130.990"", "" 126.056"", ""  59.553""], ["" 127.432"", "" 123.616"", ""  56.454""], ["" 127.165"", "" 124.613"", ""  55.791""], ["" 127.055"", "" 122.501"", ""  56.105""], ["" 128.433"", "" 121.798"", ""  60.998""], ["" 128.807"", "" 120.646"", ""  60.797""], ["" 127.861"", "" 122.140"", ""  62.029""], ["" 128.736"", "" 126.270"", ""  54.429""], ["" 129.699"", "" 125.362"", ""  54.159""], ["" 130.910"", "" 125.566"", ""  54.235""], ["" 127.793"", "" 126.013"", ""  54.178""], ["" 129.207"", "" 123.996"", ""  53.689""]]",[],ZINC100050142
7,6732,ZINC100052783,receptor_tmp,1,17,-9.83,-0.20914893617021277,0.0,0.0,7,184.79,-13.41,-13.1,-0.31,-13.41,0.0,-2.47,3.58,-2.47,76,2,0.0,0.0,0.0,15.240854,16.813445,9.646043,0.72860062,-0.61242539,-0.30671858,126.395218,"157.711227, 40.287312, 32.468731, 43.771015, 141.664917, 54.106518, 122.355278, 208.055252, 222.513702, 98.953079, 267.152283, 26.057772, ","[["" 130.124"", "" 129.791"", ""  61.275""], ["" 131.260"", "" 129.073"", ""  60.905""], ["" 131.271"", "" 127.736"", ""  61.303""], ["" 130.144"", "" 127.321"", ""  62.013""], ["" 129.082"", "" 128.704"", ""  62.169""], ["" 129.749"", "" 131.265"", ""  61.014""], ["" 130.078"", "" 131.635"", ""  59.541""], ["" 130.678"", "" 132.317"", ""  56.852""], ["" 129.421"", "" 132.598"", ""  57.410""], ["" 131.623"", "" 131.673"", ""  57.668""], ["" 129.126"", "" 132.262"", ""  58.728""], ["" 131.328"", "" 131.337"", ""  58.986""], ["" 130.981"", "" 132.660"", ""  55.504""], ["" 129.935"", "" 132.604"", ""  54.483""], ["" 132.363"", "" 132.595"", ""  55.024""], ["" 130.555"", "" 132.027"", ""  61.909""], ["" 130.806"", "" 131.461"", ""  62.642""], ["" 128.262"", "" 131.576"", ""  61.329""], ["" 127.878"", "" 132.598"", ""  62.208""], ["" 127.258"", "" 130.797"", ""  60.743""], ["" 126.535"", "" 132.839"", ""  62.478""], ["" 125.914"", "" 131.037"", ""  61.014""], ["" 125.522"", "" 132.067"", ""  61.885""], ["" 124.148"", "" 132.310"", ""  62.169""], ["" 123.200"", "" 131.195"", ""  62.213""], ["" 123.581"", "" 133.642"", ""  61.959""], ["" 129.803"", "" 125.936"", ""  62.609""], ["" 130.969"", "" 125.136"", ""  62.451""], ["" 131.204"", "" 125.126"", ""  61.520""], ["" 129.495"", "" 125.996"", ""  64.130""], ["" 128.631"", "" 126.989"", ""  64.609""], ["" 130.024"", "" 125.082"", ""  65.051""], ["" 128.321"", "" 127.079"", ""  65.962""], ["" 129.711"", "" 125.170"", ""  66.404""], ["" 128.857"", "" 126.172"", ""  66.892""], ["" 128.535"", "" 126.259"", ""  68.276""], ["" 127.181"", "" 126.624"", ""  68.693""], ["" 129.363"", "" 125.570"", ""  69.267""], ["" 128.648"", "" 125.319"", ""  61.774""], ["" 128.364"", "" 123.947"", ""  61.798""], ["" 127.838"", "" 126.148"", ""  60.988""], ["" 127.314"", "" 123.424"", ""  61.049""], ["" 126.786"", "" 125.624"", ""  60.242""], ["" 126.501"", "" 124.249"", ""  60.255""], ["" 125.428"", "" 123.712"", ""  59.488""], ["" 124.042"", "" 123.967"", ""  59.885""], ["" 125.648"", "" 123.329"", ""  58.093""]]",[],ZINC100052783
8,13245,ZINC100053898,receptor_tmp,1,7,-9.81,-0.22813953488372093,0.0,0.0,1,188.91,-13.69,-12.76,-0.93,-13.69,0.0,-2.88,3.88,-2.88,65,18,0.0,0.0,0.0,16.604733,16.847687,9.222912,-0.84081228,0.3905579,0.37483227,145.395798,"268.074982, 334.328247, 178.690094, 75.275452, 13.794618, 297.567017, 328.608032, 68.795326, 274.860046, 224.279251, 259.572144, 349.678436, 40.45623, ","[["" 128.794"", "" 129.840"", ""  61.351""], ["" 129.970"", "" 130.441"", ""  61.082""], ["" 130.444"", "" 131.388"", ""  61.716""], ["" 128.453"", "" 129.062"", ""  60.806""], ["" 128.015"", "" 130.217"", ""  62.382""], ["" 127.140"", "" 129.345"", ""  62.689""], ["" 126.172"", "" 129.516"", ""  63.781""], ["" 125.503"", "" 129.012"", ""  66.085""], ["" 126.396"", "" 128.873"", ""  65.006""], ["" 124.365"", "" 129.810"", ""  65.915""], ["" 124.127"", "" 130.453"", ""  64.702""], ["" 125.023"", "" 130.309"", ""  63.646""], ["" 125.680"", "" 128.406"", ""  67.318""], ["" 126.463"", "" 127.221"", ""  67.417""], ["" 127.934"", "" 127.619"", ""  67.579""], ["" 123.465"", "" 129.971"", ""  66.938""], ["" 123.702"", "" 129.477"", ""  67.727""], ["" 130.747"", "" 129.883"", ""  59.870""], ["" 131.824"", "" 130.881"", ""  59.372""], ["" 131.549"", "" 131.509"", ""  58.013""], ["" 132.566"", "" 131.562"", ""  57.036""], ["" 130.273"", "" 132.032"", ""  57.721""], ["" 132.307"", "" 132.135"", ""  55.775""], ["" 130.014"", "" 132.607"", ""  56.461""], ["" 131.031"", "" 132.658"", ""  55.488""], ["" 130.782"", "" 133.215"", ""  54.267""], ["" 130.102"", "" 132.754"", ""  53.772""], ["" 131.371"", "" 128.592"", ""  60.183""], ["" 130.735"", "" 127.482"", ""  60.606""], ["" 129.512"", "" 127.429"", ""  60.763""], ["" 132.373"", "" 128.562"", ""  60.065""], ["" 131.600"", "" 126.263"", ""  60.852""], ["" 132.040"", "" 125.970"", ""  62.150""], ["" 131.987"", "" 125.410"", ""  59.807""], ["" 132.840"", "" 124.852"", ""  62.418""], ["" 132.786"", "" 124.283"", ""  60.040""], ["" 133.203"", "" 124.018"", ""  61.351""], ["" 133.293"", "" 124.556"", ""  63.800""], ["" 132.629"", "" 123.782"", ""  64.484""], ["" 134.316"", "" 125.094"", ""  64.212""], ["" 133.184"", "" 123.390"", ""  58.923""], ["" 133.146"", "" 122.175"", ""  59.097""], ["" 133.537"", "" 123.897"", ""  57.861""]]",[],ZINC100053898
9,2381,ZINC100058471,receptor_tmp,1,2,-8.5,-0.3695652173913043,0.0,0.0,12,186.83,-9.1,-9.08,-0.02,-9.1,0.0,-0.37,0.6,-0.37,36,2,0.0,0.0,0.0,14.981395,14.410624,4.14581,0.41078783,0.54959975,0.72745685,90.044449,"193.021698, 272.503632, ","[["" 128.902"", "" 129.152"", ""  54.246""], ["" 128.245"", "" 129.670"", ""  53.121""], ["" 128.545"", "" 130.946"", ""  52.640""], ["" 129.509"", "" 131.723"", ""  53.279""], ["" 130.173"", "" 131.224"", ""  54.398""], ["" 131.620"", "" 132.387"", ""  55.360""], ["" 129.871"", "" 129.949"", ""  54.878""], ["" 128.559"", "" 127.807"", ""  54.723""], ["" 129.175"", "" 126.743"", ""  54.361""], ["" 128.719"", "" 125.574"", ""  54.909""], ["" 129.532"", "" 125.919"", ""  57.074""], ["" 128.905"", "" 125.278"", ""  56.227""], ["" 128.232"", "" 123.934"", ""  56.482""], ["" 127.515"", "" 123.605"", ""  55.174""], ["" 127.088"", "" 123.940"", ""  57.547""], ["" 127.822"", "" 124.780"", ""  54.255""], ["" 126.018"", "" 123.446"", ""  55.596""], ["" 126.577"", "" 122.500"", ""  57.653""], ["" 125.922"", "" 124.435"", ""  56.729""], ["" 127.360"", "" 124.922"", ""  53.121""], ["" 125.939"", "" 122.207"", ""  56.492""], ["" 124.620"", "" 124.950"", ""  57.314""], ["" 125.538"", "" 125.893"", ""  56.571""]]",[],ZINC100058471
