,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,1525,ZINC100024116,receptor_tmp,10,10,-5.34,-0.445,0.0,0.0,19,185.12,-5.34,-5.23,-0.11,-5.34,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,12.347466,12.326835,6.199977,-0.22396415,-0.84698324,0.48214049,142.370132,,"[["" 127.824"", "" 123.100"", ""  60.023""], ["" 127.168"", "" 124.703"", ""  59.559""], ["" 127.870"", "" 125.216"", ""  58.268""], ["" 127.571"", "" 126.974"", ""  58.119""], ["" 127.392"", "" 124.519"", ""  56.962""], ["" 128.099"", "" 122.875"", ""  56.844""], ["" 125.843"", "" 124.467"", ""  56.863""], ["" 125.344"", "" 123.577"", ""  55.390""], ["" 125.172"", "" 123.877"", ""  58.130""], ["" 123.394"", "" 124.004"", ""  57.968""], ["" 125.624"", "" 124.645"", ""  59.399""], ["" 124.870"", "" 123.965"", ""  60.874""]]",[],ZINC100024116
1,9354,ZINC100034590,receptor_tmp,1,14,-3.43,-0.12250000000000001,0.0,0.0,6,183.07,-6.11,-6.17,0.05,-6.11,0.0,-0.6,2.68,-0.6,75,3,0.0,0.0,0.0,14.329692,11.748475,3.858764,-0.00115822,0.70293243,0.71125569,118.00174,"235.609589, 86.868912, 253.427704, 358.648376, 152.192825, 234.93428, 74.140884, 300.809235, 239.962814, ","[["" 128.391"", "" 124.234"", ""  55.955""], ["" 127.804"", "" 125.245"", ""  56.609""], ["" 128.969"", "" 123.274"", ""  56.856""], ["" 129.231"", "" 123.630"", ""  58.216""], ["" 129.670"", "" 124.890"", ""  58.257""], ["" 130.176"", "" 122.845"", ""  58.741""], ["" 127.909"", "" 123.495"", ""  58.994""], ["" 127.121"", "" 122.528"", ""  58.519""], ["" 127.210"", "" 124.631"", ""  59.017""], ["" 128.267"", "" 123.053"", ""  60.807""], ["" 129.100"", "" 121.847"", ""  60.900""], ["" 127.079"", "" 123.253"", ""  61.643""], ["" 129.257"", "" 124.299"", ""  61.138""], ["" 129.534"", "" 124.784"", ""  55.057""], ["" 129.711"", "" 124.043"", ""  53.964""], ["" 129.283"", "" 126.026"", ""  54.640""], ["" 130.701"", "" 124.826"", ""  55.702""], ["" 127.302"", "" 123.462"", ""  55.160""], ["" 126.637"", "" 124.270"", ""  54.329""], ["" 127.866"", "" 122.503"", ""  54.421""], ["" 126.397"", "" 122.874"", ""  56.101""], ["" 125.010"", "" 123.230"", ""  56.049""], ["" 124.733"", "" 123.849"", ""  54.899""], ["" 124.248"", "" 122.137"", ""  56.125""], ["" 124.730"", "" 124.165"", ""  57.242""], ["" 125.558"", "" 125.210"", ""  57.238""], ["" 123.486"", "" 124.646"", ""  57.207""], ["" 124.892"", "" 123.536"", ""  58.406""]]",[],ZINC100034590
2,4709,ZINC100043079,receptor_tmp,1,15,-2.99,-0.11074074074074075,0.0,0.0,11,187.98,-3.88,-3.9,0.02,-3.88,0.0,0.04,0.89,0.04,77,0,0.0,0.0,0.0,15.591157,18.996378,3.998766,-0.31877798,0.46528525,-0.82576645,164.51918,"24.528408, 51.573296, 29.194895, ","[["" 132.133"", "" 131.694"", ""  56.182""], ["" 131.828"", "" 132.992"", ""  56.093""], ["" 132.380"", "" 131.277"", ""  54.936""], ["" 133.440"", "" 131.558"", ""  57.008""], ["" 133.202"", "" 131.493"", ""  58.319""], ["" 134.248"", "" 132.601"", ""  56.807""], ["" 134.127"", "" 130.462"", ""  56.685""], ["" 130.916"", "" 130.905"", ""  56.772""], ["" 131.405"", "" 129.874"", ""  57.467""], ["" 130.335"", "" 131.688"", ""  57.685""], ["" 129.861"", "" 130.413"", ""  55.685""], ["" 129.109"", "" 131.589"", ""  54.962""], ["" 128.805"", "" 129.393"", ""  56.248""], ["" 128.086"", "" 131.103"", ""  53.891""], ["" 127.783"", "" 128.906"", ""  55.178""], ["" 127.065"", "" 130.098"", ""  54.489""], ["" 130.502"", "" 129.755"", ""  54.712""], ["" 128.449"", "" 132.308"", ""  55.875""], ["" 129.988"", "" 132.413"", ""  54.387""], ["" 129.426"", "" 128.335"", ""  56.777""], ["" 128.127"", "" 129.977"", ""  57.242""], ["" 127.442"", "" 132.148"", ""  53.365""], ["" 128.746"", "" 130.507"", ""  52.893""], ["" 126.883"", "" 128.096"", ""  55.740""], ["" 128.427"", "" 128.192"", ""  54.250""], ["" 126.313"", "" 130.731"", ""  55.393""], ["" 126.243"", "" 129.652"", ""  53.536""]]",[],ZINC100043079
3,1326,ZINC100045963,receptor_tmp,1,11,-9.09,-0.23921052631578946,0.0,0.0,5,185.62,-12.07,-11.47,-0.6,-12.07,0.0,-2.78,2.98,-2.78,51,6,0.0,0.0,0.0,12.548866,17.77687,9.699586,0.31540171,-0.6044183,0.73157384,162.248627,"341.078857, 63.455032, 247.10585, 302.476196, 333.971039, 317.781799, 162.922226, 316.335144, 308.603973, 70.093079, ","[["" 128.931"", "" 131.803"", ""  55.763""], ["" 130.204"", "" 132.189"", ""  54.993""], ["" 131.440"", "" 131.384"", ""  55.430""], ["" 132.524"", "" 132.259"", ""  56.082""], ["" 133.514"", "" 131.451"", ""  56.934""], ["" 129.101"", "" 132.162"", ""  57.132""], ["" 129.327"", "" 131.174"", ""  58.070""], ["" 130.464"", "" 131.318"", ""  58.863""], ["" 128.492"", "" 130.062"", ""  58.264""], ["" 130.780"", "" 130.364"", ""  59.827""], ["" 128.807"", "" 129.108"", ""  59.229""], ["" 129.961"", "" 129.245"", ""  60.000""], ["" 130.276"", "" 128.230"", ""  61.016""], ["" 130.834"", "" 127.010"", ""  60.837""], ["" 131.208"", "" 126.075"", ""  61.910""], ["" 131.193"", "" 126.289"", ""  59.596""], ["" 131.088"", "" 126.238"", ""  63.293""], ["" 131.717"", "" 124.891"", ""  61.377""], ["" 131.844"", "" 125.092"", ""  59.908""], ["" 130.991"", "" 126.645"", ""  58.260""], ["" 131.429"", "" 125.203"", ""  64.169""], ["" 131.949"", "" 123.798"", ""  62.238""], ["" 132.474"", "" 124.362"", ""  58.878""], ["" 131.501"", "" 125.865"", ""  57.217""], ["" 131.843"", "" 123.983"", ""  63.622""], ["" 132.260"", "" 124.738"", ""  57.547""], ["" 131.314"", "" 125.379"", ""  65.638""], ["" 130.580"", "" 124.620"", ""  66.265""], ["" 131.957"", "" 126.277"", ""  66.175""], ["" 132.194"", "" 122.429"", ""  61.747""], ["" 133.310"", "" 121.945"", ""  61.912""], ["" 131.250"", "" 121.824"", ""  61.250""], ["" 133.438"", "" 123.278"", ""  59.140""], ["" 134.613"", "" 123.587"", ""  59.309""], ["" 133.029"", "" 122.120"", ""  59.123""], ["" 131.278"", "" 126.247"", ""  55.801""], ["" 130.406"", "" 127.074"", ""  55.546""], ["" 131.973"", "" 125.727"", ""  54.933""]]",[],ZINC100045963
4,3142,ZINC100046143,receptor_tmp,1,18,-4.04,-0.1393103448275862,0.0,0.0,11,187.71,-7.92,-7.79,-0.13,-7.92,0.0,-0.66,3.88,-0.66,73,2,0.0,0.0,0.0,14.002258,17.117363,4.020592,0.87146486,0.48837271,0.04517859,190.634079,"196.34137, 240.399979, 194.122345, 84.537613, 138.846237, 39.161007, 357.198853, 132.599869, 259.64035, 293.112152, 108.732986, 112.154816, 71.247734, ","[["" 128.599"", "" 127.767"", ""  55.554""], ["" 127.851"", "" 126.440"", ""  55.310""], ["" 128.801"", "" 125.268"", ""  55.006""], ["" 128.245"", "" 124.302"", ""  53.946""], ["" 126.737"", "" 124.039"", ""  54.122""], ["" 126.488"", "" 122.866"", ""  54.892""], ["" 125.911"", "" 122.926"", ""  56.125""], ["" 126.443"", "" 122.525"", ""  57.161""], ["" 124.573"", "" 123.516"", ""  56.137""], ["" 123.930"", "" 123.933"", ""  57.246""], ["" 127.671"", "" 128.981"", ""  55.813""], ["" 126.431"", "" 128.539"", ""  56.038""], ["" 128.060"", "" 129.595"", ""  56.932""], ["" 127.677"", "" 129.984"", ""  54.618""], ["" 127.360"", "" 129.321"", ""  53.501""], ["" 126.697"", "" 130.873"", ""  54.799""], ["" 129.037"", "" 130.730"", ""  54.422""], ["" 130.029"", "" 129.836"", ""  54.392""], ["" 129.048"", "" 131.320"", ""  53.224""], ["" 129.335"", "" 131.797"", ""  55.526""], ["" 129.565"", "" 132.980"", ""  54.951""], ["" 128.247"", "" 131.969"", ""  56.282""], ["" 130.543"", "" 131.431"", ""  56.447""], ["" 130.463"", "" 132.104"", ""  57.598""], ["" 130.497"", "" 130.137"", ""  56.772""], ["" 131.925"", "" 131.724"", ""  55.807""], ["" 131.987"", "" 131.263"", ""  54.556""], ["" 132.187"", "" 133.032"", ""  55.757""], ["" 132.922"", "" 131.157"", ""  56.487""]]",[],ZINC100046143
5,1600,ZINC100050078,receptor_tmp,1,3,-9.7,-0.26944444444444443,0.0,0.0,11,188.37,-12.39,-12.14,-0.25,-12.39,0.0,-2.6,2.68,-2.6,57,5,0.0,0.0,0.0,14.380852,17.910933,5.517909,-0.39217134,-0.71767907,0.57544626,85.46225,"256.662903, 234.014175, 179.143539, 37.758888, 347.38327, 353.502319, 332.104584, 19.137112, 352.394073, ","[["" 127.390"", "" 125.487"", ""  56.128""], ["" 127.000"", "" 124.358"", ""  55.169""], ["" 127.006"", "" 124.540"", ""  53.950""], ["" 126.662"", "" 123.206"", ""  55.795""], ["" 125.659"", "" 123.195"", ""  56.802""], ["" 124.277"", "" 123.229"", ""  56.142""], ["" 127.178"", "" 126.765"", ""  55.531""], ["" 127.353"", "" 127.904"", ""  56.297""], ["" 128.099"", "" 127.934"", ""  57.486""], ["" 126.740"", "" 129.080"", ""  55.842""], ["" 128.242"", "" 129.116"", ""  58.204""], ["" 126.888"", "" 130.265"", ""  56.584""], ["" 127.649"", "" 130.302"", ""  57.758""], ["" 126.013"", "" 128.996"", ""  54.667""], ["" 126.068"", "" 130.066"", ""  53.731""], ["" 127.807"", "" 131.633"", ""  58.538""], ["" 129.334"", "" 132.068"", ""  58.643""], ["" 130.145"", "" 131.312"", ""  59.739""], ["" 130.010"", "" 132.216"", ""  57.246""], ["" 129.624"", "" 130.787"", ""  60.721""], ["" 131.669"", "" 131.260"", ""  59.558""], ["" 131.541"", "" 132.099"", ""  57.196""], ["" 129.374"", "" 132.437"", ""  56.216""], ["" 132.129"", "" 130.987"", ""  58.102""], ["" 133.665"", "" 131.129"", ""  58.070""], ["" 131.665"", "" 129.583"", ""  57.627""], ["" 126.986"", "" 131.676"", ""  59.896""], ["" 127.181"", "" 132.959"", ""  60.736""], ["" 125.467"", "" 131.411"", ""  59.748""], ["" 127.779"", "" 133.967"", ""  60.358""], ["" 126.511"", "" 132.876"", ""  62.118""], ["" 124.745"", "" 131.293"", ""  61.101""], ["" 124.874"", "" 131.307"", ""  58.676""], ["" 124.989"", "" 132.521"", ""  62.037""], ["" 124.537"", "" 132.116"", ""  63.455""], ["" 124.204"", "" 133.744"", ""  61.495""]]",[],ZINC100050078
6,6438,ZINC100050142,receptor_tmp,2,2,-7.15,-0.19324324324324324,0.0,0.0,6,187.64,-10.73,-10.13,-0.6,-10.73,0.0,-4.66,3.58,-4.66,51,12,0.0,0.0,0.0,13.88786,15.175548,5.472434,0.38617464,-0.85360662,0.34960676,280.029083,"35.381992, 191.361404, 236.167389, 31.154238, 82.163132, 114.131821, 326.711823, 348.855652, 296.165161, 207.224335, 257.229553, 3.382885, ","[["" 128.829"", "" 124.927"", ""  56.361""], ["" 128.424"", "" 125.773"", ""  57.406""], ["" 127.826"", "" 127.031"", ""  57.186""], ["" 127.651"", "" 127.438"", ""  55.846""], ["" 128.037"", "" 126.591"", ""  54.797""], ["" 128.635"", "" 125.351"", ""  55.034""], ["" 129.376"", "" 123.673"", ""  56.581""], ["" 128.986"", "" 122.910"", ""  57.717""], ["" 129.000"", "" 124.582"", ""  53.902""], ["" 130.409"", "" 124.459"", ""  53.510""], ["" 131.375"", "" 125.500"", ""  54.112""], ["" 131.658"", "" 125.284"", ""  55.477""], ["" 131.246"", "" 124.460"", ""  55.748""], ["" 128.159"", "" 123.402"", ""  53.695""], ["" 126.667"", "" 123.647"", ""  53.976""], ["" 126.258"", "" 123.183"", ""  55.310""], ["" 125.936"", "" 122.817"", ""  56.360""], ["" 127.404"", "" 127.891"", ""  58.229""], ["" 126.157"", "" 127.945"", ""  58.458""], ["" 125.883"", "" 128.825"", ""  59.510""], ["" 126.400"", "" 128.533"", ""  60.789""], ["" 125.128"", "" 130.017"", ""  59.337""], ["" 126.160"", "" 129.373"", ""  61.871""], ["" 124.901"", "" 130.840"", ""  60.454""], ["" 125.405"", "" 130.536"", ""  61.723""], ["" 127.356"", "" 127.114"", ""  61.073""], ["" 124.561"", "" 130.442"", ""  58.018""], ["" 124.929"", "" 129.902"", ""  56.981""], ["" 123.729"", "" 131.346"", ""  58.005""], ["" 125.149"", "" 131.430"", ""  62.880""], ["" 125.612"", "" 132.567"", ""  62.860""], ["" 124.482"", "" 131.001"", ""  63.817""], ["" 127.039"", "" 128.688"", ""  55.594""], ["" 127.160"", "" 129.482"", ""  54.509""], ["" 127.878"", "" 129.252"", ""  53.536""], ["" 126.535"", "" 129.073"", ""  56.379""], ["" 126.355"", "" 130.778"", ""  54.545""]]",[],ZINC100050142
7,9456,ZINC100052783,receptor_tmp,1,11,-9.38,-0.1995744680851064,0.0,0.0,16,183.84,-12.96,-12.56,-0.4,-12.96,0.0,-2.74,3.58,-2.74,67,4,0.0,0.0,0.0,14.944426,15.408628,8.000841,-0.64441268,-0.75731653,-0.10584882,178.336319,"119.61985, 89.062843, 351.439819, 229.160828, 129.289429, 108.545776, 131.581192, 339.272919, 74.190361, 96.643272, 230.635025, 120.954391, ","[["" 128.255"", "" 126.402"", ""  60.622""], ["" 127.191"", "" 127.069"", ""  61.228""], ["" 127.322"", "" 128.455"", ""  61.294""], ["" 128.500"", "" 128.966"", ""  60.747""], ["" 129.439"", "" 127.608"", ""  60.163""], ["" 128.468"", "" 124.896"", ""  60.360""], ["" 128.078"", "" 124.561"", ""  58.894""], ["" 127.359"", "" 123.945"", ""  56.218""], ["" 127.852"", "" 122.956"", ""  57.085""], ["" 127.249"", "" 125.252"", ""  56.718""], ["" 128.206"", "" 123.258"", ""  58.396""], ["" 127.602"", "" 125.555"", ""  58.030""], ["" 126.997"", "" 123.637"", ""  54.876""], ["" 128.036"", "" 123.351"", ""  53.886""], ["" 125.698"", "" 124.062"", ""  54.352""], ["" 127.601"", "" 124.226"", ""  61.270""], ["" 127.896"", "" 124.417"", ""  62.164""], ["" 129.919"", "" 124.430"", ""  60.653""], ["" 130.229"", "" 123.558"", ""  61.705""], ["" 130.968"", "" 124.912"", ""  59.862""], ["" 131.544"", "" 123.171"", ""  61.946""], ["" 132.284"", "" 124.527"", ""  60.105""], ["" 132.601"", "" 123.645"", ""  61.150""], ["" 133.946"", "" 123.255"", ""  61.403""], ["" 134.250"", "" 121.877"", ""  61.793""], ["" 134.952"", "" 124.265"", ""  61.736""], ["" 128.990"", "" 130.428"", ""  60.639""], ["" 129.960"", "" 130.599"", ""  61.665""], ["" 129.603"", "" 130.237"", ""  62.480""], ["" 129.698"", "" 130.725"", ""  59.289""], ["" 131.097"", "" 130.775"", ""  59.252""], ["" 129.000"", "" 130.924"", ""  58.090""], ["" 131.776"", "" 131.032"", ""  58.066""], ["" 129.680"", "" 131.179"", ""  56.902""], ["" 131.081"", "" 131.243"", ""  56.863""], ["" 131.774"", "" 131.501"", ""  55.646""], ["" 131.053"", "" 131.478"", ""  54.373""], ["" 133.050"", "" 132.217"", ""  55.665""], ["" 127.784"", "" 131.366"", ""  60.918""], ["" 127.824"", "" 132.352"", ""  61.913""], ["" 126.622"", "" 131.256"", ""  60.144""], ["" 126.734"", "" 133.188"", ""  62.133""], ["" 125.533"", "" 132.094"", ""  60.362""], ["" 125.564"", "" 133.079"", ""  61.362""], ["" 124.447"", "" 133.933"", ""  61.590""], ["" 124.144"", "" 135.011"", ""  60.647""], ["" 123.349"", "" 133.487"", ""  62.446""]]",[],ZINC100052783
8,1849,ZINC100053898,receptor_tmp,1,11,-10.28,-0.23906976744186045,0.0,0.0,6,185.48,-14.16,-13.77,-0.39,-14.16,0.0,-1.96,3.88,-1.96,49,11,0.0,0.0,0.0,13.267303,12.93842,5.551671,-0.06197905,-0.35230494,-0.93383073,95.475372,"88.312096, 91.803459, 45.569061, 202.039764, 104.237434, 89.026093, 333.534729, 229.337555, 167.466599, 314.94342, 254.014816, 72.815804, 119.85611, ","[["" 127.873"", "" 126.729"", ""  58.393""], ["" 126.604"", "" 126.277"", ""  58.406""], ["" 125.625"", "" 126.898"", ""  57.981""], ["" 128.642"", "" 126.177"", ""  58.746""], ["" 128.203"", "" 127.929"", ""  57.880""], ["" 128.147"", "" 127.959"", ""  56.609""], ["" 128.456"", "" 129.154"", ""  55.812""], ["" 129.645"", "" 131.289"", ""  55.612""], ["" 129.312"", "" 130.131"", ""  56.339""], ["" 129.094"", "" 131.461"", ""  54.336""], ["" 128.239"", "" 130.500"", ""  53.800""], ["" 127.924"", "" 129.358"", ""  54.531""], ["" 130.491"", "" 132.280"", ""  56.081""], ["" 131.879"", "" 132.228"", ""  55.772""], ["" 132.609"", "" 131.513"", ""  56.914""], ["" 129.387"", "" 132.576"", ""  53.593""], ["" 128.612"", "" 132.971"", ""  53.187""], ["" 126.395"", "" 124.876"", ""  59.021""], ["" 125.821"", "" 123.875"", ""  57.986""], ["" 126.550"", "" 123.833"", ""  56.651""], ["" 125.831"", "" 123.971"", ""  55.445""], ["" 127.949"", "" 123.664"", ""  56.614""], ["" 126.508"", "" 123.942"", ""  54.210""], ["" 128.627"", "" 123.632"", ""  55.379""], ["" 127.905"", "" 123.771"", ""  54.176""], ["" 128.560"", "" 123.741"", ""  52.979""], ["" 128.643"", "" 122.857"", ""  52.615""], ["" 127.644"", "" 124.350"", ""  59.585""], ["" 127.769"", "" 123.649"", ""  60.730""], ["" 126.806"", "" 123.353"", ""  61.441""], ["" 128.473"", "" 124.547"", ""  59.044""], ["" 129.170"", "" 123.202"", ""  61.095""], ["" 129.974"", "" 124.018"", ""  61.901""], ["" 129.696"", "" 121.983"", ""  60.641""], ["" 131.274"", "" 123.638"", ""  62.262""], ["" 130.992"", "" 121.573"", ""  60.983""], ["" 131.766"", "" 122.412"", ""  61.795""], ["" 132.110"", "" 124.514"", ""  63.119""], ["" 131.749"", "" 125.673"", ""  63.306""], ["" 133.133"", "" 124.051"", ""  63.614""], ["" 131.532"", "" 120.279"", ""  60.494""], ["" 130.830"", "" 119.275"", ""  60.587""], ["" 132.662"", "" 120.257"", ""  60.014""]]",[],ZINC100053898
9,14255,ZINC100058471,receptor_tmp,1,7,-8.71,-0.3786956521739131,0.0,0.0,13,191.59,-9.31,-9.32,0.01,-9.31,0.0,-0.36,0.6,-0.36,37,0,0.0,0.0,0.0,12.835575,19.744094,7.41246,0.85022332,-0.071209,-0.52158373,178.514923,"166.799866, 196.029739, ","[["" 129.259"", "" 131.940"", ""  57.127""], ["" 130.630"", "" 132.211"", ""  57.025""], ["" 131.277"", "" 132.178"", ""  55.789""], ["" 130.559"", "" 131.872"", ""  54.634""], ["" 129.196"", "" 131.600"", ""  54.716""], ["" 128.114"", "" 131.140"", ""  52.986""], ["" 128.550"", "" 131.633"", ""  55.953""], ["" 128.613"", "" 131.983"", ""  58.445""], ["" 129.134"", "" 132.535"", ""  59.477""], ["" 128.388"", "" 132.480"", ""  60.624""], ["" 127.466"", "" 134.624"", ""  60.485""], ["" 127.591"", "" 133.516"", ""  61.012""], ["" 126.889"", "" 133.083"", ""  62.294""], ["" 127.281"", "" 131.617"", ""  62.475""], ["" 125.327"", "" 133.049"", ""  62.235""], ["" 128.181"", "" 131.305"", ""  61.286""], ["" 125.912"", "" 130.863"", ""  62.507""], ["" 124.843"", "" 132.611"", ""  63.620""], ["" 125.082"", "" 131.713"", ""  61.579""], ["" 128.648"", "" 130.192"", ""  61.034""], ["" 125.190"", "" 131.310"", ""  63.781""], ["" 123.759"", "" 131.285"", ""  60.972""], ["" 124.965"", "" 131.495"", ""  60.084""]]",[],ZINC100058471
