,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,11847,1a_Ghoteimi_2023,receptor_tmp,1,9,-8.03,-0.19585365853658535,0.0,0.0,1,186.16,-11.31,-10.77,-0.54,-11.31,0.0,-1.45,3.28,-1.45,72,11,0.0,0.0,0.0,4.181623,9.633144,7.635908,0.33671525,-0.91556943,0.21989876,110.03569,"220.985931, 210.368301, 172.109558, 255.314987, 339.516968, 324.878784, 238.504791, 80.131577, 324.890778, 296.969147, 261.422882, ","[["" 130.079"", "" 125.906"", ""  66.805""], ["" 129.712"", "" 127.020"", ""  67.477""], ["" 130.280"", "" 124.801"", ""  67.308""], ["" 129.536"", "" 127.839"", ""  66.914""], ["" 130.240"", "" 126.073"", ""  65.295""], ["" 131.632"", "" 125.097"", ""  64.655""], ["" 131.185"", "" 124.621"", ""  63.001""], ["" 130.376"", "" 125.022"", ""  60.752""], ["" 130.695"", "" 125.527"", ""  62.036""], ["" 130.555"", "" 123.653"", ""  60.511""], ["" 130.514"", "" 126.948"", ""  62.352""], ["" 131.064"", "" 122.813"", ""  61.509""], ["" 130.371"", "" 128.069"", ""  62.602""], ["" 131.373"", "" 123.306"", ""  62.737""], ["" 129.858"", "" 125.863"", ""  59.631""], ["" 128.899"", "" 127.479"", ""  57.540""], ["" 128.012"", "" 126.867"", ""  58.425""], ["" 130.278"", "" 127.281"", ""  57.710""], ["" 128.485"", "" 126.069"", ""  59.464""], ["" 130.749"", "" 126.482"", ""  58.749""], ["" 128.339"", "" 128.252"", ""  56.543""], ["" 127.237"", "" 129.097"", ""  56.855""], ["" 131.281"", "" 121.342"", ""  61.302""], ["" 132.535"", "" 120.835"", ""  60.923""], ["" 130.232"", "" 120.425"", ""  61.474""], ["" 132.733"", "" 119.470"", ""  60.733""], ["" 130.426"", "" 119.061"", ""  61.285""], ["" 131.685"", "" 118.570"", ""  60.911""], ["" 131.973"", "" 117.235"", ""  60.703""], ["" 133.234"", "" 116.875"", ""  60.150""], ["" 129.492"", "" 127.211"", ""  68.854""], ["" 128.255"", "" 127.058"", ""  69.499""], ["" 130.613"", "" 127.567"", ""  69.603""], ["" 128.151"", "" 127.268"", ""  70.871""], ["" 130.508"", "" 127.777"", ""  70.976""], ["" 129.276"", "" 127.630"", ""  71.627""], ["" 129.198"", "" 127.860"", ""  73.109""], ["" 129.814"", "" 127.180"", ""  73.934""], ["" 128.378"", "" 128.888"", ""  73.448""], ["" 127.593"", "" 128.841"", ""  74.633""], ["" 126.158"", "" 128.440"", ""  74.276""]]",[],1a_Ghoteimi_2023
1,5284,1a_Grossjean_2025,receptor_tmp,1,19,-6.78,-0.2511111111111111,0.0,0.0,10,191.32,-8.86,-8.54,-0.33,-8.86,0.0,-2.44,2.09,-2.44,47,6,0.0,0.0,0.0,4.682904,13.341419,3.734386,0.39288757,-0.91916435,-0.02786131,177.856873,"167.382111, 182.224289, 169.810287, 242.499435, 311.033417, 83.238884, 357.93338, ","[["" 130.215"", "" 128.420"", ""  59.853""], ["" 130.606"", "" 128.573"", ""  58.523""], ["" 131.337"", "" 127.577"", ""  57.882""], ["" 131.689"", "" 126.403"", ""  58.561""], ["" 131.287"", "" 126.248"", ""  59.897""], ["" 130.556"", "" 127.244"", ""  60.538""], ["" 129.483"", "" 129.491"", ""  60.402""], ["" 128.241"", "" 129.933"", ""  60.111""], ["" 127.488"", "" 129.446"", ""  59.267""], ["" 129.962"", "" 129.975"", ""  61.146""], ["" 127.768"", "" 131.142"", ""  60.921""], ["" 128.634"", "" 132.667"", ""  60.443""], ["" 130.302"", "" 132.223"", ""  60.013""], ["" 132.149"", "" 131.851"", ""  58.490""], ["" 130.799"", "" 132.222"", ""  58.688""], ["" 132.927"", "" 131.488"", ""  59.594""], ["" 129.950"", "" 132.559"", ""  57.542""], ["" 132.349"", "" 131.494"", ""  60.861""], ["" 129.283"", "" 132.825"", ""  56.635""], ["" 131.060"", "" 131.849"", ""  61.075""], ["" 132.799"", "" 131.822"", ""  57.108""], ["" 133.138"", "" 131.101"", ""  62.096""], ["" 132.481"", "" 125.350"", ""  57.841""], ["" 132.786"", "" 125.428"", ""  56.647""], ["" 132.841"", "" 124.311"", ""  58.638""], ["" 134.119"", "" 124.272"", ""  59.260""], ["" 133.953"", "" 123.955"", ""  60.749""]]",[],1a_Grossjean_2025
2,11510,1aa_Ghoteimi_2023,receptor_tmp,1,2,-6.23,-0.15195121951219515,0.0,0.0,1,185.51,-9.51,-9.21,-0.31,-9.51,0.0,-1.5,3.28,-1.5,64,7,0.0,0.0,0.0,7.531343,10.886126,8.692858,-0.14003432,-0.92070523,-0.36426949,119.169075,"252.542816, 313.487549, 218.748169, 29.209711, 0.344949, 294.187805, 188.128891, 294.068939, 105.736519, 344.250305, 139.522278, ","[["" 130.715"", "" 126.166"", ""  66.453""], ["" 131.025"", "" 127.110"", ""  67.372""], ["" 129.859"", "" 125.294"", ""  66.602""], ["" 131.743"", "" 127.766"", ""  67.099""], ["" 131.491"", "" 126.193"", ""  65.127""], ["" 130.928"", "" 125.258"", ""  64.197""], ["" 130.299"", "" 125.707"", ""  63.045""], ["" 129.106"", "" 125.268"", ""  60.979""], ["" 129.738"", "" 124.783"", ""  62.147""], ["" 129.055"", "" 126.655"", ""  60.783""], ["" 129.801"", "" 123.354"", ""  62.459""], ["" 129.624"", "" 127.530"", ""  61.716""], ["" 130.245"", "" 127.050"", ""  62.826""], ["" 129.852"", "" 122.225"", ""  62.707""], ["" 128.490"", "" 124.388"", ""  59.942""], ["" 127.300"", "" 122.748"", ""  57.991""], ["" 126.666"", "" 122.968"", ""  59.214""], ["" 128.538"", "" 123.361"", ""  57.746""], ["" 127.252"", "" 123.782"", ""  60.179""], ["" 129.123"", "" 124.173"", ""  58.713""], ["" 126.644"", "" 121.926"", ""  57.095""], ["" 125.485"", "" 122.412"", ""  56.428""], ["" 129.611"", "" 129.022"", ""  61.546""], ["" 128.421"", "" 129.704"", ""  61.253""], ["" 130.785"", "" 129.781"", ""  61.681""], ["" 128.406"", "" 131.087"", ""  61.093""], ["" 130.773"", "" 131.163"", ""  61.522""], ["" 129.577"", "" 131.830"", ""  61.224""], ["" 129.467"", "" 133.196"", ""  61.048""], ["" 128.322"", "" 133.871"", ""  61.558""], ["" 130.502"", "" 127.337"", ""  68.658""], ["" 131.251"", "" 127.731"", ""  69.776""], ["" 129.125"", "" 127.149"", ""  68.789""], ["" 130.623"", "" 127.928"", ""  71.004""], ["" 128.499"", "" 127.347"", ""  70.016""], ["" 129.240"", "" 127.738"", ""  71.139""], ["" 128.534"", "" 127.942"", ""  72.449""], ["" 127.308"", "" 128.057"", ""  72.548""], ["" 129.377"", "" 127.986"", ""  73.512""], ["" 129.997"", "" 126.806"", ""  74.008""], ["" 131.511"", "" 126.897"", ""  73.797""]]",[],1aa_Ghoteimi_2023
3,11546,1b_Ghoteimi_2023,receptor_tmp,1,1,-6.97,-0.19914285714285715,0.0,0.0,1,188.01,-9.36,-9.01,-0.34,-9.36,0.0,-2.22,2.39,-2.22,41,7,0.0,0.0,0.0,5.853221,12.015099,2.716298,0.14677416,-0.88549373,-0.44086075,267.562317,"145.639908, 79.11956, 46.08873, 259.371094, 108.692856, 301.473907, 119.167427, 133.590775, ","[["" 130.999"", "" 127.005"", ""  60.028""], ["" 130.971"", "" 127.477"", ""  58.693""], ["" 131.653"", "" 126.736"", ""  57.627""], ["" 132.191"", "" 126.150"", ""  56.787""], ["" 130.220"", "" 128.641"", ""  58.417""], ["" 129.499"", "" 129.281"", ""  59.369""], ["" 129.516"", "" 128.831"", ""  60.651""], ["" 130.256"", "" 127.695"", ""  60.995""], ["" 131.770"", "" 125.804"", ""  60.469""], ["" 133.200"", "" 123.531"", ""  61.298""], ["" 132.494"", "" 123.523"", ""  60.094""], ["" 133.183"", "" 124.686"", ""  62.092""], ["" 131.784"", "" 124.648"", ""  59.684""], ["" 132.471"", "" 125.809"", ""  61.680""], ["" 133.876"", "" 122.370"", ""  61.624""], ["" 133.316"", "" 121.114"", ""  61.255""], ["" 130.078"", "" 129.381"", ""  56.803""], ["" 130.997"", "" 130.956"", ""  56.825""], ["" 131.062"", "" 131.653"", ""  58.191""], ["" 131.868"", "" 131.050"", ""  59.093""], ["" 130.415"", "" 132.680"", ""  58.406""], ["" 132.338"", "" 130.205"", ""  58.802""], ["" 132.117"", "" 131.452"", ""  60.400""], ["" 131.212"", "" 131.868"", ""  61.271""], ["" 133.393"", "" 131.467"", ""  60.962""], ["" 131.895"", "" 132.169"", ""  62.450""], ["" 133.212"", "" 131.921"", ""  62.249""], ["" 128.698"", "" 129.607"", ""  61.645""], ["" 128.442"", "" 130.973"", ""  61.459""], ["" 128.160"", "" 128.990"", ""  62.786""], ["" 127.684"", "" 131.694"", ""  62.377""], ["" 127.400"", "" 129.707"", ""  63.705""], ["" 127.156"", "" 131.073"", ""  63.507""], ["" 126.416"", "" 131.867"", ""  64.361""], ["" 127.043"", "" 132.976"", ""  64.996""]]",[],1b_Ghoteimi_2023
4,11589,1b_Grossjean_2025,receptor_tmp,1,13,-6.64,-0.2553846153846154,0.0,0.0,10,190.83,-8.43,-8.12,-0.31,-8.43,0.0,-2.25,1.79,-2.25,45,5,0.0,0.0,0.0,4.445265,13.725015,3.841148,0.38353247,-0.87929264,-0.28239564,143.341476,"40.334003, 111.414352, 327.099152, 72.130379, 192.355103, 224.886307, ","[["" 128.009"", "" 130.064"", ""  59.520""], ["" 129.185"", "" 129.588"", ""  59.985""], ["" 127.406"", "" 129.641"", ""  58.534""], ["" 129.556"", "" 130.050"", ""  60.803""], ["" 127.406"", "" 131.218"", ""  60.323""], ["" 128.390"", "" 132.740"", ""  60.181""], ["" 130.089"", "" 132.255"", ""  59.960""], ["" 132.096"", "" 131.830"", ""  58.676""], ["" 130.743"", "" 132.235"", ""  58.706""], ["" 132.733"", "" 131.480"", ""  59.871""], ["" 130.068"", "" 132.648"", ""  57.473""], ["" 132.017"", "" 131.549"", ""  61.065""], ["" 129.539"", "" 132.974"", ""  56.497""], ["" 130.720"", "" 131.934"", ""  61.117""], ["" 132.906"", "" 131.761"", ""  57.382""], ["" 132.654"", "" 131.192"", ""  62.395""], ["" 129.999"", "" 128.548"", ""  59.498""], ["" 130.189"", "" 128.527"", ""  58.117""], ["" 130.612"", "" 127.565"", ""  60.291""], ["" 130.977"", "" 127.543"", ""  57.526""], ["" 131.399"", "" 126.582"", ""  59.700""], ["" 131.593"", "" 126.557"", ""  58.312""], ["" 132.451"", "" 125.482"", ""  57.709""], ["" 132.868"", "" 125.519"", ""  56.547""], ["" 132.714"", "" 124.462"", ""  58.566""], ["" 134.010"", "" 124.295"", ""  59.126""]]",[],1b_Grossjean_2025
5,5316,1c_Ghoteimi_2023,receptor_tmp,1,9,-6.18,-0.17657142857142857,0.0,0.0,6,190.62,-8.56,-8.31,-0.26,-8.56,0.0,-2.35,2.39,-2.35,39,6,0.0,0.0,0.0,4.849382,9.945576,3.382123,-0.31023065,0.37200151,0.87485531,211.026123,"147.885941, 316.895142, 158.273453, 190.66597, 98.082565, 354.601196, 327.39212, 91.290627, ","[["" 129.298"", "" 127.828"", ""  59.865""], ["" 128.234"", "" 126.923"", ""  59.639""], ["" 127.204"", "" 127.201"", ""  58.632""], ["" 126.392"", "" 127.421"", ""  57.837""], ["" 128.201"", "" 125.738"", ""  60.403""], ["" 129.130"", "" 125.452"", ""  61.347""], ["" 130.131"", "" 126.336"", ""  61.596""], ["" 130.232"", "" 127.523"", ""  60.861""], ["" 129.506"", "" 129.078"", ""  59.075""], ["" 129.929"", "" 131.445"", ""  57.623""], ["" 130.699"", "" 130.310"", ""  57.366""], ["" 128.943"", "" 131.390"", ""  58.620""], ["" 130.492"", "" 129.138"", ""  58.086""], ["" 128.738"", "" 130.216"", ""  59.339""], ["" 130.205"", "" 132.564"", ""  56.860""], ["" 131.539"", "" 132.793"", ""  56.419""], ["" 127.023"", "" 124.437"", ""  60.110""], ["" 127.902"", "" 123.241"", ""  59.052""], ["" 129.329"", "" 122.973"", ""  59.544""], ["" 130.244"", "" 123.903"", ""  59.193""], ["" 129.570"", "" 121.944"", ""  60.177""], ["" 129.914"", "" 124.707"", ""  58.680""], ["" 131.615"", "" 123.826"", ""  59.375""], ["" 132.559"", "" 124.385"", ""  58.649""], ["" 132.180"", "" 122.930"", ""  60.748""], ["" 133.758"", "" 124.133"", ""  59.137""], ["" 133.802"", "" 123.354"", ""  60.289""], ["" 131.122"", "" 125.950"", ""  62.655""], ["" 132.448"", "" 125.626"", ""  62.330""], ["" 130.749"", "" 125.898"", ""  64.006""], ["" 133.366"", "" 125.272"", ""  63.315""], ["" 131.664"", "" 125.547"", ""  64.995""], ["" 132.987"", "" 125.230"", ""  64.654""], ["" 133.962"", "" 124.872"", ""  65.565""], ["" 133.938"", "" 125.441"", ""  66.870""]]",[],1c_Ghoteimi_2023
6,12072,1c_Grossjean_2025,receptor_tmp,1,19,-7.1,-0.29583333333333334,0.0,0.0,2,191.62,-8.59,-7.88,-0.71,-8.59,0.0,-0.52,1.49,-0.52,47,9,0.0,0.0,0.0,3.852139,8.865905,11.865472,0.02021813,-0.41303535,0.91049054,158.133118,"65.544373, 76.180176, 12.371364, 337.194977, 310.02005, ","[["" 130.013"", "" 127.363"", ""  68.386""], ["" 129.138"", "" 126.929"", ""  69.318""], ["" 130.953"", "" 128.130"", ""  68.591""], ["" 128.463"", "" 126.245"", ""  69.011""], ["" 129.785"", "" 126.825"", ""  66.972""], ["" 130.650"", "" 125.250"", ""  66.699""], ["" 131.236"", "" 125.215"", ""  65.017""], ["" 132.917"", "" 125.158"", ""  63.274""], ["" 132.603"", "" 125.188"", ""  64.652""], ["" 131.880"", "" 125.142"", ""  62.336""], ["" 133.675"", "" 125.150"", ""  65.650""], ["" 130.562"", "" 125.144"", ""  62.785""], ["" 134.522"", "" 125.121"", ""  66.437""], ["" 130.238"", "" 125.174"", ""  64.098""], ["" 134.355"", "" 125.138"", ""  62.757""], ["" 129.393"", "" 125.110"", ""  61.818""], ["" 129.064"", "" 127.242"", ""  70.689""], ["" 130.174"", "" 127.471"", ""  71.517""], ["" 127.778"", "" 127.349"", ""  71.222""], ["" 129.987"", "" 127.784"", ""  72.860""], ["" 127.596"", "" 127.663"", ""  72.566""], ["" 128.704"", "" 127.881"", ""  73.398""], ["" 128.622"", "" 128.196"", ""  74.741""], ["" 127.426"", "" 128.781"", ""  75.244""]]",[],1c_Grossjean_2025
7,5105,1d_Ghoteimi_2023,receptor_tmp,1,16,-5.44,-0.18133333333333335,0.0,0.0,6,189.71,-7.83,-7.66,-0.17,-7.83,0.0,-1.42,2.39,-1.42,59,10,0.0,0.0,0.0,6.036805,7.526087,5.582376,-0.24430087,0.846188,-0.47358521,255.15596,"17.849724, 128.437241, 56.196018, 153.906387, 41.977882, 9.836307, 327.612671, 159.189072, ","[["" 130.519"", "" 125.458"", ""  65.061""], ["" 130.852"", "" 124.835"", ""  63.428""], ["" 131.358"", "" 123.116"", ""  61.794""], ["" 131.087"", "" 123.472"", ""  63.139""], ["" 131.338"", "" 124.123"", ""  60.821""], ["" 130.993"", "" 122.445"", ""  64.180""], ["" 131.058"", "" 125.449"", ""  61.171""], ["" 130.918"", "" 121.633"", ""  65.001""], ["" 130.824"", "" 125.787"", ""  62.465""], ["" 131.657"", "" 121.721"", ""  61.349""], ["" 132.239"", "" 119.099"", ""  60.515""], ["" 133.235"", "" 120.075"", ""  60.527""], ["" 130.944"", "" 119.440"", ""  60.934""], ["" 132.949"", "" 121.373"", ""  60.943""], ["" 130.661"", "" 120.738"", ""  61.350""], ["" 132.612"", "" 117.842"", ""  60.081""], ["" 131.607"", "" 116.925"", ""  59.661""], ["" 131.015"", "" 126.564"", ""  60.167""], ["" 131.359"", "" 126.348"", ""  58.823""], ["" 130.636"", "" 127.861"", ""  60.543""], ["" 131.324"", "" 127.384"", ""  57.895""], ["" 130.601"", "" 128.901"", ""  59.618""], ["" 130.947"", "" 128.669"", ""  58.280""], ["" 130.946"", "" 129.636"", ""  57.293""], ["" 131.728"", "" 130.811"", ""  57.472""], ["" 132.072"", "" 126.166"", ""  65.688""], ["" 133.220"", "" 125.469"", ""  64.963""], ["" 133.980"", "" 124.700"", ""  65.554""], ["" 133.275"", "" 125.795"", ""  63.655""], ["" 134.131"", "" 125.089"", ""  62.771""]]",[],1d_Ghoteimi_2023
8,11592,1d_Grossjean_2025,receptor_tmp,1,13,-7.01,-0.3186363636363636,0.0,0.0,3,186.91,-8.2,-8.04,-0.16,-8.2,0.0,-0.63,1.19,-0.63,49,5,0.0,0.0,0.0,7.357924,5.706143,4.949493,0.4153591,0.61725928,-0.66818246,86.784584,"306.128143, 152.523056, 267.951721, 305.661133, ","[["" 134.215"", "" 124.108"", ""  61.502""], ["" 133.088"", "" 124.829"", ""  62.675""], ["" 131.010"", "" 125.860"", ""  63.371""], ["" 131.801"", "" 125.311"", ""  62.336""], ["" 131.527"", "" 125.919"", ""  64.670""], ["" 131.299"", "" 125.281"", ""  60.961""], ["" 132.815"", "" 125.444"", ""  64.909""], ["" 130.899"", "" 125.260"", ""  59.875""], ["" 133.589"", "" 124.912"", ""  63.934""], ["" 129.602"", "" 126.402"", ""  63.131""], ["" 133.435"", "" 125.491"", ""  66.291""], ["" 134.408"", "" 122.354"", ""  61.943""], ["" 133.342"", "" 121.475"", ""  61.288""], ["" 133.572"", "" 120.145"", ""  61.350""], ["" 132.377"", "" 122.008"", ""  60.740""], ["" 134.434"", "" 119.864"", ""  61.793""], ["" 132.796"", "" 119.073"", ""  60.872""], ["" 131.411"", "" 119.232"", ""  60.978""], ["" 133.317"", "" 117.902"", ""  60.296""], ["" 130.552"", "" 118.233"", ""  60.529""], ["" 132.455"", "" 116.904"", ""  59.847""], ["" 131.078"", "" 117.073"", ""  59.967""]]",[],1d_Grossjean_2025
9,12078,1e_Grossjean_2025,receptor_tmp,1,1,-6.36,-0.2765217391304348,0.0,0.0,1,185.27,-7.56,-7.45,-0.11,-7.56,0.0,-1.7,1.19,-1.7,46,3,0.0,0.0,0.0,8.295601,7.028525,5.490666,0.57314606,-0.67770792,-0.4606686,146.39119,"14.144462, 239.01416, 310.641632, 144.189026, ","[["" 134.120"", "" 123.741"", ""  60.594""], ["" 132.600"", "" 124.724"", ""  60.429""], ["" 131.321"", "" 123.966"", ""  61.412""], ["" 130.281"", "" 123.206"", ""  63.464""], ["" 131.376"", "" 123.825"", ""  62.819""], ["" 129.190"", "" 122.777"", ""  62.700""], ["" 132.499"", "" 124.333"", ""  63.610""], ["" 129.208"", "" 122.980"", ""  61.322""], ["" 133.386"", "" 124.733"", ""  64.238""], ["" 130.246"", "" 123.568"", ""  60.684""], ["" 130.230"", "" 122.988"", ""  64.975""], ["" 128.047"", "" 122.554"", ""  60.443""], ["" 133.828"", "" 122.305"", ""  61.036""], ["" 132.718"", "" 121.743"", ""  60.512""], ["" 134.585"", "" 121.759"", ""  61.842""], ["" 132.152"", "" 122.328"", ""  59.916""], ["" 132.196"", "" 120.457"", ""  60.742""], ["" 132.899"", "" 119.327"", ""  60.439""], ["" 130.904"", "" 120.396"", ""  61.278""], ["" 132.326"", "" 118.120"", ""  60.677""], ["" 130.328"", "" 119.146"", ""  61.518""], ["" 131.043"", "" 117.987"", ""  61.215""], ["" 133.166"", "" 116.909"", ""  60.318""]]",[],1e_Grossjean_2025
