,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,6094,1a_Ghoteimi_2023,receptor_tmp,1,7,-8.15,-0.19878048780487806,0.0,0.0,9,185.6,-11.43,-10.85,-0.58,-11.43,0.0,-2.68,3.28,-2.68,60,4,0.0,0.0,0.0,0.277221,10.782027,4.794733,0.93327122,-0.3519481,-0.07167539,198.714127,"317.493805, 189.914291, 185.822327, 3.229584, 163.867645, 136.978302, 224.443985, 265.067322, 266.998993, 263.622772, 68.027489, ","[["" 128.090"", "" 126.147"", ""  61.494""], ["" 127.712"", "" 124.856"", ""  61.620""], ["" 129.228"", "" 126.538"", ""  61.239""], ["" 126.729"", "" 124.694"", ""  61.781""], ["" 126.978"", "" 127.178"", ""  61.686""], ["" 127.445"", "" 128.455"", ""  62.891""], ["" 128.322"", "" 127.614"", ""  64.189""], ["" 128.756"", "" 126.995"", ""  66.491""], ["" 127.978"", "" 127.718"", ""  65.554""], ["" 129.827"", "" 126.226"", ""  66.016""], ["" 126.854"", "" 128.552"", ""  65.992""], ["" 130.101"", "" 126.153"", ""  64.645""], ["" 125.968"", "" 129.211"", ""  66.339""], ["" 129.346"", "" 126.845"", ""  63.752""], ["" 128.504"", "" 127.001"", ""  67.964""], ["" 127.998"", "" 127.038"", ""  70.729""], ["" 129.135"", "" 127.656"", ""  70.210""], ["" 127.107"", "" 126.400"", ""  69.852""], ["" 129.385"", "" 127.643"", ""  68.840""], ["" 127.360"", "" 126.387"", ""  68.482""], ["" 127.832"", "" 127.103"", ""  72.098""], ["" 126.540"", "" 127.374"", ""  72.629""], ["" 131.231"", "" 125.339"", ""  64.084""], ["" 131.791"", "" 125.636"", ""  62.830""], ["" 131.761"", "" 124.251"", ""  64.794""], ["" 132.839"", "" 124.881"", ""  62.312""], ["" 132.809"", "" 123.494"", ""  64.279""], ["" 133.360"", "" 123.806"", ""  63.028""], ["" 134.401"", "" 123.114"", ""  62.439""], ["" 134.947"", "" 123.593"", ""  61.215""], ["" 128.478"", "" 123.678"", ""  61.517""], ["" 129.361"", "" 123.206"", ""  62.499""], ["" 128.308"", "" 122.947"", ""  60.341""], ["" 130.066"", "" 122.023"", ""  62.294""], ["" 129.014"", "" 121.764"", ""  60.138""], ["" 129.901"", "" 121.287"", ""  61.111""], ["" 130.644"", "" 120.006"", ""  60.862""], ["" 130.261"", "" 118.908"", ""  61.278""], ["" 131.780"", "" 120.178"", ""  60.138""], ["" 133.012"", "" 120.503"", ""  60.770""], ["" 133.695"", "" 119.216"", ""  61.243""]]",[],1a_Ghoteimi_2023
1,10975,1a_Grossjean_2025,receptor_tmp,2,8,-7.94,-0.2940740740740741,0.0,0.0,6,190.37,-10.03,-9.52,-0.51,-10.03,0.0,-0.95,2.09,-0.95,48,8,0.0,0.0,0.0,3.251495,8.324704,11.277786,0.98705258,0.14882279,0.05982453,278.632019,"125.573685, 71.395035, 63.971191, 228.851913, 267.95517, 62.815311, 271.39679, ","[["" 129.467"", "" 125.215"", ""  69.253""], ["" 128.902"", "" 126.434"", ""  69.630""], ["" 128.820"", "" 126.788"", ""  70.974""], ["" 129.305"", "" 125.928"", ""  71.968""], ["" 129.880"", "" 124.707"", ""  71.584""], ["" 129.963"", "" 124.351"", ""  70.241""], ["" 129.496"", "" 124.959"", ""  67.868""], ["" 129.998"", "" 125.700"", ""  66.858""], ["" 130.553"", "" 126.793"", ""  66.980""], ["" 129.103"", "" 124.066"", ""  67.609""], ["" 129.845"", "" 125.095"", ""  65.461""], ["" 129.982"", "" 123.283"", ""  65.480""], ["" 130.781"", "" 122.792"", ""  63.968""], ["" 132.634"", "" 122.648"", ""  62.415""], ["" 132.124"", "" 123.107"", ""  63.651""], ["" 131.800"", "" 121.924"", ""  61.557""], ["" 132.965"", "" 123.908"", ""  64.545""], ["" 130.483"", "" 121.680"", ""  61.940""], ["" 133.630"", "" 124.541"", ""  65.248""], ["" 129.974"", "" 122.107"", ""  63.120""], ["" 134.070"", "" 122.917"", ""  61.967""], ["" 129.526"", "" 120.910"", ""  61.049""], ["" 129.196"", "" 126.339"", ""  73.408""], ["" 130.076"", "" 126.970"", ""  74.002""], ["" 128.028"", "" 125.960"", ""  73.988""], ["" 127.096"", "" 126.925"", ""  74.461""], ["" 126.153"", "" 127.324"", ""  73.322""]]",[],1a_Grossjean_2025
2,5982,1aa_Ghoteimi_2023,receptor_tmp,1,9,-7.86,-0.19170731707317074,0.0,0.0,3,186.46,-11.15,-10.71,-0.44,-11.15,0.0,-2.83,3.28,-2.83,44,4,0.0,0.0,0.0,1.580645,10.856529,8.856179,-0.84355922,-0.18034543,0.50584915,141.97789,"297.051758, 154.432144, 69.325607, 152.725983, 57.372219, 291.608704, 13.562508, 34.762791, 133.274567, 118.526886, 358.944061, ","[["" 127.983"", "" 130.495"", ""  64.853""], ["" 128.117"", "" 129.947"", ""  63.623""], ["" 128.298"", "" 131.648"", ""  65.148""], ["" 127.802"", "" 128.991"", ""  63.533""], ["" 127.390"", "" 129.606"", ""  65.958""], ["" 127.367"", "" 128.235"", ""  65.541""], ["" 128.212"", "" 127.307"", ""  66.134""], ["" 129.959"", "" 125.632"", ""  65.972""], ["" 129.113"", "" 126.575"", ""  65.343""], ["" 129.868"", "" 125.488"", ""  67.363""], ["" 129.168"", "" 126.826"", ""  63.902""], ["" 128.955"", "" 126.251"", ""  68.102""], ["" 128.135"", "" 127.140"", ""  67.483""], ["" 129.210"", "" 127.026"", ""  62.763""], ["" 130.945"", "" 124.782"", ""  65.241""], ["" 132.781"", "" 123.180"", ""  63.836""], ["" 131.442"", "" 122.803"", ""  63.933""], ["" 133.199"", "" 124.373"", ""  64.445""], ["" 130.531"", "" 123.596"", ""  64.626""], ["" 132.287"", "" 125.165"", ""  65.137""], ["" 133.612"", "" 122.332"", ""  63.130""], ["" 134.245"", "" 122.806"", ""  61.947""], ["" 128.806"", "" 126.125"", ""  69.591""], ["" 127.973"", "" 126.994"", ""  70.310""], ["" 129.491"", "" 125.131"", ""  70.310""], ["" 127.835"", "" 126.880"", ""  71.690""], ["" 129.355"", "" 125.015"", ""  71.690""], ["" 128.523"", "" 125.895"", ""  72.395""], ["" 128.325"", "" 125.858"", ""  73.762""], ["" 129.392"", "" 126.229"", ""  74.628""], ["" 128.622"", "" 130.497"", ""  62.430""], ["" 129.128"", "" 131.798"", ""  62.292""], ["" 128.605"", "" 129.649"", ""  61.322""], ["" 129.604"", "" 132.236"", ""  61.058""], ["" 129.082"", "" 130.087"", ""  60.090""], ["" 129.586"", "" 131.386"", ""  59.942""], ["" 130.091"", "" 131.828"", ""  58.599""], ["" 129.602"", "" 132.770"", ""  57.968""], ["" 131.138"", "" 131.090"", ""  58.149""], ["" 132.237"", "" 130.780"", ""  58.997""], ["" 133.529"", "" 130.774"", ""  58.176""]]",[],1aa_Ghoteimi_2023
3,5955,1b_Ghoteimi_2023,receptor_tmp,1,12,-9.47,-0.2705714285714286,0.0,0.0,5,187.97,-11.85,-11.0,-0.86,-11.85,0.0,-1.38,2.39,-1.38,44,7,0.0,0.0,0.0,3.909727,10.976985,10.264389,-0.12017081,-0.73846402,-0.66349821,231.386993,"108.599434, 212.550873, 210.263916, 48.880489, 262.604919, 332.879425, 186.273834, 160.886154, ","[["" 129.788"", "" 125.851"", ""  66.246""], ["" 128.942"", "" 126.816"", ""  65.645""], ["" 128.926"", "" 126.987"", ""  64.190""], ["" 128.913"", "" 127.121"", ""  63.040""], ["" 128.080"", "" 127.556"", ""  66.484""], ["" 128.006"", "" 127.340"", ""  67.820""], ["" 128.809"", "" 126.412"", ""  68.403""], ["" 129.701"", "" 125.659"", ""  67.631""], ["" 130.766"", "" 125.016"", ""  65.487""], ["" 132.611"", "" 123.463"", ""  64.042""], ["" 132.997"", "" 124.680"", ""  64.605""], ["" 131.287"", "" 123.027"", ""  64.202""], ["" 132.084"", "" 125.451"", ""  65.319""], ["" 130.376"", "" 123.800"", ""  64.916""], ["" 133.583"", "" 122.767"", ""  63.350""], ["" 134.027"", "" 123.260"", ""  62.091""], ["" 126.956"", "" 128.811"", ""  65.907""], ["" 127.919"", "" 130.331"", ""  65.606""], ["" 127.789"", "" 130.914"", ""  64.191""], ["" 128.948"", "" 131.359"", ""  63.656""], ["" 126.694"", "" 130.952"", ""  63.624""], ["" 129.778"", "" 131.283"", ""  64.224""], ["" 129.130"", "" 131.932"", ""  62.403""], ["" 130.239"", "" 131.892"", ""  61.684""], ["" 128.131"", "" 132.644"", ""  61.739""], ["" 129.981"", "" 132.591"", ""  60.505""], ["" 128.703"", "" 133.039"", ""  60.551""], ["" 128.672"", "" 126.244"", ""  69.890""], ["" 127.761"", "" 127.020"", ""  70.622""], ["" 129.443"", "" 125.305"", ""  70.593""], ["" 127.630"", "" 126.866"", ""  71.999""], ["" 129.314"", "" 125.148"", ""  71.969""], ["" 128.402"", "" 125.932"", ""  72.687""], ["" 128.203"", "" 125.849"", ""  74.052""], ["" 127.163"", "" 126.615"", ""  74.649""]]",[],1b_Ghoteimi_2023
4,6085,1b_Grossjean_2025,receptor_tmp,1,4,-7.86,-0.30230769230769233,0.0,0.0,11,189.83,-9.65,-9.11,-0.54,-9.65,0.0,-0.8,1.79,-0.8,47,8,0.0,0.0,0.0,3.075184,7.673353,11.088748,0.99021652,-0.02644433,0.13701076,236.859055,"7.257565, 356.892456, 227.524567, 100.687431, 94.217857, 227.060837, ","[["" 129.903"", "" 125.705"", ""  66.837""], ["" 129.470"", "" 124.950"", ""  67.870""], ["" 130.402"", "" 126.826"", ""  66.930""], ["" 129.076"", "" 124.053"", ""  67.628""], ["" 129.753"", "" 125.070"", ""  65.454""], ["" 129.907"", "" 123.259"", ""  65.510""], ["" 130.709"", "" 122.748"", ""  64.006""], ["" 132.564"", "" 122.582"", ""  62.459""], ["" 132.054"", "" 123.054"", ""  63.689""], ["" 131.737"", "" 121.832"", ""  61.617""], ["" 132.915"", "" 123.805"", ""  64.606""], ["" 130.431"", "" 121.559"", ""  62.019""], ["" 133.597"", "" 124.397"", ""  65.328""], ["" 129.921"", "" 122.001"", ""  63.193""], ["" 133.997"", "" 122.855"", ""  62.004""], ["" 129.488"", "" 120.743"", ""  61.155""], ["" 129.463"", "" 125.222"", ""  69.252""], ["" 128.995"", "" 126.485"", ""  69.616""], ["" 129.881"", "" 124.330"", ""  70.251""], ["" 128.942"", "" 126.860"", ""  70.955""], ["" 129.829"", "" 124.707"", ""  71.590""], ["" 129.359"", "" 125.974"", ""  71.960""], ["" 129.315"", "" 126.345"", ""  73.415""], ["" 130.216"", "" 126.972"", ""  73.981""], ["" 128.191"", "" 125.918"", ""  74.044""], ["" 126.965"", "" 126.626"", ""  73.912""]]",[],1b_Grossjean_2025
5,11268,1c_Ghoteimi_2023,receptor_tmp,1,5,-8.42,-0.24057142857142857,0.0,0.0,6,192.44,-10.81,-10.12,-0.68,-10.81,0.0,-1.84,2.39,-1.84,37,6,0.0,0.0,0.0,3.528952,8.600502,10.209077,-0.07495306,-0.77857374,-0.62306097,230.698914,"285.966858, 332.193207, 103.550835, 210.641769, 182.153702, 160.999435, 7.888855, 153.362198, ","[["" 130.021"", "" 125.953"", ""  66.003""], ["" 129.248"", "" 126.956"", ""  65.371""], ["" 129.372"", "" 127.213"", ""  63.932""], ["" 129.471"", "" 127.414"", ""  62.797""], ["" 128.343"", "" 127.692"", ""  66.165""], ["" 128.208"", "" 127.489"", ""  67.497""], ["" 128.977"", "" 126.555"", ""  68.116""], ["" 129.881"", "" 125.777"", ""  67.385""], ["" 130.954"", "" 125.043"", ""  65.276""], ["" 132.722"", "" 123.309"", ""  63.951""], ["" 131.372"", "" 122.984"", ""  64.073""], ["" 133.188"", "" 124.512"", ""  64.503""], ["" 130.496"", "" 123.841"", ""  64.731""], ["" 132.310"", "" 125.368"", ""  65.161""], ["" 133.518"", "" 122.399"", ""  63.282""], ["" 133.961"", "" 122.702"", ""  61.963""], ["" 127.191"", "" 128.861"", ""  65.477""], ["" 127.996"", "" 130.483"", ""  65.679""], ["" 128.032"", "" 131.278"", ""  64.370""], ["" 128.709"", "" 130.691"", ""  63.358""], ["" 127.498"", "" 132.387"", ""  64.317""], ["" 129.095"", "" 129.775"", ""  63.529""], ["" 129.021"", "" 131.257"", ""  62.132""], ["" 130.145"", "" 131.840"", ""  61.774""], ["" 127.819"", "" 131.153"", ""  60.887""], ["" 130.107"", "" 132.229"", ""  60.515""], ["" 128.932"", "" 131.958"", ""  59.822""], ["" 128.770"", "" 126.386"", ""  69.594""], ["" 129.400"", "" 125.353"", ""  70.305""], ["" 127.935"", "" 127.257"", ""  70.308""], ["" 129.209"", "" 125.202"", ""  71.676""], ["" 127.742"", "" 127.111"", ""  71.679""], ["" 128.383"", "" 126.076"", ""  72.376""], ["" 128.253"", "" 125.854"", ""  73.734""], ["" 127.300"", "" 126.608"", ""  74.475""]]",[],1c_Ghoteimi_2023
6,5899,1c_Grossjean_2025,receptor_tmp,1,6,-7.62,-0.3175,0.0,0.0,6,189.65,-9.11,-8.67,-0.44,-9.11,0.0,-0.63,1.49,-0.63,35,7,0.0,0.0,0.0,5.821214,8.080703,10.49646,-0.41775526,0.14051753,-0.89762763,118.96769,"3.87245, 41.183155, 152.651337, 188.206207, 332.471619, ","[["" 129.439"", "" 125.496"", ""  66.696""], ["" 129.891"", "" 124.987"", ""  67.862""], ["" 128.550"", "" 126.339"", ""  66.581""], ["" 130.675"", "" 124.355"", ""  67.798""], ["" 130.123"", "" 124.957"", ""  65.437""], ["" 130.126"", "" 123.140"", ""  65.393""], ["" 130.964"", "" 122.615"", ""  63.911""], ["" 132.804"", "" 122.528"", ""  62.338""], ["" 132.265"", "" 123.032"", ""  63.545""], ["" 132.046"", "" 121.638"", ""  61.570""], ["" 133.066"", "" 123.922"", ""  64.389""], ["" 130.783"", "" 121.261"", ""  62.020""], ["" 133.698"", "" 124.625"", ""  65.056""], ["" 130.247"", "" 121.733"", ""  63.170""], ["" 134.193"", "" 122.912"", ""  61.832""], ["" 129.919"", "" 120.287"", ""  61.241""], ["" 129.470"", "" 125.258"", ""  69.178""], ["" 128.638"", "" 126.327"", ""  69.546""], ["" 129.909"", "" 124.363"", ""  70.155""], ["" 128.273"", "" 126.497"", ""  70.878""], ["" 129.541"", "" 124.537"", ""  71.487""], ["" 128.719"", "" 125.612"", ""  71.859""], ["" 128.304"", "" 125.865"", ""  73.152""], ["" 127.328"", "" 126.876"", ""  73.383""]]",[],1c_Grossjean_2025
7,10954,1d_Ghoteimi_2023,receptor_tmp,1,17,-7.84,-0.2613333333333333,0.0,0.0,4,191.61,-10.23,-9.41,-0.82,-10.23,0.0,-1.12,2.39,-1.12,30,8,0.0,0.0,0.0,3.642864,10.266318,10.283069,-0.80405596,0.18232334,0.5659083,241.679672,"229.86911, 163.719467, 191.217941, 158.645081, 356.79837, 197.108109, 13.152006, 323.806671, ","[["" 130.855"", "" 124.586"", ""  65.403""], ["" 129.795"", "" 125.820"", ""  66.124""], ["" 128.335"", "" 127.756"", ""  66.086""], ["" 129.137"", "" 126.826"", ""  65.380""], ["" 128.204"", "" 127.607"", ""  67.472""], ["" 129.227"", "" 126.872"", ""  63.918""], ["" 128.851"", "" 126.562"", ""  68.142""], ["" 129.296"", "" 126.910"", ""  62.763""], ["" 129.638"", "" 125.689"", ""  67.463""], ["" 127.610"", "" 128.890"", ""  65.434""], ["" 126.265"", "" 131.028"", ""  64.200""], ["" 127.648"", "" 131.068"", ""  64.374""], ["" 125.554"", "" 129.901"", ""  64.640""], ["" 128.316"", "" 130.009"", ""  64.982""], ["" 126.225"", "" 128.843"", ""  65.247""], ["" 125.686"", "" 132.126"", ""  63.593""], ["" 126.221"", "" 132.603"", ""  62.363""], ["" 128.736"", "" 126.351"", ""  69.624""], ["" 127.965"", "" 127.209"", ""  70.424""], ["" 129.403"", "" 125.292"", ""  70.257""], ["" 127.864"", "" 127.015"", ""  71.798""], ["" 129.306"", "" 125.095"", ""  71.632""], ["" 128.532"", "" 125.960"", ""  72.417""], ["" 128.378"", "" 125.847"", ""  73.785""], ["" 127.379"", "" 126.624"", ""  74.437""], ["" 132.134"", "" 125.470"", ""  64.460""], ["" 133.460"", "" 124.753"", ""  64.700""], ["" 133.983"", "" 124.726"", ""  65.815""], ["" 133.943"", "" 124.181"", ""  63.577""], ["" 133.461"", "" 124.575"", ""  62.302""]]",[],1d_Ghoteimi_2023
8,5910,1d_Grossjean_2025,receptor_tmp,2,16,-6.07,-0.27590909090909094,0.0,0.0,6,187.18,-7.27,-7.11,-0.15,-7.27,0.0,-1.54,1.19,-1.54,32,4,0.0,0.0,0.0,7.763646,6.775713,7.33176,-0.90726766,-0.33422841,-0.25525823,106.946793,"232.725708, 335.004395, 4.392527, 286.895569, ","[["" 134.051"", "" 122.627"", ""  62.042""], ["" 132.396"", "" 122.087"", ""  61.676""], ["" 130.714"", "" 120.486"", ""  60.989""], ["" 132.073"", "" 120.779"", ""  61.244""], ["" 129.755"", "" 121.490"", ""  61.157""], ["" 133.100"", "" 119.757"", ""  61.029""], ["" 130.165"", "" 122.758"", ""  61.563""], ["" 133.909"", "" 118.947"", ""  60.858""], ["" 131.460"", "" 123.060"", ""  61.815""], ["" 130.241"", "" 119.108"", ""  60.528""], ["" 129.175"", "" 123.891"", ""  61.752""], ["" 133.981"", "" 124.418"", ""  62.351""], ["" 133.242"", "" 124.751"", ""  63.648""], ["" 131.937"", "" 125.067"", ""  63.505""], ["" 133.860"", "" 124.735"", ""  64.713""], ["" 131.585"", "" 125.083"", ""  62.559""], ["" 130.978"", "" 125.402"", ""  64.479""], ["" 130.019"", "" 126.340"", ""  64.088""], ["" 130.920"", "" 124.849"", ""  65.770""], ["" 129.021"", "" 126.737"", ""  64.974""], ["" 129.921"", "" 125.247"", ""  66.654""], ["" 128.976"", "" 126.189"", ""  66.253""]]",[],1d_Grossjean_2025
9,6323,1e_Grossjean_2025,receptor_tmp,1,19,-7.06,-0.3069565217391304,0.0,0.0,4,187.43,-8.25,-8.32,0.07,-8.25,0.0,-0.49,1.19,-0.49,33,8,0.0,0.0,0.0,3.274766,7.524327,8.499074,-0.57826949,0.30721281,-0.75579408,237.655167,"8.947714, 44.483437, 173.004211, 156.186111, ","[["" 129.928"", "" 124.847"", ""  64.913""], ["" 130.103"", "" 123.039"", ""  65.002""], ["" 131.030"", "" 122.486"", ""  63.585""], ["" 132.946"", "" 122.401"", ""  62.104""], ["" 132.333"", "" 122.935"", ""  63.260""], ["" 132.261"", "" 121.448"", ""  61.344""], ["" 133.060"", "" 123.891"", ""  64.099""], ["" 130.992"", "" 121.042"", ""  61.752""], ["" 133.637"", "" 124.646"", ""  64.760""], ["" 130.385"", "" 121.542"", ""  62.853""], ["" 134.344"", "" 122.816"", ""  61.646""], ["" 130.208"", "" 119.998"", ""  60.981""], ["" 129.300"", "" 125.425"", ""  66.183""], ["" 129.856"", "" 125.024"", ""  67.347""], ["" 128.335"", "" 126.184"", ""  66.085""], ["" 130.600"", "" 124.345"", ""  67.284""], ["" 129.488"", "" 125.374"", ""  68.659""], ["" 129.872"", "" 124.632"", ""  69.739""], ["" 128.686"", "" 126.513"", ""  68.799""], ["" 129.468"", "" 125.023"", ""  70.974""], ["" 128.279"", "" 126.903"", ""  70.076""], ["" 128.671"", "" 126.152"", ""  71.185""], ["" 129.933"", "" 124.154"", ""  72.127""]]",[],1e_Grossjean_2025
