,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,2689,ZINC100024116,receptor_tmp,2,20,-4.98,-0.41500000000000004,0.0,0.0,12,193.05,-4.98,-4.88,-0.1,-4.98,0.0,0.0,0.0,0.0,22,0,0.0,0.0,0.0,5.654443,14.360395,2.307833,-0.64763714,-0.01563749,-0.76178842,123.560013,,"[["" 128.755"", "" 132.577"", ""  58.504""], ["" 129.407"", "" 130.938"", ""  58.823""], ["" 130.023"", "" 130.345"", ""  57.523""], ["" 130.204"", "" 128.577"", ""  57.734""], ["" 131.409"", "" 130.943"", ""  57.143""], ["" 131.205"", "" 132.583"", ""  56.449""], ["" 132.383"", "" 130.968"", ""  58.352""], ["" 133.929"", "" 131.746"", ""  57.889""], ["" 131.773"", "" 131.637"", ""  59.611""], ["" 132.919"", "" 131.475"", ""  60.977""], ["" 130.428"", "" 130.964"", ""  59.993""], ["" 129.702"", "" 131.736"", ""  61.436""]]",[],ZINC100024116
1,7447,ZINC100034590,receptor_tmp,1,9,-2.2,-0.07857142857142858,0.0,0.0,8,187.36,-4.88,-4.92,0.04,-4.88,0.0,-0.86,2.68,-0.86,52,4,0.0,0.0,0.0,7.203684,6.851813,5.634133,-0.83623773,0.44764002,-0.31674103,250.386536,"82.596581, 86.938858, 253.023102, 358.049225, 107.791809, 320.309998, 267.261536, 51.723431, 326.111084, ","[["" 132.536"", "" 123.233"", ""  62.205""], ["" 131.914"", "" 122.509"", ""  63.145""], ["" 131.645"", "" 123.617"", ""  61.145""], ["" 130.412"", "" 122.919"", ""  60.951""], ["" 130.614"", "" 121.617"", ""  61.169""], ["" 129.973"", "" 123.064"", ""  59.698""], ["" 129.395"", "" 123.482"", ""  61.960""], ["" 129.590"", "" 124.775"", ""  62.228""], ["" 129.392"", "" 122.811"", ""  63.113""], ["" 127.636"", "" 123.339"", ""  61.254""], ["" 126.645"", "" 123.224"", ""  62.331""], ["" 127.613"", "" 122.476"", ""  60.069""], ["" 127.506"", "" 124.861"", ""  60.697""], ["" 133.684"", "" 122.396"", ""  61.575""], ["" 134.139"", "" 122.942"", ""  60.447""], ["" 134.730"", "" 122.290"", ""  62.397""], ["" 133.296"", "" 121.153"", ""  61.286""], ["" 133.024"", "" 124.561"", ""  62.847""], ["" 134.213"", "" 124.931"", ""  62.362""], ["" 132.159"", "" 125.544"", ""  62.582""], ["" 133.111"", "" 124.365"", ""  64.263""], ["" 132.465"", "" 125.301"", ""  65.135""], ["" 133.093"", "" 125.346"", ""  66.313""], ["" 132.495"", "" 126.526"", ""  64.604""], ["" 131.010"", "" 124.830"", ""  65.321""], ["" 130.609"", "" 124.993"", ""  66.582""], ["" 130.169"", "" 125.517"", ""  64.547""], ["" 130.872"", "" 123.537"", ""  65.026""]]",[],ZINC100034590
2,3882,ZINC100043079,receptor_tmp,2,12,-1.76,-0.06518518518518518,0.0,0.0,20,184.91,-2.66,-2.73,0.08,-2.66,0.0,0.04,0.89,0.04,52,0,0.0,0.0,0.0,4.377295,7.449233,4.494721,-0.9659717,-0.21104042,-0.14953466,212.819901,"358.872314, 48.316967, 52.346436, ","[["" 128.041"", "" 123.245"", ""  59.155""], ["" 127.038"", "" 124.001"", ""  59.612""], ["" 127.990"", "" 122.097"", ""  59.838""], ["" 127.772"", "" 122.933"", ""  57.659""], ["" 127.727"", "" 124.039"", ""  56.915""], ["" 126.605"", "" 122.305"", ""  57.500""], ["" 128.714"", "" 122.151"", ""  57.132""], ["" 129.406"", "" 123.962"", ""  59.426""], ["" 130.050"", "" 124.052"", ""  58.259""], ["" 129.136"", "" 125.225"", ""  59.766""], ["" 130.314"", "" 123.254"", ""  60.527""], ["" 129.730"", "" 123.355"", ""  61.983""], ["" 131.804"", "" 123.756"", ""  60.532""], ["" 130.615"", "" 122.651"", ""  63.055""], ["" 132.690"", "" 123.052"", ""  61.603""], ["" 132.077"", "" 123.175"", ""  63.024""], ["" 130.385"", "" 121.943"", ""  60.267""], ["" 129.615"", "" 124.644"", ""  62.316""], ["" 128.500"", "" 122.838"", ""  62.022""], ["" 132.351"", "" 123.583"", ""  59.326""], ["" 131.817"", "" 125.070"", ""  60.775""], ["" 130.093"", "" 122.831"", ""  64.272""], ["" 130.622"", "" 121.335"", ""  62.823""], ["" 133.920"", "" 123.571"", ""  61.592""], ["" 132.809"", "" 121.758"", ""  61.292""], ["" 132.084"", "" 124.460"", ""  63.389""], ["" 132.825"", "" 122.511"", ""  63.908""]]",[],ZINC100043079
3,541,ZINC100045963,receptor_tmp,1,12,-7.97,-0.20973684210526314,0.0,0.0,7,184.83,-10.95,-10.07,-0.88,-10.95,0.0,-2.46,2.98,-2.46,52,8,0.0,0.0,0.0,5.295939,9.249248,5.312591,0.43360886,0.41011036,0.80236703,131.627594,"262.26062, 104.024086, 276.778046, 143.635498, 321.06369, 155.72937, 336.537048, 330.148438, 66.732353, 4.025254, ","[["" 130.266"", "" 119.397"", ""  61.661""], ["" 130.784"", "" 118.120"", ""  60.981""], ["" 132.295"", "" 117.904"", ""  61.180""], ["" 133.153"", "" 118.844"", ""  60.316""], ["" 133.316"", "" 120.241"", ""  60.930""], ["" 130.247"", "" 120.449"", ""  60.699""], ["" 129.974"", "" 121.740"", ""  61.110""], ["" 128.816"", "" 122.323"", ""  60.598""], ["" 130.778"", "" 122.475"", ""  61.996""], ["" 128.466"", "" 123.625"", ""  60.946""], ["" 130.427"", "" 123.777"", ""  62.345""], ["" 129.282"", "" 124.363"", ""  61.807""], ["" 128.926"", "" 125.737"", ""  62.190""], ["" 129.247"", "" 126.892"", ""  61.560""], ["" 128.781"", "" 128.234"", ""  61.945""], ["" 130.117"", "" 127.141"", ""  60.390""], ["" 127.930"", "" 128.596"", ""  62.993""], ["" 129.334"", "" 129.206"", ""  61.112""], ["" 130.065"", "" 128.491"", ""  60.032""], ["" 130.904"", "" 126.253"", ""  59.651""], ["" 127.653"", "" 129.941"", ""  63.260""], ["" 129.163"", "" 130.567"", ""  61.442""], ["" 130.637"", "" 128.901"", ""  58.809""], ["" 131.583"", "" 126.671"", ""  58.502""], ["" 128.292"", "" 130.914"", ""  62.483""], ["" 131.419"", "" 127.995"", ""  58.084""], ["" 126.739"", "" 130.327"", ""  64.364""], ["" 125.746"", "" 129.636"", ""  64.572""], ["" 127.010"", "" 131.322"", ""  65.030""], ["" 129.943"", "" 131.648"", ""  60.814""], ["" 129.424"", "" 132.284"", ""  59.900""], ["" 131.053"", "" 131.894"", ""  61.276""], ["" 130.364"", "" 130.216"", ""  58.199""], ["" 131.287"", "" 131.022"", ""  58.145""], ["" 129.219"", "" 130.457"", ""  57.827""], ["" 132.420"", "" 125.723"", ""  57.726""], ["" 132.653"", "" 125.976"", ""  56.547""], ["" 132.850"", "" 124.720"", ""  58.287""]]",[],ZINC100045963
4,2424,ZINC100046143,receptor_tmp,1,10,-2.8,-0.09655172413793103,0.0,0.0,5,189.27,-6.67,-6.42,-0.26,-6.67,0.0,-0.33,3.88,-0.33,57,2,0.0,0.0,0.0,6.344537,7.865082,8.553556,0.6961243,-0.5729581,-0.43258522,173.308212,"209.84169, 196.133438, 313.365082, 13.084208, 55.281124, 347.913086, 338.79837, 22.257143, 272.273499, 269.485229, 2.942803, 298.717499, 2.48338, ","[["" 130.678"", "" 125.116"", ""  66.038""], ["" 130.686"", "" 126.385"", ""  66.914""], ["" 129.365"", "" 126.590"", ""  67.678""], ["" 129.473"", "" 127.643"", ""  68.794""], ["" 129.058"", "" 127.088"", ""  70.170""], ["" 128.848"", "" 128.128"", ""  71.122""], ["" 129.466"", "" 128.124"", ""  72.336""], ["" 129.123"", "" 128.823"", ""  73.292""], ["" 130.602"", "" 127.208"", ""  72.434""], ["" 131.019"", "" 126.625"", ""  73.575""], ["" 131.731"", "" 125.122"", ""  64.901""], ["" 131.549"", "" 126.210"", ""  64.147""], ["" 132.949"", "" 125.236"", ""  65.435""], ["" 131.645"", "" 123.837"", ""  64.021""], ["" 132.806"", "" 123.180"", ""  64.108""], ["" 130.728"", "" 123.018"", ""  64.545""], ["" 131.307"", "" 124.116"", ""  62.520""], ["" 130.180"", "" 124.828"", ""  62.448""], ["" 132.257"", "" 124.891"", ""  61.990""], ["" 131.158"", "" 122.820"", ""  61.657""], ["" 131.551"", "" 123.071"", ""  60.405""], ["" 131.991"", "" 121.882"", ""  62.115""], ["" 129.705"", "" 122.244"", ""  61.631""], ["" 129.741"", "" 120.911"", ""  61.560""], ["" 129.076"", "" 122.535"", ""  62.773""], ["" 128.847"", "" 122.771"", ""  60.452""], ["" 127.543"", "" 122.666"", ""  60.717""], ["" 129.092"", "" 124.056"", ""  60.189""], ["" 129.076"", "" 122.096"", ""  59.325""]]",[],ZINC100046143
5,3251,ZINC100050078,receptor_tmp,1,20,-7.41,-0.20583333333333334,0.0,0.0,10,187.77,-10.09,-9.87,-0.22,-10.09,0.0,-2.87,2.68,-2.87,35,3,0.0,0.0,0.0,0.900001,10.505402,1.629088,-0.29007642,0.40256091,-0.86821679,141.115097,"307.728027, 247.374069, 232.961853, 270.73056, 338.372314, 8.290339, 164.936157, 253.482315, 296.01825, ","[["" 129.030"", "" 131.196"", ""  58.168""], ["" 130.047"", "" 132.228"", ""  57.671""], ["" 129.767"", "" 132.986"", ""  56.741""], ["" 131.223"", "" 132.198"", ""  58.340""], ["" 132.093"", "" 131.079"", ""  58.228""], ["" 133.505"", "" 131.566"", ""  57.891""], ["" 128.983"", "" 130.062"", ""  57.305""], ["" 129.337"", "" 128.821"", ""  57.802""], ["" 130.548"", "" 128.179"", ""  57.496""], ["" 128.421"", "" 128.188"", ""  58.653""], ["" 130.846"", "" 126.932"", ""  58.037""], ["" 128.735"", "" 126.926"", ""  59.186""], ["" 129.949"", "" 126.292"", ""  58.900""], ["" 127.241"", "" 128.861"", ""  58.919""], ["" 126.100"", "" 128.628"", ""  58.101""], ["" 130.269"", "" 124.909"", ""  59.522""], ["" 129.411"", "" 123.753"", ""  58.844""], ["" 128.019"", "" 123.514"", ""  59.505""], ["" 129.447"", "" 123.817"", ""  57.287""], ["" 127.763"", "" 123.817"", ""  60.668""], ["" 126.946"", "" 122.844"", ""  58.632""], ["" 128.289"", "" 123.145"", ""  56.534""], ["" 130.360"", "" 124.357"", ""  56.662""], ["" 126.895"", "" 123.365"", ""  57.173""], ["" 125.889"", "" 122.483"", ""  56.403""], ["" 126.500"", "" 124.867"", ""  57.133""], ["" 130.283"", "" 124.913"", ""  61.109""], ["" 130.869"", "" 123.639"", ""  61.760""], ["" 130.959"", "" 126.149"", ""  61.753""], ["" 131.443"", "" 122.735"", ""  61.152""], ["" 130.695"", "" 123.615"", ""  63.288""], ["" 130.798"", "" 126.193"", ""  63.281""], ["" 131.572"", "" 127.016"", ""  61.132""], ["" 131.282"", "" 124.885"", ""  63.988""], ["" 130.731"", "" 124.910"", ""  65.429""], ["" 132.831"", "" 124.824"", ""  63.950""]]",[],ZINC100050078
6,5486,ZINC100050142,receptor_tmp,1,14,-7.18,-0.19405405405405404,0.0,0.0,4,190.48,-10.76,-10.35,-0.41,-10.76,0.0,-3.2,3.58,-3.2,55,8,0.0,0.0,0.0,5.76822,9.325349,4.724695,-0.49856693,-0.66027295,-0.56166773,231.136688,"53.761326, 89.007072, 215.124619, 95.290138, 303.241394, 280.75592, 303.084625, 99.510048, 357.815399, 21.317091, 308.628448, 278.75119, ","[["" 130.757"", "" 128.564"", ""  59.970""], ["" 131.082"", "" 127.199"", ""  60.023""], ["" 130.917"", "" 126.416"", ""  61.184""], ["" 130.413"", "" 127.062"", ""  62.332""], ["" 130.070"", "" 128.421"", ""  62.282""], ["" 130.247"", "" 129.183"", ""  61.126""], ["" 130.881"", "" 129.319"", ""  58.815""], ["" 130.333"", "" 128.849"", ""  57.588""], ["" 129.882"", "" 130.550"", ""  61.189""], ["" 130.804"", "" 131.540"", ""  61.758""], ["" 132.266"", "" 131.465"", ""  61.270""], ["" 132.394"", "" 131.482"", ""  59.865""], ["" 132.480"", "" 130.577"", ""  59.555""], ["" 129.063"", "" 130.994"", ""  60.060""], ["" 129.189"", "" 132.497"", ""  59.758""], ["" 129.639"", "" 132.763"", ""  58.384""], ["" 129.993"", "" 132.972"", ""  57.302""], ["" 131.231"", "" 125.037"", ""  61.250""], ["" 130.723"", "" 124.289"", ""  60.359""], ["" 131.117"", "" 122.960"", ""  60.541""], ["" 130.149"", "" 122.017"", ""  60.942""], ["" 132.447"", "" 122.516"", ""  60.311""], ["" 130.484"", "" 120.680"", ""  61.137""], ["" 132.751"", "" 121.159"", ""  60.522""], ["" 131.789"", "" 120.231"", ""  60.933""], ["" 128.499"", "" 122.475"", ""  61.214""], ["" 133.545"", "" 123.423"", ""  59.851""], ["" 134.331"", "" 123.906"", ""  60.659""], ["" 133.632"", "" 123.673"", ""  58.652""], ["" 132.143"", "" 118.805"", ""  61.143""], ["" 133.291"", "" 118.442"", ""  60.902""], ["" 131.277"", "" 118.039"", ""  61.553""], ["" 130.220"", "" 126.298"", ""  63.508""], ["" 131.151"", "" 125.769"", ""  64.330""], ["" 132.369"", "" 125.841"", ""  64.167""], ["" 129.263"", "" 126.032"", ""  63.682""], ["" 130.610"", "" 124.994"", ""  65.528""]]",[],ZINC100050142
7,10270,ZINC100052783,receptor_tmp,1,5,-6.26,-0.13319148936170214,0.0,0.0,11,184.24,-9.84,-9.79,-0.05,-9.84,0.0,-2.78,3.58,-2.78,85,2,0.0,0.0,0.0,5.886096,8.972601,3.856714,-0.09217677,-0.79566134,-0.5986873,224.563766,"293.977753, 174.800522, 80.333099, 41.087894, 329.970825, 209.687378, 272.0047, 69.663902, 328.928223, 52.232704, 201.635529, 35.044144, ","[["" 131.427"", "" 124.479"", ""  60.045""], ["" 130.647"", "" 124.218"", ""  58.919""], ["" 129.743"", "" 125.224"", ""  58.581""], ["" 129.753"", "" 126.338"", ""  59.420""], ["" 130.947"", "" 126.044"", ""  60.667""], ["" 132.526"", "" 123.627"", ""  60.714""], ["" 132.743"", "" 124.107"", ""  62.175""], ["" 133.136"", "" 124.993"", ""  64.843""], ["" 133.947"", "" 125.458"", ""  63.795""], ["" 132.133"", "" 124.063"", ""  64.526""], ["" 133.756"", "" 125.023"", ""  62.488""], ["" 131.941"", "" 123.628"", ""  63.218""], ["" 133.331"", "" 125.438"", ""  66.182""], ["" 132.438"", "" 126.446"", ""  66.754""], ["" 134.642"", "" 125.293"", ""  66.818""], ["" 133.702"", "" 123.846"", ""  59.940""], ["" 133.618"", "" 124.694"", ""  59.499""], ["" 132.214"", "" 122.107"", ""  60.686""], ["" 130.958"", "" 121.592"", ""  61.036""], ["" 133.222"", "" 121.205"", ""  60.326""], ["" 130.718"", "" 120.221"", ""  61.012""], ["" 132.981"", "" 119.834"", ""  60.304""], ["" 131.723"", "" 119.311"", ""  60.643""], ["" 131.477"", "" 117.909"", ""  60.627""], ["" 132.562"", "" 116.971"", ""  60.923""], ["" 130.334"", "" 117.374"", ""  59.887""], ["" 128.907"", "" 127.630"", ""  59.364""], ["" 127.808"", "" 127.349"", ""  58.505""], ["" 127.072"", "" 127.053"", ""  59.045""], ["" 128.315"", "" 128.021"", ""  60.747""], ["" 128.038"", "" 129.368"", ""  61.009""], ["" 128.020"", "" 127.080"", ""  61.742""], ["" 127.502"", "" 129.766"", ""  62.230""], ["" 127.482"", "" 127.478"", ""  62.963""], ["" 127.215"", "" 128.829"", ""  63.237""], ["" 126.661"", "" 129.233"", ""  64.485""], ["" 127.522"", "" 129.363"", ""  65.661""], ["" 125.383"", "" 129.944"", ""  64.525""], ["" 129.774"", "" 128.752"", ""  58.729""], ["" 129.706"", "" 129.062"", ""  57.364""], ["" 130.636"", "" 129.505"", ""  59.536""], ["" 130.485"", "" 130.081"", ""  56.825""], ["" 131.413"", "" 130.526"", ""  58.996""], ["" 131.355"", "" 130.836"", ""  57.628""], ["" 132.154"", "" 131.878"", ""  57.075""], ["" 131.517"", "" 133.037"", ""  56.449""], ["" 133.536"", "" 132.053"", ""  57.521""]]",[],ZINC100052783
8,3019,ZINC100053898,receptor_tmp,1,4,-8.4,-0.19534883720930232,0.0,0.0,5,189.41,-12.28,-11.15,-1.12,-12.28,0.0,-2.24,3.88,-2.24,68,16,0.0,0.0,0.0,3.827735,8.907113,8.374726,0.22278903,0.97297054,0.06077315,78.308823,"332.973175, 258.011383, 178.021683, 266.390808, 359.504547, 221.472244, 97.774338, 69.891418, 19.464396, 304.267578, 102.667862, 122.691566, 87.714661, ","[["" 130.223"", "" 126.086"", ""  66.529""], ["" 130.390"", "" 125.004"", ""  65.742""], ["" 130.287"", "" 123.832"", ""  66.116""], ["" 130.310"", "" 127.027"", ""  66.172""], ["" 129.897"", "" 125.983"", ""  67.830""], ["" 129.730"", "" 127.113"", ""  68.392""], ["" 129.365"", "" 127.269"", ""  69.807""], ["" 130.078"", "" 127.516"", ""  72.140""], ["" 130.376"", "" 127.358"", ""  70.773""], ["" 128.734"", "" 127.576"", ""  72.529""], ["" 127.718"", "" 127.486"", ""  71.581""], ["" 128.031"", "" 127.336"", ""  70.233""], ["" 131.037"", "" 127.617"", ""  73.133""], ["" 131.343"", "" 126.483"", ""  73.938""], ["" 132.802"", "" 126.588"", ""  74.395""], ["" 128.396"", "" 127.726"", ""  73.851""], ["" 129.160"", "" 127.750"", ""  74.433""], ["" 130.754"", "" 125.294"", ""  64.269""], ["" 130.232"", "" 124.185"", ""  63.321""], ["" 131.306"", "" 123.302"", ""  62.701""], ["" 132.671"", "" 123.573"", ""  62.939""], ["" 130.942"", "" 122.206"", ""  61.893""], ["" 133.664"", "" 122.750"", ""  62.372""], ["" 131.935"", "" 121.384"", ""  61.325""], ["" 133.297"", "" 121.656"", ""  61.565""], ["" 134.261"", "" 120.861"", ""  61.015""], ["" 134.979"", "" 120.664"", ""  61.619""], ["" 130.240"", "" 126.600"", ""  63.840""], ["" 130.204"", "" 127.067"", ""  62.576""], ["" 130.601"", "" 126.411"", ""  61.609""], ["" 129.887"", "" 127.185"", ""  64.583""], ["" 129.610"", "" 128.447"", ""  62.385""], ["" 128.284"", "" 128.694"", ""  62.764""], ["" 130.353"", "" 129.499"", ""  61.827""], ["" 127.699"", "" 129.957"", ""  62.605""], ["" 129.799"", "" 130.775"", ""  61.655""], ["" 128.472"", "" 130.987"", ""  62.050""], ["" 126.294"", "" 130.201"", ""  63.016""], ["" 125.708"", "" 131.178"", ""  62.558""], ["" 125.766"", "" 129.417"", ""  63.799""], ["" 130.600"", "" 131.876"", ""  61.064""], ["" 131.656"", "" 132.193"", ""  61.607""], ["" 130.180"", "" 132.433"", ""  60.054""]]",[],ZINC100053898
9,13899,ZINC100058471,receptor_tmp,1,18,-7.6,-0.33043478260869563,0.0,0.0,8,188.13,-8.19,-8.33,0.14,-8.19,0.0,-0.34,0.6,-0.34,34,1,0.0,0.0,0.0,3.605593,6.91795,5.461289,0.22452119,0.89013574,-0.39654584,290.12674,"19.248127, 36.488491, ","[["" 131.271"", "" 124.754"", ""  64.054""], ["" 132.660"", "" 124.745"", ""  64.241""], ["" 133.232"", "" 125.309"", ""  65.383""], ["" 132.421"", "" 125.891"", ""  66.355""], ["" 131.039"", "" 125.909"", ""  66.185""], ["" 129.817"", "" 126.783"", ""  67.641""], ["" 130.467"", "" 125.346"", ""  65.043""], ["" 130.704"", "" 124.153"", ""  62.840""], ["" 129.687"", "" 124.623"", ""  62.219""], ["" 129.296"", "" 123.932"", ""  61.104""], ["" 127.229"", "" 123.197"", ""  61.914""], ["" 128.086"", "" 123.307"", ""  61.033""], ["" 127.983"", "" 122.689"", ""  59.644""], ["" 129.224"", "" 123.187"", ""  58.904""], ["" 126.793"", "" 123.192"", ""  58.763""], ["" 129.957"", "" 124.059"", ""  59.916""], ["" 128.644"", "" 123.933"", ""  57.659""], ["" 126.875"", "" 122.431"", ""  57.436""], ["" 127.353"", "" 124.479"", ""  58.213""], ["" 130.978"", "" 124.705"", ""  59.675""], ["" 127.976"", "" 122.873"", ""  56.779""], ["" 126.523"", "" 125.563"", ""  57.551""], ["" 127.204"", "" 125.835"", ""  58.873""]]",[],ZINC100058471
