,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,8538,ZINC100024116,receptor_tmp,3,3,-4.72,-0.3933333333333333,0.0,0.0,20,187.91,-4.72,-4.74,0.02,-4.72,0.0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,5.896038,5.116697,4.962888,-0.94629719,0.20393725,-0.25086096,226.180481,,"[["" 131.066"", "" 124.234"", ""  60.009""], ["" 131.488"", "" 123.557"", ""  61.615""], ["" 130.211"", "" 123.014"", ""  62.319""], ["" 130.565"", "" 122.814"", ""  64.062""], ["" 129.702"", "" 121.655"", ""  61.758""], ["" 128.880"", "" 121.906"", ""  60.184""], ["" 130.846"", "" 120.613"", ""  61.628""], ["" 130.229"", "" 119.100"", ""  60.894""], ["" 132.075"", "" 121.154"", ""  60.852""], ["" 133.382"", "" 119.930"", ""  60.894""], ["" 132.591"", "" 122.471"", ""  61.487""], ["" 134.000"", "" 123.117"", ""  60.592""]]",[],ZINC100024116
1,1802,ZINC100034590,receptor_tmp,1,6,-2.64,-0.09428571428571429,0.0,0.0,18,185.77,-5.33,-5.39,0.06,-5.33,0.0,-0.63,2.68,-0.63,62,5,0.0,0.0,0.0,4.778345,5.622053,5.465541,0.01612617,-0.9317168,0.36282745,216.809402,"221.030457, 337.212616, 318.19516, 335.974396, 354.597382, 201.156143, 272.247406, 72.03643, 13.118801, ","[["" 130.232"", "" 122.284"", ""  61.408""], ["" 130.359"", "" 122.670"", ""  60.132""], ["" 131.331"", "" 122.733"", ""  62.218""], ["" 132.668"", "" 122.683"", ""  61.712""], ["" 132.629"", "" 122.755"", ""  60.380""], ["" 133.262"", "" 121.534"", ""  62.047""], ["" 133.431"", "" 123.887"", ""  62.295""], ["" 133.141"", "" 125.034"", ""  61.678""], ["" 134.754"", "" 123.717"", ""  62.265""], ["" 132.965"", "" 124.126"", ""  64.121""], ["" 131.579"", "" 124.591"", ""  64.255""], ["" 134.072"", "" 124.728"", ""  64.873""], ["" 132.947"", "" 122.556"", ""  64.543""], ["" 130.196"", "" 120.731"", ""  61.483""], ["" 131.234"", "" 120.176"", ""  60.858""], ["" 130.231"", "" 120.295"", ""  62.744""], ["" 129.088"", "" 120.230"", ""  60.935""], ["" 128.966"", "" 122.957"", ""  62.004""], ["" 128.894"", "" 122.780"", ""  63.327""], ["" 128.996"", "" 124.274"", ""  61.777""], ["" 127.817"", "" 122.386"", ""  61.369""], ["" 127.074"", "" 123.176"", ""  60.432""], ["" 125.780"", "" 122.852"", ""  60.476""], ["" 127.187"", "" 124.473"", ""  60.729""], ["" 127.651"", "" 122.892"", ""  59.032""], ["" 128.307"", "" 121.731"", ""  59.009""], ["" 126.690"", "" 122.821"", ""  58.110""], ["" 128.510"", "" 123.839"", ""  58.654""]]",[],ZINC100034590
2,13159,ZINC100043079,receptor_tmp,1,18,-1.96,-0.0725925925925926,0.0,0.0,20,185.6,-2.85,-2.92,0.07,-2.85,0.0,0.12,0.89,0.12,76,0,0.0,0.0,0.0,3.539026,4.680201,5.315915,0.42503708,0.56656823,0.70593478,134.968185,"181.265778, 316.608215, 90.659912, ","[["" 130.970"", "" 120.083"", ""  60.942""], ["" 130.207"", "" 119.335"", ""  60.140""], ["" 131.017"", "" 119.449"", ""  62.118""], ["" 132.406"", "" 120.118"", ""  60.352""], ["" 133.297"", "" 119.547"", ""  61.162""], ["" 132.810"", "" 121.373"", ""  60.145""], ["" 132.483"", "" 119.483"", ""  59.182""], ["" 130.317"", "" 121.493"", ""  61.128""], ["" 130.743"", "" 122.267"", ""  60.125""], ["" 129.004"", "" 121.358"", ""  60.920""], ["" 130.607"", "" 122.173"", ""  62.538""], ["" 129.594"", "" 123.318"", ""  62.904""], ["" 132.075"", "" 122.715"", ""  62.687""], ["" 129.874"", "" 123.972"", ""  64.291""], ["" 132.356"", "" 123.368"", ""  64.073""], ["" 131.334"", "" 124.491"", ""  64.394""], ["" 130.469"", "" 121.259"", ""  63.506""], ["" 129.662"", "" 124.271"", ""  61.970""], ["" 128.344"", "" 122.850"", ""  62.885""], ["" 132.952"", "" 121.728"", ""  62.480""], ["" 132.296"", "" 123.630"", ""  61.739""], ["" 129.018"", "" 124.975"", ""  64.507""], ["" 129.667"", "" 123.068"", ""  65.252""], ["" 133.598"", "" 123.860"", ""  64.104""], ["" 132.284"", "" 122.430"", ""  65.022""], ["" 131.501"", "" 125.490"", ""  63.524""], ["" 131.562"", "" 124.988"", ""  65.612""]]",[],ZINC100043079
3,9375,ZINC100045963,receptor_tmp,1,1,-7.59,-0.19973684210526316,0.0,0.0,8,185.17,-10.58,-10.18,-0.4,-10.58,0.0,-2.32,2.98,-2.32,58,6,0.0,0.0,0.0,4.416314,11.221809,6.487069,0.84127455,0.4373981,-0.31771061,134.73703,"348.97406, 141.805374, 4.152944, 78.276077, 316.188477, 334.732422, 169.446075, 3.645513, 197.691254, 47.434517, ","[["" 129.353"", "" 126.260"", ""  69.330""], ["" 128.388"", "" 125.837"", ""  70.449""], ["" 129.046"", "" 124.922"", ""  71.497""], ["" 130.053"", "" 123.935"", ""  70.883""], ["" 130.915"", "" 123.225"", ""  71.936""], ["" 128.668"", "" 127.147"", ""  68.450""], ["" 128.681"", "" 126.899"", ""  67.090""], ["" 129.103"", "" 125.630"", ""  66.695""], ["" 128.300"", "" 127.831"", ""  66.112""], ["" 129.161"", "" 125.293"", ""  65.346""], ["" 128.357"", "" 127.493"", ""  64.762""], ["" 128.806"", "" 126.231"", ""  64.373""], ["" 128.856"", "" 125.891"", ""  62.943""], ["" 129.906"", "" 125.416"", ""  62.232""], ["" 129.865"", "" 125.008"", ""  60.819""], ["" 131.315"", "" 125.196"", ""  62.625""], ["" 128.779"", "" 125.009"", ""  59.939""], ["" 131.129"", "" 124.608"", ""  60.385""], ["" 132.015"", "" 124.588"", ""  61.579""], ["" 131.967"", "" 125.485"", ""  63.827""], ["" 128.944"", "" 124.655"", ""  58.596""], ["" 131.336"", "" 124.367"", ""  59.010""], ["" 133.310"", "" 124.082"", ""  61.821""], ["" 133.296"", "" 125.103"", ""  64.040""], ["" 130.234"", "" 124.353"", ""  58.145""], ["" 133.944"", "" 124.381"", ""  63.033""], ["" 127.789"", "" 124.643"", ""  57.664""], ["" 127.298"", "" 123.562"", ""  57.351""], ["" 127.365"", "" 125.714"", ""  57.239""], ["" 132.677"", "" 124.236"", ""  58.412""], ["" 133.148"", "" 123.109"", ""  58.284""], ["" 133.230"", "" 125.259"", ""  58.021""], ["" 133.994"", "" 123.160"", ""  60.896""], ["" 133.547"", "" 122.023"", ""  60.790""], ["" 135.005"", "" 123.557"", ""  60.322""], ["" 133.982"", "" 125.416"", ""  65.317""], ["" 133.427"", "" 126.168"", ""  66.114""], ["" 135.081"", "" 124.913"", ""  65.535""]]",[],ZINC100045963
4,7770,ZINC100046143,receptor_tmp,1,19,-2.65,-0.09137931034482759,0.0,0.0,7,186.76,-6.52,-6.36,-0.17,-6.52,0.0,-0.89,3.88,-0.89,57,6,0.0,0.0,0.0,4.633958,4.192841,4.824287,-0.12142032,-0.3051674,-0.94452632,151.988937,"125.148972, 157.299683, 315.126953, 263.29718, 294.594574, 45.929447, 284.251312, 169.399765, 12.02682, 286.715637, 117.583481, 12.591763, 98.312729, ","[["" 131.412"", "" 120.593"", ""  61.644""], ["" 132.762"", "" 121.106"", ""  61.105""], ["" 133.575"", "" 121.873"", ""  62.164""], ["" 134.197"", "" 123.170"", ""  61.621""], ["" 133.621"", "" 124.428"", ""  62.299""], ["" 134.284"", "" 124.723"", ""  63.526""], ["" 133.599"", "" 124.873"", ""  64.693""], ["" 134.093"", "" 124.725"", ""  65.812""], ["" 132.191"", "" 125.233"", ""  64.526""], ["" 131.157"", "" 124.529"", ""  65.027""], ["" 130.183"", "" 121.401"", ""  61.155""], ["" 130.356"", "" 121.718"", ""  59.870""], ["" 129.101"", "" 120.622"", ""  61.208""], ["" 129.960"", "" 122.692"", ""  62.003""], ["" 130.093"", "" 122.383"", ""  63.296""], ["" 130.943"", "" 123.556"", ""  61.736""], ["" 128.575"", "" 123.377"", ""  61.763""], ["" 127.600"", "" 122.519"", ""  62.073""], ["" 128.437"", "" 124.401"", ""  62.609""], ["" 128.370"", "" 123.887"", ""  60.298""], ["" 127.930"", "" 125.148"", ""  60.323""], ["" 129.549"", "" 123.929"", ""  59.673""], ["" 127.379"", "" 123.015"", ""  59.460""], ["" 127.665"", "" 121.720"", ""  59.615""], ["" 126.133"", "" 123.175"", ""  59.912""], ["" 127.394"", "" 123.340"", ""  57.944""], ["" 128.090"", "" 124.450"", ""  57.692""], ["" 127.944"", "" 122.359"", ""  57.226""], ["" 126.164"", "" 123.527"", ""  57.461""]]",[],ZINC100046143
5,8572,ZINC100050078,receptor_tmp,1,6,-7.31,-0.20305555555555554,0.0,0.0,11,187.04,-9.99,-10.06,0.07,-9.99,0.0,-2.52,2.68,-2.52,51,2,0.0,0.0,0.0,4.308401,6.437903,6.947037,0.69278566,-0.70277307,-0.16173449,242.388184,"160.530273, 97.208939, 36.663929, 335.041534, 32.317154, 284.002502, 27.243727, 55.977383, 348.296173, ","[["" 129.629"", "" 125.893"", ""  67.302""], ["" 129.055"", "" 126.800"", ""  68.395""], ["" 129.635"", "" 127.840"", ""  68.715""], ["" 127.903"", "" 126.339"", ""  68.935""], ["" 126.657"", "" 126.576"", ""  68.294""], ["" 126.814"", "" 127.716"", ""  67.283""], ["" 128.734"", "" 125.790"", ""  66.196""], ["" 129.172"", "" 125.192"", ""  65.028""], ["" 129.683"", "" 123.885"", ""  64.969""], ["" 129.093"", "" 125.951"", ""  63.852""], ["" 130.098"", "" 123.340"", ""  63.759""], ["" 129.524"", "" 125.387"", ""  62.639""], ["" 130.014"", "" 124.078"", ""  62.573""], ["" 128.585"", "" 127.234"", ""  63.965""], ["" 128.930"", "" 128.212"", ""  62.991""], ["" 130.461"", "" 123.484"", ""  61.213""], ["" 129.235"", "" 123.350"", ""  60.206""], ["" 127.877"", "" 123.005"", ""  60.890""], ["" 129.216"", "" 124.482"", ""  59.135""], ["" 127.793"", "" 122.445"", ""  61.981""], ["" 126.602"", "" 123.382"", ""  60.119""], ["" 127.865"", "" 124.790"", ""  58.471""], ["" 130.224"", "" 125.103"", ""  58.801""], ["" 126.656"", "" 124.774"", ""  59.440""], ["" 125.378"", "" 124.921"", ""  58.587""], ["" 126.780"", "" 125.905"", ""  60.498""], ["" 131.380"", "" 122.198"", ""  61.352""], ["" 130.696"", "" 120.863"", ""  60.975""], ["" 132.736"", "" 122.282"", ""  60.609""], ["" 129.588"", "" 120.761"", ""  60.448""], ["" 131.565"", "" 119.635"", ""  61.297""], ["" 133.661"", "" 121.091"", ""  60.911""], ["" 133.064"", "" 123.191"", ""  59.847""], ["" 132.985"", "" 119.706"", ""  60.644""], ["" 133.856"", "" 118.630"", ""  61.325""], ["" 132.860"", "" 119.482"", ""  59.115""]]",[],ZINC100050078
6,10849,ZINC100050142,receptor_tmp,1,16,-7.26,-0.1962162162162162,0.0,0.0,3,190.78,-10.84,-10.12,-0.71,-10.84,0.0,-3.25,3.58,-3.25,61,8,0.0,0.0,0.0,4.695841,9.225162,8.420591,-0.55441971,-0.32191977,-0.76745453,173.965469,"33.460712, 177.885803, 145.571609, 352.847656, 278.032928, 292.508698, 146.779434, 137.650772, 200.810806, 347.151062, 71.141174, 152.524338, ","[["" 128.916"", "" 127.686"", ""  66.627""], ["" 129.452"", "" 127.329"", ""  65.379""], ["" 129.846"", "" 126.013"", ""  65.062""], ["" 129.696"", "" 125.034"", ""  66.066""], ["" 129.146"", "" 125.379"", ""  67.309""], ["" 128.768"", "" 126.689"", ""  67.608""], ["" 128.490"", "" 128.971"", ""  66.920""], ["" 127.995"", "" 129.816"", ""  65.887""], ["" 128.237"", "" 126.930"", ""  68.899""], ["" 126.876"", "" 126.494"", ""  69.237""], ["" 125.752"", "" 127.004"", ""  68.312""], ["" 126.133"", "" 128.100"", ""  67.509""], ["" 127.001"", "" 128.398"", ""  67.793""], ["" 129.232"", "" 126.852"", ""  69.970""], ["" 128.702"", "" 126.203"", ""  71.261""], ["" 129.041"", "" 124.776"", ""  71.357""], ["" 129.307"", "" 123.652"", ""  71.434""], ["" 130.379"", "" 125.636"", ""  63.805""], ["" 131.544"", "" 126.055"", ""  63.527""], ["" 131.945"", "" 125.608"", ""  62.264""], ["" 131.425"", "" 126.251"", ""  61.122""], ["" 132.877"", "" 124.550"", ""  62.085""], ["" 131.790"", "" 125.849"", ""  59.841""], ["" 133.220"", "" 124.167"", ""  60.776""], ["" 132.689"", "" 124.801"", ""  59.647""], ["" 130.306"", "" 127.569"", ""  61.259""], ["" 133.518"", "" 123.821"", ""  63.225""], ["" 133.607"", "" 122.598"", ""  63.208""], ["" 133.940"", "" 124.477"", ""  64.173""], ["" 133.075"", "" 124.374"", ""  58.279""], ["" 132.908"", "" 125.157"", ""  57.349""], ["" 133.550"", "" 123.253"", ""  58.125""], ["" 130.067"", "" 123.701"", ""  65.771""], ["" 129.638"", "" 122.909"", ""  64.765""], ["" 128.794"", "" 123.222"", ""  63.925""], ["" 130.646"", "" 123.263"", ""  66.472""], ["" 130.242"", "" 121.509"", ""  64.721""]]",[],ZINC100050142
7,1626,ZINC100052783,receptor_tmp,1,18,-7.67,-0.16319148936170214,0.0,0.0,10,185.16,-11.25,-11.03,-0.22,-11.25,0.0,-2.42,3.58,-2.42,58,4,0.0,0.0,0.0,4.143155,9.538383,8.172732,-0.06368414,-0.99400407,-0.08888326,130.41655,"5.018231, 135.225449, 4.481936, 349.546143, 67.244194, 45.746002, 93.25428, 98.270981, 70.323387, 344.313019, 43.75227, 321.760712, ","[["" 130.511"", "" 125.469"", ""  64.461""], ["" 130.215"", "" 124.547"", ""  65.463""], ["" 129.268"", "" 124.969"", ""  66.395""], ["" 128.761"", "" 126.252"", ""  66.185""], ["" 129.554"", "" 126.903"", ""  64.766""], ["" 131.484"", "" 125.365"", ""  63.267""], ["" 131.492"", "" 123.909"", ""  62.726""], ["" 131.510"", "" 121.246"", ""  61.742""], ["" 132.705"", "" 121.959"", ""  61.933""], ["" 130.306"", "" 121.903"", ""  62.042""], ["" 132.696"", "" 123.265"", ""  62.414""], ["" 130.296"", "" 123.209"", ""  62.523""], ["" 131.518"", "" 119.910"", ""  61.251""], ["" 130.272"", "" 119.143"", ""  61.201""], ["" 132.760"", "" 119.135"", ""  61.255""], ["" 132.765"", "" 125.707"", ""  63.790""], ["" 132.686"", "" 126.543"", ""  64.256""], ["" 131.152"", "" 126.363"", ""  62.127""], ["" 130.956"", "" 127.731"", ""  62.361""], ["" 131.013"", "" 125.889"", ""  60.817""], ["" 130.646"", "" 128.595"", ""  61.315""], ["" 130.701"", "" 126.754"", ""  59.772""], ["" 130.514"", "" 128.128"", ""  59.997""], ["" 130.189"", "" 129.012"", ""  58.930""], ["" 130.480"", "" 128.631"", ""  57.547""], ["" 130.011"", "" 130.441"", ""  59.190""], ["" 127.714"", "" 127.049"", ""  66.995""], ["" 126.540"", "" 126.247"", ""  67.027""], ["" 126.035"", "" 126.420"", ""  66.229""], ["" 128.146"", "" 127.283"", ""  68.469""], ["" 127.528"", "" 126.541"", ""  69.483""], ["" 129.150"", "" 128.191"", ""  68.834""], ["" 127.885"", "" 126.711"", ""  70.817""], ["" 129.509"", "" 128.359"", ""  70.168""], ["" 128.883"", "" 127.627"", ""  71.190""], ["" 129.255"", "" 127.799"", ""  72.554""], ["" 128.348"", "" 128.477"", ""  73.481""], ["" 130.280"", "" 126.941"", ""  73.149""], ["" 127.408"", "" 128.367"", ""  66.230""], ["" 128.394"", "" 129.333"", ""  65.991""], ["" 126.119"", "" 128.600"", ""  65.735""], ["" 128.095"", "" 130.498"", ""  65.292""], ["" 125.822"", "" 129.765"", ""  65.033""], ["" 126.803"", "" 130.740"", ""  64.796""], ["" 126.497"", "" 131.935"", ""  64.083""], ["" 127.499"", "" 132.996"", ""  63.965""], ["" 125.423"", "" 131.938"", ""  63.090""]]",[],ZINC100052783
8,8478,ZINC100053898,receptor_tmp,1,11,-9.14,-0.21255813953488373,0.0,0.0,1,189.19,-13.02,-11.63,-1.39,-13.02,0.0,-1.73,3.88,-1.73,57,13,0.0,0.0,0.0,4.128693,9.440331,6.871696,-0.46873629,-0.87910016,0.08642455,296.029694,"308.974762, 42.42659, 57.842861, 319.109436, 266.967316, 113.665443, 174.285675, 12.824817, 73.63958, 10.166493, 215.1297, 202.259277, 87.697693, ","[["" 130.019"", "" 126.265"", ""  65.266""], ["" 130.080"", "" 125.192"", ""  64.453""], ["" 129.532"", "" 124.106"", ""  64.668""], ["" 130.479"", "" 127.135"", ""  65.040""], ["" 129.314"", "" 126.257"", ""  66.412""], ["" 129.999"", "" 125.873"", ""  67.414""], ["" 129.459"", "" 125.783"", ""  68.778""], ["" 129.376"", "" 124.599"", ""  70.924""], ["" 129.858"", "" 124.725"", ""  69.608""], ["" 128.471"", "" 125.556"", ""  71.401""], ["" 128.064"", "" 126.611"", ""  70.587""], ["" 128.554"", "" 126.724"", ""  69.290""], ["" 129.742"", "" 123.580"", ""  71.787""], ["" 131.108"", "" 123.186"", ""  71.875""], ["" 131.533"", "" 123.223"", ""  73.346""], ["" 127.973"", "" 125.471"", ""  72.676""], ["" 127.014"", "" 125.424"", ""  72.702""], ["" 130.924"", "" 125.367"", ""  63.171""], ["" 130.396"", "" 124.482"", ""  62.013""], ["" 131.330"", "" 124.352"", ""  60.818""], ["" 132.502"", "" 123.571"", ""  60.915""], ["" 131.025"", "" 125.005"", ""  59.607""], ["" 133.361"", "" 123.444"", ""  59.806""], ["" 131.885"", "" 124.880"", ""  58.498""], ["" 133.053"", "" 124.099"", ""  58.598""], ["" 133.888"", "" 123.976"", ""  57.524""], ["" 134.747"", "" 124.379"", ""  57.665""], ["" 130.965"", "" 126.771"", ""  62.747""], ["" 130.096"", "" 127.379"", ""  61.915""], ["" 129.129"", "" 126.798"", ""  61.417""], ["" 131.729"", "" 127.310"", ""  63.129""], ["" 130.344"", "" 128.848"", ""  61.639""], ["" 131.606"", "" 129.271"", ""  61.203""], ["" 129.339"", "" 129.811"", ""  61.814""], ["" 131.875"", "" 130.621"", ""  60.936""], ["" 129.573"", "" 131.168"", ""  61.555""], ["" 130.846"", "" 131.555"", ""  61.116""], ["" 133.217"", "" 131.050"", ""  60.472""], ["" 133.945"", "" 131.655"", ""  61.255""], ["" 133.555"", "" 130.787"", ""  59.322""], ["" 128.497"", "" 132.173"", ""  61.744""], ["" 127.448"", "" 131.820"", ""  62.276""], ["" 128.692"", "" 133.324"", ""  61.361""]]",[],ZINC100053898
9,4586,ZINC100058471,receptor_tmp,5,15,-8.03,-0.3491304347826087,0.0,0.0,20,190.31,-8.63,-8.61,-0.02,-8.63,0.0,-0.32,0.6,-0.32,26,3,0.0,0.0,0.0,5.793129,6.026248,9.504398,-0.30072822,0.13383775,-0.9442722,227.797119,"340.102295, 214.092209, ","[["" 129.652"", "" 125.729"", ""  66.755""], ["" 129.197"", "" 126.926"", ""  66.184""], ["" 128.590"", "" 127.908"", ""  66.967""], ["" 128.428"", "" 127.707"", ""  68.337""], ["" 128.874"", "" 126.524"", ""  68.922""], ["" 128.633"", "" 126.218"", ""  70.977""], ["" 129.481"", "" 125.542"", ""  68.137""], ["" 130.285"", "" 124.718"", ""  65.899""], ["" 131.012"", "" 124.999"", ""  64.882""], ["" 131.522"", "" 123.927"", ""  64.200""], ["" 129.544"", "" 123.285"", ""  63.130""], ["" 130.753"", "" 123.183"", ""  63.354""], ["" 131.659"", "" 122.118"", ""  62.748""], ["" 133.060"", "" 122.470"", ""  63.246""], ["" 131.795"", "" 122.149"", ""  61.190""], ["" 132.867"", "" 123.713"", ""  64.105""], ["" 133.885"", "" 122.672"", ""  61.933""], ["" 132.724"", "" 120.994"", ""  60.806""], ["" 132.835"", "" 123.224"", ""  61.004""], ["" 133.781"", "" 124.349"", ""  64.632""], ["" 133.968"", "" 121.306"", ""  61.247""], ["" 133.131"", "" 123.913"", ""  59.684""], ["" 132.530"", "" 124.698"", ""  60.828""]]",[],ZINC100058471
