,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,5448,ZINC100024116,receptor_tmp,1,14,-5.11,-0.42583333333333334,0.0,0.0,20,188.49,-5.11,-5.06,-0.05,-5.11,0.0,0.0,0.0,0.0,18,0,0.0,0.0,0.0,6.374532,5.967917,3.978104,-0.01544181,0.99793268,0.06238529,218.239548,,"[["" 133.291"", "" 120.688"", ""  60.144""], ["" 132.456"", "" 121.724"", ""  61.345""], ["" 133.129"", "" 123.126"", ""  61.404""], ["" 132.619"", "" 123.939"", ""  62.914""], ["" 132.782"", "" 124.051"", ""  60.202""], ["" 133.690"", "" 123.536"", ""  58.744""], ["" 131.256"", "" 124.092"", ""  59.920""], ["" 130.916"", "" 125.095"", ""  58.475""], ["" 130.624"", "" 122.682"", ""  59.787""], ["" 128.849"", "" 122.846"", ""  59.616""], ["" 130.937"", "" 121.819"", ""  61.037""], ["" 130.228"", "" 120.181"", ""  60.890""]]",[],ZINC100024116
1,13007,ZINC100034590,receptor_tmp,1,2,-2.2,-0.07857142857142858,0.0,0.0,11,186.55,-4.89,-4.98,0.09,-4.89,0.0,-0.76,2.68,-0.76,53,3,0.0,0.0,0.0,6.874144,5.940935,4.841375,-0.86303563,0.49157431,-0.11629363,262.706055,"282.64682, 145.250397, 1.042374, 0.607681, 236.55986, 87.859596, 264.996887, 58.3806, 309.765198, ","[["" 132.134"", "" 122.345"", ""  61.443""], ["" 131.625"", "" 121.808"", ""  62.560""], ["" 131.121"", "" 122.965"", ""  60.634""], ["" 129.739"", "" 122.669"", ""  60.856""], ["" 129.366"", "" 123.197"", ""  62.024""], ["" 129.537"", "" 121.350"", ""  60.915""], ["" 128.938"", "" 123.297"", ""  59.701""], ["" 128.779"", "" 122.467"", ""  58.667""], ["" 129.488"", "" 124.426"", ""  59.252""], ["" 127.193"", "" 123.753"", ""  60.297""], ["" 126.948"", "" 123.239"", ""  61.650""], ["" 126.212"", "" 123.613"", ""  59.214""], ["" 127.437"", "" 125.351"", ""  60.469""], ["" 132.805"", "" 121.234"", ""  60.587""], ["" 133.863"", "" 120.703"", ""  61.199""], ["" 131.966"", "" 120.228"", ""  60.333""], ["" 133.219"", "" 121.694"", ""  59.406""], ["" 133.110"", "" 123.485"", ""  61.844""], ["" 134.314"", "" 123.317"", ""  61.289""], ["" 132.636"", "" 124.663"", ""  61.425""], ["" 133.224"", "" 123.493"", ""  63.271""], ["" 132.881"", "" 124.683"", ""  63.991""], ["" 133.527"", "" 124.722"", ""  65.158""], ["" 133.229"", "" 125.764"", ""  63.289""], ["" 131.358"", "" 124.659"", ""  64.222""], ["" 130.713"", "" 125.295"", ""  63.243""], ["" 130.887"", "" 123.412"", ""  64.261""], ["" 131.026"", "" 125.256"", ""  65.367""]]",[],ZINC100034590
2,2110,ZINC100043079,receptor_tmp,1,9,-1.73,-0.06407407407407407,0.0,0.0,20,185.09,-2.62,-2.76,0.14,-2.62,0.0,0.13,0.89,0.13,54,0,0.0,0.0,0.0,5.259784,5.645604,4.039381,-0.27330367,-0.81143599,-0.51660115,72.310303,"166.137192, 356.367889, 20.28973, ","[["" 128.534"", "" 123.384"", ""  59.075""], ["" 128.720"", "" 122.475"", ""  58.112""], ["" 129.199"", "" 124.479"", ""  58.694""], ["" 127.022"", "" 123.729"", ""  59.132""], ["" 126.807"", "" 125.045"", ""  59.143""], ["" 126.454"", "" 123.228"", ""  60.231""], ["" 126.355"", "" 123.237"", ""  58.087""], ["" 129.123"", "" 122.850"", ""  60.424""], ["" 128.511"", "" 123.505"", ""  61.415""], ["" 128.729"", "" 121.581"", ""  60.559""], ["" 130.705"", "" 122.975"", ""  60.547""], ["" 131.429"", "" 121.598"", ""  60.770""], ["" 131.173"", "" 123.990"", ""  61.653""], ["" 132.979"", "" 121.723"", ""  60.879""], ["" 132.722"", "" 124.117"", ""  61.762""], ["" 133.395"", "" 122.735"", ""  61.981""], ["" 131.203"", "" 123.452"", ""  59.400""], ["" 130.974"", "" 121.047"", ""  61.899""], ["" 131.126"", "" 120.753"", ""  59.782""], ["" 130.648"", "" 125.196"", ""  61.422""], ["" 130.701"", "" 123.587"", ""  62.837""], ["" 133.520"", "" 120.528"", ""  61.130""], ["" 133.469"", "" 122.135"", ""  59.705""], ["" 133.045"", "" 124.943"", ""  62.760""], ["" 133.197"", "" 124.658"", ""  60.636""], ["" 133.024"", "" 122.256"", ""  63.171""], ["" 134.723"", "" 122.868"", ""  62.007""]]",[],ZINC100043079
3,5723,ZINC100045963,receptor_tmp,1,7,-4.61,-0.12131578947368422,0.0,0.0,15,185.67,-7.59,-7.51,-0.08,-7.59,0.0,-2.44,2.98,-2.44,53,2,0.0,0.0,0.0,6.406348,9.135761,7.57898,-0.86024238,-0.30400839,0.40934331,251.919083,"255.299591, 202.224411, 314.657013, 154.149384, 335.764313, 353.147186, 175.844376, 150.471024, 272.820618, 31.013645, ","[["" 130.149"", "" 127.577"", ""  70.289""], ["" 128.981"", "" 127.798"", ""  71.263""], ["" 128.750"", "" 126.603"", ""  72.205""], ["" 130.006"", "" 125.734"", ""  72.390""], ["" 131.059"", "" 126.388"", ""  73.295""], ["" 129.727"", "" 127.949"", ""  68.980""], ["" 130.201"", "" 127.246"", ""  67.888""], ["" 129.454"", "" 126.137"", ""  67.492""], ["" 131.362"", "" 127.582"", ""  67.174""], ["" 129.861"", "" 125.360"", ""  66.411""], ["" 131.768"", "" 126.806"", ""  66.092""], ["" 131.032"", "" 125.682"", ""  65.719""], ["" 131.474"", "" 124.876"", ""  64.571""], ["" 131.190"", "" 125.059"", ""  63.260""], ["" 131.740"", "" 124.267"", ""  62.148""], ["" 130.291"", "" 126.027"", ""  62.596""], ["" 132.648"", "" 123.205"", ""  62.196""], ["" 131.207"", "" 124.691"", ""  60.931""], ["" 130.399"", "" 125.909"", ""  61.207""], ["" 129.431"", "" 126.980"", ""  63.150""], ["" 133.005"", "" 122.514"", ""  61.033""], ["" 131.462"", "" 123.929"", ""  59.771""], ["" 129.803"", "" 126.888"", ""  60.384""], ["" 128.731"", "" 127.881"", ""  62.341""], ["" 132.389"", "" 122.881"", ""  59.831""], ["" 128.948"", "" 127.834"", ""  60.960""], ["" 133.978"", "" 121.396"", ""  61.080""], ["" 134.828"", "" 121.393"", ""  61.967""], ["" 133.900"", "" 120.512"", ""  60.232""], ["" 130.716"", "" 124.111"", ""  58.513""], ["" 131.323"", "" 124.535"", ""  57.533""], ["" 129.536"", "" 123.774"", ""  58.495""], ["" 130.121"", "" 127.030"", ""  58.952""], ["" 131.304"", "" 127.088"", ""  58.633""], ["" 129.191"", "" 127.136"", ""  58.158""], ["" 127.817"", "" 128.887"", ""  62.936""], ["" 127.643"", "" 128.875"", ""  64.151""], ["" 127.268"", "" 129.696"", ""  62.194""]]",[],ZINC100045963
4,3873,ZINC100046143,receptor_tmp,1,13,-2.87,-0.09896551724137931,0.0,0.0,7,189.32,-6.74,-6.48,-0.26,-6.74,0.0,-0.27,3.88,-0.27,57,1,0.0,0.0,0.0,5.978625,7.947792,7.5493,0.31422468,-0.89008431,-0.33017083,267.709625,"279.945679, 149.777695, 261.215607, 319.556305, 72.541107, 38.860706, 344.220612, 99.431984, 269.71756, 40.567646, 118.633575, 74.950752, 8.306776, ","[["" 130.638"", "" 125.849"", ""  64.839""], ["" 130.481"", "" 125.827"", ""  66.373""], ["" 129.865"", "" 127.124"", ""  66.928""], ["" 130.472"", "" 127.551"", ""  68.275""], ["" 129.511"", "" 127.314"", ""  69.455""], ["" 130.195"", "" 126.835"", ""  70.611""], ["" 129.535"", "" 126.548"", ""  71.767""], ["" 129.887"", "" 125.683"", ""  72.571""], ["" 128.342"", "" 127.361"", ""  72.000""], ["" 128.351"", "" 128.605"", ""  72.517""], ["" 131.573"", "" 124.746"", ""  64.280""], ["" 132.721"", "" 124.765"", ""  64.961""], ["" 131.021"", "" 123.552"", ""  64.507""], ["" 131.847"", "" 124.932"", ""  62.756""], ["" 131.529"", "" 126.184"", ""  62.414""], ["" 133.161"", "" 124.823"", ""  62.539""], ["" 131.075"", "" 123.923"", ""  61.844""], ["" 129.762"", "" 124.085"", ""  62.021""], ["" 131.307"", "" 124.219"", ""  60.563""], ["" 131.451"", "" 122.426"", ""  62.104""], ["" 132.605"", "" 122.367"", ""  62.774""], ["" 130.539"", "" 121.872"", ""  62.907""], ["" 131.571"", "" 121.571"", ""  60.801""], ["" 131.223"", "" 120.307"", ""  61.049""], ["" 130.712"", "" 122.016"", ""  59.880""], ["" 132.993"", "" 121.573"", ""  60.183""], ["" 133.212"", "" 122.682"", ""  59.474""], ["" 133.945"", "" 121.510"", ""  61.117""], ["" 133.185"", "" 120.537"", ""  59.366""]]",[],ZINC100046143
5,5320,ZINC100050078,receptor_tmp,1,6,-6.35,-0.17638888888888887,0.0,0.0,1,188.46,-9.03,-8.93,-0.1,-9.03,0.0,0.17,2.68,0.17,49,1,0.0,0.0,0.0,4.48478,8.334475,-0.44477,0.07331972,-0.20525216,0.9759589,273.976288,"320.457581, 79.187561, 352.829315, 1.876831, 219.826202, 224.179276, 235.688995, 118.233627, 306.80069, ","[["" 128.568"", "" 129.580"", ""  57.183""], ["" 128.678"", "" 131.102"", ""  57.311""], ["" 127.860"", "" 131.735"", ""  57.982""], ["" 129.721"", "" 131.631"", ""  56.630""], ["" 130.919"", "" 131.992"", ""  57.305""], ["" 132.122"", "" 131.657"", ""  56.419""], ["" 129.800"", "" 129.010"", ""  56.745""], ["" 130.353"", "" 127.964"", ""  57.462""], ["" 130.583"", "" 126.688"", ""  56.923""], ["" 130.691"", "" 128.215"", ""  58.799""], ["" 131.150"", "" 125.682"", ""  57.698""], ["" 131.257"", "" 127.185"", ""  59.571""], ["" 131.506"", "" 125.919"", ""  59.030""], ["" 130.440"", "" 129.487"", ""  59.283""], ["" 130.822"", "" 129.819"", ""  60.613""], ["" 132.151"", "" 124.814"", ""  59.907""], ["" 131.556"", "" 123.378"", ""  59.564""], ["" 132.523"", "" 122.193"", ""  59.864""], ["" 130.079"", "" 123.216"", ""  60.034""], ["" 133.745"", "" 122.315"", ""  59.915""], ["" 131.880"", "" 120.815"", ""  60.081""], ["" 129.571"", "" 121.783"", ""  60.258""], ["" 129.323"", "" 124.172"", ""  60.207""], ["" 130.593"", "" 120.841"", ""  60.945""], ["" 129.995"", "" 119.419"", ""  60.925""], ["" 130.903"", "" 121.321"", ""  62.389""], ["" 132.213"", "" 125.181"", ""  61.449""], ["" 130.896"", "" 125.732"", ""  62.043""], ["" 132.731"", "" 124.047"", ""  62.369""], ["" 129.813"", "" 125.753"", ""  61.460""], ["" 131.059"", "" 126.240"", ""  63.487""], ["" 132.936"", "" 124.502"", ""  63.824""], ["" 132.957"", "" 122.895"", ""  62.003""], ["" 131.663"", "" 125.163"", ""  64.447""], ["" 132.105"", "" 125.891"", ""  65.733""], ["" 130.601"", "" 124.068"", ""  64.725""]]",[],ZINC100050078
6,1245,ZINC100050142,receptor_tmp,1,9,-6.84,-0.18486486486486486,0.0,0.0,5,190.63,-10.42,-9.79,-0.63,-10.42,0.0,-3.33,3.58,-3.33,48,13,0.0,0.0,0.0,4.8414,9.902246,4.693689,0.82155377,-0.38164768,-0.42354983,127.644012,"355.922394, 260.980255, 97.028091, 0.423704, 109.56385, 161.436493, 125.320801, 73.117882, 68.237862, 207.933914, 335.460266, 13.61437, ","[["" 131.295"", "" 124.924"", ""  59.463""], ["" 130.618"", "" 126.108"", ""  59.796""], ["" 130.456"", "" 126.552"", ""  61.125""], ["" 130.998"", "" 125.743"", ""  62.146""], ["" 131.691"", "" 124.568"", ""  61.820""], ["" 131.835"", "" 124.140"", ""  60.499""], ["" 131.489"", "" 124.514"", ""  58.154""], ["" 130.846"", "" 125.200"", ""  57.085""], ["" 132.540"", "" 122.931"", ""  60.283""], ["" 133.971"", "" 122.953"", ""  59.957""], ["" 134.399"", "" 123.937"", ""  58.849""], ["" 133.871"", "" 123.622"", ""  57.579""], ["" 132.942"", "" 123.865"", ""  57.566""], ["" 132.078"", "" 121.822"", ""  61.120""], ["" 130.905"", "" 121.034"", ""  60.511""], ["" 129.645"", "" 121.791"", ""  60.530""], ["" 128.652"", "" 122.386"", ""  60.544""], ["" 129.784"", "" 127.748"", ""  61.475""], ["" 129.751"", "" 128.665"", ""  60.598""], ["" 129.057"", "" 129.782"", ""  61.073""], ["" 127.696"", "" 129.639"", ""  61.413""], ["" 129.675"", "" 131.049"", ""  61.255""], ["" 126.957"", "" 130.716"", ""  61.891""], ["" 128.896"", "" 132.117"", ""  61.736""], ["" 127.543"", "" 131.971"", ""  62.057""], ["" 126.879"", "" 128.118"", ""  61.248""], ["" 131.120"", "" 131.305"", ""  60.960""], ["" 131.522"", "" 131.332"", ""  59.802""], ["" 131.887"", "" 131.478"", ""  61.904""], ["" 126.751"", "" 133.118"", ""  62.567""], ["" 126.517"", "" 134.055"", ""  61.808""], ["" 126.355"", "" 133.090"", ""  63.728""], ["" 130.866"", "" 126.171"", ""  63.488""], ["" 131.057"", "" 125.462"", ""  64.621""], ["" 131.358"", "" 124.270"", ""  64.672""], ["" 130.476"", "" 127.095"", ""  63.596""], ["" 130.835"", "" 126.225"", ""  65.924""]]",[],ZINC100050142
7,12065,ZINC100052783,receptor_tmp,1,2,10.74,0.22851063829787235,0.0,0.0,5,185.31,7.17,7.0,0.17,7.17,0.0,-1.35,3.58,-1.35,110,7,0.0,0.0,0.0,4.092646,9.576779,8.052273,0.01393344,-0.98149547,0.19097774,117.577248,"323.214722, 7.211036, 142.669037, 178.875015, 215.30777, 77.917755, 82.223244, 158.760727, 24.733711, 33.507721, 169.763596, 288.319061, ","[["" 130.692"", "" 125.863"", ""  64.327""], ["" 130.942"", "" 125.359"", ""  65.602""], ["" 130.087"", "" 125.825"", ""  66.600""], ["" 129.112"", "" 126.727"", ""  66.172""], ["" 129.342"", "" 126.971"", ""  64.453""], ["" 131.406"", "" 125.581"", ""  62.987""], ["" 131.143"", "" 124.113"", ""  62.554""], ["" 130.664"", "" 121.431"", ""  61.756""], ["" 129.892"", "" 122.490"", ""  61.250""], ["" 131.672"", "" 121.746"", ""  62.682""], ["" 130.126"", "" 123.804"", ""  61.643""], ["" 131.906"", "" 123.060"", ""  63.075""], ["" 130.426"", "" 120.086"", ""  61.355""], ["" 131.544"", "" 119.242"", ""  60.930""], ["" 129.095"", "" 119.682"", ""  60.898""], ["" 132.793"", "" 125.782"", ""  63.246""], ["" 133.159"", "" 124.959"", ""  63.579""], ["" 130.985"", "" 126.561"", ""  61.860""], ["" 131.190"", "" 126.277"", ""  60.503""], ["" 130.403"", "" 127.788"", ""  62.198""], ["" 130.811"", "" 127.185"", ""  59.520""], ["" 130.026"", "" 128.698"", ""  61.214""], ["" 130.219"", "" 128.415"", ""  59.852""], ["" 129.840"", "" 129.347"", ""  58.845""], ["" 130.273"", "" 129.148"", ""  57.461""], ["" 129.440"", "" 130.705"", ""  59.216""], ["" 128.006"", "" 127.447"", ""  66.976""], ["" 126.865"", "" 126.598"", ""  66.931""], ["" 126.292"", "" 126.900"", ""  66.222""], ["" 128.376"", "" 127.634"", ""  68.473""], ["" 127.350"", "" 127.683"", ""  69.425""], ["" 129.700"", "" 127.730"", ""  68.924""], ["" 127.633"", "" 127.843"", ""  70.777""], ["" 129.982"", "" 127.888"", ""  70.277""], ["" 128.957"", "" 127.952"", ""  71.234""], ["" 129.249"", "" 128.110"", ""  72.619""], ["" 128.174"", "" 128.413"", ""  73.565""], ["" 130.476"", "" 127.544"", ""  73.180""], ["" 127.673"", "" 128.783"", ""  66.256""], ["" 127.126"", "" 128.816"", ""  64.966""], ["" 127.895"", "" 130.000"", ""  66.911""], ["" 126.826"", "" 130.027"", ""  64.350""], ["" 127.592"", "" 131.211"", ""  66.296""], ["" 127.051"", "" 131.252"", ""  65.001""], ["" 126.746"", "" 132.491"", ""  64.369""], ["" 125.495"", "" 132.647"", ""  63.626""], ["" 127.393"", "" 133.722"", ""  64.823""]]",[],ZINC100052783
8,5176,ZINC100053898,receptor_tmp,1,6,-9.45,-0.2197674418604651,0.0,0.0,6,187.94,-13.33,-12.06,-1.27,-13.33,0.0,-1.95,3.88,-1.95,56,14,0.0,0.0,0.0,4.415903,9.154063,7.898836,-0.10970507,-0.98097032,-0.1601937,300.423523,"317.16098, 10.202403, 48.642284, 302.765503, 286.920013, 183.078369, 223.904709, 291.665314, 181.203705, 33.970901, 152.608582, 104.691795, 22.039164, ","[["" 130.131"", "" 126.610"", ""  66.239""], ["" 130.665"", "" 125.506"", ""  65.680""], ["" 130.572"", "" 124.363"", ""  66.138""], ["" 130.228"", "" 127.523"", ""  65.819""], ["" 129.407"", "" 126.562"", ""  67.372""], ["" 130.005"", "" 127.087"", ""  68.366""], ["" 129.424"", "" 127.164"", ""  69.714""], ["" 129.632"", "" 126.711"", ""  72.114""], ["" 130.142"", "" 126.654"", ""  70.804""], ["" 128.371"", "" 127.287"", ""  72.318""], ["" 127.644"", "" 127.795"", ""  71.244""], ["" 128.166"", "" 127.735"", ""  69.955""], ["" 130.303"", "" 126.231"", ""  73.226""], ["" 131.673"", "" 125.859"", ""  73.119""], ["" 132.429"", "" 126.426"", ""  74.325""], ["" 127.833"", "" 127.361"", ""  73.578""], ["" 126.926"", "" 127.048"", ""  73.617""], ["" 131.460"", "" 125.730"", ""  64.375""], ["" 132.688"", "" 124.790"", ""  64.283""], ["" 132.606"", "" 123.718"", ""  63.205""], ["" 133.599"", "" 123.641"", ""  62.205""], ["" 131.542"", "" 122.793"", ""  63.206""], ["" 133.527"", "" 122.643"", ""  61.212""], ["" 131.469"", "" 121.797"", ""  62.213""], ["" 132.462"", "" 121.722"", ""  61.216""], ["" 132.393"", "" 120.757"", ""  60.253""], ["" 133.143"", "" 120.763"", ""  59.655""], ["" 130.607"", "" 125.553"", ""  63.193""], ["" 130.951"", "" 125.810"", ""  61.916""], ["" 132.068"", "" 126.221"", ""  61.593""], ["" 129.678"", "" 125.207"", ""  63.385""], ["" 129.894"", "" 125.532"", ""  60.866""], ["" 128.726"", "" 124.843"", ""  61.218""], ["" 130.053"", "" 125.943"", ""  59.533""], ["" 127.725"", "" 124.569"", ""  60.276""], ["" 129.072"", "" 125.685"", ""  58.567""], ["" 127.914"", "" 124.998"", ""  58.956""], ["" 126.493"", "" 123.841"", ""  60.669""], ["" 126.363"", "" 123.492"", ""  61.839""], ["" 125.646"", "" 123.612"", ""  59.811""], ["" 129.255"", "" 126.129"", ""  57.162""], ["" 130.393"", "" 126.163"", ""  56.699""], ["" 128.264"", "" 126.446"", ""  56.510""]]",[],ZINC100053898
9,7076,ZINC100058471,receptor_tmp,1,5,-8.04,-0.3495652173913043,0.0,0.0,13,191.21,-8.64,-8.74,0.1,-8.64,0.0,0.1,0.6,0.1,41,4,0.0,0.0,0.0,6.720792,9.378742,9.046188,-0.48276997,-0.103101,-0.86965702,177.960114,"57.483925, 44.797367, ","[["" 129.428"", "" 126.880"", ""  67.361""], ["" 128.050"", "" 127.115"", ""  67.259""], ["" 127.279"", "" 127.360"", ""  68.396""], ["" 127.877"", "" 127.373"", ""  69.655""], ["" 129.245"", "" 127.142"", ""  69.775""], ["" 130.147"", "" 127.161"", ""  71.662""], ["" 130.016"", "" 126.897"", ""  68.637""], ["" 130.207"", "" 126.624"", ""  66.143""], ["" 131.080"", "" 125.692"", ""  66.037""], ["" 131.711"", "" 125.601"", ""  64.825""], ["" 133.711"", "" 124.667"", ""  65.598""], ["" 132.959"", "" 125.063"", ""  64.704""], ["" 133.312"", "" 125.087"", ""  63.222""], ["" 132.037"", "" 125.559"", ""  62.526""], ["" 133.603"", "" 123.695"", ""  62.571""], ["" 131.035"", "" 125.775"", ""  63.652""], ["" 131.701"", "" 124.400"", ""  61.531""], ["" 133.950"", "" 123.959"", ""  61.103""], ["" 132.206"", "" 123.201"", ""  62.291""], ["" 129.855"", "" 126.092"", ""  63.490""], ["" 132.818"", "" 124.377"", ""  60.484""], ["" 131.855"", "" 121.762"", ""  61.958""], ["" 131.374"", "" 122.377"", ""  63.252""]]",[],ZINC100058471
