,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,2659,1a_Ghoteimi_2023,receptor_tmp,1,12,-9.2,-0.224390243902439,0.0,0.0,1,187.78,-12.48,-11.89,-0.59,-12.48,0.0,-0.53,3.28,-0.53,37,4,0.0,0.0,0.0,0.426016,11.012012,7.069617,-0.75708694,-0.23826223,0.60831775,123.222717,"294.413635, 218.812225, 52.583179, 258.199066, 300.493591, 71.222031, 250.899887, 37.408401, 228.36084, 87.375755, 12.728317, ","[["" 127.613"", "" 129.927"", ""  62.631""], ["" 128.029"", "" 129.558"", ""  61.400""], ["" 127.739"", "" 131.047"", ""  63.124""], ["" 127.807"", "" 128.614"", ""  61.121""], ["" 126.927"", "" 128.832"", ""  63.448""], ["" 127.060"", "" 129.141"", ""  65.233""], ["" 128.277"", "" 127.997"", ""  65.844""], ["" 130.032"", "" 126.343"", ""  65.619""], ["" 129.100"", "" 127.215"", ""  65.007""], ["" 130.081"", "" 126.296"", ""  67.018""], ["" 128.991"", "" 127.296"", ""  63.546""], ["" 129.248"", "" 127.115"", ""  67.791""], ["" 128.905"", "" 127.360"", ""  62.394""], ["" 128.359"", "" 127.953"", ""  67.195""], ["" 130.973"", "" 125.464"", ""  64.860""], ["" 132.743"", "" 123.838"", ""  63.403""], ["" 131.424"", "" 123.437"", ""  63.612""], ["" 133.174"", "" 125.067"", ""  63.926""], ["" 130.544"", "" 124.243"", ""  64.330""], ["" 132.293"", "" 125.871"", ""  64.645""], ["" 133.541"", "" 122.975"", ""  62.678""], ["" 134.030"", "" 123.385"", ""  61.406""], ["" 129.265"", "" 127.108"", ""  69.292""], ["" 129.979"", "" 128.076"", ""  70.018""], ["" 128.571"", "" 126.129"", ""  70.018""], ["" 129.992"", "" 128.068"", ""  71.410""], ["" 128.581"", "" 126.118"", ""  71.410""], ["" 129.295"", "" 127.093"", ""  72.120""], ["" 129.362"", "" 127.164"", ""  73.498""], ["" 129.740"", "" 126.006"", ""  74.235""], ["" 128.697"", "" 130.307"", ""  60.412""], ["" 129.424"", "" 131.483"", ""  60.649""], ["" 128.617"", "" 129.803"", ""  59.113""], ["" 130.050"", "" 132.142"", ""  59.595""], ["" 129.244"", "" 130.463"", ""  58.060""], ["" 129.969"", "" 131.641"", ""  58.288""], ["" 130.636"", "" 132.326"", ""  57.130""], ["" 130.072"", "" 133.167"", ""  56.424""], ["" 131.918"", "" 131.924"", ""  56.937""], ["" 132.259"", "" 130.543"", ""  56.908""], ["" 133.616"", "" 130.342"", ""  57.589""]]",[],1a_Ghoteimi_2023
1,7335,1a_Grossjean_2025,receptor_tmp,1,9,-7.85,-0.29074074074074074,0.0,0.0,10,191.13,-9.94,-9.53,-0.4,-9.94,0.0,-0.68,2.09,-0.68,40,6,0.0,0.0,0.0,5.039446,10.793638,10.551885,-0.52173415,0.17542648,-0.83487665,102.939476,"8.649734, 342.402496, 201.357208, 322.988007, 69.640678, 294.239777, 179.649643, ","[["" 129.707"", "" 126.892"", ""  68.430""], ["" 130.401"", "" 127.742"", ""  69.292""], ["" 129.939"", "" 127.968"", ""  70.585""], ["" 128.770"", "" 127.346"", ""  71.043""], ["" 128.077"", "" 126.486"", ""  70.175""], ["" 128.540"", "" 126.258"", ""  68.882""], ["" 130.264"", "" 126.738"", ""  67.145""], ["" 130.250"", "" 125.674"", ""  66.315""], ["" 129.715"", "" 124.590"", ""  66.550""], ["" 130.714"", "" 127.570"", ""  66.792""], ["" 130.971"", "" 125.874"", ""  64.980""], ["" 132.602"", "" 125.072"", ""  64.955""], ["" 132.648"", "" 123.999"", ""  63.537""], ["" 131.805"", "" 122.261"", ""  62.075""], ["" 131.644"", "" 123.046"", ""  63.240""], ["" 132.942"", "" 122.441"", ""  61.280""], ["" 130.486"", "" 122.841"", ""  64.114""], ["" 133.891"", "" 123.387"", ""  61.662""], ["" 129.570"", "" 122.677"", ""  64.802""], ["" 133.757"", "" 124.151"", ""  62.771""], ["" 130.785"", "" 121.208"", ""  61.646""], ["" 135.150"", "" 123.622"", ""  60.847""], ["" 128.295"", "" 127.616"", ""  72.441""], ["" 127.256"", "" 127.140"", ""  72.909""], ["" 129.132"", "" 128.422"", ""  73.146""], ["" 128.715"", "" 129.711"", ""  73.578""], ["" 129.476"", "" 130.784"", ""  72.793""]]",[],1a_Grossjean_2025
2,2818,1aa_Ghoteimi_2023,receptor_tmp,1,15,-8.85,-0.21585365853658536,0.0,0.0,3,186.74,-12.13,-11.49,-0.64,-12.13,0.0,-3.09,3.28,-3.09,43,4,0.0,0.0,0.0,1.708479,11.492389,8.095133,-0.83192937,-0.19923468,0.5178794,155.169159,"46.882786, 12.402254, 308.744415, 54.303112, 61.124611, 288.06778, 5.761697, 56.172855, 228.716003, 245.205658, 213.979919, ","[["" 127.683"", "" 131.152"", ""  63.624""], ["" 127.945"", "" 130.432"", ""  62.509""], ["" 127.805"", "" 132.373"", ""  63.718""], ["" 127.785"", "" 129.437"", ""  62.584""], ["" 127.193"", "" 130.382"", ""  64.861""], ["" 127.228"", "" 128.970"", ""  64.619""], ["" 128.197"", "" 128.178"", ""  65.219""], ["" 130.087"", "" 126.665"", ""  65.063""], ["" 129.113"", "" 127.468"", ""  64.425""], ["" 130.101"", "" 126.633"", ""  66.464""], ["" 129.048"", "" 127.599"", ""  62.968""], ["" 129.168"", "" 127.369"", ""  67.205""], ["" 128.225"", "" 128.121"", ""  66.580""], ["" 128.996"", "" 127.703"", ""  61.817""], ["" 131.102"", "" 125.851"", ""  64.330""], ["" 133.023"", "" 124.304"", ""  62.980""], ["" 133.389"", "" 125.095"", ""  64.068""], ["" 131.681"", "" 124.286"", ""  62.571""], ["" 132.439"", "" 125.860"", ""  64.740""], ["" 130.732"", "" 125.052"", ""  63.243""], ["" 134.032"", "" 123.580"", ""  62.375""], ["" 134.146"", "" 123.598"", ""  60.957""], ["" 129.130"", "" 127.357"", ""  68.706""], ["" 130.079"", "" 128.066"", ""  69.458""], ["" 128.142"", "" 126.642"", ""  69.404""], ["" 130.047"", "" 128.055"", ""  70.850""], ["" 128.108"", "" 126.629"", ""  70.795""], ["" 129.067"", "" 127.338"", ""  71.533""], ["" 129.114"", "" 127.385"", ""  72.913""], ["" 127.936"", "" 127.726"", ""  73.636""], ["" 128.403"", "" 130.845"", ""  61.244""], ["" 128.009"", "" 130.283"", ""  60.021""], ["" 129.315"", "" 131.901"", ""  61.250""], ["" 128.530"", "" 130.775"", ""  58.826""], ["" 129.833"", "" 132.392"", ""  60.055""], ["" 129.448"", "" 131.836"", ""  58.829""], ["" 130.028"", "" 132.388"", ""  57.558""], ["" 129.352"", "" 132.966"", ""  56.701""], ["" 131.366"", "" 132.188"", ""  57.446""], ["" 131.938"", "" 130.906"", ""  57.674""], ["" 133.001"", "" 131.010"", ""  58.772""]]",[],1aa_Ghoteimi_2023
3,2798,1b_Ghoteimi_2023,receptor_tmp,1,5,-9.4,-0.26857142857142857,0.0,0.0,2,188.4,-11.78,-10.98,-0.81,-11.78,0.0,-1.53,2.39,-1.53,44,7,0.0,0.0,0.0,4.147489,11.628045,9.495608,-0.1049606,-0.78321817,-0.61282345,226.351608,"274.539612, 53.967602, 131.002045, 143.250885, 262.84256, 295.917023, 310.409149, 55.453049, ","[["" 130.085"", "" 126.490"", ""  65.650""], ["" 129.141"", "" 127.345"", ""  65.030""], ["" 128.983"", "" 127.348"", ""  63.572""], ["" 128.859"", "" 127.349"", ""  62.422""], ["" 128.321"", "" 128.141"", ""  65.861""], ["" 128.381"", "" 128.077"", ""  67.213""], ["" 129.280"", "" 127.254"", ""  67.815""], ["" 130.135"", "" 126.455"", ""  67.049""], ["" 131.031"", "" 125.614"", ""  64.897""], ["" 132.803"", "" 123.943"", ""  63.492""], ["" 131.428"", "" 123.711"", ""  63.450""], ["" 133.291"", "" 125.019"", ""  64.250""], ["" 130.550"", "" 124.536"", ""  64.147""], ["" 132.410"", "" 125.841"", ""  64.946""], ["" 133.598"", "" 123.073"", ""  62.771""], ["" 133.984"", "" 123.423"", ""  61.446""], ["" 127.088"", "" 129.276"", ""  65.259""], ["" 127.598"", "" 130.963"", ""  65.733""], ["" 127.702"", "" 131.961"", ""  64.570""], ["" 128.314"", "" 131.477"", ""  63.466""], ["" 127.248"", "" 133.102"", ""  64.677""], ["" 128.653"", "" 130.527"", ""  63.503""], ["" 128.549"", "" 132.149"", ""  62.272""], ["" 129.711"", "" 132.239"", ""  61.647""], ["" 127.553"", "" 132.831"", ""  61.574""], ["" 129.492"", "" 133.000"", ""  60.497""], ["" 128.184"", "" 133.350"", ""  60.466""], ["" 129.287"", "" 127.254"", ""  69.318""], ["" 130.314"", "" 127.886"", ""  70.035""], ["" 128.267"", "" 126.628"", ""  70.052""], ["" 130.323"", "" 127.889"", ""  71.426""], ["" 128.272"", "" 126.630"", ""  71.443""], ["" 129.306"", "" 127.264"", ""  72.145""], ["" 129.397"", "" 127.319"", ""  73.523""], ["" 128.269"", "" 127.747"", ""  74.276""]]",[],1b_Ghoteimi_2023
4,2848,1b_Grossjean_2025,receptor_tmp,1,3,-7.66,-0.2946153846153846,0.0,0.0,10,190.43,-9.45,-9.09,-0.36,-9.45,0.0,-0.57,1.79,-0.57,39,6,0.0,0.0,0.0,6.013837,10.152512,10.674063,-0.12600846,-0.78410231,0.60770506,188.023544,"248.884903, 270.40152, 1.298212, 296.989868, 352.670319, 329.712402, ","[["" 130.226"", "" 125.530"", ""  66.351""], ["" 130.248"", "" 126.619"", ""  67.150""], ["" 129.686"", "" 124.457"", ""  66.620""], ["" 130.741"", "" 127.423"", ""  66.789""], ["" 130.932"", "" 125.691"", ""  65.005""], ["" 132.569"", "" 124.899"", ""  64.990""], ["" 132.632"", "" 123.836"", ""  63.564""], ["" 131.816"", "" 122.098"", ""  62.089""], ["" 131.641"", "" 122.874"", ""  63.257""], ["" 132.940"", "" 122.314"", ""  61.286""], ["" 130.449"", "" 122.696"", ""  64.090""], ["" 133.855"", "" 123.298"", ""  61.654""], ["" 129.506"", "" 122.552"", ""  64.745""], ["" 133.708"", "" 124.053"", ""  62.767""], ["" 130.819"", "" 121.024"", ""  61.658""], ["" 135.090"", "" 123.587"", ""  60.819""], ["" 129.702"", "" 126.815"", ""  68.433""], ["" 130.398"", "" 127.699"", ""  69.257""], ["" 128.538"", "" 126.198"", ""  68.916""], ["" 129.947"", "" 127.969"", ""  70.545""], ["" 128.088"", "" 126.467"", ""  70.205""], ["" 128.784"", "" 127.356"", ""  71.036""], ["" 128.268"", "" 127.624"", ""  72.421""], ["" 127.190"", "" 127.188"", ""  72.838""], ["" 129.099"", "" 128.399"", ""  73.163""], ["" 128.689"", "" 129.679"", ""  73.623""]]",[],1b_Grossjean_2025
5,7044,1c_Ghoteimi_2023,receptor_tmp,1,16,-9.16,-0.26171428571428573,0.0,0.0,8,192.8,-11.55,-10.83,-0.72,-11.55,0.0,-1.5,2.39,-1.5,43,5,0.0,0.0,0.0,3.780232,9.099178,10.101655,-0.06110152,-0.82028705,-0.56867897,222.058762,"104.573563, 161.298462, 133.721985, 220.984375, 184.233215, 142.109253, 309.884735, 229.493149, ","[["" 130.133"", "" 126.450"", ""  65.685""], ["" 129.201"", "" 127.316"", ""  65.067""], ["" 129.104"", "" 127.407"", ""  63.606""], ["" 129.028"", "" 127.476"", ""  62.453""], ["" 128.357"", "" 128.081"", ""  65.899""], ["" 128.424"", "" 128.031"", ""  67.251""], ["" 129.345"", "" 127.231"", ""  67.849""], ["" 130.201"", "" 126.431"", ""  67.083""], ["" 131.029"", "" 125.522"", ""  64.933""], ["" 132.701"", "" 123.798"", ""  63.476""], ["" 133.199"", "" 124.992"", ""  63.998""], ["" 131.352"", "" 123.471"", ""  63.683""], ["" 132.371"", "" 125.847"", ""  64.718""], ["" 130.526"", "" 124.329"", ""  64.404""], ["" 133.595"", "" 123.011"", ""  62.775""], ["" 133.973"", "" 123.394"", ""  61.457""], ["" 127.030"", "" 129.082"", ""  65.264""], ["" 127.487"", "" 130.792"", ""  65.697""], ["" 127.376"", "" 131.741"", ""  64.498""], ["" 127.997"", "" 131.322"", ""  63.373""], ["" 126.785"", "" 132.814"", ""  64.624""], ["" 128.441"", "" 130.416"", ""  63.398""], ["" 128.180"", "" 132.050"", ""  62.208""], ["" 129.305"", "" 132.279"", ""  61.567""], ["" 126.761"", "" 132.709"", ""  61.459""], ["" 129.102"", "" 132.978"", ""  60.467""], ["" 127.783"", "" 133.329"", ""  60.197""], ["" 129.359"", "" 127.226"", ""  69.350""], ["" 130.425"", "" 127.784"", ""  70.072""], ["" 128.302"", "" 126.659"", ""  70.078""], ["" 130.431"", "" 127.782"", ""  71.465""], ["" 128.304"", "" 126.656"", ""  71.470""], ["" 129.374"", "" 127.222"", ""  72.177""], ["" 129.462"", "" 127.267"", ""  73.555""], ["" 128.361"", "" 127.765"", ""  74.307""]]",[],1c_Ghoteimi_2023
6,2528,1c_Grossjean_2025,receptor_tmp,2,7,-7.05,-0.29375,0.0,0.0,15,190.45,-8.54,-8.08,-0.46,-8.54,0.0,-0.64,1.49,-0.64,30,9,0.0,0.0,0.0,4.058935,8.189603,10.18466,-0.00107296,0.37815555,-0.92574145,207.771149,"20.627396, 76.382217, 31.886101, 319.468719, 355.30603, ","[["" 130.385"", "" 126.600"", ""  66.555""], ["" 129.495"", "" 126.335"", ""  67.534""], ["" 131.403"", "" 127.281"", ""  66.679""], ["" 128.746"", "" 125.701"", ""  67.296""], ["" 130.068"", "" 125.977"", ""  65.194""], ["" 130.239"", "" 124.167"", ""  65.221""], ["" 130.893"", "" 123.640"", ""  63.651""], ["" 132.598"", "" 123.397"", ""  61.947""], ["" 132.220"", "" 123.879"", ""  63.222""], ["" 131.664"", "" 122.699"", ""  61.175""], ["" 133.201"", "" 124.564"", ""  64.068""], ["" 130.386"", "" 122.487"", ""  61.687""], ["" 133.975"", "" 125.105"", ""  64.735""], ["" 130.002"", "" 122.941"", ""  62.902""], ["" 133.999"", "" 123.602"", ""  61.372""], ["" 129.334"", "" 121.724"", ""  60.905""], ["" 129.488"", "" 126.762"", ""  68.876""], ["" 130.343"", "" 127.741"", ""  69.406""], ["" 128.532"", "" 126.167"", ""  69.701""], ["" 130.244"", "" 128.097"", ""  70.748""], ["" 128.436"", "" 126.527"", ""  71.042""], ["" 129.297"", "" 127.497"", ""  71.578""], ["" 129.278"", "" 127.916"", ""  72.894""], ["" 128.025"", "" 128.105"", ""  73.544""]]",[],1c_Grossjean_2025
7,6990,1d_Ghoteimi_2023,receptor_tmp,1,13,-7.68,-0.256,0.0,0.0,18,192.09,-10.06,-9.36,-0.71,-10.06,0.0,-1.21,2.39,-1.21,37,4,0.0,0.0,0.0,4.072451,10.349594,9.889499,0.18357641,0.26575606,-0.94640024,212.112228,"49.577946, 7.83055, 309.927826, 225.946671, 236.113556, 204.945328, 105.960693, 102.766602, ","[["" 126.661"", "" 128.871"", ""  65.293""], ["" 128.033"", "" 127.903"", ""  65.880""], ["" 129.986"", "" 126.486"", ""  65.634""], ["" 128.948"", "" 127.239"", ""  65.031""], ["" 130.075"", "" 126.472"", ""  67.031""], ["" 128.870"", "" 127.372"", ""  63.573""], ["" 129.158"", "" 127.186"", ""  67.812""], ["" 128.809"", "" 127.477"", ""  62.423""], ["" 128.151"", "" 127.885"", ""  67.229""], ["" 131.003"", "" 125.707"", ""  64.862""], ["" 132.928"", "" 124.248"", ""  63.424""], ["" 133.316"", "" 125.132"", ""  64.429""], ["" 131.562"", "" 124.088"", ""  63.145""], ["" 132.364"", "" 125.854"", ""  65.144""], ["" 130.612"", "" 124.810"", ""  63.862""], ["" 133.941"", "" 123.580"", ""  62.763""], ["" 133.963"", "" 123.584"", ""  61.339""], ["" 129.214"", "" 127.213"", ""  69.312""], ["" 130.275"", "" 127.835"", ""  69.990""], ["" 128.210"", "" 126.609"", ""  70.083""], ["" 130.328"", "" 127.854"", ""  71.381""], ["" 128.261"", "" 126.625"", ""  71.474""], ["" 129.326"", "" 127.250"", ""  72.137""], ["" 129.463"", "" 127.314"", ""  73.510""], ["" 128.361"", "" 127.751"", ""  74.298""], ["" 127.356"", "" 130.306"", ""  64.421""], ["" 127.727"", "" 131.348"", ""  65.474""], ["" 128.020"", "" 131.021"", ""  66.625""], ["" 127.692"", "" 132.605"", ""  64.985""], ["" 126.868"", "" 132.924"", ""  63.875""]]",[],1d_Ghoteimi_2023
8,2718,1d_Grossjean_2025,receptor_tmp,1,1,-6.64,-0.3018181818181818,0.0,0.0,1,188.89,-7.84,-7.71,-0.12,-7.84,0.0,-1.05,1.19,-1.05,38,6,0.0,0.0,0.0,5.536516,8.131917,9.618541,0.48788921,0.85132093,0.19291654,252.169403,"12.528956, 356.384857, 346.62796, 359.831787, ","[["" 132.796"", "" 125.663"", ""  65.236""], ["" 132.572"", "" 124.365"", ""  64.040""], ["" 131.391"", "" 122.529"", ""  62.992""], ["" 131.438"", "" 123.520"", ""  63.999""], ["" 132.460"", "" 122.412"", ""  62.096""], ["" 130.353"", "" 123.629"", ""  64.976""], ["" 133.549"", "" 123.272"", ""  62.226""], ["" 129.494"", "" 123.713"", ""  65.748""], ["" 133.613"", "" 124.230"", ""  63.180""], ["" 130.216"", "" 121.565"", ""  62.840""], ["" 134.742"", "" 123.188"", ""  61.293""], ["" 131.243"", "" 126.607"", ""  65.311""], ["" 130.901"", "" 127.041"", ""  66.737""], ["" 129.793"", "" 126.476"", ""  67.263""], ["" 131.616"", "" 127.869"", ""  67.300""], ["" 129.283"", "" 125.849"", ""  66.657""], ["" 129.214"", "" 126.639"", ""  68.535""], ["" 127.920"", "" 126.132"", ""  68.682""], ["" 129.851"", "" 127.241"", ""  69.633""], ["" 127.258"", "" 126.236"", ""  69.902""], ["" 129.187"", "" 127.342"", ""  70.853""], ["" 127.894"", "" 126.841"", ""  70.983""]]",[],1d_Grossjean_2025
9,3414,1e_Grossjean_2025,receptor_tmp,1,15,-6.77,-0.2943478260869565,0.0,0.0,2,186.08,-7.96,-7.89,-0.06,-7.96,0.0,-0.94,1.19,-0.94,43,3,0.0,0.0,0.0,6.848848,6.158514,6.244732,0.13258269,-0.83899718,-0.52773627,201.946655,"225.253021, 292.345947, 223.924942, 177.420731, ","[["" 132.646"", "" 122.541"", ""  61.416""], ["" 133.228"", "" 124.262"", ""  61.488""], ["" 132.904"", "" 124.907"", ""  63.118""], ["" 131.566"", "" 125.956"", ""  64.844""], ["" 131.677"", "" 125.492"", ""  63.513""], ["" 132.650"", "" 125.804"", ""  65.715""], ["" 130.532"", "" 125.590"", ""  62.606""], ["" 133.811"", "" 125.191"", ""  65.249""], ["" 129.625"", "" 125.669"", ""  61.891""], ["" 133.941"", "" 124.743"", ""  63.978""], ["" 130.297"", "" 126.614"", ""  65.384""], ["" 135.013"", "" 124.981"", ""  66.150""], ["" 131.121"", "" 122.456"", ""  61.321""], ["" 130.584"", "" 122.843"", ""  60.143""], ["" 130.478"", "" 122.073"", ""  62.299""], ["" 131.224"", "" 123.199"", ""  59.448""], ["" 129.228"", "" 122.886"", ""  59.772""], ["" 128.824"", "" 122.662"", ""  58.487""], ["" 128.313"", "" 123.193"", ""  60.786""], ["" 127.500"", "" 122.732"", ""  58.199""], ["" 126.953"", "" 123.261"", ""  60.474""], ["" 126.533"", "" 123.029"", ""  59.164""], ["" 127.123"", "" 122.470"", ""  56.753""]]",[],1e_Grossjean_2025
