,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,1790,ZINC100024116,receptor_tmp,3,18,-5.31,-0.44249999999999995,0.0,0.0,20,192.75,-5.31,-5.24,-0.07,-5.31,0.0,0.0,0.0,0.0,28,0,0.0,0.0,0.0,7.22416,14.872865,4.625683,-0.87980551,0.27006357,-0.3911623,124.521568,,"[["" 129.274"", "" 132.497"", ""  60.080""], ["" 129.835"", "" 130.874"", ""  59.566""], ["" 129.143"", "" 130.465"", ""  58.233""], ["" 129.327"", "" 128.698"", ""  58.016""], ["" 129.711"", "" 131.181"", ""  56.974""], ["" 129.122"", "" 132.873"", ""  56.908""], ["" 131.262"", "" 131.129"", ""  56.924""], ["" 131.870"", "" 132.043"", ""  55.509""], ["" 131.929"", "" 131.618"", ""  58.237""], ["" 133.699"", "" 131.374"", ""  58.123""], ["" 131.384"", "" 130.830"", ""  59.456""], ["" 132.132"", "" 131.394"", ""  60.982""]]",[],ZINC100024116
1,9112,ZINC100034590,receptor_tmp,1,15,-3.02,-0.10785714285714286,0.0,0.0,6,183.34,-5.71,-5.76,0.06,-5.71,0.0,-0.63,2.68,-0.63,84,2,0.0,0.0,0.0,4.797103,6.966336,3.283066,-0.21003861,0.69340519,0.68925542,112.405891,"127.248688, 149.216873, 3.788208, 345.351074, 55.823826, 35.359371, 71.819809, 276.21167, 240.014435, ","[["" 128.282"", "" 123.839"", ""  56.916""], ["" 127.439"", "" 124.851"", ""  57.163""], ["" 128.654"", "" 123.143"", ""  58.117""], ["" 128.740"", "" 123.845"", ""  59.360""], ["" 127.507"", "" 124.143"", ""  59.774""], ["" 129.416"", "" 124.988"", ""  59.217""], ["" 129.438"", "" 122.915"", ""  60.371""], ["" 130.754"", "" 123.122"", ""  60.445""], ["" 129.230"", "" 121.624"", ""  60.106""], ["" 128.746"", "" 123.220"", ""  62.114""], ["" 129.637"", "" 122.661"", ""  63.138""], ["" 127.293"", "" 123.026"", ""  62.146""], ["" 128.979"", "" 124.829"", ""  62.157""], ["" 129.584"", "" 124.390"", ""  56.269""], ["" 130.643"", "" 124.228"", ""  57.062""], ["" 129.868"", "" 123.773"", ""  55.121""], ["" 129.493"", "" 125.692"", ""  55.991""], ["" 127.552"", "" 122.793"", ""  56.030""], ["" 127.092"", "" 123.341"", ""  54.902""], ["" 128.394"", "" 121.814"", ""  55.687""], ["" 126.466"", "" 122.248"", ""  56.789""], ["" 125.155"", "" 122.800"", ""  56.622""], ["" 125.122"", "" 123.603"", ""  55.555""], ["" 124.262"", "" 121.825"", ""  56.435""], ["" 124.823"", "" 123.594"", ""  57.900""], ["" 123.528"", "" 123.499"", ""  58.203""], ["" 125.509"", "" 123.142"", ""  58.951""], ["" 125.102"", "" 124.891"", ""  57.759""]]",[],ZINC100034590
2,6922,ZINC100043079,receptor_tmp,1,8,-2.34,-0.08666666666666666,0.0,0.0,1,188.42,-3.23,-3.29,0.06,-3.23,0.0,0.18,0.89,0.18,77,0,0.0,0.0,0.0,5.789219,14.634007,3.764989,-0.89777854,-0.24759544,0.36426664,211.084,"290.79599, 290.29187, 347.136261, ","[["" 126.848"", "" 130.259"", ""  58.065""], ["" 126.713"", "" 131.295"", ""  58.899""], ["" 127.317"", "" 129.243"", ""  58.796""], ["" 125.438"", "" 129.871"", ""  57.543""], ["" 124.470"", "" 130.554"", ""  58.154""], ["" 125.191"", "" 128.574"", ""  57.741""], ["" 125.307"", "" 130.099"", ""  56.235""], ["" 127.873"", "" 130.618"", ""  56.939""], ["" 128.151"", "" 129.492"", ""  56.275""], ["" 127.241"", "" 131.390"", ""  56.051""], ["" 129.205"", "" 131.318"", ""  57.460""], ["" 130.293"", "" 131.512"", ""  56.341""], ["" 129.857"", "" 130.593"", ""  58.693""], ["" 131.590"", "" 132.209"", ""  56.853""], ["" 131.153"", "" 131.290"", ""  59.206""], ["" 132.198"", "" 131.462"", ""  58.071""], ["" 128.918"", "" 132.553"", ""  57.888""], ["" 130.626"", "" 130.316"", ""  55.849""], ["" 129.788"", "" 132.218"", ""  55.326""], ["" 128.977"", "" 130.510"", ""  59.695""], ["" 130.163"", "" 129.339"", ""  58.346""], ["" 132.490"", "" 132.283"", ""  55.869""], ["" 131.301"", "" 133.463"", ""  57.214""], ["" 131.684"", "" 130.586"", ""  60.210""], ["" 130.840"", "" 132.493"", ""  59.695""], ["" 132.611"", "" 130.254"", ""  57.676""], ["" 133.269"", "" 132.115"", ""  58.526""]]",[],ZINC100043079
3,2678,ZINC100045963,receptor_tmp,1,16,-9.2,-0.2421052631578947,0.0,0.0,14,183.99,-12.18,-11.26,-0.92,-12.18,0.0,-2.3,2.98,-2.3,37,12,0.0,0.0,0.0,5.934835,11.247779,8.697503,-0.49661388,-0.54088362,0.67883692,136.043564,"34.48035, 75.011887, 351.889313, 285.002686, 184.846619, 12.436227, 186.759338, 175.540176, 28.586931, 33.33873, ","[["" 132.924"", "" 122.097"", ""  60.800""], ["" 133.472"", "" 120.772"", ""  61.354""], ["" 133.324"", "" 119.600"", ""  60.368""], ["" 132.174"", "" 118.649"", ""  60.737""], ["" 132.469"", "" 117.185"", ""  60.380""], ["" 132.898"", "" 123.056"", ""  61.854""], ["" 131.854"", "" 123.959"", ""  61.924""], ["" 132.117"", "" 125.161"", ""  62.579""], ["" 130.578"", "" 123.737"", ""  61.383""], ["" 131.123"", "" 126.127"", ""  62.710""], ["" 129.584"", "" 124.704"", ""  61.513""], ["" 129.846"", "" 125.892"", ""  62.193""], ["" 128.785"", "" 126.903"", ""  62.318""], ["" 128.144"", "" 127.571"", ""  61.329""], ["" 127.025"", "" 128.507"", ""  61.517""], ["" 128.372"", "" 127.578"", ""  59.868""], ["" 126.393"", "" 128.888"", ""  62.705""], ["" 126.628"", "" 129.052"", ""  60.296""], ["" 127.391"", "" 128.345"", ""  59.233""], ["" 129.361"", "" 126.944"", ""  59.110""], ["" 125.384"", "" 129.857"", ""  62.701""], ["" 125.701"", "" 130.116"", ""  60.291""], ["" 127.284"", "" 128.299"", ""  57.827""], ["" 129.344"", "" 126.992"", ""  57.712""], ["" 125.062"", "" 130.472"", ""  61.486""], ["" 128.283"", "" 127.656"", ""  57.088""], ["" 124.704"", "" 130.252"", ""  63.959""], ["" 125.012"", "" 131.319"", ""  64.483""], ["" 123.856"", "" 129.500"", ""  64.430""], ["" 125.446"", "" 130.951"", ""  59.104""], ["" 126.394"", "" 131.230"", ""  58.376""], ["" 124.286"", "" 131.278"", ""  58.874""], ["" 126.108"", "" 128.807"", ""  57.097""], ["" 125.018"", "" 128.743"", ""  57.656""], ["" 126.269"", "" 129.218"", ""  55.951""], ["" 130.399"", "" 126.320"", ""  56.915""], ["" 131.205"", "" 125.599"", ""  57.497""], ["" 130.431"", "" 126.506"", ""  55.702""]]",[],ZINC100045963
4,1384,ZINC100046143,receptor_tmp,1,16,-3.7,-0.12758620689655173,0.0,0.0,3,186.86,-7.58,-7.36,-0.22,-7.58,0.0,-0.22,3.88,-0.22,72,5,0.0,0.0,0.0,7.747784,9.284152,3.999183,-0.13209769,-0.58617764,-0.79934096,198.202896,"154.811218, 114.075661, 211.013123, 278.882385, 10.309995, 176.780014, 357.172333, 259.057709, 9.697458, 348.935486, 351.062073, 109.807541, 334.313202, ","[["" 132.012"", "" 125.102"", ""  58.850""], ["" 133.406"", "" 124.444"", ""  58.873""], ["" 133.771"", "" 123.868"", ""  60.253""], ["" 132.719"", "" 124.176"", ""  61.332""], ["" 133.213"", "" 123.834"", ""  62.751""], ["" 133.663"", "" 124.991"", ""  63.451""], ["" 133.237"", "" 125.275"", ""  64.714""], ["" 133.964"", "" 125.270"", ""  65.709""], ["" 131.814"", "" 125.596"", ""  64.815""], ["" 131.063"", "" 125.406"", ""  65.917""], ["" 131.631"", "" 125.739"", ""  57.490""], ["" 132.145"", "" 126.970"", ""  57.430""], ["" 132.207"", "" 125.044"", ""  56.507""], ["" 130.086"", "" 125.790"", ""  57.282""], ["" 129.530"", "" 126.377"", ""  58.346""], ["" 129.818"", "" 126.590"", ""  56.247""], ["" 129.431"", "" 124.388"", ""  57.050""], ["" 129.850"", "" 123.895"", ""  55.882""], ["" 129.870"", "" 123.536"", ""  57.980""], ["" 127.867"", "" 124.414"", ""  57.069""], ["" 127.442"", "" 124.669"", ""  58.309""], ["" 127.429"", "" 125.430"", ""  56.322""], ["" 127.209"", "" 123.089"", ""  56.564""], ["" 127.757"", "" 122.717"", ""  55.406""], ["" 127.455"", "" 122.098"", ""  57.424""], ["" 125.674"", "" 123.193"", ""  56.366""], ["" 125.374"", "" 123.799"", ""  55.216""], ["" 125.089"", "" 121.993"", ""  56.343""], ["" 125.089"", "" 123.888"", ""  57.343""]]",[],ZINC100046143
5,1437,ZINC100050078,receptor_tmp,1,5,-9.25,-0.2569444444444444,0.0,0.0,14,186.98,-11.94,-11.56,-0.38,-11.94,0.0,-1.99,2.68,-1.99,45,3,0.0,0.0,0.0,6.468096,9.373923,3.133543,0.76164545,-0.64411986,-0.07075176,181.252396,"96.043678, 175.752899, 175.036057, 97.968269, 354.299866, 330.346191, 90.060799, 358.31015, 25.707243, ","[["" 130.244"", "" 130.480"", ""  56.910""], ["" 129.770"", "" 131.920"", ""  57.132""], ["" 128.683"", "" 132.147"", ""  57.666""], ["" 130.644"", "" 132.854"", ""  56.688""], ["" 131.908"", "" 132.472"", ""  56.163""], ["" 132.887"", "" 132.235"", ""  57.317""], ["" 129.148"", "" 129.568"", ""  56.935""], ["" 129.370"", "" 128.257"", ""  57.315""], ["" 130.633"", "" 127.754"", ""  57.667""], ["" 128.260"", "" 127.401"", ""  57.340""], ["" 130.786"", "" 126.424"", ""  58.048""], ["" 128.433"", "" 126.060"", ""  57.720""], ["" 129.687"", "" 125.560"", ""  58.092""], ["" 127.039"", "" 127.946"", ""  56.980""], ["" 126.298"", "" 128.698"", ""  57.934""], ["" 129.835"", "" 124.079"", ""  58.526""], ["" 128.432"", "" 123.328"", ""  58.520""], ["" 127.473"", "" 123.748"", ""  59.675""], ["" 127.812"", "" 123.232"", ""  57.093""], ["" 127.865"", "" 124.233"", ""  60.735""], ["" 125.972"", "" 123.507"", ""  59.449""], ["" 126.290"", "" 123.036"", ""  57.005""], ["" 128.487"", "" 123.286"", ""  56.065""], ["" 125.477"", "" 123.871"", ""  58.026""], ["" 124.004"", "" 123.421"", ""  57.922""], ["" 125.640"", "" 125.391"", ""  57.752""], ["" 130.713"", "" 123.884"", ""  59.833""], ["" 130.391"", "" 122.612"", ""  60.651""], ["" 132.244"", "" 123.948"", ""  59.606""], ["" 129.643"", "" 121.706"", ""  60.284""], ["" 131.139"", "" 122.561"", ""  61.995""], ["" 133.046"", "" 123.926"", ""  60.918""], ["" 132.788"", "" 124.006"", ""  58.504""], ["" 132.688"", "" 122.712"", ""  61.836""], ["" 133.265"", "" 123.007"", ""  63.236""], ["" 133.271"", "" 121.413"", ""  61.221""]]",[],ZINC100050078
6,4125,ZINC100050142,receptor_tmp,1,7,-7.28,-0.19675675675675677,0.0,0.0,1,188.87,-10.86,-10.43,-0.43,-10.86,0.0,-3.84,3.58,-3.84,49,11,0.0,0.0,0.0,3.210058,11.482613,7.937684,0.74195493,0.58386809,0.32954657,202.152176,"20.237843, 176.579636, 135.298355, 0.840948, 108.049133, 49.460957, 13.022155, 304.309692, 55.985111, 10.913094, 141.603439, 345.763, ","[["" 126.175"", "" 130.069"", ""  62.978""], ["" 125.964"", "" 129.089"", ""  61.994""], ["" 126.769"", "" 127.937"", ""  61.874""], ["" 127.834"", "" 127.795"", ""  62.788""], ["" 128.040"", "" 128.761"", ""  63.784""], ["" 127.238"", "" 129.899"", ""  63.883""], ["" 125.356"", "" 131.177"", ""  63.119""], ["" 124.075"", "" 131.206"", ""  62.499""], ["" 127.543"", "" 130.818"", ""  64.917""], ["" 127.222"", "" 132.242"", ""  64.764""], ["" 127.637"", "" 132.892"", ""  63.428""], ["" 128.741"", "" 132.265"", ""  62.814""], ["" 129.117"", "" 131.633"", ""  63.432""], ["" 127.405"", "" 130.259"", ""  66.263""], ["" 126.425"", "" 129.076"", ""  66.345""], ["" 125.021"", "" 129.497"", ""  66.230""], ["" 123.915"", "" 129.827"", ""  66.139""], ["" 126.563"", "" 126.936"", ""  60.894""], ["" 127.599"", "" 126.434"", ""  60.360""], ["" 127.251"", "" 125.461"", ""  59.418""], ["" 127.276"", "" 125.804"", ""  58.050""], ["" 126.900"", "" 124.132"", ""  59.781""], ["" 126.940"", "" 124.876"", ""  57.070""], ["" 126.562"", "" 123.222"", ""  58.763""], ["" 126.575"", "" 123.573"", ""  57.409""], ["" 127.722"", "" 127.396"", ""  57.527""], ["" 126.874"", "" 123.650"", ""  61.198""], ["" 127.881"", "" 123.715"", ""  61.894""], ["" 125.826"", "" 123.184"", ""  61.636""], ["" 126.217"", "" 122.586"", ""  56.361""], ["" 125.128"", "" 122.022"", ""  56.431""], ["" 127.020"", "" 122.369"", ""  55.459""], ["" 128.648"", "" 126.641"", ""  62.703""], ["" 129.991"", "" 126.549"", ""  62.801""], ["" 130.760"", "" 127.497"", ""  62.957""], ["" 128.159"", "" 125.803"", ""  62.427""], ["" 130.569"", "" 125.143"", ""  62.668""]]",[],ZINC100050142
7,8139,ZINC100052783,receptor_tmp,2,13,-10.69,-0.22744680851063828,0.0,0.0,11,182.93,-14.27,-14.25,-0.02,-14.27,0.0,-2.74,3.58,-2.74,105,6,0.0,0.0,0.0,7.959487,7.765544,5.411142,-0.84245711,0.53473541,-0.06575763,264.855865,"338.710785, 13.605104, 89.671005, 131.416306, 184.08757, 164.095551, 31.521917, 12.030636, 87.079247, 79.000137, 30.087881, 25.193924, ","[["" 131.755"", "" 125.062"", ""  58.069""], ["" 133.145"", "" 125.000"", ""  57.980""], ["" 133.775"", "" 124.333"", ""  59.030""], ["" 132.920"", "" 123.831"", ""  60.011""], ["" 131.285"", "" 124.260"", ""  59.552""], ["" 130.723"", "" 125.698"", ""  57.112""], ["" 129.357"", "" 124.976"", ""  57.264""], ["" 126.855"", "" 123.663"", ""  57.539""], ["" 127.081"", "" 124.924"", ""  58.113""], ["" 127.916"", "" 123.068"", ""  56.837""], ["" 128.307"", "" 125.568"", ""  57.980""], ["" 129.143"", "" 123.711"", ""  56.703""], ["" 125.600"", "" 123.004"", ""  57.674""], ["" 125.103"", "" 122.149"", ""  56.595""], ["" 124.599"", "" 123.520"", ""  58.609""], ["" 131.247"", "" 125.499"", ""  55.802""], ["" 131.716"", "" 124.661"", ""  55.789""], ["" 130.556"", "" 127.225"", ""  57.331""], ["" 129.873"", "" 128.043"", ""  56.422""], ["" 131.126"", "" 127.823"", ""  58.461""], ["" 129.754"", "" 129.412"", ""  56.645""], ["" 131.008"", "" 129.192"", ""  58.682""], ["" 130.316"", "" 130.017"", ""  57.781""], ["" 130.200"", "" 131.419"", ""  58.003""], ["" 130.714"", "" 132.364"", ""  57.011""], ["" 130.015"", "" 131.932"", ""  59.361""], ["" 133.246"", "" 123.049"", ""  61.303""], ["" 134.664"", "" 123.043"", ""  61.419""], ["" 134.929"", "" 122.218"", ""  61.832""], ["" 132.687"", "" 123.737"", ""  62.579""], ["" 133.479"", "" 124.685"", ""  63.241""], ["" 131.409"", "" 123.473"", ""  63.090""], ["" 133.020"", "" 125.332"", ""  64.384""], ["" 130.949"", "" 124.123"", ""  64.232""], ["" 131.744"", "" 125.063"", ""  64.907""], ["" 131.270"", "" 125.728"", ""  66.073""], ["" 130.195"", "" 125.135"", ""  66.870""], ["" 132.105"", "" 126.728"", ""  66.739""], ["" 132.745"", "" 121.589"", ""  61.127""], ["" 131.387"", "" 121.253"", ""  61.212""], ["" 133.662"", "" 120.568"", ""  60.846""], ["" 130.965"", "" 119.939"", ""  61.037""], ["" 133.238"", "" 119.254"", ""  60.668""], ["" 131.880"", "" 118.910"", ""  60.760""], ["" 131.448"", "" 117.564"", ""  60.584""], ["" 131.058"", "" 117.088"", ""  59.256""], ["" 131.824"", "" 116.542"", ""  61.560""]]",[],ZINC100052783
8,1827,ZINC100053898,receptor_tmp,1,14,-9.44,-0.21953488372093022,0.0,0.0,3,187.63,-13.32,-12.65,-0.67,-13.32,0.0,-2.44,3.88,-2.44,76,17,0.0,0.0,0.0,5.909796,9.302173,10.657564,-0.17036248,-0.97669264,-0.13056844,288.128754,"338.588562, 262.175323, 181.362411, 289.778198, 331.572449, 74.467239, 307.717621, 338.940491, 326.8508, 357.208008, 260.886047, 218.710632, 7.977925, ","[["" 130.193"", "" 126.137"", ""  66.142""], ["" 130.554"", "" 125.063"", ""  65.412""], ["" 130.517"", "" 123.893"", ""  65.803""], ["" 130.234"", "" 127.075"", ""  65.771""], ["" 129.723"", "" 126.025"", ""  67.398""], ["" 129.913"", "" 127.073"", ""  68.095""], ["" 129.488"", "" 127.203"", ""  69.496""], ["" 130.101"", "" 127.437"", ""  71.858""], ["" 130.457"", "" 127.302"", ""  70.503""], ["" 128.741"", "" 127.462"", ""  72.194""], ["" 127.766"", "" 127.362"", ""  71.204""], ["" 128.136"", "" 127.235"", ""  69.868""], ["" 131.016"", "" 127.546"", ""  72.891""], ["" 131.382"", "" 126.390"", ""  73.637""], ["" 132.756"", "" 126.632"", ""  74.270""], ["" 128.347"", "" 127.588"", ""  73.502""], ["" 129.086"", "" 127.673"", ""  74.110""], ["" 131.064"", "" 125.362"", ""  63.985""], ["" 132.416"", "" 124.658"", ""  63.700""], ["" 132.750"", "" 124.468"", ""  62.227""], ["" 133.601"", "" 123.417"", ""  61.823""], ["" 132.205"", "" 125.336"", ""  61.260""], ["" 133.902"", "" 123.236"", ""  60.458""], ["" 132.508"", "" 125.157"", ""  59.896""], ["" 133.357"", "" 124.106"", ""  59.495""], ["" 133.651"", "" 123.931"", ""  58.174""], ["" 134.274"", "" 124.577"", ""  57.835""], ["" 130.075"", "" 124.972"", ""  62.972""], ["" 129.769"", "" 123.713"", ""  62.601""], ["" 130.297"", "" 122.719"", ""  63.105""], ["" 129.595"", "" 125.740"", ""  62.526""], ["" 128.699"", "" 123.567"", ""  61.538""], ["" 129.067"", "" 123.374"", ""  60.201""], ["" 127.333"", "" 123.626"", ""  61.854""], ["" 128.107"", "" 123.233"", ""  59.189""], ["" 126.347"", "" 123.488"", ""  60.868""], ["" 126.751"", "" 123.291"", ""  59.541""], ["" 128.516"", "" 123.025"", ""  57.778""], ["" 127.813"", "" 122.319"", ""  57.059""], ["" 129.542"", "" 123.566"", ""  57.376""], ["" 124.907"", "" 123.552"", ""  61.221""], ["" 124.593"", "" 123.641"", ""  62.405""], ["" 124.076"", "" 123.513"", ""  60.316""]]",[],ZINC100053898
9,11827,ZINC100058471,receptor_tmp,1,6,-7.91,-0.34391304347826085,0.0,0.0,11,186.92,-8.51,-8.5,-0.01,-8.51,0.0,-0.36,0.6,-0.36,45,1,0.0,0.0,0.0,4.596308,7.963064,6.619117,0.0237832,0.92827165,-0.37114162,328.499268,"165.514511, 27.255146, ","[["" 131.384"", "" 124.326"", ""  60.813""], ["" 132.596"", "" 124.085"", ""  60.151""], ["" 133.814"", "" 124.206"", ""  60.820""], ["" 133.838"", "" 124.572"", ""  62.165""], ["" 132.644"", "" 124.816"", ""  62.839""], ["" 132.675"", "" 125.365"", ""  64.857""], ["" 131.426"", "" 124.694"", ""  62.169""], ["" 130.122"", "" 124.190"", ""  60.076""], ["" 129.052"", "" 124.832"", ""  60.370""], ["" 127.967"", "" 124.580"", ""  59.573""], ["" 128.150"", "" 126.472"", ""  58.211""], ["" 127.630"", "" 125.403"", ""  58.539""], ["" 126.412"", "" 124.788"", ""  57.859""], ["" 126.219"", "" 123.441"", ""  58.552""], ["" 126.593"", "" 124.414"", ""  56.352""], ["" 127.338"", "" 123.369"", ""  59.584""], ["" 126.303"", "" 122.403"", ""  57.386""], ["" 125.255"", "" 123.839"", ""  55.877""], ["" 127.282"", "" 123.077"", ""  56.459""], ["" 127.567"", "" 122.395"", ""  60.303""], ["" 125.084"", "" 122.642"", ""  56.492""], ["" 127.996"", "" 122.385"", ""  55.312""], ["" 128.784"", "" 122.882"", ""  56.502""]]",[],ZINC100058471
