,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,2222,ZINC100024116,receptor_tmp,1,12,-5.24,-0.4366666666666667,0.0,0.0,20,192.11,-5.24,-5.26,0.02,-5.24,0.0,0.0,0.0,0.0,24,0,0.0,0.0,0.0,6.88277,14.927619,3.081003,0.61682478,0.69955963,0.3607541,128.465805,,"[["" 128.591"", "" 129.809"", ""  55.454""], ["" 128.786"", "" 131.335"", ""  56.374""], ["" 129.085"", "" 131.026"", ""  57.869""], ["" 128.784"", "" 132.506"", ""  58.828""], ["" 130.540"", "" 130.547"", ""  58.143""], ["" 130.738"", "" 128.843"", ""  57.619""], ["" 131.593"", "" 131.463"", ""  57.462""], ["" 133.243"", "" 130.819"", ""  57.730""], ["" 131.316"", "" 131.690"", ""  55.953""], ["" 132.497"", "" 132.874"", ""  55.311""], ["" 129.880"", "" 132.233"", ""  55.734""], ["" 129.540"", "" 132.486"", ""  53.994""]]",[],ZINC100024116
1,8634,ZINC100034590,receptor_tmp,1,2,-3.0,-0.10714285714285714,0.0,0.0,6,184.24,-5.69,-5.73,0.04,-5.69,0.0,-0.62,2.68,-0.62,72,2,0.0,0.0,0.0,5.433294,5.779095,7.685673,-0.98956821,-0.13803754,-0.04123574,87.914543,"289.369446, 82.387627, 244.809677, 353.035461, 10.43133, 112.575119, 82.646027, 336.924347, 305.109222, ","[["" 129.130"", "" 122.601"", ""  61.211""], ["" 129.759"", "" 123.264"", ""  60.232""], ["" 127.745"", "" 122.374"", ""  60.903""], ["" 127.062"", "" 123.226"", ""  59.979""], ["" 127.334"", "" 124.498"", ""  60.282""], ["" 125.740"", "" 123.056"", ""  60.059""], ["" 127.577"", "" 122.887"", ""  58.567""], ["" 128.001"", "" 121.627"", ""  58.457""], ["" 128.561"", "" 123.697"", ""  58.174""], ["" 126.176"", "" 123.096"", ""  57.301""], ["" 124.928"", "" 123.503"", ""  57.959""], ["" 126.220"", "" 122.036"", ""  56.287""], ["" 126.746"", "" 124.432"", ""  56.571""], ["" 129.191"", "" 123.428"", ""  62.525""], ["" 128.453"", "" 124.536"", ""  62.453""], ["" 128.737"", "" 122.734"", ""  63.570""], ["" 130.436"", "" 123.800"", ""  62.825""], ["" 129.769"", "" 121.191"", ""  61.342""], ["" 130.253"", "" 120.985"", ""  62.571""], ["" 128.852"", "" 120.248"", ""  61.109""], ["" 130.822"", "" 121.088"", ""  60.377""], ["" 131.877"", "" 120.144"", ""  60.596""], ["" 131.467"", "" 119.172"", ""  61.415""], ["" 132.245"", "" 119.584"", ""  59.441""], ["" 133.058"", "" 120.910"", ""  61.223""], ["" 133.589"", "" 121.770"", ""  60.353""], ["" 132.676"", "" 121.612"", ""  62.290""], ["" 134.031"", "" 120.083"", ""  61.606""]]",[],ZINC100034590
2,5584,ZINC100043079,receptor_tmp,1,3,-2.8,-0.1037037037037037,0.0,0.0,11,189.74,-3.7,-3.73,0.03,-3.7,0.0,0.22,0.89,0.22,71,0,0.0,0.0,0.0,7.789541,14.087747,3.84528,0.4432672,-0.83470336,-0.32677895,275.397644,"51.107433, 37.2379, 30.889626, ","[["" 132.014"", "" 130.818"", ""  59.986""], ["" 131.517"", "" 129.629"", ""  60.342""], ["" 131.039"", "" 131.710"", ""  60.184""], ["" 133.188"", "" 131.159"", ""  60.943""], ["" 134.361"", "" 131.184"", ""  60.311""], ["" 133.288"", "" 130.259"", ""  61.923""], ["" 133.034"", "" 132.352"", ""  61.520""], ["" 132.408"", "" 130.793"", ""  58.471""], ["" 133.474"", "" 131.584"", ""  58.320""], ["" 132.853"", "" 129.564"", ""  58.192""], ["" 131.236"", "" 131.216"", ""  57.479""], ["" 130.205"", "" 130.064"", ""  57.196""], ["" 131.748"", "" 131.798"", ""  56.111""], ["" 129.053"", "" 130.486"", ""  56.234""], ["" 130.598"", "" 132.222"", ""  55.150""], ["" 129.603"", "" 131.056"", ""  54.899""], ["" 130.520"", "" 132.200"", ""  58.035""], ["" 130.850"", "" 129.030"", ""  56.649""], ["" 129.679"", "" 129.625"", ""  58.342""], ["" 132.548"", "" 132.846"", ""  56.329""], ["" 132.489"", "" 130.871"", ""  55.497""], ["" 128.254"", "" 129.444"", ""  55.990""], ["" 128.306"", "" 131.421"", ""  56.829""], ["" 131.104"", "" 132.646"", ""  53.989""], ["" 129.935"", "" 133.251"", ""  55.686""], ["" 130.236"", "" 130.082"", ""  54.240""], ["" 128.598"", "" 131.467"", ""  54.123""]]",[],ZINC100043079
3,2360,ZINC100045963,receptor_tmp,1,7,-9.46,-0.24894736842105267,0.0,0.0,4,186.49,-12.45,-11.76,-0.69,-12.45,0.0,-2.14,2.98,-2.14,58,7,0.0,0.0,0.0,6.453118,11.036153,14.622511,-0.95792623,-0.20169397,0.20419813,234.37677,"10.09594, 115.473068, 133.68251, 157.726471, 335.709595, 143.593231, 171.177612, 106.368179, 287.708435, 30.451656, ","[["" 126.364"", "" 126.785"", ""  73.883""], ["" 124.942"", "" 126.795"", ""  74.466""], ["" 124.384"", "" 128.214"", ""  74.666""], ["" 125.190"", "" 129.037"", ""  75.687""], ["" 124.509"", "" 130.361"", ""  76.060""], ["" 126.403"", "" 127.668"", ""  72.764""], ["" 127.210"", "" 127.361"", ""  71.685""], ["" 126.568"", "" 126.876"", ""  70.547""], ["" 128.606"", "" 127.511"", ""  71.674""], ["" 127.301"", "" 126.529"", ""  69.416""], ["" 129.339"", "" 127.164"", ""  70.542""], ["" 128.693"", "" 126.654"", ""  69.417""], ["" 129.483"", "" 126.297"", ""  68.229""], ["" 129.263"", "" 126.649"", ""  66.940""], ["" 130.145"", "" 126.332"", ""  65.806""], ["" 128.141"", "" 127.387"", ""  66.322""], ["" 131.360"", "" 125.640"", ""  65.809""], ["" 129.602"", "" 126.805"", ""  64.612""], ["" 128.399"", "" 127.605"", ""  64.965""], ["" 126.959"", "" 127.868"", ""  66.893""], ["" 132.031"", "" 125.364"", ""  64.614""], ["" 130.202"", "" 126.429"", ""  63.391""], ["" 127.569"", "" 128.486"", ""  64.240""], ["" 126.058"", "" 128.641"", ""  66.152""], ["" 131.428"", "" 125.753"", ""  63.412""], ["" 126.393"", "" 128.958"", ""  64.832""], ["" 133.327"", "" 124.641"", ""  64.617""], ["" 134.016"", "" 124.674"", ""  65.632""], ["" 133.664"", "" 124.034"", ""  63.604""], ["" 129.547"", "" 126.618"", ""  62.084""], ["" 130.046"", "" 127.414"", ""  61.294""], ["" 128.566"", "" 125.926"", ""  61.832""], ["" 127.936"", "" 129.022"", ""  62.916""], ["" 127.438"", "" 128.492"", ""  61.928""], ["" 128.759"", "" 129.932"", ""  62.865""], ["" 124.805"", "" 129.144"", ""  66.765""], ["" 124.501"", "" 128.752"", ""  67.888""], ["" 124.114"", "" 129.936"", ""  66.129""]]",[],ZINC100045963
4,289,ZINC100046143,receptor_tmp,1,19,-3.61,-0.12448275862068965,0.0,0.0,7,187.8,-7.49,-7.37,-0.12,-7.49,0.0,-0.49,3.88,-0.49,77,2,0.0,0.0,0.0,5.278051,11.865289,1.50372,0.62519824,0.35578658,-0.6946532,237.143372,"252.950241, 109.961517, 24.348339, 303.001648, 193.850418, 356.561035, 347.450836, 165.399139, 109.461769, 87.983994, 354.746124, 6.108436, 357.622192, ","[["" 128.255"", "" 127.001"", ""  54.361""], ["" 128.169"", "" 125.547"", ""  54.866""], ["" 127.520"", "" 124.598"", ""  53.843""], ["" 127.543"", "" 123.126"", ""  54.289""], ["" 127.877"", "" 122.968"", ""  55.784""], ["" 126.873"", "" 122.234"", ""  56.480""], ["" 125.568"", "" 122.623"", ""  56.475""], ["" 124.667"", "" 122.023"", ""  55.886""], ["" 125.297"", "" 123.840"", ""  57.238""], ["" 124.633"", "" 123.878"", ""  58.411""], ["" 128.630"", "" 128.033"", ""  55.455""], ["" 127.695"", "" 128.013"", ""  56.408""], ["" 129.769"", "" 127.654"", ""  56.039""], ["" 128.775"", "" 129.473"", ""  54.872""], ["" 129.595"", "" 129.427"", ""  53.818""], ["" 127.591"", "" 129.863"", ""  54.391""], ["" 129.299"", "" 130.525"", ""  55.904""], ["" 128.415"", "" 130.645"", ""  56.897""], ["" 130.418"", "" 130.069"", ""  56.471""], ["" 129.573"", "" 131.935"", ""  55.281""], ["" 128.741"", "" 132.137"", ""  54.256""], ["" 129.277"", "" 132.881"", ""  56.176""], ["" 131.045"", "" 132.133"", ""  54.796""], ["" 131.410"", "" 131.117"", ""  54.011""], ["" 131.134"", "" 133.232"", ""  54.042""], ["" 132.071"", "" 132.250"", ""  55.952""], ["" 131.464"", "" 132.463"", ""  57.120""], ["" 132.804"", "" 131.142"", ""  56.086""], ["" 132.926"", "" 133.256"", ""  55.763""]]",[],ZINC100046143
5,1592,ZINC100050078,receptor_tmp,1,4,-8.69,-0.24138888888888888,0.0,0.0,6,187.25,-11.37,-11.2,-0.17,-11.37,0.0,-2.55,2.68,-2.55,53,6,0.0,0.0,0.0,4.966393,9.628199,8.576329,-0.79406372,0.02715025,-0.60722786,247.053146,"58.648186, 207.147675, 26.612673, 271.819641, 352.944794, 329.045013, 139.563431, 69.279182, 349.898285, ","[["" 127.067"", "" 123.726"", ""  58.284""], ["" 126.179"", "" 122.848"", ""  57.398""], ["" 126.679"", "" 122.031"", ""  56.622""], ["" 124.854"", "" 123.075"", ""  57.562""], ["" 124.384"", "" 124.345"", ""  57.994""], ["" 123.630"", "" 124.184"", ""  59.317""], ["" 126.675"", "" 123.640"", ""  59.653""], ["" 127.474"", "" 124.220"", ""  60.622""], ["" 127.617"", "" 125.608"", ""  60.782""], ["" 128.172"", "" 123.356"", ""  61.477""], ["" 128.432"", "" 126.126"", ""  61.783""], ["" 128.997"", "" 123.895"", ""  62.478""], ["" 129.125"", "" 125.278"", ""  62.654""], ["" 128.000"", "" 121.997"", ""  61.274""], ["" 128.908"", "" 121.292"", ""  60.435""], ["" 130.028"", "" 125.837"", ""  63.783""], ["" 131.451"", "" 125.123"", ""  63.797""], ["" 131.432"", "" 123.663"", ""  64.343""], ["" 132.257"", "" 125.373"", ""  62.487""], ["" 130.565"", "" 123.237"", ""  65.102""], ["" 132.585"", "" 122.747"", ""  63.903""], ["" 133.355"", "" 124.356"", ""  62.138""], ["" 132.059"", "" 126.343"", ""  61.755""], ["" 132.969"", "" 122.879"", ""  62.407""], ["" 134.232"", "" 122.023"", ""  62.178""], ["" 131.794"", "" 122.439"", ""  61.491""], ["" 129.299"", "" 125.941"", ""  65.189""], ["" 130.231"", "" 125.835"", ""  66.418""], ["" 128.395"", "" 127.187"", ""  65.364""], ["" 131.461"", "" 125.834"", ""  66.373""], ["" 129.461"", "" 125.760"", ""  67.747""], ["" 127.579"", "" 127.158"", ""  66.667""], ["" 128.322"", "" 128.119"", ""  64.564""], ["" 128.463"", "" 126.949"", ""  67.941""], ["" 127.518"", "" 126.571"", ""  69.100""], ["" 129.260"", "" 128.248"", ""  68.230""]]",[],ZINC100050078
6,3889,ZINC100050142,receptor_tmp,1,6,-7.57,-0.20459459459459461,0.0,0.0,1,190.5,-11.15,-10.33,-0.83,-11.15,0.0,-3.2,3.58,-3.2,37,12,0.0,0.0,0.0,6.856935,10.756685,4.093044,-0.46391275,-0.86435395,0.19410616,231.512314,"341.672455, 44.761841, 35.954742, 75.497887, 288.636414, 312.095581, 118.570854, 337.844452, 105.126228, 208.749573, 125.68409, 38.907425, ","[["" 129.047"", "" 127.604"", ""  55.429""], ["" 129.417"", "" 126.879"", ""  56.573""], ["" 130.248"", "" 127.408"", ""  57.582""], ["" 130.725"", "" 128.723"", ""  57.401""], ["" 130.347"", "" 129.460"", ""  56.269""], ["" 129.529"", "" 128.917"", ""  55.277""], ["" 128.195"", "" 127.096"", ""  54.462""], ["" 128.032"", "" 125.690"", ""  54.318""], ["" 129.220"", "" 129.744"", ""  54.169""], ["" 127.911"", "" 130.400"", ""  54.073""], ["" 127.200"", "" 130.696"", ""  55.410""], ["" 125.888"", "" 130.183"", ""  55.478""], ["" 125.333"", "" 130.821"", ""  55.933""], ["" 130.366"", "" 130.497"", ""  53.658""], ["" 130.154"", "" 132.021"", ""  53.653""], ["" 130.936"", "" 132.705"", ""  54.693""], ["" 131.552"", "" 133.244"", ""  55.512""], ["" 130.622"", "" 126.692"", ""  58.745""], ["" 131.864"", "" 126.579"", ""  58.975""], ["" 132.089"", "" 125.856"", ""  60.151""], ["" 131.587"", "" 126.367"", ""  61.365""], ["" 132.777"", "" 124.612"", ""  60.167""], ["" 131.780"", "" 125.690"", ""  62.565""], ["" 132.957"", "" 123.958"", ""  61.399""], ["" 132.470"", "" 124.478"", ""  62.602""], ["" 130.712"", "" 127.863"", ""  61.422""], ["" 133.320"", "" 123.960"", ""  58.934""], ["" 132.840"", "" 124.213"", ""  57.835""], ["" 134.249"", "" 123.165"", ""  59.055""], ["" 132.675"", "" 123.759"", ""  63.885""], ["" 133.519"", "" 124.183"", ""  64.668""], ["" 131.991"", "" 122.767"", ""  64.117""], ["" 131.548"", "" 129.287"", ""  58.405""], ["" 131.950"", "" 130.568"", ""  58.543""], ["" 131.680"", "" 131.486"", ""  57.769""], ["" 131.968"", "" 128.614"", ""  59.029""], ["" 132.840"", "" 130.856"", ""  59.749""]]",[],ZINC100050142
7,7839,ZINC100052783,receptor_tmp,1,5,-8.45,-0.17978723404255317,0.0,0.0,8,183.05,-12.03,-11.64,-0.39,-12.03,0.0,-2.7,3.58,-2.7,62,5,0.0,0.0,0.0,5.227109,10.123683,7.35123,0.37413645,0.75884076,-0.53308782,167.431778,"241.934998, 40.713078, 148.390366, 158.188995, 161.648804, 21.003712, 97.679306, 316.524384, 226.222534, 48.897423, 141.785767, 7.530611, ","[["" 128.962"", "" 126.803"", ""  62.290""], ["" 127.871"", "" 127.598"", ""  62.635""], ["" 127.122"", "" 128.074"", ""  61.560""], ["" 127.579"", "" 127.684"", ""  60.301""], ["" 129.010"", "" 126.704"", ""  60.542""], ["" 130.004"", "" 126.098"", ""  63.185""], ["" 129.545"", "" 126.157"", ""  64.667""], ["" 128.711"", "" 126.263"", ""  67.378""], ["" 129.120"", "" 125.055"", ""  66.790""], ["" 128.715"", "" 127.413"", ""  66.573""], ["" 129.527"", "" 125.003"", ""  65.461""], ["" 129.123"", "" 127.362"", ""  65.243""], ["" 128.295"", "" 126.318"", ""  68.739""], ["" 129.132"", "" 125.727"", ""  69.784""], ["" 126.879"", "" 126.500"", ""  69.065""], ["" 131.213"", "" 126.832"", ""  63.010""], ["" 131.258"", "" 127.505"", ""  63.692""], ["" 130.272"", "" 124.630"", ""  62.760""], ["" 131.537"", "" 124.036"", ""  62.868""], ["" 129.227"", "" 123.869"", ""  62.223""], ["" 131.743"", "" 122.720"", ""  62.464""], ["" 129.435"", "" 122.553"", ""  61.818""], ["" 130.697"", "" 121.948"", ""  61.933""], ["" 130.911"", "" 120.605"", ""  61.513""], ["" 132.211"", "" 120.204"", ""  60.973""], ["" 129.771"", "" 119.752"", ""  61.174""], ["" 127.018"", "" 128.010"", ""  58.898""], ["" 125.742"", "" 128.604"", ""  59.107""], ["" 125.104"", "" 127.902"", ""  59.258""], ["" 127.883"", "" 129.048"", ""  58.131""], ["" 129.265"", "" 128.842"", ""  58.038""], ["" 127.340"", "" 130.176"", ""  57.502""], ["" 130.080"", "" 129.741"", ""  57.357""], ["" 128.155"", "" 131.073"", ""  56.818""], ["" 129.543"", "" 130.879"", ""  56.733""], ["" 130.374"", "" 131.797"", ""  56.031""], ["" 129.865"", "" 132.488"", ""  54.845""], ["" 131.528"", "" 132.402"", ""  56.697""], ["" 126.836"", "" 126.674"", ""  58.125""], ["" 126.430"", "" 125.495"", ""  58.765""], ["" 127.054"", "" 126.635"", ""  56.743""], ["" 126.262"", "" 124.316"", ""  58.045""], ["" 126.883"", "" 125.456"", ""  56.024""], ["" 126.484"", "" 124.269"", ""  56.659""], ["" 126.315"", "" 123.061"", ""  55.924""], ["" 125.021"", "" 122.376"", ""  55.926""], ["" 127.219"", "" 122.746"", ""  54.818""]]",[],ZINC100052783
8,1465,ZINC100053898,receptor_tmp,1,16,-10.1,-0.23488372093023255,0.0,0.0,6,189.19,-13.97,-13.0,-0.97,-13.97,0.0,-1.62,3.88,-1.62,60,19,0.0,0.0,0.0,5.922244,9.568378,14.200263,0.54714725,-0.26587594,-0.79368752,200.956604,"37.699505, 233.847336, 5.102776, 131.333328, 78.803864, 235.767365, 323.953766, 46.513866, 229.443054, 200.921799, 102.777168, 121.498405, 38.839027, ","[["" 128.412"", "" 126.009"", ""  69.630""], ["" 128.779"", "" 127.099"", ""  68.927""], ["" 129.461"", "" 128.029"", ""  69.364""], ["" 127.858"", "" 125.269"", ""  69.222""], ["" 128.787"", "" 125.821"", ""  70.909""], ["" 129.797"", "" 125.055"", ""  71.023""], ["" 130.401"", "" 124.698"", ""  72.315""], ["" 131.199"", "" 125.407"", ""  74.522""], ["" 130.630"", "" 125.699"", ""  73.268""], ["" 131.546"", "" 124.080"", ""  74.807""], ["" 131.328"", "" 123.075"", ""  73.868""], ["" 130.759"", "" 123.380"", ""  72.635""], ["" 131.438"", "" 126.355"", ""  75.502""], ["" 132.747"", "" 126.494"", ""  76.046""], ["" 132.624"", "" 126.833"", ""  77.535""], ["" 132.106"", "" 123.749"", ""  76.015""], ["" 132.373"", "" 122.828"", ""  76.065""], ["" 128.273"", "" 127.159"", ""  67.468""], ["" 128.315"", "" 128.603"", ""  66.906""], ["" 127.058"", "" 129.051"", ""  66.175""], ["" 127.159"", "" 129.779"", ""  64.971""], ["" 125.786"", "" 128.734"", ""  66.695""], ["" 125.994"", "" 130.186"", ""  64.290""], ["" 124.621"", "" 129.142"", ""  66.015""], ["" 124.726"", "" 129.868"", ""  64.812""], ["" 123.598"", "" 130.264"", ""  64.152""], ["" 123.564"", "" 129.958"", ""  63.244""], ["" 129.045"", "" 126.263"", ""  66.599""], ["" 128.983"", "" 126.209"", ""  65.254""], ["" 128.255"", "" 126.948"", ""  64.587""], ["" 129.672"", "" 125.636"", ""  67.081""], ["" 129.893"", "" 125.203"", ""  64.578""], ["" 131.281"", "" 125.294"", ""  64.749""], ["" 129.384"", "" 124.173"", ""  63.772""], ["" 132.155"", "" 124.382"", ""  64.142""], ["" 130.230"", "" 123.244"", ""  63.151""], ["" 131.612"", "" 123.363"", ""  63.348""], ["" 133.622"", "" 124.492"", ""  64.337""], ["" 134.055"", "" 124.624"", ""  65.479""], ["" 134.352"", "" 124.448"", ""  63.352""], ["" 129.674"", "" 122.161"", ""  62.302""], ["" 130.373"", "" 121.178"", ""  62.070""], ["" 128.534"", "" 122.284"", ""  61.862""]]",[],ZINC100053898
9,10874,ZINC100058471,receptor_tmp,1,16,-8.35,-0.3630434782608695,0.0,0.0,6,186.74,-8.94,-9.0,0.06,-8.94,0.0,-0.39,0.6,-0.39,34,2,0.0,0.0,0.0,6.330683,6.051332,6.160515,0.22402882,0.96859407,-0.10787314,157.242462,"187.652618, 202.948166, ","[["" 126.619"", "" 123.304"", ""  59.558""], ["" 125.495"", "" 123.511"", ""  60.369""], ["" 124.274"", "" 123.898"", ""  59.814""], ["" 124.160"", "" 124.084"", ""  58.437""], ["" 125.267"", "" 123.882"", ""  57.617""], ["" 125.102"", "" 124.160"", ""  55.550""], ["" 126.488"", "" 123.495"", ""  58.172""], ["" 127.888"", "" 122.898"", ""  60.177""], ["" 127.971"", "" 122.315"", ""  61.315""], ["" 129.237"", "" 122.009"", ""  61.737""], ["" 129.556"", "" 120.125"", ""  60.389""], ["" 129.936"", "" 120.961"", ""  61.213""], ["" 131.304"", "" 120.957"", ""  61.884""], ["" 131.327"", "" 122.230"", ""  62.728""], ["" 132.530"", "" 121.118"", ""  60.927""], ["" 129.972"", "" 122.882"", ""  62.486""], ["" 132.566"", "" 123.017"", ""  62.187""], ["" 133.784"", "" 121.066"", ""  61.804""], ["" 132.563"", "" 122.613"", ""  60.735""], ["" 129.629"", "" 123.976"", ""  62.940""], ["" 133.805"", "" 122.196"", ""  62.554""], ["" 133.345"", "" 123.322"", ""  59.645""], ["" 131.834"", "" 123.358"", ""  59.635""]]",[],ZINC100058471
