,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,11615,ZINC100024116,receptor_tmp,13,16,-5.32,-0.44333333333333336,0.0,0.0,18,192.67,-5.32,-5.21,-0.11,-5.32,0.0,0.0,0.0,0.0,28,0,0.0,0.0,0.0,7.453398,14.562314,4.542262,-0.90665702,0.2610577,-0.3313939,125.490631,,"[["" 129.604"", "" 132.125"", ""  60.110""], ["" 130.221"", "" 130.532"", ""  59.568""], ["" 129.434"", "" 130.052"", ""  58.314""], ["" 129.715"", "" 128.297"", ""  58.104""], ["" 129.830"", "" 130.778"", ""  56.996""], ["" 129.125"", "" 132.426"", ""  56.963""], ["" 131.369"", "" 130.827"", ""  56.797""], ["" 131.776"", "" 131.750"", ""  55.316""], ["" 132.124"", "" 131.385"", ""  58.032""], ["" 133.887"", "" 131.256"", ""  57.751""], ["" 131.752"", "" 130.588"", ""  59.309""], ["" 132.603"", "" 131.232"", ""  60.747""]]",[],ZINC100024116
1,6823,ZINC100034590,receptor_tmp,1,16,-3.02,-0.10785714285714286,0.0,0.0,6,190.03,-5.71,-5.78,0.07,-5.71,0.0,-0.97,2.68,-0.97,68,3,0.0,0.0,0.0,5.611238,14.970537,3.304481,-0.78770922,-0.26712106,0.55512208,271.034668,"113.026421, 67.355553, 84.951584, 42.083191, 23.57497, 39.415775, 61.655197, 270.231354, 277.736084, ","[["" 129.298"", "" 130.891"", ""  57.015""], ["" 130.366"", "" 130.291"", ""  57.555""], ["" 128.454"", "" 131.489"", ""  58.013""], ["" 128.999"", "" 131.883"", ""  59.276""], ["" 128.262"", "" 132.879"", ""  59.773""], ["" 130.252"", "" 132.324"", ""  59.138""], ["" 128.946"", "" 130.657"", ""  60.207""], ["" 128.678"", "" 129.522"", ""  59.558""], ["" 128.055"", "" 130.799"", ""  61.189""], ["" 130.632"", "" 130.410"", ""  61.047""], ["" 130.626"", "" 129.212"", ""  61.895""], ["" 131.188"", "" 131.690"", ""  61.500""], ["" 131.475"", "" 130.006"", ""  59.717""], ["" 128.445"", "" 129.845"", ""  56.243""], ["" 127.644"", "" 129.157"", ""  57.055""], ["" 127.661"", "" 130.421"", ""  55.330""], ["" 129.205"", "" 128.962"", ""  55.593""], ["" 129.789"", "" 132.063"", ""  56.122""], ["" 129.919"", "" 131.686"", ""  54.846""], ["" 128.907"", "" 133.067"", ""  56.156""], ["" 131.050"", "" 132.513"", ""  56.631""], ["" 132.254"", "" 131.916"", ""  56.134""], ["" 131.969"", "" 131.012"", ""  55.194""], ["" 133.041"", "" 132.847"", ""  55.589""], ["" 132.961"", "" 131.244"", ""  57.327""], ["" 134.282"", "" 131.413"", ""  57.260""], ["" 132.555"", "" 131.756"", ""  58.490""], ["" 132.731"", "" 129.931"", ""  57.357""]]",[],ZINC100034590
2,11260,ZINC100043079,receptor_tmp,1,10,-2.77,-0.1025925925925926,0.0,0.0,5,188.24,-3.67,-3.68,0.01,-3.67,0.0,0.17,0.89,0.17,69,0,0.0,0.0,0.0,6.273212,14.78696,2.850552,0.0405657,-0.77595928,-0.62947726,236.482803,"78.484642, 293.078949, 329.333527, ","[["" 132.152"", "" 130.806"", ""  57.568""], ["" 132.088"", "" 129.484"", ""  57.382""], ["" 131.671"", "" 131.040"", ""  58.793""], ["" 133.646"", "" 131.227"", ""  57.545""], ["" 133.832"", "" 132.386"", ""  56.914""], ["" 134.394"", "" 130.315"", ""  56.920""], ["" 134.147"", "" 131.370"", ""  58.772""], ["" 131.264"", "" 131.532"", ""  56.503""], ["" 130.847"", "" 132.680"", ""  57.045""], ["" 132.063"", "" 131.900"", ""  55.498""], ["" 130.035"", "" 130.670"", ""  55.972""], ["" 129.098"", "" 131.454"", ""  54.983""], ["" 129.165"", "" 130.040"", ""  57.119""], ["" 127.903"", "" 130.603"", ""  54.457""], ["" 127.971"", "" 129.188"", ""  56.594""], ["" 127.073"", "" 130.000"", ""  55.622""], ["" 130.496"", "" 129.629"", ""  55.268""], ["" 128.604"", "" 132.525"", ""  55.612""], ["" 129.802"", "" 131.910"", ""  53.945""], ["" 129.928"", "" 129.285"", ""  57.913""], ["" 128.675"", "" 131.024"", ""  57.881""], ["" 127.117"", "" 131.349"", ""  53.676""], ["" 128.374"", "" 129.607"", ""  53.700""], ["" 127.242"", "" 128.740"", ""  57.619""], ["" 128.446"", "" 128.116"", ""  55.953""], ["" 126.490"", "" 130.994"", ""  56.298""], ["" 126.097"", "" 129.226"", ""  55.141""]]",[],ZINC100043079
3,14280,ZINC100045963,receptor_tmp,1,16,-8.97,-0.23605263157894738,0.0,0.0,5,185.62,-11.96,-11.3,-0.66,-11.96,0.0,-2.66,2.98,-2.66,52,6,0.0,0.0,0.0,3.050851,14.027648,8.10165,0.26158311,-0.6046218,0.7523342,157.008713,"59.084774, 316.618927, 178.772522, 127.876366, 150.779343, 320.063477, 151.636795, 142.972885, 119.441002, 79.753868, ","[["" 129.341"", "" 131.696"", ""  55.762""], ["" 130.673"", "" 131.868"", ""  55.017""], ["" 131.771"", "" 132.506"", ""  55.886""], ["" 133.143"", "" 131.834"", ""  55.707""], ["" 133.712"", "" 131.275"", ""  57.019""], ["" 129.513"", "" 132.128"", ""  57.109""], ["" 129.787"", "" 131.195"", ""  58.092""], ["" 128.797"", "" 130.245"", ""  58.339""], ["" 130.979"", "" 131.153"", ""  58.832""], ["" 128.979"", "" 129.274"", ""  59.320""], ["" 131.161"", "" 130.180"", ""  59.812""], ["" 130.155"", "" 129.251"", ""  60.073""], ["" 130.367"", "" 128.229"", ""  61.109""], ["" 130.836"", "" 126.967"", ""  60.959""], ["" 131.110"", "" 126.022"", ""  62.052""], ["" 131.171"", "" 126.205"", ""  59.736""], ["" 130.967"", "" 126.212"", ""  63.429""], ["" 131.542"", "" 124.796"", ""  61.546""], ["" 131.721"", "" 124.967"", ""  60.079""], ["" 131.031"", "" 126.558"", ""  58.391""], ["" 131.206"", "" 125.165"", ""  64.326""], ["" 131.668"", "" 123.699"", ""  62.426""], ["" 132.321"", "" 124.178"", ""  59.075""], ["" 131.508"", "" 125.727"", ""  57.371""], ["" 131.540"", "" 123.911"", ""  63.804""], ["" 132.171"", "" 124.551"", ""  57.734""], ["" 131.066"", "" 125.369"", ""  65.789""], ["" 131.685"", "" 126.289"", ""  66.316""], ["" 130.336"", "" 124.611"", ""  66.422""], ["" 131.822"", "" 122.310"", ""  61.957""], ["" 130.853"", "" 121.760"", ""  61.442""], ["" 132.931"", "" 121.794"", ""  62.056""], ["" 133.193"", "" 123.028"", ""  59.375""], ["" 134.375"", "" 123.255"", ""  59.614""], ["" 132.709"", "" 121.901"", ""  59.318""], ["" 131.351"", "" 126.107"", ""  55.946""], ["" 130.413"", "" 126.834"", ""  55.631""], ["" 132.165"", "" 125.683"", ""  55.130""]]",[],ZINC100045963
4,12733,ZINC100046143,receptor_tmp,1,16,-4.19,-0.14448275862068966,0.0,0.0,3,188.79,-8.07,-8.0,-0.07,-8.07,0.0,-0.43,3.88,-0.43,87,2,0.0,0.0,0.0,5.572155,13.573631,0.831608,-0.48007393,0.03297589,0.87660802,107.633522,"92.637375, 271.723145, 94.29583, 17.842569, 298.271698, 22.852953, 90.731438, 82.703171, 16.090725, 113.428749, 119.974548, 25.227724, 99.308197, ","[["" 127.913"", "" 128.928"", ""  54.571""], ["" 127.872"", "" 127.641"", ""  55.419""], ["" 128.617"", "" 126.467"", ""  54.758""], ["" 128.168"", "" 125.094"", ""  55.288""], ["" 127.568"", "" 124.204"", ""  54.184""], ["" 126.778"", "" 123.147"", ""  54.723""], ["" 126.381"", "" 123.142"", ""  56.027""], ["" 127.037"", "" 122.658"", ""  56.950""], ["" 125.081"", "" 123.768"", ""  56.265""], ["" 123.902"", "" 123.114"", ""  56.251""], ["" 129.141"", "" 129.832"", ""  54.848""], ["" 130.222"", "" 129.062"", ""  54.993""], ["" 129.367"", "" 130.598"", ""  53.779""], ["" 128.938"", "" 130.720"", ""  56.114""], ["" 127.640"", "" 131.018"", ""  56.224""], ["" 129.234"", "" 129.996"", ""  57.198""], ["" 129.784"", "" 132.035"", ""  56.110""], ["" 129.413"", "" 132.793"", ""  55.076""], ["" 129.496"", "" 132.748"", ""  57.202""], ["" 131.328"", "" 131.790"", ""  56.046""], ["" 131.615"", "" 131.039"", ""  54.979""], ["" 131.954"", "" 132.953"", ""  55.847""], ["" 131.912"", "" 131.109"", ""  57.325""], ["" 131.374"", "" 131.651"", ""  58.420""], ["" 131.575"", "" 129.816"", ""  57.350""], ["" 133.455"", "" 131.213"", ""  57.437""], ["" 134.050"", "" 130.108"", ""  56.984""], ["" 133.940"", "" 132.238"", ""  56.733""], ["" 133.854"", "" 131.387"", ""  58.698""]]",[],ZINC100046143
5,11281,ZINC100050078,receptor_tmp,1,20,-9.04,-0.25111111111111106,0.0,0.0,8,186.71,-11.72,-11.46,-0.26,-11.72,0.0,-2.69,2.68,-2.69,52,4,0.0,0.0,0.0,5.184262,9.232538,3.736989,0.61949927,-0.49557853,0.60878779,207.557785,"257.530212, 223.437042, 151.601761, 339.129059, 345.555664, 348.870667, 150.173279, 235.188889, 346.432678, ","[["" 130.065"", "" 129.931"", ""  55.988""], ["" 130.221"", "" 131.139"", ""  55.059""], ["" 129.975"", "" 131.040"", ""  53.856""], ["" 130.644"", "" 132.259"", ""  55.691""], ["" 131.692"", "" 132.199"", ""  56.649""], ["" 133.040"", "" 132.133"", ""  55.925""], ["" 129.562"", "" 128.799"", ""  55.280""], ["" 129.595"", "" 127.556"", ""  55.887""], ["" 130.222"", "" 126.433"", ""  55.323""], ["" 128.959"", "" 127.434"", ""  57.130""], ["" 130.225"", "" 125.213"", ""  55.990""], ["" 128.965"", "" 126.192"", ""  57.787""], ["" 129.607"", "" 125.076"", ""  57.238""], ["" 128.353"", "" 128.569"", ""  57.640""], ["" 127.356"", "" 128.439"", ""  58.647""], ["" 129.610"", "" 123.728"", ""  58.003""], ["" 128.130"", "" 123.217"", ""  58.287""], ["" 127.446"", "" 123.883"", ""  59.520""], ["" 127.277"", "" 123.103"", ""  56.988""], ["" 128.073"", "" 124.386"", ""  60.450""], ["" 125.910"", "" 123.872"", ""  59.547""], ["" 125.750"", "" 123.150"", ""  57.149""], ["" 127.776"", "" 122.959"", ""  55.872""], ["" 125.247"", "" 124.190"", ""  58.183""], ["" 123.727"", "" 123.978"", ""  58.348""], ["" 125.585"", "" 125.634"", ""  57.723""], ["" 130.596"", "" 123.703"", ""  59.245""], ["" 130.488"", "" 122.446"", ""  60.139""], ["" 132.089"", "" 123.933"", ""  58.899""], ["" 129.830"", "" 121.442"", ""  59.870""], ["" 131.330"", "" 122.552"", ""  61.423""], ["" 132.979"", "" 124.071"", ""  60.145""], ["" 132.542"", "" 123.997"", ""  57.757""], ["" 132.835"", "" 122.873"", ""  61.139""], ["" 133.471"", "" 123.305"", ""  62.476""], ["" 133.523"", "" 121.620"", ""  60.537""]]",[],ZINC100050078
6,8628,ZINC100050142,receptor_tmp,1,5,-7.39,-0.19972972972972972,0.0,0.0,3,190.1,-10.97,-10.41,-0.56,-10.97,0.0,-3.1,3.58,-3.1,41,10,0.0,0.0,0.0,7.205276,10.920545,3.84752,0.35367985,0.93459915,0.03788119,131.264053,"359.333832, 134.466324, 194.939117, 325.0466, 103.796089, 47.900867, 157.201477, 201.106445, 332.63443, 5.481263, 336.474487, 35.484127, ","[["" 129.286"", "" 127.890"", ""  55.279""], ["" 129.917"", "" 127.055"", ""  56.216""], ["" 130.498"", "" 127.539"", ""  57.406""], ["" 130.439"", "" 128.930"", ""  57.634""], ["" 129.795"", "" 129.768"", ""  56.712""], ["" 129.232"", "" 129.272"", ""  55.535""], ["" 128.678"", "" 127.405"", ""  54.132""], ["" 128.766"", "" 126.023"", ""  53.805""], ["" 128.619"", "" 130.208"", ""  54.666""], ["" 127.439"", "" 130.964"", ""  55.101""], ["" 126.081"", "" 130.246"", ""  54.955""], ["" 126.160"", "" 128.849"", ""  55.133""], ["" 126.853"", "" 128.507"", ""  54.564""], ["" 129.564"", "" 130.916"", ""  53.800""], ["" 130.983"", "" 131.021"", ""  54.388""], ["" 131.089"", "" 132.056"", ""  55.426""], ["" 131.174"", "" 132.871"", ""  56.244""], ["" 131.129"", "" 126.709"", ""  58.364""], ["" 130.771"", "" 125.492"", ""  58.393""], ["" 131.473"", "" 124.790"", ""  59.377""], ["" 130.879"", "" 124.628"", ""  60.646""], ["" 132.749"", "" 124.209"", ""  59.143""], ["" 131.532"", "" 123.938"", ""  61.663""], ["" 133.381"", "" 123.522"", ""  60.195""], ["" 132.792"", "" 123.378"", ""  61.456""], ["" 129.313"", "" 125.282"", ""  61.000""], ["" 133.456"", "" 124.289"", ""  57.826""], ["" 134.362"", "" 123.507"", ""  57.559""], ["" 133.111"", "" 125.160"", ""  57.031""], ["" 133.486"", "" 122.643"", ""  62.543""], ["" 134.280"", "" 121.757"", ""  62.241""], ["" 133.243"", "" 122.950"", ""  63.706""], ["" 130.999"", "" 129.443"", ""  58.828""], ["" 130.939"", "" 130.701"", ""  59.314""], ["" 130.391"", "" 131.653"", ""  58.759""], ["" 131.608"", "" 128.802"", ""  59.314""], ["" 131.651"", "" 130.931"", ""  60.644""]]",[],ZINC100050142
7,3995,ZINC100052783,receptor_tmp,1,14,-7.23,-0.15382978723404256,0.0,0.0,5,182.78,-10.81,-10.87,0.06,-10.81,0.0,-2.28,3.58,-2.28,105,3,0.0,0.0,0.0,4.810294,10.776634,3.596619,0.28487989,0.69825478,0.65672195,103.618477,"121.191185, 262.318237, 228.152222, 59.816689, 69.686882, 125.041451, 219.144348, 66.37114, 295.862335, 3.221868, 50.33112, 28.531021, ","[["" 127.914"", "" 125.956"", ""  56.686""], ["" 127.585"", "" 126.286"", ""  55.372""], ["" 127.451"", "" 127.651"", ""  55.122""], ["" 127.663"", "" 128.480"", ""  56.223""], ["" 128.021"", "" 127.450"", ""  57.593""], ["" 128.153"", "" 124.576"", ""  57.337""], ["" 129.633"", "" 124.464"", ""  57.793""], ["" 132.337"", "" 124.263"", ""  58.632""], ["" 131.894"", "" 125.349"", ""  57.859""], ["" 131.398"", "" 123.273"", ""  58.962""], ["" 130.569"", "" 125.446"", ""  57.447""], ["" 130.072"", "" 123.370"", ""  58.550""], ["" 133.693"", "" 124.162"", ""  59.055""], ["" 134.744"", "" 123.874"", ""  58.077""], ["" 134.004"", "" 123.859"", ""  60.453""], ["" 127.873"", "" 123.622"", ""  56.317""], ["" 128.126"", "" 122.754"", ""  56.640""], ["" 127.197"", "" 124.296"", ""  58.527""], ["" 125.805"", "" 124.404"", ""  58.414""], ["" 127.734"", "" 123.947"", ""  59.772""], ["" 124.979"", "" 124.158"", ""  59.507""], ["" 126.908"", "" 123.702"", ""  60.865""], ["" 125.511"", "" 123.799"", ""  60.756""], ["" 124.666"", "" 123.555"", ""  61.875""], ["" 124.937"", "" 124.209"", ""  63.156""], ["" 123.839"", "" 122.348"", ""  61.920""], ["" 127.602"", "" 130.020"", ""  56.331""], ["" 127.048"", "" 130.484"", ""  55.106""], ["" 126.336"", "" 129.891"", ""  54.854""], ["" 126.662"", "" 130.506"", ""  57.469""], ["" 127.196"", "" 131.283"", ""  58.505""], ["" 125.290"", "" 130.224"", ""  57.495""], ["" 126.393"", "" 131.746"", ""  59.542""], ["" 124.486"", "" 130.689"", ""  58.532""], ["" 125.018"", "" 131.456"", ""  59.580""], ["" 124.193"", "" 131.934"", ""  60.638""], ["" 123.760"", "" 131.024"", ""  61.699""], ["" 124.142"", "" 133.365"", ""  60.940""], ["" 129.054"", "" 130.556"", ""  56.466""], ["" 129.919"", "" 130.112"", ""  57.475""], ["" 129.540"", "" 131.491"", ""  55.544""], ["" 131.219"", "" 130.599"", ""  57.565""], ["" 130.841"", "" 131.976"", ""  55.633""], ["" 131.711"", "" 131.541"", ""  56.646""], ["" 133.041"", "" 132.041"", ""  56.740""], ["" 134.012"", "" 131.383"", ""  57.615""], ["" 133.587"", "" 132.870"", ""  55.666""]]",[],ZINC100052783
8,11523,ZINC100053898,receptor_tmp,1,6,-10.83,-0.2518604651162791,0.0,0.0,7,187.29,-14.71,-13.99,-0.72,-14.71,0.0,-1.72,3.88,-1.72,74,11,0.0,0.0,0.0,6.210047,9.274993,10.081,0.24907836,0.96834166,0.01656517,74.504272,"322.784302, 254.604202, 49.747707, 248.330078, 15.521431, 276.119507, 119.631416, 346.061127, 174.232849, 156.491058, 84.050133, 211.268967, 5.399165, ","[["" 130.661"", "" 125.957"", ""  65.518""], ["" 130.803"", "" 124.848"", ""  64.766""], ["" 130.601"", "" 123.694"", ""  65.156""], ["" 130.832"", "" 126.881"", ""  65.147""], ["" 130.253"", "" 125.908"", ""  66.799""], ["" 129.820"", "" 127.026"", ""  67.226""], ["" 129.312"", "" 127.231"", ""  68.590""], ["" 129.774"", "" 127.434"", ""  70.989""], ["" 130.210"", "" 127.234"", ""  69.666""], ["" 128.406"", "" 127.627"", ""  71.222""], ["" 127.502"", "" 127.623"", ""  70.163""], ["" 127.950"", "" 127.429"", ""  68.860""], ["" 130.619"", "" 127.455"", ""  72.086""], ["" 130.667"", "" 126.333"", ""  72.961""], ["" 132.121"", "" 126.107"", ""  73.386""], ["" 127.936"", "" 127.822"", ""  72.496""], ["" 127.194"", "" 127.253"", ""  72.713""], ["" 131.272"", "" 125.077"", ""  63.312""], ["" 132.514"", "" 124.215"", ""  62.968""], ["" 132.847"", "" 124.119"", ""  61.486""], ["" 132.315"", "" 125.058"", ""  60.577""], ["" 133.695"", "" 123.096"", ""  61.016""], ["" 132.631"", "" 124.974"", ""  59.206""], ["" 134.010"", "" 123.010"", ""  59.645""], ["" 133.478"", "" 123.950"", ""  58.740""], ["" 133.782"", "" 123.869"", ""  57.412""], ["" 134.617"", "" 124.284"", ""  57.188""], ["" 130.194"", "" 124.803"", ""  62.354""], ["" 129.815"", "" 123.589"", ""  61.906""], ["" 130.345"", "" 122.541"", ""  62.282""], ["" 129.709"", "" 125.619"", ""  62.013""], ["" 128.661"", "" 123.565"", ""  60.925""], ["" 127.347"", "" 123.699"", ""  61.392""], ["" 128.868"", "" 123.405"", ""  59.546""], ["" 126.253"", "" 123.684"", ""  60.516""], ["" 127.796"", "" 123.386"", ""  58.643""], ["" 126.496"", "" 123.527"", ""  59.145""], ["" 124.868"", "" 123.830"", ""  61.029""], ["" 124.689"", "" 123.846"", ""  62.244""], ["" 123.949"", "" 123.932"", ""  60.223""], ["" 128.034"", "" 123.217"", ""  57.188""], ["" 127.137"", "" 122.742"", ""  56.496""], ["" 129.120"", "" 123.557"", ""  56.725""]]",[],ZINC100053898
9,1636,ZINC100058471,receptor_tmp,1,3,-8.55,-0.3717391304347826,0.0,0.0,11,187.2,-9.15,-9.21,0.07,-9.15,0.0,-0.36,0.6,-0.36,44,0,0.0,0.0,0.0,6.252083,6.577275,5.62672,-0.2612709,0.15542506,0.95267023,172.327454,"346.966461, 341.315735, ","[["" 127.785"", "" 123.368"", ""  56.589""], ["" 127.854"", "" 123.418"", ""  55.190""], ["" 126.707"", "" 123.625"", ""  54.423""], ["" 125.470"", "" 123.785"", ""  55.046""], ["" 125.382"", "" 123.737"", ""  56.435""], ["" 123.529"", "" 123.976"", ""  57.374""], ["" 126.530"", "" 123.530"", ""  57.201""], ["" 129.012"", "" 123.147"", ""  57.363""], ["" 129.127"", "" 123.418"", ""  58.610""], ["" 130.347"", "" 123.147"", ""  59.170""], ["" 131.438"", "" 125.093"", ""  58.471""], ["" 131.388"", "" 124.023"", ""  59.083""], ["" 132.553"", "" 123.410"", ""  59.851""], ["" 131.971"", "" 122.159"", ""  60.505""], ["" 133.088"", "" 124.250"", ""  61.056""], ["" 130.511"", "" 122.135"", ""  60.071""], ["" 132.222"", "" 122.382"", ""  62.033""], ["" 134.254"", "" 123.462"", ""  61.660""], ["" 132.104"", "" 123.881"", ""  62.137""], ["" 129.679"", "" 121.309"", ""  60.453""], ["" 133.738"", "" 122.351"", ""  62.241""], ["" 131.933"", "" 124.641"", ""  63.439""], ["" 130.816"", "" 124.626"", ""  62.421""]]",[],ZINC100058471
