,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,1829,1a_Ghoteimi_2023,receptor_tmp,1,7,-7.89,-0.1924390243902439,0.0,0.0,1,185.61,-11.17,-10.61,-0.56,-11.17,0.0,-2.9,3.28,-2.9,44,10,0.0,0.0,0.0,1.038818,9.282103,6.149122,0.51979473,-0.79438373,-0.31427366,48.255966,"13.85757, 31.987724, 329.715546, 247.704788, 79.079994, 102.947365, 157.322983, 50.644989, 231.559494, 43.235348, 185.017334, ","[["" 127.047"", "" 124.341"", ""  60.316""], ["" 127.885"", "" 125.322"", ""  60.716""], ["" 127.233"", "" 123.134"", ""  60.471""], ["" 127.567"", "" 126.268"", ""  60.561""], ["" 125.769"", "" 124.810"", ""  59.621""], ["" 126.131"", "" 125.728"", ""  58.095""], ["" 126.756"", "" 127.313"", ""  58.607""], ["" 128.121"", "" 129.302"", ""  58.384""], ["" 127.705"", "" 128.051"", ""  57.867""], ["" 127.578"", "" 129.735"", ""  59.600""], ["" 128.249"", "" 127.538"", ""  56.606""], ["" 126.625"", "" 128.960"", ""  60.274""], ["" 128.680"", "" 127.133"", ""  55.611""], ["" 126.227"", "" 127.763"", ""  59.769""], ["" 129.108"", "" 130.195"", ""  57.706""], ["" 130.973"", "" 131.895"", ""  56.465""], ["" 129.609"", "" 132.035"", ""  56.210""], ["" 131.402"", "" 130.896"", ""  57.353""], ["" 128.683"", "" 131.197"", ""  56.827""], ["" 130.475"", "" 130.058"", ""  57.968""], ["" 131.815"", "" 132.771"", ""  55.810""], ["" 133.213"", "" 132.502"", ""  55.784""], ["" 126.008"", "" 129.380"", ""  61.576""], ["" 124.856"", "" 130.183"", ""  61.613""], ["" 126.568"", "" 128.987"", ""  62.801""], ["" 124.286"", "" 130.570"", ""  62.822""], ["" 126.000"", "" 129.371"", ""  64.012""], ["" 124.848"", "" 130.169"", ""  64.032""], ["" 124.214"", "" 130.598"", ""  65.182""], ["" 124.259"", "" 129.778"", ""  66.345""], ["" 129.131"", "" 125.236"", ""  61.365""], ["" 129.804"", "" 126.313"", ""  61.961""], ["" 129.704"", "" 123.964"", ""  61.410""], ["" 131.034"", "" 126.113"", ""  62.582""], ["" 130.934"", "" 123.765"", ""  62.032""], ["" 131.614"", "" 124.837"", ""  62.625""], ["" 132.937"", "" 124.587"", ""  63.290""], ["" 133.823"", "" 123.884"", ""  62.795""], ["" 133.058"", "" 125.208"", ""  64.491""], ["" 132.061"", "" 125.065"", ""  65.496""], ["" 131.650"", "" 126.450"", ""  66.004""]]",[],1a_Ghoteimi_2023
1,8083,1a_Grossjean_2025,receptor_tmp,1,17,-8.4,-0.3111111111111111,0.0,0.0,11,188.64,-10.49,-10.28,-0.21,-10.49,0.0,-0.94,2.09,-0.94,46,6,0.0,0.0,0.0,5.172826,12.581233,1.272219,-0.2951692,0.51162606,0.8069163,329.808594,"284.733734, 298.981842, 340.478851, 121.689705, 67.243797, 125.00222, 276.060822, ","[["" 129.100"", "" 127.218"", ""  55.070""], ["" 128.270"", "" 127.029"", ""  56.175""], ["" 127.806"", "" 125.758"", ""  56.501""], ["" 128.165"", "" 124.648"", ""  55.726""], ["" 129.007"", "" 124.840"", ""  54.619""], ["" 129.472"", "" 126.111"", ""  54.292""], ["" 129.508"", "" 128.545"", ""  54.832""], ["" 128.772"", "" 129.669"", ""  54.703""], ["" 127.545"", "" 129.733"", ""  54.776""], ["" 130.509"", "" 128.663"", ""  54.783""], ["" 129.570"", "" 130.949"", ""  54.444""], ["" 129.353"", "" 132.172"", ""  55.772""], ["" 130.464"", "" 131.733"", ""  57.090""], ["" 131.077"", "" 131.334"", ""  59.399""], ["" 130.093"", "" 131.707"", ""  58.455""], ["" 132.368"", "" 131.025"", ""  58.956""], ["" 128.748"", "" 132.083"", ""  58.900""], ["" 132.651"", "" 131.099"", ""  57.594""], ["" 127.687"", "" 132.378"", ""  59.255""], ["" 131.724"", "" 131.451"", ""  56.672""], ["" 130.793"", "" 131.261"", ""  60.898""], ["" 134.034"", "" 130.786"", ""  57.052""], ["" 127.643"", "" 123.291"", ""  56.102""], ["" 128.193"", "" 122.557"", ""  56.928""], ["" 126.497"", "" 122.959"", ""  55.453""], ["" 125.360"", "" 123.812"", ""  55.487""], ["" 124.233"", "" 123.130"", ""  56.268""]]",[],1a_Grossjean_2025
2,1789,1aa_Ghoteimi_2023,receptor_tmp,1,19,-7.84,-0.19121951219512195,0.0,0.0,2,186.06,-11.12,-10.82,-0.3,-11.12,0.0,-2.31,3.28,-2.31,54,10,0.0,0.0,0.0,4.233307,11.814139,9.013638,0.68590291,0.20400143,0.69851314,215.119675,"11.33469, 300.794128, 1.092649, 108.413223, 123.696136, 70.216492, 27.34425, 156.922806, 101.715439, 357.592926, 49.553051, ","[["" 126.798"", "" 129.316"", ""  65.265""], ["" 127.699"", "" 128.381"", ""  65.645""], ["" 126.158"", "" 130.031"", ""  66.036""], ["" 128.154"", "" 127.881"", ""  64.894""], ["" 126.563"", "" 129.495"", ""  63.757""], ["" 126.843"", "" 128.276"", ""  63.057""], ["" 127.943"", "" 128.187"", ""  62.215""], ["" 129.222"", "" 128.985"", ""  60.315""], ["" 128.094"", "" 129.102"", ""  61.160""], ["" 130.147"", "" 127.968"", ""  60.586""], ["" 127.098"", "" 130.160"", ""  60.983""], ["" 129.949"", "" 127.088"", ""  61.657""], ["" 128.851"", "" 127.200"", ""  62.450""], ["" 126.310"", "" 130.996"", ""  60.844""], ["" 129.485"", "" 129.884"", ""  59.152""], ["" 130.008"", "" 131.588"", ""  56.977""], ["" 129.959"", "" 132.093"", ""  58.276""], ["" 129.797"", "" 130.216"", ""  56.770""], ["" 129.704"", "" 131.250"", ""  59.354""], ["" 129.541"", "" 129.375"", ""  57.850""], ["" 130.267"", "" 132.497"", ""  55.970""], ["" 130.087"", "" 132.103"", ""  54.614""], ["" 130.900"", "" 125.972"", ""  61.981""], ["" 131.393"", "" 125.799"", ""  63.283""], ["" 131.322"", "" 125.066"", ""  60.994""], ["" 132.277"", "" 124.766"", ""  63.585""], ["" 132.206"", "" 124.033"", ""  61.294""], ["" 132.694"", "" 123.876"", ""  62.598""], ["" 133.572"", "" 122.883"", ""  62.990""], ["" 134.052"", "" 121.959"", ""  62.019""], ["" 128.120"", "" 127.988"", ""  66.929""], ["" 127.266"", "" 127.625"", ""  67.982""], ["" 129.501"", "" 127.967"", ""  67.130""], ["" 127.797"", "" 127.252"", ""  69.214""], ["" 130.029"", "" 127.593"", ""  68.362""], ["" 129.185"", "" 127.231"", ""  69.420""], ["" 129.787"", "" 126.834"", ""  70.737""], ["" 131.005"", "" 126.769"", ""  70.933""], ["" 128.860"", "" 126.555"", ""  71.689""], ["" 128.180"", "" 127.595"", ""  72.379""], ["" 129.011"", "" 128.880"", ""  72.311""]]",[],1aa_Ghoteimi_2023
3,1670,1b_Ghoteimi_2023,receptor_tmp,1,7,-8.35,-0.23857142857142857,0.0,0.0,1,184.79,-10.74,-10.69,-0.04,-10.74,0.0,-2.18,2.39,-2.18,39,8,0.0,0.0,0.0,7.353888,8.512646,3.814478,0.32623193,-0.88645766,0.32827663,230.671143,"168.410034, 10.990954, 222.199738, 142.650131, 93.578346, 164.606064, 175.797577, 175.576004, ","[["" 130.843"", "" 125.464"", ""  59.440""], ["" 130.205"", "" 124.452"", ""  58.680""], ["" 130.100"", "" 123.086"", ""  59.201""], ["" 130.018"", "" 122.007"", ""  59.613""], ["" 129.626"", "" 124.817"", ""  57.444""], ["" 129.623"", "" 126.095"", ""  56.994""], ["" 130.226"", "" 127.072"", ""  57.720""], ["" 130.837"", "" 126.774"", ""  58.943""], ["" 131.517"", "" 125.219"", ""  60.749""], ["" 132.789"", "" 124.782"", ""  63.218""], ["" 131.590"", "" 125.493"", ""  63.155""], ["" 133.356"", "" 124.293"", ""  62.032""], ["" 130.961"", "" 125.711"", ""  61.933""], ["" 132.724"", "" 124.514"", ""  60.811""], ["" 133.342"", "" 124.615"", ""  64.473""], ["" 132.820"", "" 125.362"", ""  65.567""], ["" 128.793"", "" 123.679"", ""  56.356""], ["" 127.028"", "" 124.137"", ""  56.310""], ["" 126.403"", "" 124.455"", ""  57.676""], ["" 126.725"", "" 123.584"", ""  58.659""], ["" 125.674"", "" 125.438"", ""  57.822""], ["" 127.324"", "" 122.810"", ""  58.413""], ["" 126.308"", "" 123.620"", ""  59.985""], ["" 127.054"", "" 123.344"", ""  61.042""], ["" 125.010"", "" 123.958"", ""  60.365""], ["" 126.239"", "" 123.503"", ""  62.163""], ["" 125.008"", "" 123.876"", ""  61.739""], ["" 130.187"", "" 128.459"", ""  57.142""], ["" 129.316"", "" 128.777"", ""  56.089""], ["" 131.011"", "" 129.480"", ""  57.640""], ["" 129.275"", "" 130.060"", ""  55.553""], ["" 130.972"", "" 130.765"", ""  57.108""], ["" 130.099"", "" 131.067"", ""  56.054""], ["" 129.989"", "" 132.310"", ""  55.460""], ["" 129.142"", "" 132.465"", ""  54.328""]]",[],1b_Ghoteimi_2023
4,2475,1b_Grossjean_2025,receptor_tmp,1,13,-7.9,-0.3038461538461539,0.0,0.0,4,186.25,-9.69,-9.49,-0.2,-9.69,0.0,-0.83,1.79,-0.83,35,6,0.0,0.0,0.0,3.042132,10.622731,0.684047,-0.82129847,0.27348116,-0.50067642,208.83046,"357.6604, 213.9655, 122.67382, 229.93924, 65.962044, 324.868195, ","[["" 128.033"", "" 125.716"", ""  54.652""], ["" 127.507"", "" 126.911"", ""  54.997""], ["" 129.227"", "" 125.489"", ""  54.455""], ["" 126.505"", "" 126.936"", ""  55.115""], ["" 127.027"", "" 124.571"", ""  54.518""], ["" 127.625"", "" 123.038"", ""  55.291""], ["" 127.566"", "" 123.275"", ""  57.054""], ["" 126.484"", "" 123.764"", ""  59.164""], ["" 126.388"", "" 123.608"", ""  57.763""], ["" 127.720"", "" 123.575"", ""  59.790""], ["" 125.095"", "" 123.757"", ""  57.091""], ["" 128.825"", "" 123.227"", ""  59.016""], ["" 124.072"", "" 123.876"", ""  56.563""], ["" 128.756"", "" 123.072"", ""  57.673""], ["" 125.284"", "" 124.129"", ""  60.036""], ["" 130.191"", "" 123.000"", ""  59.637""], ["" 128.137"", "" 128.153"", ""  55.205""], ["" 127.414"", "" 129.273"", ""  54.792""], ["" 129.402"", "" 128.328"", ""  55.785""], ["" 127.939"", "" 130.551"", ""  54.951""], ["" 129.927"", "" 129.607"", ""  55.943""], ["" 129.204"", "" 130.734"", ""  55.530""], ["" 129.802"", "" 132.100"", ""  55.719""], ["" 130.802"", "" 132.492"", ""  55.109""], ["" 129.138"", "" 132.855"", ""  56.630""], ["" 128.822"", "" 132.338"", ""  57.916""]]",[],1b_Grossjean_2025
5,8558,1c_Ghoteimi_2023,receptor_tmp,1,15,-8.0,-0.22857142857142856,0.0,0.0,4,189.19,-10.39,-10.09,-0.29,-10.39,0.0,-1.79,2.39,-1.79,39,5,0.0,0.0,0.0,6.366357,9.814469,5.714907,0.29951727,-0.87075616,0.38996553,221.702759,"168.179077, 315.722748, 163.281616, 326.256256, 325.47464, 21.612509, 209.637802, 335.291626, ","[["" 130.970"", "" 125.367"", ""  59.438""], ["" 130.290"", "" 124.356"", ""  58.719""], ["" 130.246"", "" 122.975"", ""  59.212""], ["" 130.212"", "" 121.886"", ""  59.603""], ["" 129.643"", "" 124.719"", ""  57.520""], ["" 129.670"", "" 125.982"", ""  57.029""], ["" 130.356"", "" 126.947"", ""  57.694""], ["" 131.005"", "" 126.659"", ""  58.900""], ["" 131.627"", "" 125.147"", ""  60.760""], ["" 132.886"", "" 124.774"", ""  63.243""], ["" 131.655"", "" 125.423"", ""  63.166""], ["" 133.491"", "" 124.312"", ""  62.064""], ["" 131.031"", "" 125.610"", ""  61.937""], ["" 132.865"", "" 124.501"", ""  60.835""], ["" 133.432"", "" 124.632"", ""  64.506""], ["" 132.864"", "" 125.356"", ""  65.592""], ["" 128.612"", "" 123.595"", ""  56.604""], ["" 127.000"", "" 124.436"", ""  56.478""], ["" 126.094"", "" 124.132"", ""  57.676""], ["" 126.631"", "" 124.400"", ""  58.887""], ["" 124.981"", "" 123.641"", ""  57.487""], ["" 127.553"", "" 124.811"", ""  58.905""], ["" 126.091"", "" 124.079"", ""  60.122""], ["" 126.725"", "" 123.924"", ""  61.265""], ["" 124.369"", "" 123.901"", ""  60.208""], ["" 125.888"", "" 123.660"", ""  62.249""], ["" 124.540"", "" 123.598"", ""  61.911""], ["" 130.339"", "" 128.322"", ""  57.090""], ["" 129.740"", "" 128.564"", ""  55.844""], ["" 130.926"", "" 129.408"", ""  57.755""], ["" 129.722"", "" 129.841"", ""  55.290""], ["" 130.910"", "" 130.686"", ""  57.205""], ["" 130.303"", "" 130.913"", ""  55.962""], ["" 130.237"", "" 132.145"", ""  55.339""], ["" 129.142"", "" 132.430"", ""  54.475""]]",[],1c_Ghoteimi_2023
6,1826,1c_Grossjean_2025,receptor_tmp,1,8,-7.39,-0.30791666666666667,0.0,0.0,3,186.43,-8.88,-8.58,-0.3,-8.88,0.0,-0.62,1.49,-0.62,59,7,0.0,0.0,0.0,5.08997,6.813121,8.146018,-0.35014136,0.09966938,0.93137911,80.415901,"185.945358, 66.013359, 159.549103, 43.713631, 40.533966, ","[["" 130.043"", "" 122.266"", ""  61.121""], ["" 130.183"", "" 123.445"", ""  61.764""], ["" 130.871"", "" 121.355"", ""  61.113""], ["" 129.386"", "" 124.064"", ""  61.736""], ["" 128.730"", "" 122.087"", ""  60.358""], ["" 128.501"", "" 123.372"", ""  59.093""], ["" 126.755"", "" 123.568"", ""  58.801""], ["" 124.742"", "" 123.626"", ""  57.453""], ["" 126.143"", "" 123.446"", ""  57.531""], ["" 124.022"", "" 123.900"", ""  58.621""], ["" 126.906"", "" 123.104"", ""  56.328""], ["" 124.703"", "" 123.978"", ""  59.833""], ["" 127.508"", "" 122.834"", ""  55.378""], ["" 126.042"", "" 123.811"", ""  59.931""], ["" 123.971"", "" 123.528"", ""  56.138""], ["" 123.976"", "" 124.256"", ""  61.136""], ["" 131.261"", "" 123.922"", ""  62.534""], ["" 132.586"", "" 124.012"", ""  62.082""], ["" 130.947"", "" 124.352"", ""  63.824""], ["" 133.576"", "" 124.510"", ""  62.924""], ["" 131.940"", "" 124.850"", ""  64.663""], ["" 133.268"", "" 124.930"", ""  64.217""], ["" 134.319"", "" 125.407"", ""  64.977""], ["" 134.433"", "" 125.000"", ""  66.337""]]",[],1c_Grossjean_2025
7,8317,1d_Ghoteimi_2023,receptor_tmp,1,5,-7.55,-0.25166666666666665,0.0,0.0,11,188.81,-9.93,-9.39,-0.55,-9.93,0.0,-1.07,2.39,-1.07,33,5,0.0,0.0,0.0,6.547804,9.480757,5.125303,0.26242974,-0.81507445,0.51651164,234.152817,"175.087479, 131.366943, 16.874224, 156.550201, 26.503042, 237.776108, 82.653961, 340.652679, ","[["" 128.376"", "" 123.617"", ""  56.840""], ["" 129.367"", "" 124.765"", ""  57.770""], ["" 130.807"", "" 125.443"", ""  59.601""], ["" 130.069"", "" 124.424"", ""  58.949""], ["" 130.836"", "" 126.719"", ""  59.024""], ["" 130.090"", "" 123.047"", ""  59.452""], ["" 130.150"", "" 126.978"", ""  57.831""], ["" 130.106"", "" 121.961"", ""  59.849""], ["" 129.424"", "" 126.004"", ""  57.226""], ["" 131.568"", "" 125.234"", ""  60.871""], ["" 132.983"", "" 124.845"", ""  63.269""], ["" 131.784"", "" 125.557"", ""  63.262""], ["" 133.469"", "" 124.315"", ""  62.064""], ["" 131.081"", "" 125.749"", ""  62.076""], ["" 132.764"", "" 124.507"", ""  60.879""], ["" 133.616"", "" 124.711"", ""  64.490""], ["" 133.070"", "" 125.364"", ""  65.631""], ["" 130.155"", "" 128.324"", ""  57.166""], ["" 130.819"", "" 129.419"", ""  57.742""], ["" 129.488"", "" 128.531"", ""  55.949""], ["" 130.818"", "" 130.667"", ""  57.127""], ["" 129.484"", "" 129.779"", ""  55.332""], ["" 130.152"", "" 130.862"", ""  55.919""], ["" 130.201"", "" 132.134"", ""  55.383""], ["" 129.261"", "" 132.500"", ""  54.379""], ["" 126.731"", "" 123.587"", ""  57.614""], ["" 125.734"", "" 123.124"", ""  56.555""], ["" 126.104"", "" 122.778"", ""  55.432""], ["" 124.462"", "" 123.145"", ""  57.005""], ["" 123.887"", "" 124.350"", ""  57.484""]]",[],1d_Ghoteimi_2023
8,1711,1d_Grossjean_2025,receptor_tmp,1,7,-8.48,-0.3854545454545455,0.0,0.0,5,192.56,-9.67,-9.43,-0.24,-9.67,0.0,-0.38,1.19,-0.38,51,3,0.0,0.0,0.0,5.629844,11.205763,20.339903,0.70458281,-0.62421441,0.33751953,235.42955,"263.528809, 177.343124, 311.17627, 337.433258, ","[["" 127.631"", "" 127.963"", ""  72.448""], ["" 127.212"", "" 129.359"", ""  73.467""], ["" 125.830"", "" 130.609"", ""  75.015""], ["" 126.037"", "" 129.437"", ""  74.251""], ["" 126.775"", "" 131.639"", ""  74.956""], ["" 125.038"", "" 128.367"", ""  74.259""], ["" 127.893"", "" 131.488"", ""  74.138""], ["" 124.246"", "" 127.522"", ""  74.268""], ["" 128.112"", "" 130.374"", ""  73.401""], ["" 124.605"", "" 130.805"", ""  75.906""], ["" 128.946"", "" 132.572"", ""  74.024""], ["" 129.436"", "" 127.974"", ""  72.228""], ["" 130.092"", "" 126.707"", ""  72.780""], ["" 131.347"", "" 126.864"", ""  73.252""], ["" 129.470"", "" 125.645"", ""  72.745""], ["" 131.741"", "" 127.790"", ""  73.168""], ["" 132.216"", "" 125.924"", ""  73.836""], ["" 131.638"", "" 124.701"", ""  74.187""], ["" 133.588"", "" 126.131"", ""  74.060""], ["" 132.409"", "" 123.698"", ""  74.766""], ["" 134.358"", "" 125.125"", ""  74.638""], ["" 133.767"", "" 123.915"", ""  74.991""]]",[],1d_Grossjean_2025
9,1774,1e_Grossjean_2025,receptor_tmp,1,15,-7.89,-0.34304347826086956,0.0,0.0,1,191.54,-9.09,-8.75,-0.33,-9.09,0.0,-0.38,1.19,-0.38,57,4,0.0,0.0,0.0,5.754303,10.1342,20.044118,-0.43634075,-0.64892849,-0.62329653,222.069031,"144.876068, 342.700562, 351.119324, 333.542633, ","[["" 129.209"", "" 126.726"", ""  72.307""], ["" 130.971"", "" 126.863"", ""  72.733""], ["" 131.492"", "" 125.343"", ""  73.503""], ["" 132.984"", "" 123.918"", ""  74.773""], ["" 132.708"", "" 125.185"", ""  74.210""], ["" 132.050"", "" 122.887"", ""  74.629""], ["" 133.649"", "" 126.291"", ""  74.402""], ["" 130.865"", "" 123.138"", ""  73.940""], ["" 134.394"", "" 127.164"", ""  74.555""], ["" 130.582"", "" 124.342"", ""  73.390""], ["" 134.267"", "" 123.621"", ""  75.548""], ["" 129.806"", "" 122.067"", ""  73.766""], ["" 128.387"", "" 127.875"", ""  72.895""], ["" 127.244"", "" 127.519"", ""  73.521""], ["" 128.783"", "" 129.033"", ""  72.752""], ["" 127.005"", "" 126.538"", ""  73.506""], ["" 126.290"", "" 128.347"", ""  74.139""], ["" 126.590"", "" 129.617"", ""  74.544""], ["" 125.020"", "" 127.794"", ""  74.339""], ["" 125.622"", "" 130.354"", ""  75.145""], ["" 124.034"", "" 128.566"", ""  74.958""], ["" 124.332"", "" 129.865"", ""  75.371""], ["" 126.025"", "" 131.754"", ""  75.567""]]",[],1e_Grossjean_2025
