,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,6206,ZINC100024116,receptor_tmp,19,19,-4.95,-0.41250000000000003,0.0,0.0,20,189.29,-4.95,-4.99,0.04,-4.95,0.0,0.0,0.0,0.0,18,0,0.0,0.0,0.0,8.256213,7.316631,4.830847,-0.3284247,-0.42215289,0.84494032,164.546555,,"[["" 133.237"", "" 125.000"", ""  62.842""], ["" 132.500"", "" 125.137"", ""  61.214""], ["" 133.217"", "" 124.179"", ""  60.219""], ["" 132.814"", "" 124.687"", ""  58.551""], ["" 132.832"", "" 122.681"", ""  60.387""], ["" 133.644"", "" 121.993"", ""  61.831""], ["" 131.295"", "" 122.479"", ""  60.465""], ["" 130.907"", "" 120.753"", ""  60.750""], ["" 130.615"", "" 123.389"", ""  61.522""], ["" 128.839"", "" 123.183"", ""  61.420""], ["" 130.970"", "" 124.878"", ""  61.274""], ["" 130.205"", "" 125.940"", ""  62.496""]]",[],ZINC100024116
1,11252,ZINC100034590,receptor_tmp,1,10,-2.73,-0.0975,0.0,0.0,12,185.19,-5.42,-5.52,0.1,-5.42,0.0,-0.69,2.68,-0.69,80,4,0.0,0.0,0.0,6.235,6.436332,4.404794,-0.08521032,-0.35355409,0.93152494,205.865112,"72.648331, 242.763672, 21.888931, 32.099087, 235.086563, 63.273647, 90.651718, 356.676971, 329.292969, ","[["" 129.618"", "" 122.353"", ""  60.812""], ["" 129.688"", "" 121.072"", ""  60.426""], ["" 130.911"", "" 122.887"", ""  61.144""], ["" 132.099"", "" 122.197"", ""  60.745""], ["" 132.472"", "" 122.638"", ""  59.541""], ["" 131.880"", "" 120.882"", ""  60.654""], ["" 133.187"", "" 122.503"", ""  61.792""], ["" 134.391"", "" 122.048"", ""  61.438""], ["" 132.890"", "" 122.011"", ""  62.996""], ["" 133.364"", "" 124.381"", ""  62.011""], ["" 133.609"", "" 124.726"", ""  63.417""], ["" 132.391"", "" 125.103"", ""  61.183""], ["" 134.796"", "" 124.549"", ""  61.260""], ["" 128.722"", "" 122.470"", ""  62.077""], ["" 127.450"", "" 122.172"", ""  61.818""], ["" 129.119"", "" 121.641"", ""  63.044""], ["" 128.745"", "" 123.699"", ""  62.594""], ["" 129.106"", "" 123.202"", ""  59.616""], ["" 128.342"", "" 124.218"", ""  60.029""], ["" 130.139"", "" 123.722"", ""  58.947""], ["" 128.355"", "" 122.344"", ""  58.750""], ["" 127.706"", "" 122.907"", ""  57.604""], ["" 128.398"", "" 123.954"", ""  57.148""], ["" 127.629"", "" 122.003"", ""  56.624""], ["" 126.296"", "" 123.346"", ""  58.042""], ["" 125.355"", "" 122.664"", ""  57.389""], ["" 126.100"", "" 123.140"", ""  59.345""], ["" 126.087"", "" 124.640"", ""  57.798""]]",[],ZINC100034590
2,13183,ZINC100043079,receptor_tmp,1,5,-1.96,-0.0725925925925926,0.0,0.0,20,185.1,-2.85,-2.97,0.11,-2.85,0.0,-0.03,0.89,-0.03,59,0,0.0,0.0,0.0,5.342129,6.641929,6.316095,-0.91436717,0.37806475,-0.1449128,227.760941,"193.181824, 324.435974, 247.466324, ","[["" 127.640"", "" 123.426"", ""  60.249""], ["" 127.779"", "" 124.751"", ""  60.362""], ["" 126.446"", "" 123.126"", ""  60.769""], ["" 127.618"", "" 123.068"", ""  58.739""], ["" 126.388"", "" 122.782"", ""  58.309""], ["" 128.381"", "" 122.003"", ""  58.485""], ["" 128.071"", "" 124.065"", ""  57.979""], ["" 128.767"", "" 122.706"", ""  61.063""], ["" 128.515"", "" 122.906"", ""  62.360""], ["" 128.614"", "" 121.392"", ""  60.884""], ["" 130.245"", "" 123.167"", ""  60.690""], ["" 131.333"", "" 122.062"", ""  60.953""], ["" 130.686"", "" 124.502"", ""  61.393""], ["" 132.776"", "" 122.513"", ""  60.575""], ["" 132.128"", "" 124.954"", ""  61.015""], ["" 133.168"", "" 123.834"", ""  61.289""], ["" 130.312"", "" 123.421"", ""  59.378""], ["" 131.320"", "" 121.741"", ""  62.250""], ["" 131.031"", "" 120.950"", ""  60.279""], ["" 129.827"", "" 125.482"", ""  61.097""], ["" 130.632"", "" 124.332"", ""  62.718""], ["" 133.652"", "" 121.552"", ""  60.883""], ["" 132.846"", "" 122.697"", ""  59.253""], ["" 132.456"", "" 126.056"", ""  61.695""], ["" 132.162"", "" 125.271"", ""  59.718""], ["" 133.230"", "" 123.614"", ""  62.605""], ["" 134.383"", "" 124.228"", ""  60.898""]]",[],ZINC100043079
3,6584,ZINC100045963,receptor_tmp,1,16,-7.63,-0.20078947368421052,0.0,0.0,2,183.44,-10.61,-10.11,-0.5,-10.61,0.0,-2.53,2.98,-2.53,50,6,0.0,0.0,0.0,8.885248,9.395204,5.301856,-0.82114973,-0.55763818,0.12146107,131.875671,"81.380096, 283.781525, 152.310883, 252.489609, 164.622192, 326.881958, 4.748444, 186.994644, 124.768944, 41.495438, ","[["" 132.566"", "" 119.429"", ""  59.363""], ["" 131.761"", "" 118.126"", ""  59.241""], ["" 131.330"", "" 117.555"", ""  60.603""], ["" 129.837"", "" 117.774"", ""  60.899""], ["" 129.578"", "" 118.974"", ""  61.822""], ["" 132.148"", "" 120.114"", ""  60.542""], ["" 131.901"", "" 121.472"", ""  60.486""], ["" 132.960"", "" 122.280"", ""  60.075""], ["" 130.671"", "" 122.066"", ""  60.809""], ["" 132.809"", "" 123.662"", ""  60.001""], ["" 130.519"", "" 123.449"", ""  60.734""], ["" 131.591"", "" 124.252"", ""  60.348""], ["" 131.411"", "" 125.710"", ""  60.270""], ["" 130.428"", "" 126.400"", ""  59.645""], ["" 130.254"", "" 127.861"", ""  59.682""], ["" 129.322"", "" 125.932"", ""  58.782""], ["" 131.023"", "" 128.817"", ""  60.351""], ["" 129.168"", "" 128.248"", ""  58.896""], ["" 128.489"", "" 127.003"", ""  58.446""], ["" 129.028"", "" 124.647"", ""  58.318""], ["" 130.752"", "" 130.182"", ""  60.210""], ["" 128.959"", "" 129.621"", ""  58.647""], ["" 127.251"", "" 126.742"", ""  57.822""], ["" 127.863"", "" 124.390"", ""  57.586""], ["" 129.725"", "" 130.566"", ""  59.340""], ["" 126.975"", "" 125.448"", ""  57.367""], ["" 131.560"", "" 131.197"", ""  60.930""], ["" 132.719"", "" 131.388"", ""  60.572""], ["" 131.041"", "" 131.811"", ""  61.858""], ["" 128.041"", "" 130.115"", ""  57.605""], ["" 128.227"", "" 129.751"", ""  56.447""], ["" 127.102"", "" 130.821"", ""  57.959""], ["" 126.180"", "" 127.750"", ""  57.716""], ["" 125.514"", "" 127.983"", ""  58.720""], ["" 125.974"", "" 128.267"", ""  56.621""], ["" 127.560"", "" 123.024"", ""  57.094""], ["" 126.585"", "" 122.866"", ""  56.364""], ["" 128.294"", "" 122.099"", ""  57.430""]]",[],ZINC100045963
4,7070,ZINC100046143,receptor_tmp,1,14,-2.12,-0.07310344827586207,0.0,0.0,1,190.37,-6.0,-5.87,-0.13,-6.0,0.0,-0.43,3.88,-0.43,42,6,0.0,0.0,0.0,7.36366,10.292115,1.660912,-0.26809292,-0.48694502,-0.83127056,194.231674,"158.49762, 106.413803, 161.127563, 285.510986, 61.407593, 150.242477, 24.586712, 350.013702, 306.328308, 99.601028, 8.723731, 308.867157, 49.123745, ","[["" 131.768"", "" 125.752"", ""  58.773""], ["" 133.033"", "" 124.990"", ""  58.331""], ["" 133.198"", "" 123.640"", ""  59.052""], ["" 132.628"", "" 123.647"", ""  60.481""], ["" 133.709"", "" 123.385"", ""  61.548""], ["" 134.041"", "" 124.568"", ""  62.270""], ["" 133.267"", "" 125.024"", ""  63.295""], ["" 133.574"", "" 124.940"", ""  64.486""], ["" 132.008"", "" 125.637"", ""  62.876""], ["" 130.914"", "" 125.748"", ""  63.655""], ["" 131.221"", "" 126.744"", ""  57.716""], ["" 132.108"", "" 126.854"", ""  56.725""], ["" 130.113"", "" 126.235"", ""  57.173""], ["" 130.924"", "" 128.147"", ""  58.331""], ["" 129.600"", "" 128.315"", ""  58.395""], ["" 131.351"", "" 128.159"", ""  59.598""], ["" 131.571"", "" 129.334"", ""  57.545""], ["" 132.859"", "" 129.065"", ""  57.322""], ["" 131.006"", "" 129.424"", ""  56.339""], ["" 131.449"", "" 130.713"", ""  58.276""], ["" 131.688"", "" 130.548"", ""  59.579""], ["" 132.405"", "" 131.535"", ""  57.836""], ["" 130.059"", "" 131.403"", ""  58.092""], ["" 130.189"", "" 132.508"", ""  57.356""], ["" 129.235"", "" 130.601"", ""  57.412""], ["" 129.373"", "" 131.786"", ""  59.430""], ["" 128.300"", "" 132.551"", ""  59.222""], ["" 128.966"", "" 130.713"", ""  60.110""], ["" 130.191"", "" 132.466"", ""  60.235""]]",[],ZINC100046143
5,6757,ZINC100050078,receptor_tmp,1,12,-6.48,-0.18000000000000002,0.0,0.0,5,187.71,-9.16,-9.05,-0.11,-9.16,0.0,-1.76,2.68,-1.76,36,5,0.0,0.0,0.0,3.711619,10.780896,1.152768,0.70201329,0.65352752,-0.28298255,138.932327,"14.366332, 269.431763, 301.851929, 288.420715, 273.955383, 119.475922, 184.708511, 269.61911, 19.096476, ","[["" 125.675"", "" 124.047"", ""  60.637""], ["" 125.741"", "" 123.125"", ""  61.858""], ["" 124.821"", "" 123.104"", ""  62.678""], ["" 126.873"", "" 122.386"", ""  61.921""], ["" 128.027"", "" 122.883"", ""  62.585""], ["" 129.248"", "" 122.057"", ""  62.169""], ["" 126.975"", "" 124.499"", ""  60.262""], ["" 127.095"", "" 125.638"", ""  59.486""], ["" 127.102"", "" 125.625"", ""  58.082""], ["" 127.217"", "" 126.861"", ""  60.161""], ["" 127.218"", "" 126.810"", ""  57.363""], ["" 127.341"", "" 128.048"", ""  59.419""], ["" 127.327"", "" 128.040"", ""  58.020""], ["" 127.209"", "" 126.818"", ""  61.545""], ["" 128.407"", "" 127.090"", ""  62.262""], ["" 127.445"", "" 129.372"", ""  57.235""], ["" 128.959"", "" 129.697"", ""  56.865""], ["" 129.270"", "" 131.217"", ""  56.709""], ["" 129.971"", "" 128.855"", ""  57.698""], ["" 128.415"", "" 132.057"", ""  56.436""], ["" 130.735"", "" 131.644"", ""  56.893""], ["" 131.394"", "" 129.417"", ""  57.843""], ["" 129.680"", "" 127.775"", ""  58.211""], ["" 131.458"", "" 130.948"", ""  58.074""], ["" 132.943"", "" 131.363"", ""  58.014""], ["" 130.802"", "" 131.329"", ""  59.430""], ["" 126.624"", "" 130.566"", ""  57.881""], ["" 125.112"", "" 130.298"", ""  58.058""], ["" 127.190"", "" 131.096"", ""  59.223""], ["" 124.562"", "" 129.211"", ""  57.884""], ["" 124.334"", "" 131.544"", ""  58.517""], ["" 126.466"", "" 132.359"", ""  59.721""], ["" 128.114"", "" 130.580"", ""  59.847""], ["" 124.916"", "" 132.178"", ""  59.823""], ["" 124.297"", "" 133.584"", ""  59.965""], ["" 124.584"", "" 131.265"", ""  61.031""]]",[],ZINC100050078
6,8238,ZINC100050142,receptor_tmp,1,7,-6.45,-0.17432432432432432,0.0,0.0,5,188.99,-10.03,-9.77,-0.25,-10.03,0.0,-4.03,3.58,-4.03,31,6,0.0,0.0,0.0,4.559627,10.224481,6.228951,0.30539844,0.43570881,-0.84669335,251.921616,"327.24884, 268.608765, 37.111221, 89.18161, 237.981339, 114.154068, 118.83931, 231.100479, 312.947449, 142.947815, 235.836655, 23.779335, ","[["" 127.994"", "" 129.029"", ""  63.606""], ["" 128.264"", "" 127.653"", ""  63.531""], ["" 128.085"", "" 126.900"", ""  62.352""], ["" 127.600"", "" 127.582"", ""  61.217""], ["" 127.345"", "" 128.960"", ""  61.280""], ["" 127.520"", "" 129.688"", ""  62.458""], ["" 128.212"", "" 129.774"", ""  64.754""], ["" 127.958"", "" 129.208"", ""  66.035""], ["" 127.218"", "" 131.071"", ""  62.414""], ["" 128.295"", "" 132.065"", ""  62.321""], ["" 129.459"", "" 131.717"", ""  61.370""], ["" 130.726"", "" 131.758"", ""  61.990""], ["" 130.870"", "" 130.926"", ""  62.446""], ["" 125.980"", "" 131.382"", ""  61.698""], ["" 124.842"", "" 130.382"", ""  61.966""], ["" 124.519"", "" 130.262"", ""  63.396""], ["" 124.265"", "" 130.167"", ""  64.521""], ["" 128.362"", "" 125.514"", ""  62.259""], ["" 129.160"", "" 125.149"", ""  61.342""], ["" 129.346"", "" 123.764"", ""  61.367""], ["" 130.661"", "" 123.259"", ""  61.417""], ["" 128.262"", "" 122.844"", ""  61.372""], ["" 130.906"", "" 121.889"", ""  61.444""], ["" 128.547"", "" 121.467"", ""  61.396""], ["" 129.854"", "" 120.972"", ""  61.431""], ["" 132.035"", "" 124.317"", ""  61.444""], ["" 126.827"", "" 123.269"", ""  61.356""], ["" 126.029"", "" 122.792"", ""  62.154""], ["" 126.474"", "" 124.098"", ""  60.521""], ["" 130.119"", "" 119.512"", ""  61.459""], ["" 129.490"", "" 118.815"", ""  62.251""], ["" 130.955"", "" 119.051"", ""  60.688""], ["" 127.427"", "" 126.856"", ""  60.015""], ["" 126.907"", "" 127.278"", ""  58.843""], ["" 126.452"", "" 128.402"", ""  58.631""], ["" 127.621"", "" 125.869"", ""  60.091""], ["" 126.863"", "" 126.240"", ""  57.726""]]",[],ZINC100050142
7,3041,ZINC100052783,receptor_tmp,1,19,-4.94,-0.1051063829787234,0.0,0.0,12,183.53,-8.52,-8.42,-0.1,-8.52,0.0,-2.52,3.58,-2.52,88,4,0.0,0.0,0.0,6.156527,9.732957,3.948082,0.15895856,0.90305551,0.39902747,159.947296,"182.921753, 99.44342, 112.469444, 335.270355, 342.671539, 236.48822, 227.755463, 201.903793, 18.878098, 91.869522, 344.07196, 5.214299, ","[["" 129.858"", "" 124.761"", ""  60.333""], ["" 128.657"", "" 124.211"", ""  59.889""], ["" 127.600"", "" 125.113"", ""  59.772""], ["" 127.905"", "" 126.430"", ""  60.119""], ["" 129.583"", "" 126.466"", ""  60.618""], ["" 131.229"", "" 124.095"", ""  60.576""], ["" 131.799"", "" 124.556"", ""  61.945""], ["" 132.845"", "" 125.403"", ""  64.444""], ["" 133.626"", "" 124.663"", ""  63.542""], ["" 131.523"", "" 125.697"", ""  64.072""], ["" 133.113"", "" 124.246"", ""  62.318""], ["" 131.010"", "" 125.280"", ""  62.847""], ["" 133.369"", "" 125.831"", ""  65.697""], ["" 134.672"", "" 125.341"", ""  66.150""], ["" 132.468"", "" 126.336"", ""  66.735""], ["" 132.064"", "" 124.545"", ""  59.513""], ["" 132.074"", "" 125.505"", ""  59.524""], ["" 131.169"", "" 122.545"", ""  60.510""], ["" 130.050"", "" 121.819"", ""  60.939""], ["" 132.276"", "" 121.834"", ""  60.033""], ["" 130.037"", "" 120.429"", ""  60.877""], ["" 132.263"", "" 120.444"", ""  59.973""], ["" 131.141"", "" 119.709"", ""  60.390""], ["" 131.129"", "" 118.287"", ""  60.336""], ["" 131.815"", "" 117.589"", ""  59.247""], ["" 130.091"", "" 117.535"", ""  61.043""], ["" 127.007"", "" 127.688"", ""  60.118""], ["" 125.837"", "" 127.342"", ""  59.386""], ["" 125.506"", "" 126.507"", ""  59.724""], ["" 126.546"", "" 128.098"", ""  61.544""], ["" 125.388"", "" 128.873"", ""  61.687""], ["" 127.225"", "" 127.707"", ""  62.706""], ["" 124.934"", "" 129.260"", ""  62.943""], ["" 126.769"", "" 128.092"", ""  63.963""], ["" 125.617"", "" 128.880"", ""  64.111""], ["" 125.150"", "" 129.270"", ""  65.398""], ["" 123.716"", "" 129.438"", ""  65.639""], ["" 125.993"", "" 129.069"", ""  66.577""], ["" 127.759"", "" 128.821"", ""  59.368""], ["" 128.054"", "" 130.048"", ""  59.977""], ["" 128.187"", "" 128.618"", ""  58.050""], ["" 128.741"", "" 131.040"", ""  59.285""], ["" 128.876"", "" 129.611"", ""  57.359""], ["" 129.169"", "" 130.845"", ""  57.962""], ["" 129.869"", "" 131.862"", ""  57.253""], ["" 131.323"", "" 131.781"", ""  57.100""], ["" 129.158"", "" 132.708"", ""  56.295""]]",[],ZINC100052783
8,6905,ZINC100053898,receptor_tmp,1,20,-7.15,-0.16627906976744186,0.0,0.0,6,189.54,-11.03,-9.99,-1.04,-11.03,0.0,-3.03,3.88,-3.03,68,16,0.0,0.0,0.0,5.861345,12.578465,7.59897,-0.68345332,0.18093394,0.70721599,171.381866,"57.201767, 232.299149, 195.960312, 104.382149, 26.296732, 259.460968, 10.616717, 300.517426, 296.944214, 202.027206, 62.222797, 14.15333, 59.347713, ","[["" 127.904"", "" 128.772"", ""  65.307""], ["" 128.131"", "" 129.895"", ""  64.598""], ["" 128.368"", "" 131.006"", ""  65.083""], ["" 127.723"", "" 127.884"", ""  64.861""], ["" 127.937"", "" 128.754"", ""  66.652""], ["" 128.293"", "" 127.627"", ""  67.126""], ["" 128.411"", "" 127.354"", ""  68.565""], ["" 129.627"", "" 127.686"", ""  70.668""], ["" 129.475"", "" 127.912"", ""  69.287""], ["" 128.690"", "" 126.875"", ""  71.321""], ["" 127.629"", "" 126.311"", ""  70.616""], ["" 127.491"", "" 126.549"", ""  69.252""], ["" 130.652"", "" 128.219"", ""  71.429""], ["" 131.461"", "" 127.360"", ""  72.225""], ["" 131.423"", "" 127.857"", ""  73.674""], ["" 128.800"", "" 126.625"", ""  72.666""], ["" 129.395"", "" 127.232"", ""  73.113""], ["" 128.066"", "" 129.745"", ""  63.062""], ["" 128.366"", "" 131.085"", ""  62.342""], ["" 129.560"", "" 131.061"", ""  61.398""], ["" 130.846"", "" 131.398"", ""  61.871""], ["" 129.387"", "" 130.693"", ""  60.048""], ["" 131.952"", "" 131.367"", ""  60.999""], ["" 130.493"", "" 130.663"", ""  59.175""], ["" 131.776"", "" 131.000"", ""  59.651""], ["" 132.848"", "" 130.971"", ""  58.806""], ["" 133.380"", "" 130.178"", ""  58.897""], ["" 128.988"", "" 128.707"", ""  62.588""], ["" 128.755"", "" 127.379"", ""  62.575""], ["" 127.694"", "" 126.882"", ""  62.960""], ["" 129.875"", "" 129.047"", ""  62.246""], ["" 129.864"", "" 126.507"", ""  62.022""], ["" 129.780"", "" 126.021"", ""  60.710""], ["" 130.985"", "" 126.161"", ""  62.792""], ["" 130.785"", "" 125.213"", ""  60.162""], ["" 132.008"", "" 125.356"", ""  62.275""], ["" 131.893"", "" 124.892"", ""  60.958""], ["" 130.680"", "" 124.710"", ""  58.770""], ["" 131.516"", "" 125.075"", ""  57.947""], ["" 129.761"", "" 123.946"", ""  58.488""], ["" 133.187"", "" 125.002"", ""  63.104""], ["" 134.214"", "" 124.632"", ""  62.541""], ["" 133.096"", "" 125.090"", ""  64.326""]]",[],ZINC100053898
9,9238,ZINC100058471,receptor_tmp,1,8,-7.32,-0.31826086956521743,0.0,0.0,6,186.95,-7.91,-7.97,0.05,-7.91,0.0,-0.29,0.6,-0.29,39,2,0.0,0.0,0.0,3.49932,11.197859,2.785789,-0.55705059,-0.82239253,-0.11560787,152.105011,"332.77774, 298.641815, ","[["" 125.750"", "" 129.314"", ""  61.594""], ["" 125.466"", "" 129.176"", ""  62.959""], ["" 124.911"", "" 130.232"", ""  63.685""], ["" 124.633"", "" 131.443"", ""  63.053""], ["" 124.909"", "" 131.597"", ""  61.697""], ["" 124.493"", "" 133.412"", ""  60.745""], ["" 125.464"", "" 130.541"", ""  60.972""], ["" 126.335"", "" 128.183"", ""  60.863""], ["" 125.767"", "" 127.605"", ""  59.870""], ["" 126.459"", "" 126.566"", ""  59.309""], ["" 126.301"", "" 125.090"", ""  61.116""], ["" 126.636"", "" 125.384"", ""  59.966""], ["" 127.404"", "" 124.462"", ""  59.026""], ["" 127.487"", "" 125.231"", ""  57.709""], ["" 126.680"", "" 123.131"", ""  58.639""], ["" 126.762"", "" 126.544"", ""  57.978""], ["" 126.805"", "" 124.278"", ""  56.674""], ["" 127.631"", "" 122.364"", ""  57.717""], ["" 125.769"", "" 123.599"", ""  57.532""], ["" 126.551"", "" 127.415"", ""  57.131""], ["" 127.704"", "" 123.046"", ""  56.547""], ["" 124.593"", "" 122.806"", ""  56.994""], ["" 124.354"", "" 124.102"", ""  57.734""]]",[],ZINC100058471
