,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,144,1a_Ghoteimi_2023,4h2i_c_2_mae_prepped,1,16,-7.2,-0.175609756097561,0.0,0.0,1,186.7,-10.49,-10.03,-0.45,-10.49,0.0,-3.07,3.28,-3.07,50,8,0.0,0.0,0.0,3.253685,13.927936,8.557256,-0.72722863,0.43406202,0.53172237,185.808075,"211.550217, 186.213821, 146.850708, 324.177704, 86.114189, 259.720306, 74.710205, 356.819092, 231.913895, 68.103195, 229.937103, ","[["" 127.982"", "" 128.552"", ""  62.872""], ["" 127.817"", "" 127.305"", ""  63.366""], ["" 128.289"", "" 128.828"", ""  61.713""], ["" 127.514"", "" 127.245"", ""  64.327""], ["" 127.751"", "" 129.688"", ""  63.868""], ["" 126.735"", "" 129.153"", ""  65.276""], ["" 127.849"", "" 128.374"", ""  66.422""], ["" 128.561"", "" 127.621"", ""  68.612""], ["" 127.592"", "" 128.266"", ""  67.806""], ["" 129.721"", "" 127.132"", ""  67.998""], ["" 126.365"", "" 128.812"", ""  68.394""], ["" 129.904"", "" 127.256"", ""  66.615""], ["" 125.396"", "" 129.242"", ""  68.859""], ["" 128.968"", "" 127.873"", ""  65.847""], ["" 128.420"", "" 127.425"", ""  70.087""], ["" 128.121"", "" 127.077"", ""  72.860""], ["" 129.127"", "" 127.900"", ""  72.355""], ["" 127.256"", "" 126.428"", ""  71.965""], ["" 129.275"", "" 128.077"", ""  70.982""], ["" 127.406"", "" 126.605"", ""  70.592""], ["" 128.050"", "" 126.964"", ""  74.235""], ["" 128.435"", "" 128.070"", ""  75.043""], ["" 131.125"", "" 126.746"", ""  65.906""], ["" 131.146"", "" 126.585"", ""  64.511""], ["" 132.286"", "" 126.406"", ""  66.619""], ["" 132.279"", "" 126.113"", ""  63.856""], ["" 133.421"", "" 125.934"", ""  65.968""], ["" 133.427"", "" 125.784"", ""  64.574""], ["" 134.505"", "" 125.325"", ""  63.842""], ["" 134.271"", "" 124.546"", ""  62.674""], ["" 127.962"", "" 126.057"", ""  62.730""], ["" 126.958"", "" 125.082"", ""  62.637""], ["" 129.207"", "" 125.813"", ""  62.151""], ["" 127.208"", "" 123.880"", ""  61.980""], ["" 129.457"", "" 124.611"", ""  61.493""], ["" 128.461"", "" 123.630"", ""  61.399""], ["" 128.761"", "" 122.347"", ""  60.680""], ["" 129.549"", "" 121.498"", ""  61.109""], ["" 128.084"", "" 122.217"", ""  59.511""], ["" 128.109"", "" 123.245"", ""  58.529""], ["" 127.325"", "" 122.787"", ""  57.295""]]",[],1a_Ghoteimi_2023
1,9734,1a_Grossjean_2025,4h2i_c_2_mae_prepped,1,8,-7.65,-0.2833333333333333,0.0,0.0,1,186.4,-9.74,-9.35,-0.39,-9.74,0.0,-2.2,2.09,-2.2,52,3,0.0,0.0,0.0,8.337846,7.418409,3.279782,-0.28578447,-0.86836892,-0.40529329,150.073929,"177.290665, 182.474014, 170.586044, 131.607254, 249.316788, 69.45034, 121.026749, ","[["" 130.062"", "" 123.518"", ""  59.465""], ["" 129.886"", "" 124.319"", ""  58.337""], ["" 128.779"", "" 124.144"", ""  57.511""], ["" 127.823"", "" 123.161"", ""  57.800""], ["" 127.999"", "" 122.361"", ""  58.940""], ["" 129.105"", "" 122.537"", ""  59.767""], ["" 131.217"", "" 123.781"", ""  60.227""], ["" 132.484"", "" 124.023"", ""  59.827""], ["" 132.870"", "" 124.061"", ""  58.659""], ["" 131.051"", "" 123.820"", ""  61.221""], ["" 133.491"", "" 124.267"", ""  60.953""], ["" 133.883"", "" 122.743"", ""  61.863""], ["" 132.407"", "" 121.752"", ""  61.907""], ["" 131.071"", "" 119.786"", ""  61.437""], ["" 132.305"", "" 120.467"", ""  61.323""], ["" 130.006"", "" 120.407"", ""  62.099""], ["" 133.419"", "" 119.857"", ""  60.591""], ["" 130.188"", "" 121.684"", ""  62.624""], ["" 134.297"", "" 119.374"", ""  60.013""], ["" 131.362"", "" 122.353"", ""  62.529""], ["" 130.844"", "" 118.392"", ""  60.856""], ["" 129.070"", "" 122.414"", ""  63.344""], ["" 126.644"", "" 122.995"", ""  56.885""], ["" 126.404"", "" 121.951"", ""  56.272""], ["" 125.861"", "" 124.102"", ""  56.813""], ["" 124.562"", "" 124.121"", ""  57.392""], ["" 124.683"", "" 124.089"", ""  58.918""]]",[],1a_Grossjean_2025
2,120,1aa_Ghoteimi_2023,4h2i_c_2_mae_prepped,1,1,-7.64,-0.18634146341463415,0.0,0.0,2,184.93,-10.92,-10.49,-0.43,-10.92,0.0,-2.37,3.28,-2.37,66,9,0.0,0.0,0.0,2.471587,11.584982,7.588828,-0.69114056,-0.21664159,-0.68948615,140.555771,"358.48996, 102.219902, 239.649536, 247.559113, 65.187309, 268.917999, 310.055756, 258.97644, 68.211021, 272.476929, 47.60952, ","[["" 125.030"", "" 128.941"", ""  66.521""], ["" 126.005"", "" 128.062"", ""  66.850""], ["" 124.362"", "" 129.585"", ""  67.329""], ["" 126.473"", "" 127.618"", ""  66.072""], ["" 124.742"", "" 129.146"", ""  65.025""], ["" 125.958"", "" 129.405"", ""  64.311""], ["" 126.717"", "" 128.355"", ""  63.814""], ["" 128.756"", "" 127.041"", ""  63.802""], ["" 128.002"", "" 128.115"", ""  64.330""], ["" 128.173"", "" 126.255"", ""  62.798""], ["" 128.510"", "" 128.962"", ""  65.410""], ["" 126.884"", "" 126.537"", ""  62.328""], ["" 126.177"", "" 127.584"", ""  62.831""], ["" 128.910"", "" 129.634"", ""  66.263""], ["" 130.137"", "" 126.695"", ""  64.252""], ["" 132.751"", "" 126.067"", ""  65.078""], ["" 132.422"", "" 126.086"", ""  63.723""], ["" 131.760"", "" 126.371"", ""  66.024""], ["" 131.130"", "" 126.400"", ""  63.312""], ["" 130.468"", "" 126.683"", ""  65.611""], ["" 134.057"", "" 125.745"", ""  65.393""], ["" 134.461"", "" 125.736"", ""  66.757""], ["" 126.220"", "" 125.737"", ""  61.245""], ["" 126.343"", "" 126.105"", ""  59.897""], ["" 125.461"", "" 124.594"", ""  61.545""], ["" 125.726"", "" 125.366"", ""  58.891""], ["" 124.843"", "" 123.854"", ""  60.542""], ["" 124.970"", "" 124.237"", ""  59.200""], ["" 124.395"", "" 123.567"", ""  58.138""], ["" 125.233"", "" 123.034"", ""  57.117""], ["" 126.487"", "" 127.664"", ""  68.111""], ["" 125.687"", "" 127.248"", ""  69.185""], ["" 127.874"", "" 127.696"", ""  68.262""], ["" 126.276"", "" 126.874"", ""  70.391""], ["" 128.460"", "" 127.322"", ""  69.467""], ["" 127.670"", "" 126.907"", ""  70.547""], ["" 128.335"", "" 126.511"", ""  71.834""], ["" 128.737"", "" 125.366"", ""  72.064""], ["" 128.448"", "" 127.536"", ""  72.717""], ["" 129.719"", "" 128.084"", ""  73.046""], ["" 130.165"", "" 129.041"", ""  71.937""]]",[],1aa_Ghoteimi_2023
3,189,1b_Ghoteimi_2023,4h2i_c_2_mae_prepped,1,19,-8.11,-0.2317142857142857,0.0,0.0,3,189.15,-10.5,-9.8,-0.69,-10.5,0.0,-1.71,2.39,-1.71,49,7,0.0,0.0,0.0,6.023465,12.839348,10.73024,-0.09617389,-0.73132588,-0.67521333,231.142685,"232.063736, 65.325371, 118.215591, 123.411209, 252.882858, 318.482483, 226.200836, 70.493736, ","[["" 130.134"", "" 127.265"", ""  66.578""], ["" 129.270"", "" 128.198"", ""  65.954""], ["" 129.291"", "" 128.375"", ""  64.499""], ["" 129.309"", "" 128.513"", ""  63.350""], ["" 128.354"", "" 128.900"", ""  66.768""], ["" 128.248"", "" 128.676"", ""  68.100""], ["" 129.069"", "" 127.778"", ""  68.704""], ["" 130.013"", "" 127.064"", ""  67.959""], ["" 131.167"", "" 126.472"", ""  65.846""], ["" 133.099"", "" 124.959"", ""  64.476""], ["" 131.762"", "" 124.924"", ""  64.081""], ["" 133.468"", "" 125.755"", ""  65.570""], ["" 130.804"", "" 125.672"", ""  64.760""], ["" 132.507"", "" 126.501"", ""  66.248""], ["" 133.979"", "" 124.185"", ""  63.743""], ["" 134.005"", "" 124.316"", ""  62.326""], ["" 127.200"", "" 130.113"", ""  66.160""], ["" 127.984"", "" 131.754"", ""  66.301""], ["" 128.260"", "" 132.459"", ""  64.965""], ["" 129.146"", "" 131.824"", ""  64.165""], ["" 127.694"", "" 133.518"", ""  64.683""], ["" 129.550"", "" 130.967"", ""  64.512""], ["" 129.584"", "" 132.227"", ""  62.909""], ["" 130.824"", "" 132.563"", ""  62.590""], ["" 128.739"", "" 132.332"", ""  61.805""], ["" 130.814"", "" 132.899"", ""  61.236""], ["" 129.548"", "" 132.754"", ""  60.775""], ["" 128.893"", "" 127.599"", ""  70.187""], ["" 129.624"", "" 128.375"", ""  71.099""], ["" 127.990"", "" 126.659"", ""  70.706""], ["" 129.463"", "" 128.214"", ""  72.471""], ["" 127.824"", "" 126.496"", ""  72.078""], ["" 128.564"", "" 127.276"", ""  72.976""], ["" 128.469"", "" 127.187"", ""  74.352""], ["" 128.380"", "" 128.382"", ""  75.120""]]",[],1b_Ghoteimi_2023
4,25,1b_Grossjean_2025,4h2i_c_2_mae_prepped,1,2,-6.57,-0.2526923076923077,0.0,0.0,3,186.4,-8.36,-8.21,-0.15,-8.36,0.0,-1.4,1.79,-1.4,44,5,0.0,0.0,0.0,6.429996,8.133758,5.926568,0.3306156,-0.30557579,-0.89292596,98.489616,"357.008392, 198.092133, 188.11467, 95.675049, 235.355042, 14.510141, ","[["" 128.848"", "" 123.365"", ""  63.405""], ["" 129.286"", "" 123.511"", ""  62.135""], ["" 127.706"", "" 123.051"", ""  63.736""], ["" 130.253"", "" 123.782"", ""  62.029""], ["" 129.897"", "" 123.610"", ""  64.491""], ["" 131.145"", "" 122.288"", ""  64.549""], ["" 131.861"", "" 122.163"", ""  62.925""], ["" 133.014"", "" 123.001"", ""  60.968""], ["" 132.485"", "" 123.242"", ""  62.256""], ["" 132.913"", "" 121.721"", ""  60.415""], ["" 132.618"", "" 124.564"", ""  62.874""], ["" 132.301"", "" 120.711"", ""  61.155""], ["" 132.725"", "" 125.609"", ""  63.358""], ["" 131.787"", "" 120.919"", ""  62.390""], ["" 133.704"", "" 124.088"", ""  60.146""], ["" 132.169"", "" 119.299"", ""  60.614""], ["" 128.598"", "" 123.361"", ""  60.916""], ["" 129.400"", "" 123.292"", ""  59.776""], ["" 127.204"", "" 123.277"", ""  60.781""], ["" 128.826"", "" 123.142"", ""  58.517""], ["" 126.632"", "" 123.128"", ""  59.522""], ["" 127.433"", "" 123.058"", ""  58.374""], ["" 126.780"", "" 122.894"", ""  57.031""], ["" 127.043"", "" 121.968"", ""  56.258""], ["" 125.879"", "" 123.870"", ""  56.751""], ["" 124.538"", "" 123.781"", ""  57.212""]]",[],1b_Grossjean_2025
5,9570,1c_Ghoteimi_2023,4h2i_c_2_mae_prepped,1,2,-8.25,-0.2357142857142857,0.0,0.0,2,189.66,-10.63,-10.44,-0.19,-10.63,0.0,-1.46,2.39,-1.46,69,9,0.0,0.0,0.0,7.053002,7.909056,6.902508,0.96138413,-0.18009475,0.20810198,239.847504,"70.485367, 19.434641, 139.063873, 6.030755, 121.956924, 351.98468, 50.101166, 258.720673, ","[["" 131.047"", "" 125.561"", ""  63.322""], ["" 132.369"", "" 125.058"", ""  63.326""], ["" 133.321"", "" 125.439"", ""  64.374""], ["" 134.072"", "" 125.741"", ""  65.202""], ["" 132.739"", "" 124.166"", ""  62.298""], ["" 131.890"", "" 123.798"", ""  61.309""], ["" 130.632"", "" 124.310"", ""  61.278""], ["" 130.194"", "" 125.186"", ""  62.277""], ["" 130.492"", "" 126.445"", ""  64.389""], ["" 129.409"", "" 128.080"", ""  66.401""], ["" 130.251"", "" 127.018"", ""  66.730""], ["" 129.105"", "" 128.319"", ""  65.051""], ["" 130.786"", "" 126.207"", ""  65.735""], ["" 129.642"", "" 127.505"", ""  64.058""], ["" 128.923"", "" 128.832"", ""  67.454""], ["" 127.544"", "" 128.741"", ""  67.795""], ["" 134.308"", "" 123.326"", ""  62.273""], ["" 133.992"", "" 121.722"", ""  63.079""], ["" 133.090"", "" 120.817"", ""  62.232""], ["" 133.739"", "" 119.939"", ""  61.437""], ["" 131.867"", "" 120.956"", ""  62.285""], ["" 134.746"", "" 119.919"", ""  61.493""], ["" 133.174"", "" 119.122"", ""  60.470""], ["" 133.576"", "" 118.941"", ""  59.231""], ["" 131.799"", "" 118.178"", ""  60.942""], ["" 132.823"", "" 118.059"", ""  58.603""], ["" 131.784"", "" 117.501"", ""  59.340""], ["" 129.748"", "" 123.855"", ""  60.153""], ["" 129.830"", "" 124.439"", ""  58.879""], ["" 128.810"", "" 122.831"", ""  60.343""], ["" 129.011"", "" 124.011"", ""  57.837""], ["" 127.991"", "" 122.399"", ""  59.304""], ["" 128.087"", "" 122.989"", ""  58.036""], ["" 127.319"", "" 122.626"", ""  56.946""], ["" 125.906"", "" 122.531"", ""  57.092""]]",[],1c_Ghoteimi_2023
6,224,1c_Grossjean_2025,4h2i_c_2_mae_prepped,1,14,-6.7,-0.2791666666666667,0.0,0.0,3,186.21,-8.19,-7.91,-0.27,-8.19,0.0,-1.87,1.49,-1.87,47,2,0.0,0.0,0.0,7.835883,8.348494,4.832157,-0.31106533,0.59493229,0.74114367,236.55014,"95.605064, 164.426361, 182.313141, 25.017187, 297.54007, ","[["" 132.001"", "" 124.380"", ""  59.402""], ["" 130.735"", "" 124.056"", ""  59.742""], ["" 132.382"", "" 124.684"", ""  58.272""], ["" 130.564"", "" 123.899"", ""  60.724""], ["" 133.013"", "" 124.361"", ""  60.549""], ["" 133.611"", "" 122.681"", ""  60.898""], ["" 132.204"", "" 121.640"", ""  61.227""], ["" 130.940"", "" 119.573"", ""  61.195""], ["" 132.123"", "" 120.275"", ""  60.865""], ["" 129.915"", "" 120.242"", ""  61.871""], ["" 133.230"", "" 119.577"", ""  60.206""], ["" 130.090"", "" 121.581"", ""  62.212""], ["" 134.103"", "" 119.025"", ""  59.685""], ["" 131.212"", "" 122.272"", ""  61.904""], ["" 130.732"", "" 118.100"", ""  60.848""], ["" 129.022"", "" 122.357"", ""  62.960""], ["" 129.587"", "" 123.967"", ""  58.931""], ["" 129.189"", "" 124.939"", ""  58.002""], ["" 128.831"", "" 122.802"", ""  59.072""], ["" 128.039"", "" 124.745"", ""  57.242""], ["" 127.682"", "" 122.612"", ""  58.310""], ["" 127.274"", "" 123.588"", ""  57.387""], ["" 126.150"", "" 123.487"", ""  56.590""], ["" 125.067"", "" 122.669"", ""  57.018""]]",[],1c_Grossjean_2025
7,9958,1d_Ghoteimi_2023,4h2i_c_2_mae_prepped,1,15,-7.64,-0.25466666666666665,0.0,0.0,9,192.28,-10.03,-9.3,-0.73,-10.03,0.0,-0.92,2.39,-0.92,37,7,0.0,0.0,0.0,5.676405,11.03695,11.521575,-0.20183867,-0.86945975,-0.450889,221.817795,"145.432373, 195.912338, 136.572754, 258.505768, 36.825073, 124.070335, 352.462769, 348.594727, ","[["" 126.825"", "" 129.655"", ""  66.827""], ["" 128.152"", "" 128.579"", ""  67.325""], ["" 130.102"", "" 127.184"", ""  66.960""], ["" 129.107"", "" 128.043"", ""  66.431""], ["" 130.111"", "" 126.945"", ""  68.340""], ["" 129.113"", "" 128.411"", ""  65.012""], ["" 129.158"", "" 127.541"", ""  69.174""], ["" 129.119"", "" 128.700"", ""  63.892""], ["" 128.192"", "" 128.343"", ""  68.657""], ["" 131.153"", "" 126.521"", ""  66.129""], ["" 133.118"", "" 125.275"", ""  64.550""], ["" 131.798"", "" 125.351"", ""  64.108""], ["" 133.456"", "" 125.838"", ""  65.791""], ["" 130.824"", "" 125.970"", ""  64.887""], ["" 132.480"", "" 126.457"", ""  66.568""], ["" 134.015"", "" 124.637"", ""  63.715""], ["" 133.569"", "" 123.541"", ""  62.924""], ["" 129.129"", "" 127.325"", ""  70.660""], ["" 129.669"", "" 128.272"", ""  71.544""], ["" 128.567"", "" 126.164"", ""  71.210""], ["" 129.647"", "" 128.068"", ""  72.920""], ["" 128.543"", "" 125.956"", ""  72.587""], ["" 129.087"", "" 126.911"", ""  73.456""], ["" 129.112"", "" 126.791"", ""  74.833""], ["" 130.295"", "" 127.150"", ""  75.538""], ["" 125.362"", "" 128.608"", ""  66.563""], ["" 124.141"", "" 129.524"", ""  66.530""], ["" 123.560"", "" 129.855"", ""  67.565""], ["" 123.815"", "" 129.899"", ""  65.276""], ["" 124.771"", "" 130.534"", ""  64.442""]]",[],1d_Ghoteimi_2023
8,239,1d_Grossjean_2025,4h2i_c_2_mae_prepped,1,5,-7.68,-0.34909090909090906,0.0,0.0,1,187.56,-8.88,-8.73,-0.15,-8.88,0.0,-0.58,1.19,-0.58,44,4,0.0,0.0,0.0,8.949506,6.408358,6.427134,-0.32313971,-0.61910065,0.71574794,263.739929,"302.946381, 142.459946, 225.585724, 324.180756, ","[["" 134.095"", "" 124.174"", ""  62.450""], ["" 133.286"", "" 125.069"", ""  63.756""], ["" 131.512"", "" 126.399"", ""  64.731""], ["" 132.040"", "" 125.724"", ""  63.607""], ["" 132.237"", "" 126.408"", ""  65.927""], ["" 131.322"", "" 125.743"", ""  62.331""], ["" 133.468"", "" 125.757"", ""  65.978""], ["" 130.751"", "" 125.760"", ""  61.324""], ["" 133.991"", "" 125.102"", ""  64.915""], ["" 130.173"", "" 127.133"", ""  64.696""], ["" 134.306"", "" 125.740"", ""  67.241""], ["" 134.198"", "" 122.433"", ""  62.968""], ["" 133.203"", "" 121.548"", ""  62.216""], ["" 133.740"", "" 120.484"", ""  61.581""], ["" 132.011"", "" 121.855"", ""  62.211""], ["" 134.744"", "" 120.393"", ""  61.639""], ["" 133.115"", "" 119.475"", ""  60.825""], ["" 131.975"", "" 118.906"", ""  61.399""], ["" 133.546"", "" 119.039"", ""  59.561""], ["" 131.278"", "" 117.903"", ""  60.732""], ["" 132.846"", "" 118.036"", ""  58.895""], ["" 131.717"", "" 117.471"", ""  59.483""]]",[],1d_Grossjean_2025
9,7,1e_Grossjean_2025,4h2i_c_2_mae_prepped,1,18,-7.7,-0.3347826086956522,0.0,0.0,1,182.63,-8.89,-8.78,-0.11,-8.89,0.0,-0.57,1.19,-0.57,48,3,0.0,0.0,0.0,4.712369,5.221154,5.556546,-0.98298737,0.16976126,-0.07012096,145.921402,"140.283173, 356.728149, 287.552673, 65.057106, ","[["" 128.758"", "" 122.671"", ""  62.480""], ["" 128.425"", "" 123.301"", ""  60.807""], ["" 126.663"", "" 123.480"", ""  60.606""], ["" 124.618"", "" 123.879"", ""  59.369""], ["" 126.028"", "" 123.771"", ""  59.375""], ["" 123.911"", "" 123.678"", ""  60.559""], ["" 126.778"", "" 123.920"", ""  58.126""], ["" 124.616"", "" 123.369"", ""  61.721""], ["" 127.369"", "" 124.039"", ""  57.138""], ["" 125.965"", "" 123.264"", ""  61.750""], ["" 123.821"", "" 124.199"", ""  58.106""], ["" 123.905"", "" 123.121"", ""  63.037""], ["" 129.873"", "" 121.622"", ""  62.485""], ["" 129.843"", "" 120.728"", ""  61.472""], ["" 130.703"", "" 121.631"", ""  63.396""], ["" 129.067"", "" 120.796"", ""  60.831""], ["" 130.719"", "" 119.656"", ""  61.226""], ["" 131.902"", "" 119.826"", ""  60.565""], ["" 130.303"", "" 118.396"", ""  61.674""], ["" 132.690"", "" 118.742"", ""  60.352""], ["" 131.126"", "" 117.291"", ""  61.448""], ["" 132.338"", "" 117.458"", ""  60.777""], ["" 133.989"", "" 119.006"", ""  59.614""]]",[],1e_Grossjean_2025
