,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,5263,1a_Ghoteimi_2023,receptor_tmp,1,6,-7.18,-0.17512195121951218,0.0,0.0,3,185.46,-10.46,-9.88,-0.58,-10.46,0.0,-3.22,3.28,-3.22,50,8,0.0,0.0,0.0,1.489787,9.271457,3.084094,0.0708632,-0.9488201,-0.30776425,55.112568,"94.012589, 244.453812, 201.579895, 327.23056, 187.423737, 133.493195, 161.800217, 251.594208, 204.693573, 246.692368, 5.865263, ","[["" 127.046"", "" 124.208"", ""  60.756""], ["" 128.018"", "" 125.116"", ""  60.991""], ["" 126.936"", "" 123.117"", ""  61.315""], ["" 127.942"", "" 125.988"", ""  60.487""], ["" 126.011"", "" 124.610"", ""  59.706""], ["" 126.748"", "" 124.743"", ""  58.051""], ["" 128.301"", "" 125.583"", ""  58.266""], ["" 129.786"", "" 127.494"", ""  58.168""], ["" 128.501"", "" 126.943"", ""  57.948""], ["" 130.790"", "" 126.661"", ""  58.680""], ["" 127.414"", "" 127.762"", ""  57.401""], ["" 130.518"", "" 125.323"", ""  58.992""], ["" 126.557"", "" 128.408"", ""  56.968""], ["" 129.280"", "" 124.803"", ""  58.782""], ["" 130.141"", "" 128.918"", ""  57.889""], ["" 130.776"", "" 131.610"", ""  57.385""], ["" 130.252"", "" 130.806"", ""  56.373""], ["" 130.978"", "" 131.059"", ""  58.660""], ["" 129.933"", "" 129.474"", ""  56.622""], ["" 130.659"", "" 129.726"", ""  58.906""], ["" 131.061"", "" 132.918"", ""  57.047""], ["" 132.324"", "" 133.226"", ""  56.466""], ["" 131.555"", "" 124.390"", ""  59.547""], ["" 131.199"", "" 123.145"", ""  60.092""], ["" 132.915"", "" 124.736"", ""  59.543""], ["" 132.163"", "" 122.282"", ""  60.605""], ["" 133.881"", "" 123.875"", ""  60.055""], ["" 133.510"", "" 122.634"", ""  60.592""], ["" 134.396"", "" 121.715"", ""  61.120""], ["" 134.004"", "" 120.351"", ""  61.220""], ["" 129.114"", "" 125.057"", ""  61.873""], ["" 129.568"", "" 123.895"", ""  62.514""], ["" 129.781"", "" 126.263"", ""  62.091""], ["" 130.668"", "" 123.949"", ""  63.365""], ["" 130.882"", "" 126.316"", ""  62.943""], ["" 131.339"", "" 125.160"", ""  63.590""], ["" 132.531"", "" 125.252"", ""  64.499""], ["" 133.617"", "" 124.720"", ""  64.249""], ["" 132.292"", "" 125.974"", ""  65.624""], ["" 130.972"", "" 126.123"", ""  66.134""], ["" 130.507"", "" 124.793"", ""  66.734""]]",[],1a_Ghoteimi_2023
1,13347,1a_Grossjean_2025,receptor_tmp,1,13,-6.76,-0.25037037037037035,0.0,0.0,2,191.13,-8.85,-8.84,-0.01,-8.85,0.0,-1.29,2.09,-1.29,44,4,0.0,0.0,0.0,5.787326,11.714785,4.656953,0.57941446,0.64219455,0.50186158,44.361485,"317.875397, 279.259705, 3.532867, 193.220093, 38.580364, 69.364807, 220.991928, ","[["" 130.664"", "" 127.418"", ""  59.965""], ["" 131.104"", "" 126.606"", ""  61.011""], ["" 131.879"", "" 125.480"", ""  60.752""], ["" 132.232"", "" 125.144"", ""  59.439""], ["" 131.795"", "" 125.967"", ""  58.390""], ["" 131.020"", "" 127.094"", ""  58.647""], ["" 129.885"", "" 128.530"", ""  60.341""], ["" 129.756"", "" 129.134"", ""  61.541""], ["" 130.334"", "" 128.799"", ""  62.576""], ["" 129.371"", "" 128.946"", ""  59.578""], ["" 128.803"", "" 130.330"", ""  61.574""], ["" 129.676"", "" 131.909"", ""  61.353""], ["" 130.427"", "" 131.882"", ""  59.740""], ["" 132.263"", "" 131.625"", ""  58.181""], ["" 131.800"", "" 131.620"", ""  59.517""], ["" 131.363"", "" 131.902"", ""  57.146""], ["" 132.734"", "" 131.381"", ""  60.621""], ["" 130.033"", "" 132.172"", ""  57.460""], ["" 133.473"", "" 131.191"", ""  61.490""], ["" 129.567"", "" 132.170"", ""  58.731""], ["" 133.719"", "" 131.346"", ""  57.814""], ["" 129.012"", "" 132.490"", ""  56.384""], ["" 133.066"", "" 123.919"", ""  59.195""], ["" 133.966"", "" 123.868"", ""  58.352""], ["" 132.739"", "" 122.877"", ""  60.004""], ["" 133.616"", "" 122.450"", ""  61.039""], ["" 133.589"", "" 120.922"", ""  61.132""]]",[],1a_Grossjean_2025
2,5158,1aa_Ghoteimi_2023,receptor_tmp,1,7,-7.63,-0.18609756097560975,0.0,0.0,2,185.27,-10.91,-10.01,-0.9,-10.91,0.0,-1.55,3.28,-1.55,86,12,0.0,0.0,0.0,6.385651,11.619684,8.404598,0.16353996,-0.98482793,0.05803986,92.291603,"215.784042, 131.921799, 51.352375, 322.290314, 48.267872, 337.456573, 152.455872, 259.338409, 216.558487, 91.436089, 268.329437, ","[["" 130.056"", "" 125.935"", ""  66.839""], ["" 129.680"", "" 127.050"", ""  67.508""], ["" 130.249"", "" 124.836"", ""  67.357""], ["" 129.549"", "" 127.876"", ""  66.941""], ["" 130.253"", "" 126.059"", ""  65.320""], ["" 131.212"", "" 125.098"", ""  64.859""], ["" 131.203"", "" 124.677"", ""  63.537""], ["" 131.248"", "" 122.904"", ""  61.882""], ["" 131.254"", "" 123.305"", ""  63.238""], ["" 131.175"", "" 123.901"", ""  60.899""], ["" 131.284"", "" 122.335"", ""  64.334""], ["" 131.119"", "" 125.253"", ""  61.256""], ["" 131.143"", "" 125.627"", ""  62.562""], ["" 131.308"", "" 121.569"", ""  65.201""], ["" 131.316"", "" 121.481"", ""  61.436""], ["" 131.472"", "" 118.796"", ""  60.614""], ["" 132.574"", "" 119.640"", ""  60.486""], ["" 130.285"", "" 119.303"", ""  61.165""], ["" 132.500"", "" 120.969"", ""  60.894""], ["" 130.213"", "" 120.632"", ""  61.572""], ["" 131.638"", "" 117.494"", ""  60.182""], ["" 132.895"", "" 116.854"", ""  60.371""], ["" 131.054"", "" 126.360"", ""  60.243""], ["" 131.388"", "" 126.130"", ""  58.900""], ["" 130.653"", "" 127.657"", ""  60.605""], ["" 131.331"", "" 127.155"", ""  57.960""], ["" 130.596"", "" 128.683"", ""  59.668""], ["" 130.938"", "" 128.439"", ""  58.330""], ["" 130.911"", "" 129.392"", ""  57.330""], ["" 131.586"", "" 130.629"", ""  57.533""], ["" 129.429"", "" 127.250"", ""  68.878""], ["" 128.185"", "" 127.085"", ""  69.504""], ["" 130.532"", "" 127.638"", ""  69.641""], ["" 128.055"", "" 127.311"", ""  70.872""], ["" 130.401"", "" 127.863"", ""  71.007""], ["" 129.162"", "" 127.703"", ""  71.641""], ["" 129.054"", "" 127.955"", ""  73.118""], ["" 128.755"", "" 129.053"", ""  73.597""], ["" 129.318"", "" 126.857"", ""  73.871""], ["" 130.326"", "" 125.929"", ""  73.488""], ["" 131.700"", "" 126.475"", ""  73.886""]]",[],1aa_Ghoteimi_2023
3,5242,1b_Ghoteimi_2023,receptor_tmp,1,11,-7.88,-0.22514285714285714,0.0,0.0,4,186.98,-10.26,-9.67,-0.6,-10.26,0.0,-1.96,2.39,-1.96,44,9,0.0,0.0,0.0,3.499059,12.280792,2.131737,0.61154814,0.50410675,-0.60982395,174.6819,"344.653564, 155.34993, 130.894272, 127.522453, 175.015503, 123.622238, 130.185257, 338.976501, ","[["" 127.368"", "" 129.087"", ""  60.385""], ["" 127.020"", "" 129.845"", ""  59.240""], ["" 126.008"", "" 130.902"", ""  59.325""], ["" 125.208"", "" 131.736"", ""  59.394""], ["" 127.720"", "" 129.591"", ""  58.039""], ["" 128.730"", "" 128.690"", ""  57.966""], ["" 129.073"", "" 127.964"", ""  59.062""], ["" 128.405"", "" 128.153"", ""  60.276""], ["" 126.696"", "" 129.231"", ""  61.711""], ["" 125.425"", "" 129.526"", ""  64.201""], ["" 124.703"", "" 129.672"", ""  63.016""], ["" 126.795"", "" 129.235"", ""  64.134""], ["" 125.332"", "" 129.529"", ""  61.782""], ["" 127.421"", "" 129.093"", ""  62.899""], ["" 124.718"", "" 129.686"", ""  65.378""], ["" 125.293"", "" 129.236"", ""  66.599""], ["" 127.414"", "" 130.439"", ""  56.503""], ["" 128.056"", "" 132.139"", ""  56.662""], ["" 129.357"", "" 132.269"", ""  57.468""], ["" 129.274"", "" 131.834"", ""  58.745""], ["" 130.374"", "" 132.737"", ""  56.951""], ["" 128.382"", "" 131.481"", ""  59.057""], ["" 130.284"", "" 131.832"", ""  59.700""], ["" 130.198"", "" 132.327"", ""  60.924""], ["" 131.549"", "" 131.293"", ""  59.468""], ["" 131.435"", "" 132.113"", ""  61.533""], ["" 132.241"", "" 131.487"", ""  60.642""], ["" 130.196"", "" 126.979"", ""  58.890""], ["" 130.656"", "" 126.214"", ""  59.971""], ["" 130.813"", "" 126.788"", ""  57.643""], ["" 131.694"", "" 125.300"", ""  59.815""], ["" 131.850"", "" 125.873"", ""  57.483""], ["" 132.301"", "" 125.118"", ""  58.574""], ["" 133.321"", "" 124.189"", ""  58.513""], ["" 134.378"", "" 124.257"", ""  59.463""]]",[],1b_Ghoteimi_2023
4,5590,1b_Grossjean_2025,receptor_tmp,1,16,-6.77,-0.2603846153846154,0.0,0.0,1,189.32,-8.56,-8.32,-0.24,-8.56,0.0,-0.7,1.79,-0.7,32,2,0.0,0.0,0.0,7.591523,11.969798,-0.211933,-0.25816049,-0.91609641,-0.30679069,114.796555,"351.312073, 227.178909, 119.888329, 124.268852, 295.996887, 149.278763, ","[["" 129.541"", "" 129.457"", ""  56.625""], ["" 130.184"", "" 128.282"", ""  56.802""], ["" 128.322"", "" 129.600"", ""  56.543""], ["" 131.192"", "" 128.331"", ""  56.841""], ["" 130.442"", "" 130.689"", ""  56.535""], ["" 129.755"", "" 132.109"", ""  57.441""], ["" 130.254"", "" 131.945"", ""  59.142""], ["" 131.846"", "" 131.622"", ""  60.936""], ["" 131.591"", "" 131.731"", ""  59.550""], ["" 130.785"", "" 131.738"", ""  61.839""], ["" 132.694"", "" 131.656"", ""  58.589""], ["" 129.501"", "" 131.970"", ""  61.348""], ["" 133.567"", "" 131.597"", ""  57.832""], ["" 129.234"", "" 132.078"", ""  60.025""], ["" 133.247"", "" 131.384"", ""  61.499""], ["" 128.310"", "" 132.115"", ""  62.276""], ["" 129.670"", "" 126.977"", ""  56.927""], ["" 128.417"", "" 126.877"", ""  57.530""], ["" 130.320"", "" 125.811"", ""  56.495""], ["" 127.813"", "" 125.635"", ""  57.704""], ["" 129.715"", "" 124.569"", ""  56.670""], ["" 128.456"", "" 124.464"", ""  57.274""], ["" 127.833"", "" 123.108"", ""  57.445""], ["" 127.525"", "" 122.380"", ""  56.495""], ["" 127.637"", "" 122.767"", ""  58.744""], ["" 128.716"", "" 122.764"", ""  59.669""]]",[],1b_Grossjean_2025
5,13424,1c_Ghoteimi_2023,receptor_tmp,1,20,-7.22,-0.20628571428571427,0.0,0.0,6,187.86,-9.6,-9.6,0.0,-9.6,0.0,-2.44,2.39,-2.44,55,6,0.0,0.0,0.0,4.25325,9.489154,2.877485,-0.42318991,0.90183055,0.08724648,174.277618,"181.367889, 325.159241, 10.711243, 229.361847, 25.14933, 4.214317, 128.025604, 103.002235, ","[["" 128.428"", "" 125.684"", ""  57.937""], ["" 127.451"", "" 124.751"", ""  57.516""], ["" 127.836"", "" 123.442"", ""  56.979""], ["" 128.141"", "" 122.409"", ""  56.555""], ["" 126.094"", "" 125.114"", ""  57.642""], ["" 125.701"", "" 126.317"", ""  58.125""], ["" 126.636"", "" 127.232"", ""  58.493""], ["" 128.000"", "" 126.930"", ""  58.411""], ["" 129.895"", "" 125.405"", ""  57.941""], ["" 132.663"", "" 124.927"", ""  57.959""], ["" 131.899"", "" 124.708"", ""  59.106""], ["" 132.031"", "" 125.394"", ""  56.797""], ["" 130.529"", "" 124.946"", ""  59.099""], ["" 130.659"", "" 125.632"", ""  56.792""], ["" 134.016"", "" 124.663"", ""  58.059""], ["" 134.538"", "" 124.167"", ""  59.287""], ["" 124.761"", "" 123.982"", ""  57.312""], ["" 124.113"", "" 123.533"", ""  58.955""], ["" 125.189"", "" 123.615"", ""  60.043""], ["" 126.398"", "" 123.124"", ""  59.695""], ["" 124.900"", "" 124.070"", ""  61.151""], ["" 126.508"", "" 122.787"", ""  58.750""], ["" 127.489"", "" 122.939"", ""  60.530""], ["" 127.554"", "" 123.135"", ""  61.829""], ["" 128.941"", "" 122.328"", ""  59.806""], ["" 128.741"", "" 122.818"", ""  62.307""], ["" 129.671"", "" 122.348"", ""  61.384""], ["" 126.125"", "" 128.541"", ""  59.020""], ["" 126.482"", "" 129.004"", ""  60.296""], ["" 125.270"", "" 129.343"", ""  58.250""], ["" 126.009"", "" 130.221"", ""  60.779""], ["" 124.796"", "" 130.561"", ""  58.728""], ["" 125.166"", "" 131.012"", ""  60.004""], ["" 124.748"", "" 132.205"", ""  60.561""], ["" 124.157"", "" 132.199"", ""  61.856""]]",[],1c_Ghoteimi_2023
6,5266,1c_Grossjean_2025,receptor_tmp,1,11,-6.17,-0.25708333333333333,0.0,0.0,6,187.38,-7.67,-7.33,-0.33,-7.67,0.0,-1.63,1.49,-1.63,27,5,0.0,0.0,0.0,6.130026,7.924787,2.700669,-0.02206801,0.40991837,-0.91185521,262.113892,"62.762501, 275.621826, 27.773325, 14.419704, 329.176788, ","[["" 131.369"", "" 124.603"", ""  58.434""], ["" 130.942"", "" 124.887"", ""  59.683""], ["" 132.514"", "" 124.269"", ""  58.129""], ["" 129.956"", "" 125.076"", ""  59.784""], ["" 130.307"", "" 124.709"", ""  57.337""], ["" 129.115"", "" 123.340"", ""  57.414""], ["" 128.407"", "" 123.301"", ""  59.048""], ["" 126.632"", "" 123.520"", ""  60.682""], ["" 127.053"", "" 123.595"", ""  59.334""], ["" 127.553"", "" 123.150"", ""  61.666""], ["" 126.088"", "" 123.927"", ""  58.282""], ["" 128.861"", "" 122.853"", ""  61.292""], ["" 125.327"", "" 124.190"", ""  57.452""], ["" 129.287"", "" 122.920"", ""  60.009""], ["" 125.199"", "" 123.824"", ""  61.115""], ["" 129.903"", "" 122.430"", ""  62.310""], ["" 131.662"", "" 124.896"", ""  60.893""], ["" 132.917"", "" 124.298"", ""  61.080""], ["" 131.064"", "" 125.582"", ""  61.952""], ["" 133.547"", "" 124.376"", ""  62.319""], ["" 131.698"", "" 125.657"", ""  63.190""], ["" 132.948"", "" 125.050"", ""  63.383""], ["" 133.651"", "" 125.071"", ""  64.572""], ["" 132.981"", "" 125.461"", ""  65.767""]]",[],1c_Grossjean_2025
7,13554,1d_Ghoteimi_2023,receptor_tmp,1,6,-6.82,-0.22733333333333333,0.0,0.0,9,188.48,-9.21,-8.66,-0.55,-9.21,0.0,-1.09,2.39,-1.09,40,6,0.0,0.0,0.0,5.274598,9.159609,4.950041,-0.15520797,-0.17981402,0.97137912,237.421509,"15.465312, 302.581635, 262.087006, 294.476105, 150.300949, 199.32753, 24.817989, 325.454956, ","[["" 127.541"", "" 122.750"", ""  59.725""], ["" 128.231"", "" 124.134"", ""  60.605""], ["" 129.809"", "" 125.230"", ""  62.085""], ["" 129.377"", "" 124.051"", ""  61.427""], ["" 129.105"", "" 126.418"", ""  61.854""], ["" 130.138"", "" 122.804"", ""  61.550""], ["" 128.001"", "" 126.438"", ""  60.994""], ["" 130.739"", "" 121.820"", ""  61.648""], ["" 127.577"", "" 125.300"", ""  60.387""], ["" 130.983"", "" 125.281"", ""  63.009""], ["" 133.204"", "" 125.380"", ""  64.731""], ["" 133.370"", "" 125.086"", ""  63.378""], ["" 131.914"", "" 125.637"", ""  65.220""], ["" 132.272"", "" 125.039"", ""  62.523""], ["" 130.818"", "" 125.590"", ""  64.363""], ["" 134.348"", "" 125.398"", ""  65.504""], ["" 134.230"", "" 125.340"", ""  66.922""], ["" 127.217"", "" 127.685"", ""  60.705""], ["" 126.829"", "" 128.015"", ""  59.397""], ["" 126.855"", "" 128.566"", ""  61.735""], ["" 126.108"", "" 129.175"", ""  59.131""], ["" 126.136"", "" 129.728"", ""  61.472""], ["" 125.754"", "" 130.043"", ""  60.161""], ["" 125.043"", "" 131.172"", ""  59.803""], ["" 123.634"", "" 131.076"", ""  59.626""], ["" 126.722"", "" 123.415"", ""  58.244""], ["" 126.993"", "" 122.447"", ""  57.095""], ["" 128.139"", "" 122.108"", ""  56.799""], ["" 125.858"", "" 122.039"", ""  56.491""], ["" 124.658"", "" 122.784"", ""  56.631""]]",[],1d_Ghoteimi_2023
8,5569,1d_Grossjean_2025,receptor_tmp,1,5,-7.55,-0.3431818181818182,0.0,0.0,1,183.47,-8.75,-8.68,-0.06,-8.75,0.0,-0.82,1.19,-0.82,53,3,0.0,0.0,0.0,5.09583,8.491133,5.116011,0.77004439,0.0917434,0.63135948,171.940445,"279.466125, 151.869995, 131.397949, 103.136993, ","[["" 127.980"", "" 122.793"", ""  61.492""], ["" 127.233"", "" 123.104"", ""  59.908""], ["" 125.431"", "" 123.743"", ""  58.421""], ["" 125.895"", "" 123.534"", ""  59.740""], ["" 126.295"", "" 123.505"", ""  57.346""], ["" 124.994"", "" 123.730"", ""  60.878""], ["" 127.590"", "" 123.059"", ""  57.603""], ["" 124.280"", "" 123.885"", ""  61.775""], ["" 128.056"", "" 122.855"", ""  58.858""], ["" 124.012"", "" 124.216"", ""  58.113""], ["" 128.569"", "" 122.774"", ""  56.481""], ["" 129.684"", "" 123.425"", ""  61.422""], ["" 130.719"", "" 122.306"", ""  61.550""], ["" 130.340"", "" 121.108"", ""  61.055""], ["" 131.796"", "" 122.543"", ""  62.098""], ["" 129.405"", "" 121.059"", ""  60.678""], ["" 131.046"", "" 119.892"", ""  60.996""], ["" 132.414"", "" 119.998"", ""  60.731""], ["" 130.476"", "" 118.624"", ""  61.203""], ["" 133.206"", "" 118.856"", ""  60.657""], ["" 131.271"", "" 117.484"", ""  61.129""], ["" 132.632"", "" 117.603"", ""  60.855""]]",[],1d_Grossjean_2025
9,5149,1e_Grossjean_2025,receptor_tmp,1,5,-7.11,-0.3091304347826087,0.0,0.0,1,185.09,-8.3,-8.37,0.07,-8.3,0.0,-0.6,1.19,-0.6,44,3,0.0,0.0,0.0,6.023798,8.001625,4.800334,-0.8763181,0.39237795,-0.27947475,280.38443,"27.309143, 336.608826, 180.037582, 57.347809, ","[["" 130.390"", "" 123.827"", ""  60.127""], ["" 129.306"", "" 122.450"", ""  60.613""], ["" 127.611"", "" 122.971"", ""  60.444""], ["" 125.583"", "" 123.506"", ""  59.231""], ["" 126.932"", "" 123.083"", ""  59.208""], ["" 124.971"", "" 123.775"", ""  60.460""], ["" 127.569"", "" 122.741"", ""  57.934""], ["" 125.707"", "" 123.612"", ""  61.632""], ["" 128.070"", "" 122.470"", ""  56.926""], ["" 127.000"", "" 123.212"", ""  61.632""], ["" 124.749"", "" 123.674"", ""  57.962""], ["" 125.094"", "" 123.870"", ""  62.995""], ["" 131.301"", "" 124.271"", ""  61.273""], ["" 130.691"", "" 124.486"", ""  62.459""], ["" 132.504"", "" 124.429"", ""  61.058""], ["" 129.687"", "" 124.383"", ""  62.477""], ["" 131.262"", "" 124.908"", ""  63.673""], ["" 130.496"", "" 125.306"", ""  64.731""], ["" 132.660"", "" 124.920"", ""  63.733""], ["" 131.117"", "" 125.713"", ""  65.867""], ["" 133.284"", "" 125.341"", ""  64.910""], ["" 132.508"", "" 125.746"", ""  65.996""], ["" 130.204"", "" 126.140"", ""  67.001""]]",[],1e_Grossjean_2025
