,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,778,1a_Ghoteimi_2023,receptor_tmp,1,1,-9.69,-0.23634146341463413,0.0,0.0,2,187.06,-12.97,-12.1,-0.86,-12.97,0.0,-2.39,3.28,-2.39,52,8,0.0,0.0,0.0,2.778075,11.506869,10.572181,0.45719969,0.42768751,-0.77977679,173.237778,"236.118973, 203.163757, 128.594162, 76.978561, 7.249465, 37.692558, 155.188538, 188.04303, 80.416, 211.962036, 356.681915, ","[["" 124.976"", "" 129.699"", ""  65.000""], ["" 125.612"", "" 129.536"", ""  63.820""], ["" 123.887"", "" 130.252"", ""  65.157""], ["" 126.476"", "" 129.016"", ""  63.850""], ["" 125.699"", "" 129.130"", ""  66.220""], ["" 127.339"", "" 129.880"", ""  66.442""], ["" 128.433"", "" 128.554"", ""  66.897""], ["" 129.807"", "" 126.606"", ""  66.466""], ["" 128.943"", "" 127.614"", ""  65.976""], ["" 130.103"", "" 126.589"", ""  67.836""], ["" 128.584"", "" 127.674"", ""  64.555""], ["" 129.577"", "" 127.564"", ""  68.692""], ["" 128.302"", "" 127.720"", ""  63.434""], ["" 128.752"", "" 128.532"", ""  68.213""], ["" 130.429"", "" 125.553"", ""  65.608""], ["" 131.588"", "" 123.592"", ""  63.960""], ["" 130.429"", "" 123.313"", ""  64.684""], ["" 132.166"", "" 124.867"", ""  64.062""], ["" 129.851"", "" 124.283"", ""  65.498""], ["" 131.587"", "" 125.836"", ""  64.877""], ["" 132.088"", "" 122.568"", ""  63.180""], ["" 131.249"", "" 121.969"", ""  62.199""], ["" 129.866"", "" 127.596"", ""  70.165""], ["" 129.141"", "" 126.802"", ""  71.068""], ["" 130.870"", "" 128.427"", ""  70.687""], ["" 129.412"", "" 126.832"", ""  72.433""], ["" 131.144"", "" 128.460"", ""  72.051""], ["" 130.413"", "" 127.658"", ""  72.939""], ["" 130.615"", "" 127.622"", ""  74.305""], ["" 129.505"", "" 127.810"", ""  75.176""], ["" 125.233"", "" 129.946"", ""  62.527""], ["" 124.097"", "" 130.713"", ""  62.228""], ["" 126.082"", "" 129.550"", ""  61.493""], ["" 123.819"", "" 131.067"", ""  60.910""], ["" 125.803"", "" 129.905"", ""  60.176""], ["" 124.669"", "" 130.667"", ""  59.868""], ["" 124.399"", "" 131.035"", ""  58.437""], ["" 123.856"", "" 132.091"", ""  58.100""], ["" 124.809"", "" 130.089"", ""  57.554""], ["" 126.039"", "" 130.222"", ""  56.853""], ["" 126.816"", "" 131.417"", ""  57.414""]]",[],1a_Ghoteimi_2023
1,8910,1a_Grossjean_2025,receptor_tmp,1,5,-7.4,-0.2740740740740741,0.0,0.0,3,191.41,-9.48,-9.03,-0.45,-9.48,0.0,-0.68,2.09,-0.68,41,6,0.0,0.0,0.0,6.533404,9.403715,11.539973,-0.5663335,-0.37409492,0.73438365,116.173058,"123.051094, 51.240086, 251.410767, 129.82489, 327.462189, 247.093048, 80.647697, ","[["" 130.352"", "" 127.241"", ""  68.787""], ["" 129.211"", "" 127.068"", ""  69.571""], ["" 129.134"", "" 127.632"", ""  70.841""], ["" 130.200"", "" 128.385"", ""  71.352""], ["" 131.343"", "" 128.564"", ""  70.557""], ["" 131.421"", "" 128.001"", ""  69.287""], ["" 130.322"", "" 126.624"", ""  67.521""], ["" 129.923"", "" 125.384"", ""  67.169""], ["" 129.489"", "" 124.527"", ""  67.939""], ["" 130.620"", "" 127.224"", ""  66.766""], ["" 130.037"", "" 125.056"", ""  65.679""], ["" 130.258"", "" 123.277"", ""  65.383""], ["" 130.796"", "" 123.078"", ""  63.699""], ["" 132.326"", "" 123.345"", ""  61.840""], ["" 132.022"", "" 123.580"", ""  63.201""], ["" 131.409"", "" 122.650"", ""  61.044""], ["" 132.945"", "" 124.348"", ""  64.041""], ["" 130.215"", "" 122.212"", ""  61.612""], ["" 133.675"", "" 124.954"", ""  64.703""], ["" 129.904"", "" 122.423"", ""  62.913""], ["" 133.622"", "" 123.829"", ""  61.191""], ["" 129.176"", "" 121.462"", ""  60.799""], ["" 130.086"", "" 128.976"", ""  72.727""], ["" 130.256"", "" 128.324"", ""  73.762""], ["" 129.793"", "" 130.303"", ""  72.719""], ["" 128.527"", "" 130.772"", ""  72.273""], ["" 128.140"", "" 132.027"", ""  73.061""]]",[],1a_Grossjean_2025
2,1527,1aa_Ghoteimi_2023,receptor_tmp,1,18,-9.58,-0.23365853658536587,0.0,0.0,1,185.54,-12.86,-11.87,-0.98,-12.86,0.0,-2.96,3.28,-2.96,61,9,0.0,0.0,0.0,4.20658,12.389574,9.66751,0.49882405,0.64353323,-0.58055107,156.200043,"147.991455, 309.685699, 274.989197, 264.416718, 290.367737, 49.694847, 23.876781, 241.177292, 57.715263, 28.44965, 202.295517, ","[["" 125.060"", "" 129.700"", ""  64.839""], ["" 125.840"", "" 129.672"", ""  63.733""], ["" 123.876"", "" 130.035"", ""  64.855""], ["" 126.791"", "" 129.363"", ""  63.878""], ["" 125.707"", "" 129.280"", ""  66.168""], ["" 127.129"", "" 129.451"", ""  66.110""], ["" 127.976"", "" 128.430"", ""  66.518""], ["" 129.603"", "" 126.703"", ""  66.013""], ["" 128.752"", "" 127.742"", ""  65.570""], ["" 129.643"", "" 126.423"", ""  67.386""], ["" 128.676"", "" 128.136"", ""  64.162""], ["" 128.853"", "" 127.148"", ""  68.287""], ["" 128.025"", "" 128.131"", ""  67.846""], ["" 128.614"", "" 128.448"", ""  63.049""], ["" 130.461"", "" 125.888"", ""  65.104""], ["" 132.105"", "" 124.361"", ""  63.408""], ["" 132.408"", "" 125.696"", ""  63.674""], ["" 130.970"", "" 123.788"", ""  64.002""], ["" 131.597"", "" 126.452"", ""  64.516""], ["" 130.160"", "" 124.546"", ""  64.843""], ["" 132.965"", "" 123.689"", ""  62.561""], ["" 133.622"", "" 124.408"", ""  61.524""], ["" 128.848"", "" 126.878"", ""  69.764""], ["" 128.200"", "" 125.750"", ""  70.289""], ["" 129.494"", "" 127.741"", ""  70.664""], ["" 128.192"", "" 125.499"", ""  71.659""], ["" 129.486"", "" 127.493"", ""  72.034""], ["" 128.831"", "" 126.364"", ""  72.544""], ["" 128.769"", "" 126.035"", ""  73.885""], ["" 129.842"", "" 125.304"", ""  74.470""], ["" 125.541"", "" 129.998"", ""  62.398""], ["" 126.222"", "" 129.505"", ""  61.275""], ["" 124.475"", "" 130.880"", ""  62.218""], ["" 125.836"", "" 129.898"", ""  59.995""], ["" 124.090"", "" 131.271"", ""  60.940""], ["" 124.765"", "" 130.786"", ""  59.812""], ["" 124.325"", "" 131.229"", ""  58.446""], ["" 123.791"", "" 132.321"", ""  58.227""], ["" 124.574"", "" 130.311"", ""  57.477""], ["" 125.381"", "" 130.633"", ""  56.351""], ["" 126.793"", "" 130.995"", ""  56.822""]]",[],1aa_Ghoteimi_2023
3,796,1b_Ghoteimi_2023,receptor_tmp,1,10,-9.26,-0.26457142857142857,0.0,0.0,6,186.69,-11.65,-10.7,-0.95,-11.65,0.0,-1.55,2.39,-1.55,51,5,0.0,0.0,0.0,4.933523,9.986263,9.937176,0.86827462,-0.0859388,-0.48858337,123.843002,"112.373306, 215.537109, 127.232285, 123.443016, 251.897598, 294.685211, 279.915009, 81.106583, ","[["" 128.007"", "" 128.390"", ""  66.380""], ["" 128.872"", "" 127.616"", ""  65.568""], ["" 129.007"", "" 127.906"", ""  64.137""], ["" 129.114"", "" 128.135"", ""  63.007""], ["" 129.639"", "" 126.606"", ""  66.191""], ["" 129.604"", "" 126.391"", ""  67.528""], ["" 128.782"", "" 127.134"", ""  68.314""], ["" 127.981"", "" 128.136"", ""  67.757""], ["" 127.122"", "" 129.472"", ""  65.854""], ["" 125.452"", "" 131.494"", ""  64.843""], ["" 124.966"", "" 130.199"", ""  65.023""], ["" 126.788"", "" 131.773"", ""  65.167""], ["" 125.792"", "" 129.196"", ""  65.522""], ["" 127.612"", "" 130.768"", ""  65.665""], ["" 124.560"", "" 132.424"", ""  64.343""], ["" 124.095"", "" 132.289"", ""  63.004""], ["" 130.770"", "" 125.533"", ""  65.329""], ["" 130.155"", "" 123.823"", ""  65.491""], ["" 129.698"", "" 123.171"", ""  64.178""], ["" 128.635"", "" 123.767"", ""  63.594""], ["" 130.283"", "" 122.183"", ""  63.728""], ["" 128.234"", "" 124.564"", ""  64.065""], ["" 128.008"", "" 123.396"", ""  62.410""], ["" 126.720"", "" 123.131"", ""  62.262""], ["" 128.688"", "" 123.253"", ""  61.201""], ["" 126.528"", "" 122.802"", ""  60.920""], ["" 127.725"", "" 122.881"", ""  60.291""], ["" 128.797"", "" 126.822"", ""  69.785""], ["" 128.079"", "" 125.732"", ""  70.299""], ["" 129.534"", "" 127.604"", ""  70.688""], ["" 128.093"", "" 125.439"", ""  71.659""], ["" 129.551"", "" 127.314"", ""  72.049""], ["" 128.826"", "" 126.223"", ""  72.548""], ["" 128.781"", "" 125.856"", ""  73.879""], ["" 129.854"", "" 125.099"", ""  74.426""]]",[],1b_Ghoteimi_2023
4,799,1b_Grossjean_2025,receptor_tmp,1,17,-6.86,-0.26384615384615384,0.0,0.0,1,186.77,-8.65,-8.39,-0.26,-8.65,0.0,-1.25,1.79,-1.25,43,5,0.0,0.0,0.0,7.359391,8.452428,4.368338,-0.49131848,-0.8665324,0.08790759,256.890533,"190.809708, 101.868073, 6.32835, 99.464867, 297.591583, 87.413017, ","[["" 132.245"", "" 124.374"", ""  59.255""], ["" 130.950"", "" 124.710"", ""  59.439""], ["" 132.655"", "" 123.498"", ""  58.495""], ["" 130.775"", "" 125.448"", ""  60.106""], ["" 133.255"", "" 125.184"", ""  60.069""], ["" 133.978"", "" 124.214"", ""  61.426""], ["" 132.668"", "" 123.242"", ""  62.139""], ["" 131.077"", "" 122.636"", ""  63.860""], ["" 132.115"", "" 123.486"", ""  63.418""], ["" 130.633"", "" 121.606"", ""  63.025""], ["" 132.566"", "" 124.599"", ""  64.258""], ["" 131.221"", "" 121.451"", ""  61.771""], ["" 132.920"", "" 125.476"", ""  64.924""], ["" 132.217"", "" 122.254"", ""  61.327""], ["" 130.406"", "" 122.796"", ""  65.224""], ["" 130.778"", "" 120.359"", ""  60.815""], ["" 129.783"", "" 124.180"", ""  58.857""], ["" 129.325"", "" 124.839"", ""  57.716""], ["" 129.077"", "" 123.066"", ""  59.336""], ["" 128.181"", "" 124.400"", ""  57.057""], ["" 127.933"", "" 122.628"", ""  58.677""], ["" 127.470"", "" 123.286"", ""  57.530""], ["" 126.232"", "" 122.784"", ""  56.844""], ["" 126.140"", "" 121.653"", ""  56.355""], ["" 125.229"", "" 123.698"", ""  56.810""], ["" 124.390"", "" 123.905"", ""  57.938""]]",[],1b_Grossjean_2025
5,9643,1c_Ghoteimi_2023,receptor_tmp,1,10,-8.5,-0.24285714285714285,0.0,0.0,2,191.23,-10.88,-10.09,-0.8,-10.88,0.0,-1.53,2.39,-1.53,49,4,0.0,0.0,0.0,5.469,12.261884,10.994642,-0.89271868,0.04501738,0.44836012,231.168991,"88.781342, 173.375885, 128.251175, 209.840134, 167.980408, 142.346588, 280.044739, 257.668732, ","[["" 127.900"", "" 128.402"", ""  66.404""], ["" 128.723"", "" 127.610"", ""  65.568""], ["" 128.756"", "" 127.822"", ""  64.117""], ["" 128.781"", "" 127.991"", ""  62.972""], ["" 129.521"", "" 126.618"", ""  66.175""], ["" 129.510"", "" 126.387"", ""  67.510""], ["" 128.692"", "" 127.118"", ""  68.312""], ["" 127.888"", "" 128.130"", ""  67.777""], ["" 127.068"", "" 129.539"", ""  65.912""], ["" 125.503"", "" 131.661"", ""  64.942""], ["" 124.899"", "" 130.520"", ""  65.469""], ["" 126.904"", "" 131.734"", ""  64.898""], ["" 125.673"", "" 129.468"", ""  65.948""], ["" 127.676"", "" 130.680"", ""  65.377""], ["" 124.656"", "" 132.655"", ""  64.490""], ["" 124.246"", "" 132.651"", ""  63.126""], ["" 130.724"", "" 125.666"", ""  65.273""], ["" 130.121"", "" 123.949"", ""  65.361""], ["" 129.719"", "" 123.406"", ""  63.985""], ["" 128.712"", "" 124.070"", ""  63.376""], ["" 130.284"", "" 122.407"", ""  63.537""], ["" 128.340"", "" 124.880"", ""  63.846""], ["" 128.061"", "" 123.698"", ""  62.210""], ["" 126.778"", "" 123.459"", ""  62.042""], ["" 129.025"", "" 123.572"", ""  60.774""], ["" 126.501"", "" 123.168"", ""  60.786""], ["" 127.576"", "" 123.169"", ""  59.903""], ["" 128.736"", "" 126.806"", ""  69.780""], ["" 127.997"", "" 125.744"", ""  70.323""], ["" 129.518"", "" 127.574"", ""  70.656""], ["" 128.044"", "" 125.455"", ""  71.684""], ["" 129.569"", "" 127.288"", ""  72.017""], ["" 128.829"", "" 126.219"", ""  72.543""], ["" 128.818"", "" 125.861"", ""  73.877""], ["" 129.892"", "" 125.085"", ""  74.398""]]",[],1c_Ghoteimi_2023
6,1082,1c_Grossjean_2025,receptor_tmp,1,20,-6.88,-0.2866666666666667,0.0,0.0,3,191.03,-8.37,-7.74,-0.63,-8.37,0.0,-0.5,1.49,-0.5,31,7,0.0,0.0,0.0,6.632657,10.95875,10.137636,0.97977282,0.19995742,0.00788993,277.434479,"7.787344, 56.189724, 253.232025, 292.136414, 125.747498, ","[["" 129.941"", "" 125.892"", ""  67.515""], ["" 130.541"", "" 127.032"", ""  67.919""], ["" 129.311"", "" 125.121"", ""  68.238""], ["" 130.960"", "" 127.596"", ""  67.194""], ["" 130.073"", "" 125.575"", ""  66.023""], ["" 129.985"", "" 123.789"", ""  65.701""], ["" 130.601"", "" 123.483"", ""  64.058""], ["" 132.245"", "" 123.537"", ""  62.279""], ["" 131.894"", "" 123.849"", ""  63.613""], ["" 131.320"", "" 122.876"", ""  61.465""], ["" 132.869"", "" 124.492"", ""  64.498""], ["" 130.079"", "" 122.531"", ""  61.993""], ["" 133.639"", "" 125.000"", ""  65.195""], ["" 129.721"", "" 122.820"", ""  63.266""], ["" 133.606"", "" 123.890"", ""  61.683""], ["" 129.039"", "" 121.798"", ""  61.166""], ["" 130.617"", "" 127.594"", ""  69.208""], ["" 131.753"", "" 128.222"", ""  69.739""], ["" 129.451"", "" 127.525"", ""  69.973""], ["" 131.717"", "" 128.755"", ""  71.024""], ["" 129.419"", "" 128.059"", ""  71.258""], ["" 130.557"", "" 128.678"", ""  71.796""], ["" 130.620"", "" 129.235"", ""  73.059""], ["" 129.854"", "" 130.401"", ""  73.342""]]",[],1c_Grossjean_2025
7,8916,1d_Ghoteimi_2023,receptor_tmp,1,18,-8.39,-0.2796666666666667,0.0,0.0,7,192.11,-10.78,-9.98,-0.8,-10.78,0.0,-0.92,2.39,-0.92,42,9,0.0,0.0,0.0,5.569863,11.192287,11.268219,0.9236015,-0.22223821,-0.3123627,179.019592,"246.38092, 195.701385, 273.22583, 252.824707, 70.3787, 267.436737, 273.312042, 0.651428, ","[["" 131.307"", "" 125.708"", ""  65.788""], ["" 130.035"", "" 126.646"", ""  66.607""], ["" 128.172"", "" 128.195"", ""  66.713""], ["" 129.125"", "" 127.492"", ""  65.934""], ["" 128.157"", "" 127.985"", ""  68.097""], ["" 129.118"", "" 127.595"", ""  64.472""], ["" 129.062"", "" 127.100"", ""  68.695""], ["" 129.112"", "" 127.677"", ""  63.317""], ["" 129.989"", "" 126.449"", ""  67.946""], ["" 127.173"", "" 129.148"", ""  66.140""], ["" 125.304"", "" 130.942"", ""  65.047""], ["" 126.625"", "" 130.937"", ""  64.601""], ["" 124.916"", "" 130.032"", ""  66.042""], ["" 127.551"", "" 130.047"", ""  65.139""], ["" 125.844"", "" 129.143"", ""  66.578""], ["" 124.457"", "" 131.863"", ""  64.461""], ["" 124.117"", "" 131.719"", ""  63.087""], ["" 129.082"", "" 126.831"", ""  70.172""], ["" 128.378"", "" 125.750"", ""  70.725""], ["" 129.801"", "" 127.658"", ""  71.047""], ["" 128.392"", "" 125.506"", ""  72.094""], ["" 129.817"", "" 127.418"", ""  72.418""], ["" 129.109"", "" 126.334"", ""  72.955""], ["" 129.063"", "" 126.018"", ""  74.299""], ["" 130.087"", "" 125.200"", ""  74.854""], ["" 132.869"", "" 126.069"", ""  66.644""], ["" 133.951"", "" 125.198"", ""  66.013""], ["" 135.043"", "" 125.034"", ""  66.559""], ["" 133.557"", "" 124.661"", ""  64.839""], ["" 133.745"", "" 125.369"", ""  63.624""]]",[],1d_Ghoteimi_2023
8,1009,1d_Grossjean_2025,receptor_tmp,1,3,-6.22,-0.2827272727272727,0.0,0.0,6,185.62,-7.41,-7.32,-0.09,-7.41,0.0,-1.73,1.19,-1.73,42,3,0.0,0.0,0.0,6.043013,6.023877,3.837894,-0.31852154,0.21205592,0.92389194,216.230392,"136.842438, 139.722198, 91.474861, 297.58548, ","[["" 131.114"", "" 121.146"", ""  60.898""], ["" 132.081"", "" 122.638"", ""  60.857""], ["" 133.490"", "" 124.366"", ""  61.803""], ["" 132.756"", "" 123.171"", ""  61.980""], ["" 133.508"", "" 124.977"", ""  60.545""], ["" 132.683"", "" 122.539"", ""  63.300""], ["" 132.794"", "" 124.396"", ""  59.499""], ["" 132.627"", "" 122.043"", ""  64.344""], ["" 132.088"", "" 123.251"", ""  59.645""], ["" 134.267"", "" 125.030"", ""  62.938""], ["" 132.766"", "" 125.017"", ""  58.116""], ["" 129.524"", "" 121.551"", ""  61.684""], ["" 128.562"", "" 122.240"", ""  60.715""], ["" 129.096"", "" 122.601"", ""  59.528""], ["" 127.398"", "" 122.441"", ""  61.065""], ["" 130.080"", "" 122.410"", ""  59.408""], ["" 128.494"", "" 123.227"", ""  58.421""], ["" 127.295"", "" 122.660"", ""  57.982""], ["" 129.002"", "" 124.364"", ""  57.770""], ["" 126.614"", "" 123.205"", ""  56.897""], ["" 128.319"", "" 124.909"", ""  56.686""], ["" 127.129"", "" 124.327"", ""  56.253""]]",[],1d_Grossjean_2025
9,1067,1e_Grossjean_2025,receptor_tmp,1,5,-6.75,-0.29347826086956524,0.0,0.0,1,184.08,-7.94,-7.85,-0.08,-7.94,0.0,-0.73,1.19,-0.73,56,3,0.0,0.0,0.0,6.135232,7.301675,5.752032,0.10227972,0.34445647,-0.93321412,153.345856,"53.045502, 289.539124, 82.027748, 338.088715, ","[["" 128.827"", "" 124.442"", ""  62.819""], ["" 129.563"", "" 123.207"", ""  63.932""], ["" 130.737"", "" 122.235"", ""  63.009""], ["" 132.948"", "" 121.562"", ""  62.280""], ["" 132.140"", "" 122.414"", ""  63.067""], ["" 132.341"", "" 120.575"", ""  61.497""], ["" 132.763"", "" 123.414"", ""  63.937""], ["" 130.953"", "" 120.451"", ""  61.520""], ["" 133.258"", "" 124.204"", ""  64.624""], ["" 130.161"", "" 121.257"", ""  62.264""], ["" 134.472"", "" 121.665"", ""  62.251""], ["" 130.238"", "" 119.388"", ""  60.709""], ["" 127.855"", "" 123.807"", ""  61.822""], ["" 128.062"", "" 124.114"", ""  60.523""], ["" 126.947"", "" 123.089"", ""  62.243""], ["" 128.804"", "" 124.769"", ""  60.324""], ["" 127.330"", "" 123.695"", ""  59.397""], ["" 126.064"", "" 124.143"", ""  59.151""], ["" 127.960"", "" 122.773"", ""  58.552""], ["" 125.414"", "" 123.685"", ""  58.052""], ["" 127.277"", "" 122.312"", ""  57.424""], ["" 125.985"", "" 122.769"", ""  57.164""], ["" 124.013"", "" 124.227"", ""  57.840""]]",[],1e_Grossjean_2025
