,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,940,1a_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,1,-7.93,-0.19341463414634147,0.0,0.0,2,187.69,-11.22,-10.72,-0.5,-11.22,0.0,-1.62,3.28,-1.62,45,5,0.0,0.0,0.0,9.863278,11.496862,9.200012,0.05073897,0.92284784,0.38180808,249.665344,"302.186676, 201.246887, 109.242905, 300.876099, 122.783844, 32.715828, 12.209537, 263.639221, 81.701393, 155.393875, 15.862203, ","[["" 128.624"", "" 126.990"", ""  68.685""], ["" 129.405"", "" 127.459"", ""  69.683""], ["" 127.687"", "" 126.204"", ""  68.818""], ["" 130.102"", "" 128.139"", ""  69.419""], ["" 128.962"", "" 127.510"", ""  67.288""], ["" 128.194"", "" 129.125"", ""  66.966""], ["" 127.724"", "" 129.118"", ""  65.251""], ["" 126.979"", "" 130.135"", ""  63.183""], ["" 127.327"", "" 130.275"", ""  64.548""], ["" 127.038"", "" 128.859"", ""  62.607""], ["" 127.269"", "" 131.582"", ""  65.210""], ["" 127.460"", "" 127.756"", ""  63.358""], ["" 127.223"", "" 132.614"", ""  65.732""], ["" 127.798"", "" 127.899"", ""  64.667""], ["" 126.550"", "" 131.272"", ""  62.312""], ["" 125.755"", "" 133.435"", ""  60.703""], ["" 124.803"", "" 132.586"", ""  61.267""], ["" 127.115"", "" 133.198"", ""  60.954""], ["" 125.195"", "" 131.516"", ""  62.067""], ["" 127.505"", "" 132.127"", ""  61.754""], ["" 125.274"", "" 134.470"", ""  59.925""], ["" 125.605"", "" 135.810"", ""  60.270""], ["" 127.548"", "" 126.369"", ""  62.788""], ["" 128.604"", "" 125.507"", ""  63.126""], ["" 126.577"", "" 125.892"", ""  61.894""], ["" 128.682"", "" 124.222"", ""  62.597""], ["" 126.652"", "" 124.608"", ""  61.363""], ["" 127.710"", "" 123.758"", ""  61.714""], ["" 127.867"", "" 122.469"", ""  61.241""], ["" 128.906"", "" 122.194"", ""  60.308""], ["" 129.371"", "" 127.178"", ""  71.062""], ["" 128.828"", "" 126.016"", ""  71.632""], ["" 129.941"", "" 128.144"", ""  71.891""], ["" 128.852"", "" 125.838"", ""  73.013""], ["" 129.964"", "" 127.964"", ""  73.272""], ["" 129.421"", "" 126.809"", ""  73.850""], ["" 129.466"", "" 126.645"", ""  75.342""], ["" 128.680"", "" 125.928"", ""  75.969""], ["" 130.453"", "" 127.368"", ""  75.931""], ["" 131.693"", "" 126.766"", ""  76.285""], ["" 132.613"", "" 126.741"", ""  75.061""]]",[],1a_Ghoteimi_2023
1,10590,1a_Grossjean_2025,4h2i_c_1_mae_prepped,1,15,-7.4,-0.2740740740740741,0.0,0.0,4,189.12,-9.49,-9.19,-0.3,-9.49,0.0,-1.74,2.09,-1.74,38,5,0.0,0.0,0.0,12.745894,6.299965,6.077309,0.58574604,0.54547708,-0.59946337,230.190659,"222.72937, 301.110565, 7.584151, 14.201961, 12.712082, 241.867477, 73.456253, ","[["" 131.619"", "" 124.877"", ""  64.482""], ["" 130.329"", "" 124.412"", ""  64.738""], ["" 129.674"", "" 124.759"", ""  65.915""], ["" 130.298"", "" 125.583"", ""  66.862""], ["" 131.593"", "" 126.055"", ""  66.598""], ["" 132.249"", "" 125.709"", ""  65.420""], ["" 132.187"", "" 124.461"", ""  63.261""], ["" 133.479"", "" 124.427"", ""  62.872""], ["" 134.442"", "" 124.772"", ""  63.557""], ["" 131.515"", "" 124.109"", ""  62.596""], ["" 133.723"", "" 123.909"", ""  61.453""], ["" 133.998"", "" 122.113"", ""  61.416""], ["" 132.401"", "" 121.329"", ""  61.377""], ["" 130.874"", "" 119.481"", ""  61.025""], ["" 132.198"", "" 119.978"", ""  61.008""], ["" 129.828"", "" 120.337"", ""  61.386""], ["" 133.305"", "" 119.114"", ""  60.587""], ["" 130.117"", "" 121.660"", ""  61.712""], ["" 134.176"", "" 118.430"", ""  60.254""], ["" 131.377"", "" 122.156"", ""  61.705""], ["" 130.532"", "" 118.039"", ""  60.656""], ["" 129.025"", "" 122.639"", ""  62.101""], ["" 129.565"", "" 125.935"", ""  68.124""], ["" 129.355"", "" 125.127"", ""  69.034""], ["" 129.169"", "" 127.233"", ""  68.171""], ["" 128.243"", "" 127.753"", ""  67.225""], ["" 128.220"", "" 129.281"", ""  67.318""]]",[],1a_Grossjean_2025
2,1298,1aa_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,2,-8.13,-0.19829268292682928,0.0,0.0,2,185.33,-11.41,-11.01,-0.4,-11.41,0.0,-2.31,3.28,-2.31,51,6,0.0,0.0,0.0,11.086684,7.803767,9.495133,0.82208455,-0.43173051,-0.37119504,189.350266,"161.296341, 189.684814, 133.511551, 87.534332, 255.478302, 31.999332, 5.62422, 123.526619, 297.599152, 318.331451, 18.135002, ","[["" 132.457"", "" 124.719"", ""  64.639""], ["" 131.657"", "" 123.648"", ""  64.431""], ["" 133.470"", "" 124.978"", ""  63.989""], ["" 130.854"", "" 123.577"", ""  65.040""], ["" 132.066"", "" 125.680"", ""  65.773""], ["" 130.942"", "" 125.167"", ""  66.500""], ["" 130.033"", "" 126.033"", ""  67.090""], ["" 128.176"", "" 127.586"", ""  66.923""], ["" 129.088"", "" 126.705"", ""  66.296""], ["" 128.250"", "" 127.731"", ""  68.315""], ["" 129.059"", "" 126.456"", ""  64.854""], ["" 129.207"", "" 127.029"", ""  69.057""], ["" 130.090"", "" 126.200"", ""  68.441""], ["" 129.038"", "" 126.258"", ""  63.714""], ["" 127.140"", "" 128.370"", ""  66.188""], ["" 125.198"", "" 129.832"", ""  64.774""], ["" 126.523"", "" 129.815"", ""  64.343""], ["" 124.845"", "" 129.105"", ""  65.922""], ["" 127.486"", "" 129.089"", ""  65.039""], ["" 125.809"", "" 128.381"", ""  66.617""], ["" 124.312"", "" 130.579"", ""  64.021""], ["" 124.819"", "" 131.572"", ""  63.137""], ["" 129.338"", "" 127.160"", ""  70.548""], ["" 128.957"", "" 126.114"", ""  71.401""], ["" 129.851"", "" 128.329"", ""  71.134""], ["" 129.075"", "" 126.233"", ""  72.782""], ["" 129.969"", "" 128.451"", ""  72.515""], ["" 129.579"", "" 127.399"", ""  73.354""], ["" 129.660"", "" 127.428"", ""  74.733""], ["" 128.545"", "" 126.989"", ""  75.503""], ["" 131.754"", "" 122.607"", ""  63.489""], ["" 132.925"", "" 122.242"", ""  62.808""], ["" 130.574"", "" 121.904"", ""  63.245""], ["" 132.903"", "" 121.191"", ""  61.894""], ["" 130.554"", "" 120.853"", ""  62.333""], ["" 131.717"", "" 120.483"", ""  61.646""], ["" 131.661"", "" 119.345"", ""  60.667""], ["" 131.040"", "" 118.299"", ""  60.880""], ["" 132.360"", "" 119.582"", ""  59.528""], ["" 133.467"", "" 118.767"", ""  59.163""], ["" 134.491"", "" 118.758"", ""  60.302""]]",[],1aa_Ghoteimi_2023
3,836,1b_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,7,-8.44,-0.24114285714285713,0.0,0.0,5,185.2,-10.82,-10.54,-0.28,-10.82,0.0,-1.67,2.39,-1.67,46,9,0.0,0.0,0.0,12.972702,8.25929,5.53087,-0.98709682,0.13054484,0.09272491,109.479073,"42.384109, 331.377716, 256.782013, 340.126373, 101.399727, 194.75618, 50.41481, 164.284348, ","[["" 131.115"", "" 124.968"", ""  64.458""], ["" 132.474"", "" 124.861"", ""  64.072""], ["" 133.545"", "" 125.160"", ""  65.027""], ["" 134.390"", "" 125.396"", ""  65.783""], ["" 132.758"", "" 124.402"", ""  62.766""], ["" 131.784"", "" 124.023"", ""  61.904""], ["" 130.479"", "" 124.116"", ""  62.270""], ["" 130.129"", "" 124.583"", ""  63.541""], ["" 130.668"", "" 125.461"", ""  65.795""], ["" 129.805"", "" 126.398"", ""  68.301""], ["" 129.055"", "" 125.451"", ""  67.603""], ["" 130.994"", "" 126.881"", ""  67.734""], ["" 129.481"", "" 124.988"", ""  66.361""], ["" 131.416"", "" 126.417"", ""  66.492""], ["" 129.306"", "" 126.800"", ""  69.526""], ["" 129.345"", "" 128.180"", ""  69.872""], ["" 134.401"", "" 124.213"", ""  62.108""], ["" 134.413"", "" 122.732"", ""  61.043""], ["" 133.543"", "" 121.568"", ""  61.539""], ["" 133.085"", "" 120.752"", ""  60.563""], ["" 133.308"", "" 121.425"", ""  62.741""], ["" 133.337"", "" 120.979"", ""  59.613""], ["" 132.281"", "" 119.628"", ""  60.716""], ["" 132.677"", "" 118.370"", ""  60.617""], ["" 130.917"", "" 119.701"", ""  60.997""], ["" 131.552"", "" 117.575"", ""  60.839""], ["" 130.496"", "" 118.392"", ""  61.068""], ["" 129.463"", "" 123.687"", ""  61.248""], ["" 129.863"", "" 123.156"", ""  60.012""], ["" 128.086"", "" 123.795"", ""  61.498""], ["" 128.926"", "" 122.755"", ""  59.065""], ["" 127.146"", "" 123.394"", ""  60.554""], ["" 127.561"", "" 122.868"", ""  59.323""], ["" 126.704"", "" 122.444"", ""  58.325""], ["" 125.645"", "" 123.299"", ""  57.911""]]",[],1b_Ghoteimi_2023
4,806,1b_Grossjean_2025,4h2i_c_1_mae_prepped,1,13,-7.24,-0.2784615384615385,0.0,0.0,1,188.64,-9.03,-8.73,-0.29,-9.03,0.0,-1.6,1.79,-1.6,35,5,0.0,0.0,0.0,12.396555,7.573201,5.066293,0.75046207,-0.26330072,0.6062008,226.401321,"98.677505, 228.610367, 169.924408, 262.457123, 223.065018, 20.080103, ","[["" 133.525"", "" 124.407"", ""  62.849""], ["" 132.240"", "" 124.424"", ""  63.265""], ["" 134.493"", "" 124.799"", ""  63.500""], ["" 131.558"", "" 124.074"", ""  62.608""], ["" 133.753"", "" 123.835"", ""  61.449""], ["" 134.020"", "" 122.036"", ""  61.478""], ["" 132.419"", "" 121.261"", ""  61.424""], ["" 130.880"", "" 119.439"", ""  61.010""], ["" 132.206"", "" 119.928"", ""  61.001""], ["" 129.845"", "" 120.275"", ""  61.440""], ["" 133.311"", "" 119.057"", ""  60.595""], ["" 130.149"", "" 121.568"", ""  61.861""], ["" 134.182"", "" 118.366"", ""  60.275""], ["" 131.411"", "" 122.057"", ""  61.861""], ["" 130.524"", "" 118.020"", ""  60.569""], ["" 129.072"", "" 122.519"", ""  62.348""], ["" 131.685"", "" 124.872"", ""  64.479""], ["" 130.412"", "" 124.386"", ""  64.776""], ["" 132.314"", "" 125.746"", ""  65.378""], ["" 129.768"", "" 124.762"", ""  65.951""], ["" 131.669"", "" 126.122"", ""  66.553""], ["" 130.390"", "" 125.636"", ""  66.856""], ["" 129.726"", "" 126.062"", ""  68.134""], ["" 129.128"", "" 125.280"", ""  68.880""], ["" 129.843"", "" 127.391"", ""  68.382""], ["" 128.962"", "" 128.328"", ""  67.775""]]",[],1b_Grossjean_2025
5,10707,1c_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,15,-7.6,-0.21714285714285714,0.0,0.0,1,192.38,-9.99,-9.64,-0.35,-9.99,0.0,-2.55,2.39,-2.55,54,3,0.0,0.0,0.0,8.262523,13.584545,7.30979,0.11275741,0.79045192,-0.60205608,185.727036,"318.875977, 333.458252, 232.826187, 273.853851, 343.431122, 98.160492, 208.544434, 169.976364, ","[["" 127.274"", "" 129.547"", ""  64.994""], ["" 125.891"", "" 129.710"", ""  64.744""], ["" 124.891"", "" 129.355"", ""  65.756""], ["" 124.104"", "" 129.075"", ""  66.557""], ["" 125.504"", "" 130.238"", ""  63.495""], ["" 126.398"", "" 130.569"", ""  62.532""], ["" 127.725"", "" 130.376"", ""  62.753""], ["" 128.179"", "" 129.873"", ""  63.977""], ["" 127.832"", "" 129.079"", ""  66.297""], ["" 128.927"", "" 128.204"", ""  68.732""], ["" 128.637"", "" 129.553"", ""  68.532""], ["" 128.669"", "" 127.289"", ""  67.700""], ["" 128.097"", "" 129.988"", ""  67.325""], ["" 128.129"", "" 127.726"", ""  66.494""], ["" 129.461"", "" 127.863"", ""  69.960""], ["" 129.012"", "" 126.677"", ""  70.608""], ["" 123.818"", "" 130.655"", ""  63.108""], ["" 123.755"", "" 130.702"", ""  61.287""], ["" 124.520"", "" 131.900"", ""  60.713""], ["" 125.145"", "" 132.675"", ""  61.627""], ["" 124.497"", "" 132.112"", ""  59.500""], ["" 125.094"", "" 132.387"", ""  62.592""], ["" 125.770"", "" 133.890"", ""  61.393""], ["" 126.948"", "" 134.287"", ""  61.823""], ["" 124.940"", "" 135.021"", ""  60.375""], ["" 127.246"", "" 135.491"", ""  61.373""], ["" 126.295"", "" 136.095"", ""  60.556""], ["" 128.655"", "" 130.767"", ""  61.641""], ["" 130.018"", "" 130.433"", ""  61.678""], ["" 128.188"", "" 131.482"", ""  60.529""], ["" 130.876"", "" 130.794"", ""  60.643""], ["" 129.042"", "" 131.843"", ""  59.491""], ["" 130.400"", "" 131.499"", ""  59.541""], ["" 131.321"", "" 131.812"", ""  58.559""], ["" 132.451"", "" 130.968"", ""  58.370""]]",[],1c_Ghoteimi_2023
6,730,1c_Grossjean_2025,4h2i_c_1_mae_prepped,1,11,-6.8,-0.2833333333333333,0.0,0.0,6,190.33,-8.29,-8.07,-0.22,-8.29,0.0,-1.66,1.49,-1.66,31,8,0.0,0.0,0.0,10.377181,8.997918,9.152339,-0.81078031,-0.58191175,0.06335622,175.227219,"181.549591, 134.190399, 116.488495, 56.36404, 347.53714, ","[["" 128.474"", "" 126.514"", ""  67.811""], ["" 128.492"", "" 127.342"", ""  66.745""], ["" 127.489"", "" 126.264"", ""  68.505""], ["" 129.360"", "" 127.390"", ""  66.232""], ["" 129.809"", "" 125.845"", ""  68.144""], ["" 131.203"", "" 126.667"", ""  67.318""], ["" 131.379"", "" 125.973"", ""  65.687""], ["" 132.580"", "" 124.945"", ""  63.851""], ["" 132.594"", "" 125.470"", ""  65.164""], ["" 131.379"", "" 124.929"", ""  63.133""], ["" 133.830"", "" 125.446"", ""  65.950""], ["" 130.224"", "" 125.421"", ""  63.736""], ["" 134.806"", "" 125.427"", ""  66.570""], ["" 130.215"", "" 125.930"", ""  64.990""], ["" 133.830"", "" 124.384"", ""  63.175""], ["" 128.888"", "" 125.415"", ""  63.017""], ["" 127.450"", "" 128.111"", ""  66.192""], ["" 126.149"", "" 128.184"", ""  66.713""], ["" 127.778"", "" 128.861"", ""  65.061""], ["" 125.196"", "" 128.986"", ""  66.093""], ["" 126.822"", "" 129.662"", ""  64.444""], ["" 125.517"", "" 129.728"", ""  64.957""], ["" 124.503"", "" 130.492"", ""  64.412""], ["" 124.143"", "" 130.298"", ""  63.049""]]",[],1c_Grossjean_2025
7,10572,1d_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,17,-7.0,-0.23333333333333334,0.0,0.0,9,191.9,-9.38,-8.76,-0.62,-9.38,0.0,-1.09,2.39,-1.09,42,8,0.0,0.0,0.0,9.595141,10.203063,9.904572,0.85739204,-0.18295227,-0.48104819,130.20639,"248.845917, 181.949493, 80.181076, 84.409592, 26.934048, 198.478287, 161.129791, 347.757385, ","[["" 130.897"", "" 125.134"", ""  65.789""], ["" 129.724"", "" 126.254"", ""  66.522""], ["" 127.918"", "" 127.871"", ""  66.492""], ["" 128.782"", "" 127.002"", ""  65.781""], ["" 128.015"", "" 127.912"", ""  67.888""], ["" 128.653"", "" 126.842"", ""  64.329""], ["" 128.945"", "" 127.113"", ""  68.563""], ["" 128.551"", "" 126.716"", ""  63.184""], ["" 129.787"", "" 126.302"", ""  67.874""], ["" 126.897"", "" 128.745"", ""  65.837""], ["" 124.990"", "" 130.393"", ""  64.590""], ["" 126.335"", "" 130.468"", ""  64.228""], ["" 124.599"", "" 129.477"", ""  65.578""], ["" 127.280"", "" 129.651"", ""  64.843""], ["" 125.546"", "" 128.660"", ""  66.190""], ["" 124.125"", "" 131.246"", ""  63.932""], ["" 123.843"", "" 131.024"", ""  62.555""], ["" 129.084"", "" 127.112"", ""  70.058""], ["" 129.699"", "" 128.178"", ""  70.733""], ["" 128.609"", "" 126.039"", ""  70.827""], ["" 129.832"", "" 128.172"", ""  72.119""], ["" 128.742"", "" 126.028"", ""  72.212""], ["" 129.358"", "" 127.101"", ""  72.872""], ["" 129.537"", "" 127.178"", ""  74.240""], ["" 130.623"", "" 126.479"", ""  74.838""], ["" 132.338"", "" 126.124"", ""  65.290""], ["" 133.499"", "" 125.161"", ""  65.056""], ["" 133.625"", "" 124.555"", ""  63.991""], ["" 134.320"", "" 125.080"", ""  66.123""], ["" 133.880"", "" 125.499"", ""  67.406""]]",[],1d_Ghoteimi_2023
8,727,1d_Grossjean_2025,4h2i_c_1_mae_prepped,1,15,-7.25,-0.32954545454545453,0.0,0.0,2,186.34,-8.45,-8.29,-0.15,-8.45,0.0,-0.58,1.19,-0.58,39,6,0.0,0.0,0.0,8.635102,7.128102,7.007554,0.30466786,0.66464292,-0.68222232,144.353455,"159.846405, 127.085693, 36.997265, 17.66934, ","[["" 129.722"", "" 125.012"", ""  63.300""], ["" 130.206"", "" 125.487"", ""  64.944""], ["" 131.784"", "" 125.868"", ""  66.742""], ["" 131.542"", "" 125.462"", ""  65.410""], ["" 130.706"", "" 126.258"", ""  67.544""], ["" 132.649"", "" 125.003"", ""  64.567""], ["" 129.419"", "" 126.230"", ""  67.011""], ["" 133.525"", "" 124.640"", ""  63.904""], ["" 129.165"", "" 125.848"", ""  65.737""], ["" 133.183"", "" 125.893"", ""  67.354""], ["" 128.210"", "" 126.631"", ""  67.833""], ["" 129.067"", "" 123.318"", ""  63.395""], ["" 128.175"", "" 122.977"", ""  62.200""], ["" 127.049"", "" 123.714"", ""  62.090""], ["" 128.509"", "" 122.065"", ""  61.442""], ["" 126.891"", "" 124.394"", ""  62.820""], ["" 126.035"", "" 123.673"", ""  61.115""], ["" 126.437"", "" 123.974"", ""  59.811""], ["" 124.694"", "" 123.337"", ""  61.367""], ["" 125.514"", "" 123.957"", ""  58.769""], ["" 123.774"", "" 123.319"", ""  60.323""], ["" 124.186"", "" 123.630"", ""  59.030""]]",[],1d_Grossjean_2025
9,776,1e_Grossjean_2025,4h2i_c_1_mae_prepped,1,5,-7.28,-0.3165217391304348,0.0,0.0,2,186.71,-8.47,-8.17,-0.3,-8.47,0.0,-1.09,1.19,-1.09,40,9,0.0,0.0,0.0,14.080924,7.174047,3.147579,0.45061827,-0.8464279,0.28373049,120.523514,"214.490417, 204.613419, 87.160408, 356.605957, ","[["" 134.342"", "" 123.486"", ""  60.459""], ["" 133.129"", "" 122.775"", ""  59.307""], ["" 131.813"", "" 122.031"", ""  60.252""], ["" 130.638"", "" 120.209"", ""  61.333""], ["" 131.742"", "" 120.654"", ""  60.570""], ["" 129.679"", "" 121.136"", ""  61.755""], ["" 132.784"", "" 119.705"", ""  60.170""], ["" 129.842"", "" 122.478"", ""  61.419""], ["" 133.607"", "" 118.954"", ""  59.856""], ["" 130.890"", "" 122.925"", ""  60.687""], ["" 130.445"", "" 118.746"", ""  61.730""], ["" 128.848"", "" 123.533"", ""  61.863""], ["" 133.804"", "" 123.549"", ""  61.890""], ["" 133.534"", "" 124.786"", ""  62.363""], ["" 133.671"", "" 122.504"", ""  62.529""], ["" 133.753"", "" 125.561"", ""  61.755""], ["" 133.048"", "" 125.151"", ""  63.631""], ["" 133.845"", "" 125.145"", ""  64.739""], ["" 131.694"", "" 125.501"", ""  63.702""], ["" 133.303"", "" 125.497"", ""  65.933""], ["" 131.151"", "" 125.862"", ""  64.938""], ["" 131.961"", "" 125.862"", ""  66.074""], ["" 134.247"", "" 125.470"", ""  67.120""]]",[],1e_Grossjean_2025
