,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,12791,ZINC100024116,4h2i_c_2_mae_prepped,2,13,-5.42,-0.45166666666666666,0.0,0.0,20,192.91,-5.42,-5.4,-0.02,-5.42,0.0,0.0,0.0,0.0,24,0,0.0,0.0,0.0,13.862676,17.377401,2.96906,0.59452701,0.71682807,0.36427346,134.020599,,"[["" 128.743"", "" 130.408"", ""  56.402""], ["" 128.875"", "" 131.915"", ""  57.365""], ["" 129.296"", "" 131.581"", ""  58.825""], ["" 128.941"", "" 133.000"", ""  59.857""], ["" 130.800"", "" 131.215"", ""  58.988""], ["" 131.098"", "" 129.551"", ""  58.388""], ["" 131.729"", "" 132.237"", ""  58.278""], ["" 133.439"", "" 131.723"", ""  58.416""], ["" 131.336"", "" 132.490"", ""  56.799""], ["" 132.372"", "" 133.788"", ""  56.130""], ["" 129.849"", "" 132.920"", ""  56.692""], ["" 129.375"", "" 133.201"", ""  54.988""]]",[],ZINC100024116
1,5249,ZINC100034590,4h2i_c_2_mae_prepped,1,6,-4.07,-0.14535714285714288,0.0,0.0,13,183.47,-6.75,-6.73,-0.02,-6.75,0.0,-0.78,2.68,-0.78,64,3,0.0,0.0,0.0,11.598182,8.921919,6.55209,-0.77396651,0.44231674,-0.45313546,196.696671,"257.017822, 158.912308, 321.827362, 322.942383, 222.429581, 6.884243, 12.034013, 100.099884, 273.238617, ","[["" 128.380"", "" 123.081"", ""  61.092""], ["" 127.914"", "" 121.829"", ""  61.001""], ["" 127.974"", "" 123.888"", ""  59.973""], ["" 128.243"", "" 123.455"", ""  58.637""], ["" 128.242"", "" 122.120"", ""  58.607""], ["" 129.443"", "" 123.877"", ""  58.230""], ["" 127.128"", "" 124.014"", ""  57.734""], ["" 127.525"", "" 125.058"", ""  57.004""], ["" 126.043"", "" 124.373"", ""  58.424""], ["" 126.561"", "" 122.682"", ""  56.505""], ["" 127.680"", "" 121.817"", ""  56.113""], ["" 125.616"", "" 123.234"", ""  55.528""], ["" 125.666"", "" 121.804"", ""  57.540""], ["" 129.934"", "" 123.061"", ""  61.119""], ["" 130.409"", "" 122.747"", ""  62.324""], ["" 130.433"", "" 122.166"", ""  60.265""], ["" 130.455"", "" 124.242"", ""  60.783""], ["" 127.752"", "" 123.752"", ""  62.344""], ["" 128.501"", "" 123.555"", ""  63.433""], ["" 127.654"", "" 125.072"", ""  62.158""], ["" 126.447"", "" 123.196"", ""  62.540""], ["" 125.357"", "" 123.683"", ""  61.748""], ["" 125.347"", "" 125.019"", ""  61.744""], ["" 125.479"", "" 123.266"", ""  60.486""], ["" 124.056"", "" 123.140"", ""  62.370""], ["" 123.001"", "" 123.430"", ""  61.608""], ["" 124.093"", "" 121.814"", ""  62.507""], ["" 123.831"", "" 123.668"", ""  63.574""]]",[],ZINC100034590
2,9601,ZINC100043079,4h2i_c_2_mae_prepped,1,12,-2.79,-0.10333333333333333,0.0,0.0,15,190.09,-3.68,-3.73,0.05,-3.68,0.0,-0.03,0.89,-0.03,61,0,0.0,0.0,0.0,14.976302,19.303521,1.942201,-0.17795098,-0.93379312,0.31042528,66.354134,"323.026001, 356.257965, 235.936569, ","[["" 129.703"", "" 132.405"", ""  55.540""], ["" 130.594"", "" 131.681"", ""  54.856""], ["" 129.303"", "" 133.384"", ""  54.722""], ["" 128.480"", "" 131.501"", ""  55.851""], ["" 128.805"", "" 130.209"", ""  55.881""], ["" 127.527"", "" 131.646"", ""  54.928""], ["" 127.929"", "" 131.790"", ""  57.031""], ["" 130.385"", "" 133.021"", ""  56.807""], ["" 131.413"", "" 133.764"", ""  56.388""], ["" 129.527"", "" 133.895"", ""  57.340""], ["" 130.855"", "" 131.950"", ""  57.888""], ["" 130.197"", "" 132.151"", ""  59.301""], ["" 132.417"", "" 131.866"", ""  58.053""], ["" 130.651"", "" 131.094"", ""  60.352""], ["" 132.872"", "" 130.809"", ""  59.103""], ["" 132.198"", "" 131.044"", ""  60.481""], ["" 130.477"", "" 130.728"", ""  57.494""], ["" 130.519"", "" 133.364"", ""  59.760""], ["" 128.866"", "" 132.122"", ""  59.196""], ["" 132.989"", "" 131.593"", ""  56.877""], ["" 132.876"", "" 133.062"", ""  58.435""], ["" 130.103"", "" 131.363"", ""  61.540""], ["" 130.208"", "" 129.889"", ""  59.981""], ["" 134.201"", "" 130.838"", ""  59.236""], ["" 132.550"", "" 129.589"", ""  58.664""], ["" 132.628"", "" 132.206"", ""  60.981""], ["" 132.558"", "" 130.088"", ""  61.340""]]",[],ZINC100043079
3,13056,ZINC100045963,4h2i_c_2_mae_prepped,1,8,-8.84,-0.2326315789473684,0.0,0.0,2,187.43,-11.82,-10.78,-1.04,-11.82,0.0,-2.36,2.98,-2.36,79,12,0.0,0.0,0.0,13.403963,10.008913,16.038938,-0.31172817,-0.90219406,0.2981131,295.645081,"9.522943, 71.828949, 98.53006, 337.861389, 173.148499, 345.787415, 350.509003, 304.354675, 201.987442, 355.349121, ","[["" 126.883"", "" 128.454"", ""  75.196""], ["" 125.956"", "" 128.432"", ""  76.422""], ["" 124.587"", "" 129.079"", ""  76.152""], ["" 124.430"", "" 130.452"", ""  76.827""], ["" 122.999"", "" 131.002"", ""  76.743""], ["" 126.557"", "" 127.347"", ""  74.359""], ["" 127.249"", "" 127.163"", ""  73.177""], ["" 128.474"", "" 127.820"", ""  73.066""], ["" 126.799"", "" 126.368"", ""  72.112""], ["" 129.236"", "" 127.704"", ""  71.908""], ["" 127.562"", "" 126.250"", ""  70.953""], ["" 128.773"", "" 126.932"", ""  70.838""], ["" 129.567"", "" 126.794"", ""  69.609""], ["" 129.268"", "" 127.234"", ""  68.364""], ["" 130.150"", "" 127.142"", ""  67.190""], ["" 128.043"", "" 127.876"", ""  67.839""], ["" 131.442"", "" 126.616"", ""  67.106""], ["" 129.516"", "" 127.651"", ""  66.056""], ["" 128.232"", "" 128.252"", ""  66.506""], ["" 126.827"", "" 128.144"", ""  68.474""], ["" 132.108"", "" 126.543"", ""  65.878""], ["" 130.124"", "" 127.473"", ""  64.795""], ["" 127.277"", "" 129.083"", ""  65.883""], ["" 125.814"", "" 128.860"", ""  67.826""], ["" 131.426"", "" 126.962"", ""  64.730""], ["" 126.067"", "" 129.341"", ""  66.538""], ["" 133.485"", "" 125.996"", ""  65.790""], ["" 133.867"", "" 125.539"", ""  64.716""], ["" 134.193"", "" 126.020"", ""  66.792""], ["" 129.413"", "" 127.698"", ""  63.524""], ["" 128.305"", "" 127.189"", ""  63.381""], ["" 129.942"", "" 128.431"", ""  62.695""], ["" 127.534"", "" 129.784"", ""  64.612""], ["" 128.492"", "" 130.548"", ""  64.565""], ["" 126.749"", "" 129.611"", ""  63.684""], ["" 124.525"", "" 129.137"", ""  68.505""], ["" 123.728"", "" 129.899"", ""  67.964""], ["" 124.298"", "" 128.596"", ""  69.584""]]",[],ZINC100045963
4,11845,ZINC100046143,4h2i_c_2_mae_prepped,1,4,-3.39,-0.11689655172413793,0.0,0.0,2,187.47,-7.27,-7.01,-0.26,-7.27,0.0,-0.5,3.88,-0.5,55,2,0.0,0.0,0.0,8.79983,14.730426,2.848861,-0.02586866,-0.02368238,0.99938479,139.572357,"283.238617, 118.704567, 205.292099, 140.894394, 291.335999, 224.654358, 323.87735, 5.661355, 98.346687, 9.509059, 275.681183, 18.541025, 256.352081, ","[["" 125.285"", "" 127.818"", ""  57.601""], ["" 126.413"", "" 126.768"", ""  57.619""], ["" 126.023"", "" 125.488"", ""  58.382""], ["" 124.597"", "" 125.009"", ""  58.064""], ["" 124.582"", "" 123.681"", ""  57.281""], ["" 125.637"", "" 123.616"", ""  56.325""], ["" 126.534"", "" 122.591"", ""  56.316""], ["" 126.684"", "" 121.807"", ""  55.377""], ["" 127.334"", "" 122.478"", ""  57.535""], ["" 128.397"", "" 123.252"", ""  57.828""], ["" 125.781"", "" 129.285"", ""  57.674""], ["" 124.763"", "" 130.069"", ""  58.040""], ["" 126.699"", "" 129.387"", ""  58.637""], ["" 126.371"", "" 129.768"", ""  56.313""], ["" 127.061"", "" 128.764"", ""  55.764""], ["" 125.364"", "" 130.016"", ""  55.471""], ["" 127.283"", "" 131.034"", ""  56.431""], ["" 127.078"", "" 131.824"", ""  55.375""], ["" 126.910"", "" 131.749"", ""  57.495""], ["" 128.809"", "" 130.702"", ""  56.541""], ["" 128.992"", "" 129.757"", ""  57.467""], ["" 129.231"", "" 130.167"", ""  55.392""], ["" 129.699"", "" 131.938"", ""  56.886""], ["" 129.086"", "" 132.707"", ""  57.789""], ["" 130.839"", "" 131.538"", ""  57.456""], ["" 130.050"", "" 132.816"", ""  55.656""], ["" 130.912"", "" 133.781"", ""  55.979""], ["" 130.607"", "" 132.103"", ""  54.675""], ["" 128.972"", "" 133.407"", ""  55.140""]]",[],ZINC100046143
5,12113,ZINC100050078,4h2i_c_2_mae_prepped,1,14,-9.12,-0.2533333333333333,0.0,0.0,1,185.3,-11.8,-11.91,0.1,-11.8,0.0,-2.49,2.68,-2.49,70,4,0.0,0.0,0.0,9.357548,10.808898,9.189458,0.56276641,0.74631752,0.35539293,242.500534,"101.859566, 39.105217, 45.538704, 265.731354, 3.986057, 317.477325, 10.21133, 90.520866, 95.372574, ","[["" 124.864"", "" 123.979"", ""  59.442""], ["" 125.090"", "" 123.592"", ""  57.977""], ["" 124.515"", "" 124.201"", ""  57.073""], ["" 125.946"", "" 122.557"", ""  57.814""], ["" 126.885"", "" 122.555"", ""  56.746""], ["" 126.166"", "" 122.212"", ""  55.438""], ["" 126.019"", "" 124.609"", ""  59.992""], ["" 127.051"", "" 123.824"", ""  60.475""], ["" 128.144"", "" 123.413"", ""  59.695""], ["" 126.979"", "" 123.428"", ""  61.817""], ["" 129.153"", "" 122.630"", ""  60.245""], ["" 128.003"", "" 122.631"", ""  62.356""], ["" 129.105"", "" 122.237"", ""  61.587""], ["" 125.880"", "" 123.857"", ""  62.541""], ["" 124.682"", "" 123.088"", ""  62.520""], ["" 130.226"", "" 121.374"", ""  62.222""], ["" 131.255"", "" 122.270"", ""  63.042""], ["" 132.027"", "" 123.314"", ""  62.180""], ["" 130.663"", "" 122.774"", ""  64.393""], ["" 132.204"", "" 123.192"", ""  60.970""], ["" 132.599"", "" 124.533"", ""  62.921""], ["" 131.297"", "" 124.031"", ""  65.007""], ["" 129.743"", "" 122.200"", ""  64.975""], ["" 131.645"", "" 125.140"", ""  63.981""], ["" 132.429"", "" 126.236"", ""  64.733""], ["" 130.358"", "" 125.699"", ""  63.315""], ["" 130.872"", "" 120.331"", ""  61.216""], ["" 132.403"", "" 120.159"", ""  61.350""], ["" 130.217"", "" 118.928"", ""  61.221""], ["" 133.092"", "" 120.638"", ""  62.250""], ["" 133.004"", "" 119.278"", ""  60.240""], ["" 130.761"", "" 118.008"", ""  60.115""], ["" 129.355"", "" 118.559"", ""  62.016""], ["" 132.320"", "" 117.876"", ""  60.138""], ["" 132.748"", "" 117.254"", ""  58.793""], ["" 132.743"", "" 117.007"", ""  61.350""]]",[],ZINC100050078
6,7133,ZINC100050142,4h2i_c_2_mae_prepped,1,11,-8.14,-0.22000000000000003,0.0,0.0,1,192.36,-11.72,-10.98,-0.74,-11.72,0.0,-3.18,3.58,-3.18,49,17,0.0,0.0,0.0,11.703464,16.24819,9.153988,0.85897762,0.11710926,-0.49844043,194.446335,"341.623627, 308.063477, 117.06765, 38.969933, 89.621223, 261.450195, 157.283554, 300.459351, 165.105545, 195.119034, 126.674217, 23.440754, ","[["" 129.203"", "" 132.623"", ""  61.948""], ["" 128.508"", "" 132.198"", ""  63.092""], ["" 128.605"", "" 130.888"", ""  63.606""], ["" 129.435"", "" 129.982"", ""  62.912""], ["" 130.145"", "" 130.405"", ""  61.779""], ["" 130.031"", "" 131.703"", ""  61.280""], ["" 129.138"", "" 133.923"", ""  61.472""], ["" 128.031"", "" 134.753"", ""  61.804""], ["" 130.781"", "" 132.020"", ""  60.121""], ["" 132.248"", "" 131.989"", ""  60.154""], ["" 132.892"", "" 131.819"", ""  61.545""], ["" 132.318"", "" 132.641"", ""  62.538""], ["" 131.993"", "" 132.081"", ""  63.247""], ["" 130.147"", "" 131.591"", ""  58.873""], ["" 131.035"", "" 131.780"", ""  57.631""], ["" 130.830"", "" 133.083"", ""  56.982""], ["" 130.670"", "" 134.109"", ""  56.470""], ["" 127.919"", "" 130.448"", ""  64.763""], ["" 127.195"", "" 129.412"", ""  64.642""], ["" 126.582"", "" 129.089"", ""  65.856""], ["" 127.363"", "" 128.501"", ""  66.873""], ["" 125.210"", "" 129.354"", ""  66.118""], ["" 126.805"", "" 128.159"", ""  68.101""], ["" 124.680"", "" 128.992"", ""  67.369""], ["" 125.457"", "" 128.396"", ""  68.368""], ["" 129.049"", "" 128.173"", ""  66.641""], ["" 124.299"", "" 130.005"", ""  65.125""], ["" 124.525"", "" 131.142"", ""  64.726""], ["" 123.320"", "" 129.376"", ""  64.732""], ["" 124.865"", "" 128.029"", ""  69.679""], ["" 125.487"", "" 127.265"", ""  70.412""], ["" 123.777"", "" 128.505"", ""  69.986""], ["" 129.565"", "" 128.666"", ""  63.413""], ["" 130.227"", "" 127.620"", ""  62.873""], ["" 130.822"", "" 127.635"", ""  61.796""], ["" 128.998"", "" 128.468"", ""  64.224""], ["" 130.179"", "" 126.322"", ""  63.674""]]",[],ZINC100050142
7,4498,ZINC100052783,4h2i_c_2_mae_prepped,1,14,-10.14,-0.21574468085106385,0.0,0.0,16,183.14,-13.72,-13.58,-0.14,-13.72,0.0,-2.73,3.58,-2.73,69,6,0.0,0.0,0.0,14.407973,10.170541,4.742488,-0.81698585,0.57611479,-0.02501739,271.407227,"328.784027, 35.121414, 125.240128, 143.077499, 192.009644, 153.325455, 235.378296, 294.427429, 56.922436, 64.497734, 33.639278, 35.226334, ","[["" 131.354"", "" 125.591"", ""  58.301""], ["" 132.724"", "" 125.384"", ""  58.148""], ["" 133.352"", "" 124.759"", ""  59.224""], ["" 132.514"", "" 124.435"", ""  60.292""], ["" 130.902"", "" 124.978"", ""  59.877""], ["" 130.330"", "" 126.234"", ""  57.341""], ["" 128.976"", "" 125.480"", ""  57.441""], ["" 126.498"", "" 124.107"", ""  57.619""], ["" 126.577"", "" 125.494"", ""  57.823""], ["" 127.691"", "" 123.421"", ""  57.338""], ["" 127.791"", "" 126.167"", ""  57.737""], ["" 128.907"", "" 124.094"", ""  57.253""], ["" 125.255"", "" 123.417"", ""  57.706""], ["" 124.917"", "" 122.394"", ""  56.715""], ["" 124.134"", "" 124.016"", ""  58.432""], ["" 130.886"", "" 126.085"", ""  56.037""], ["" 130.866"", "" 125.154"", ""  55.806""], ["" 130.126"", "" 127.750"", ""  57.602""], ["" 129.311"", "" 128.548"", ""  56.788""], ["" 130.796"", "" 128.360"", ""  58.669""], ["" 129.162"", "" 129.908"", ""  57.045""], ["" 130.647"", "" 129.720"", ""  58.924""], ["" 129.824"", "" 130.524"", ""  58.120""], ["" 129.676"", "" 131.917"", ""  58.376""], ["" 129.787"", "" 132.880"", ""  57.279""], ["" 129.880"", "" 132.439"", ""  59.728""], ["" 132.843"", "" 123.747"", ""  61.636""], ["" 134.255"", "" 123.825"", ""  61.789""], ["" 134.513"", "" 124.749"", ""  61.745""], ["" 132.213"", "" 124.476"", ""  62.854""], ["" 133.055"", "" 124.994"", ""  63.846""], ["" 130.831"", "" 124.665"", ""  62.998""], ["" 132.537"", "" 125.660"", ""  64.952""], ["" 130.314"", "" 125.333"", ""  64.103""], ["" 131.153"", "" 125.842"", ""  65.107""], ["" 130.621"", "" 126.529"", ""  66.235""], ["" 129.749"", "" 127.689"", ""  66.044""], ["" 130.545"", "" 125.859"", ""  67.534""], ["" 132.425"", "" 122.254"", ""  61.533""], ["" 131.081"", "" 121.857"", ""  61.529""], ["" 133.407"", "" 121.263"", ""  61.412""], ["" 130.735"", "" 120.514"", ""  61.422""], ["" 133.060"", "" 119.920"", ""  61.302""], ["" 131.716"", "" 119.515"", ""  61.305""], ["" 131.361"", "" 118.140"", ""  61.198""], ["" 130.807"", "" 117.620"", ""  59.947""], ["" 131.957"", "" 117.159"", ""  62.105""]]",[],ZINC100052783
8,11906,ZINC100053898,4h2i_c_2_mae_prepped,1,15,-10.93,-0.2541860465116279,0.0,0.0,1,188.17,-14.81,-13.57,-1.24,-14.81,0.0,-2.08,3.88,-2.08,68,13,0.0,0.0,0.0,9.8129,8.021446,18.920929,-0.11686227,0.76517662,-0.63312554,115.734268,"59.803318, 83.012856, 282.599731, 258.748291, 325.391785, 327.967133, 203.810028, 192.565857, 211.64151, 61.953686, 142.655563, 89.432594, 345.878876, ","[["" 128.425"", "" 123.171"", ""  73.783""], ["" 127.811"", "" 122.195"", ""  74.480""], ["" 127.764"", "" 122.124"", ""  75.711""], ["" 128.428"", "" 123.188"", ""  72.773""], ["" 129.046"", "" 124.202"", ""  74.386""], ["" 130.044"", "" 124.635"", ""  73.726""], ["" 130.884"", "" 125.757"", ""  74.170""], ["" 132.739"", "" 126.566"", ""  75.553""], ["" 131.904"", "" 125.527"", ""  75.103""], ["" 132.529"", "" 127.858"", ""  75.054""], ["" 131.518"", "" 128.103"", ""  74.128""], ["" 130.704"", "" 127.063"", ""  73.690""], ["" 133.765"", "" 126.393"", ""  76.466""], ["" 135.042"", "" 125.951"", ""  76.018""], ["" 135.398"", "" 124.656"", ""  76.756""], ["" 133.317"", "" 128.903"", ""  75.467""], ["" 133.984"", "" 129.149"", ""  74.820""], ["" 127.138"", "" 121.089"", ""  73.637""], ["" 127.927"", "" 119.756"", ""  73.706""], ["" 128.997"", "" 119.690"", ""  74.786""], ["" 128.754"", "" 118.985"", ""  75.984""], ["" 130.239"", "" 120.328"", ""  74.591""], ["" 129.749"", "" 118.917"", ""  76.979""], ["" 131.233"", "" 120.262"", ""  75.588""], ["" 130.988"", "" 119.556"", ""  76.782""], ["" 131.950"", "" 119.491"", ""  77.748""], ["" 132.842"", "" 119.500"", ""  77.396""], ["" 125.749"", "" 120.869"", ""  74.058""], ["" 124.767"", "" 120.324"", ""  73.313""], ["" 124.946"", "" 119.922"", ""  72.160""], ["" 125.536"", "" 121.165"", ""  74.999""], ["" 123.413"", "" 120.189"", ""  73.978""], ["" 123.318"", "" 120.216"", ""  75.376""], ["" 122.236"", "" 120.032"", ""  73.231""], ["" 122.084"", "" 120.097"", ""  76.029""], ["" 120.985"", "" 119.910"", ""  73.851""], ["" 120.927"", "" 119.946"", ""  75.251""], ["" 122.002"", "" 120.130"", ""  77.510""], ["" 122.825"", "" 120.799"", ""  78.130""], ["" 121.115"", "" 119.490"", ""  78.066""], ["" 119.751"", "" 119.745"", ""  73.045""], ["" 119.657"", "" 118.770"", ""  72.303""], ["" 118.864"", "" 120.590"", ""  73.146""]]",[],ZINC100053898
9,47,ZINC100058471,4h2i_c_2_mae_prepped,1,16,-8.51,-0.37,0.0,0.0,13,185.88,-9.11,-9.02,-0.08,-9.11,0.0,-0.35,0.6,-0.35,38,1,0.0,0.0,0.0,10.749879,7.713261,5.280888,-0.91973278,0.39203308,-0.02004201,242.797363,"164.548859, 156.676926, ","[["" 130.482"", "" 121.848"", ""  61.020""], ["" 131.601"", "" 122.570"", ""  61.455""], ["" 132.766"", "" 121.913"", ""  61.856""], ["" 132.826"", "" 120.521"", ""  61.828""], ["" 131.723"", "" 119.787"", ""  61.399""], ["" 131.810"", "" 117.698"", ""  61.355""], ["" 130.559"", "" 120.445"", ""  60.998""], ["" 129.273"", "" 122.573"", ""  60.607""], ["" 128.987"", "" 123.760"", ""  60.994""], ["" 127.818"", "" 124.281"", ""  60.508""], ["" 128.757"", "" 125.613"", ""  58.831""], ["" 127.800"", "" 125.135"", ""  59.445""], ["" 126.339"", "" 125.466"", ""  59.163""], ["" 125.547"", "" 124.560"", ""  60.105""], ["" 125.818"", "" 125.077"", ""  57.741""], ["" 126.604"", "" 123.769"", ""  60.865""], ["" 124.635"", "" 123.727"", ""  59.146""], ["" 124.351"", "" 125.514"", ""  57.675""], ["" 125.512"", "" 123.612"", ""  57.926""], ["" 126.361"", "" 122.873"", ""  61.676""], ["" 123.648"", "" 124.710"", ""  58.510""], ["" 125.281"", "" 122.633"", ""  56.790""], ["" 126.497"", "" 122.488"", ""  57.676""]]",[],ZINC100058471
