,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,8972,ZINC100024116,receptor_tmp,2,7,-5.37,-0.4475,0.0,0.0,19,185.2,-5.37,-5.28,-0.09,-5.37,0.0,0.0,0.0,0.0,28,0,0.0,0.0,0.0,10.082885,9.363761,3.770286,0.19604822,0.84023019,-0.50554754,224.535934,,"[["" 128.416"", "" 122.748"", ""  59.993""], ["" 127.711"", "" 124.355"", ""  59.628""], ["" 128.230"", "" 124.870"", ""  58.255""], ["" 127.923"", "" 126.630"", ""  58.153""], ["" 127.572"", "" 124.180"", ""  57.025""], ["" 128.246"", "" 122.533"", ""  56.806""], ["" 126.024"", "" 124.136"", ""  57.141""], ["" 125.320"", "" 123.254"", ""  55.750""], ["" 125.532"", "" 123.545"", ""  58.488""], ["" 123.749"", "" 123.682"", ""  58.574""], ["" 126.159"", "" 124.307"", ""  59.684""], ["" 125.613"", "" 123.625"", ""  61.247""]]",[],ZINC100024116
1,2893,ZINC100034590,receptor_tmp,1,7,-3.33,-0.11892857142857143,0.0,0.0,2,183.8,-6.02,-6.04,0.02,-6.02,0.0,-0.44,2.68,-0.44,84,5,0.0,0.0,0.0,11.676049,9.045191,2.559182,0.01813206,0.42288364,0.90600257,188.982468,"29.760536, 305.641113, 30.016111, 333.427551, 57.926552, 177.080902, 73.562439, 272.635803, 337.133087, ","[["" 128.099"", "" 123.866"", ""  57.596""], ["" 127.757"", "" 123.530"", ""  58.846""], ["" 129.525"", "" 123.937"", ""  57.428""], ["" 130.336"", "" 124.572"", ""  58.419""], ["" 130.856"", "" 123.637"", ""  59.217""], ["" 129.608"", "" 125.401"", ""  59.173""], ["" 131.454"", "" 125.336"", ""  57.685""], ["" 132.656"", "" 124.777"", ""  57.843""], ["" 131.533"", "" 126.614"", ""  58.062""], ["" 131.109"", "" 125.350"", ""  55.817""], ["" 130.502"", "" 126.622"", ""  55.404""], ["" 130.597"", "" 124.052"", ""  55.366""], ["" 132.654"", "" 125.415"", ""  55.316""], ["" 127.514"", "" 125.264"", ""  57.251""], ["" 128.470"", "" 126.164"", ""  57.024""], ["" 126.754"", "" 125.228"", ""  56.155""], ["" 126.746"", "" 125.741"", ""  58.233""], ["" 127.617"", "" 122.745"", ""  56.634""], ["" 127.397"", "" 123.216"", ""  55.403""], ["" 128.548"", "" 121.791"", ""  56.538""], ["" 126.411"", "" 122.187"", ""  57.169""], ["" 125.151"", "" 122.722"", ""  56.747""], ["" 125.312"", "" 123.492"", ""  55.668""], ["" 124.312"", "" 121.733"", ""  56.429""], ["" 124.587"", "" 123.551"", ""  57.917""], ["" 125.383"", "" 123.478"", ""  58.985""], ["" 124.473"", "" 124.840"", ""  57.596""], ["" 123.383"", "" 123.116"", ""  58.291""]]",[],ZINC100034590
2,12815,ZINC100043079,receptor_tmp,2,14,-2.35,-0.08703703703703704,0.0,0.0,7,189.66,-3.25,-3.34,0.09,-3.25,0.0,0.09,0.89,0.09,66,0,0.0,0.0,0.0,13.56776,14.827659,5.668584,-0.95610165,0.23350406,0.17704655,120.553452,"155.458206, 61.467304, 122.533905, ","[["" 128.535"", "" 131.256"", ""  61.282""], ["" 128.484"", "" 130.627"", ""  62.460""], ["" 127.519"", "" 130.781"", ""  60.555""], ["" 128.290"", "" 132.769"", ""  61.530""], ["" 127.553"", "" 133.323"", ""  60.566""], ["" 129.441"", "" 133.442"", ""  61.581""], ["" 127.653"", "" 132.993"", ""  62.680""], ["" 129.891"", "" 130.934"", ""  60.570""], ["" 130.875"", "" 131.263"", ""  61.412""], ["" 129.975"", "" 129.606"", ""  60.450""], ["" 130.081"", "" 131.649"", ""  59.160""], ["" 128.923"", "" 131.347"", ""  58.141""], ["" 131.463"", "" 131.340"", ""  58.478""], ["" 129.107"", "" 132.059"", ""  56.767""], ["" 131.649"", "" 132.052"", ""  57.105""], ["" 130.484"", "" 131.728"", ""  56.130""], ["" 130.062"", "" 132.976"", ""  59.331""], ["" 128.867"", "" 130.030"", ""  57.926""], ["" 127.746"", "" 131.701"", ""  58.663""], ["" 132.465"", "" 131.687"", ""  59.291""], ["" 131.565"", "" 130.021"", ""  58.285""], ["" 128.124"", "" 131.708"", ""  55.933""], ["" 129.018"", "" 133.381"", ""  56.942""], ["" 132.813"", "" 131.694"", ""  56.557""], ["" 131.697"", "" 133.373"", ""  57.299""], ["" 130.521"", "" 130.427"", ""  55.830""], ["" 130.639"", "" 132.400"", ""  54.987""]]",[],ZINC100043079
3,9329,ZINC100045963,receptor_tmp,1,12,-9.16,-0.24105263157894738,0.0,0.0,6,183.47,-12.14,-11.62,-0.51,-12.14,0.0,-2.26,2.98,-2.26,38,7,0.0,0.0,0.0,12.668494,10.803087,5.950091,-0.74386095,-0.66423918,0.07387278,162.158264,"251.280884, 271.510437, 329.952637, 238.900467, 336.138916, 168.260666, 260.649506, 184.482635, 148.356308, 10.220651, ","[["" 131.616"", "" 119.141"", ""  60.901""], ["" 131.210"", "" 117.659"", ""  60.936""], ["" 131.728"", "" 116.864"", ""  59.725""], ["" 133.086"", "" 116.190"", ""  59.987""], ["" 132.992"", "" 115.016"", ""  60.971""], ["" 130.592"", "" 119.908"", ""  61.530""], ["" 130.577"", "" 121.280"", ""  61.370""], ["" 131.819"", "" 121.910"", ""  61.293""], ["" 129.409"", "" 122.053"", ""  61.280""], ["" 131.903"", "" 123.292"", ""  61.144""], ["" 129.493"", "" 123.436"", ""  61.130""], ["" 130.738"", "" 124.062"", ""  61.081""], ["" 130.807"", "" 125.522"", ""  60.918""], ["" 130.213"", "" 126.289"", ""  59.974""], ["" 130.249"", "" 127.758"", ""  59.920""], ["" 129.420"", "" 125.908"", ""  58.785""], ["" 130.866"", "" 128.651"", ""  60.801""], ["" 129.571"", "" 128.227"", ""  58.795""], ["" 128.919"", "" 127.052"", ""  58.157""], ["" 129.124"", "" 124.644"", ""  58.269""], ["" 130.861"", "" 130.027"", ""  60.549""], ["" 129.661"", "" 129.596"", ""  58.464""], ["" 127.951"", "" 126.911"", ""  57.140""], ["" 128.262"", "" 124.489"", ""  57.178""], ["" 130.266"", "" 130.480"", ""  59.366""], ["" 127.667"", "" 125.635"", ""  56.641""], ["" 131.505"", "" 130.976"", ""  61.490""], ["" 132.695"", "" 130.827"", ""  61.752""], ["" 130.826"", "" 131.878"", ""  61.972""], ["" 129.243"", "" 130.133"", ""  57.156""], ["" 128.284"", "" 130.899"", ""  57.122""], ["" 129.912"", "" 129.828"", ""  56.174""], ["" 127.140"", "" 128.039"", ""  56.645""], ["" 127.161"", "" 128.271"", ""  55.441""], ["" 126.530"", "" 128.720"", ""  57.465""], ["" 127.956"", "" 123.143"", ""  56.635""], ["" 127.097"", "" 122.466"", ""  57.193""], ["" 128.569"", "" 122.753"", ""  55.646""]]",[],ZINC100045963
4,7924,ZINC100046143,receptor_tmp,1,10,-3.64,-0.12551724137931036,0.0,0.0,3,187.24,-7.52,-6.89,-0.63,-7.52,0.0,-0.24,3.88,-0.24,66,3,0.0,0.0,0.0,10.272069,4.737941,17.266441,0.10122752,-0.69462603,0.71221322,262.683716,"194.172867, 237.120255, 239.367798, 286.874664, 31.604879, 36.456268, 300.991669, 299.425903, 112.667824, 318.232391, 338.739655, 352.722534, 225.147858, ","[["" 127.919"", "" 120.508"", ""  71.689""], ["" 128.122"", "" 121.758"", ""  72.569""], ["" 129.596"", "" 121.986"", ""  72.950""], ["" 129.769"", "" 122.573"", ""  74.361""], ["" 130.996"", "" 123.498"", ""  74.469""], ["" 130.621"", "" 124.869"", ""  74.578""], ["" 131.465"", "" 125.803"", ""  75.100""], ["" 131.192"", "" 126.525"", ""  76.061""], ["" 132.756"", "" 125.898"", ""  74.421""], ["" 133.824"", "" 126.568"", ""  74.898""], ["" 126.955"", "" 119.455"", ""  72.291""], ["" 126.628"", "" 118.575"", ""  71.342""], ["" 127.597"", "" 118.767"", ""  73.237""], ["" 125.669"", "" 120.114"", ""  72.881""], ["" 126.020"", "" 120.888"", ""  73.912""], ["" 125.152"", "" 120.941"", ""  71.969""], ["" 124.583"", "" 119.086"", ""  73.338""], ["" 123.914"", "" 118.648"", ""  72.269""], ["" 125.182"", "" 118.010"", ""  73.855""], ["" 123.569"", "" 119.663"", ""  74.382""], ["" 123.922"", "" 119.270"", ""  75.609""], ["" 123.654"", "" 120.996"", ""  74.393""], ["" 122.086"", "" 119.248"", ""  74.116""], ["" 121.991"", "" 117.920"", ""  74.026""], ["" 121.318"", "" 119.604"", ""  75.149""], ["" 121.488"", "" 119.868"", ""  72.827""], ["" 121.107"", "" 118.922"", ""  71.966""], ["" 120.417"", "" 120.621"", ""  73.083""], ["" 122.365"", "" 120.648"", ""  72.193""]]",[],ZINC100046143
5,8757,ZINC100050078,receptor_tmp,1,2,-9.26,-0.25722222222222224,0.0,0.0,1,185.37,-11.94,-11.79,-0.15,-11.94,0.0,-2.73,2.68,-2.73,84,4,0.0,0.0,0.0,11.09611,13.578532,5.959348,-0.74275036,-0.43961715,-0.50503333,222.900375,"273.932678, 112.698799, 241.707703, 102.545616, 0.6459, 326.066376, 323.625641, 66.160271, 225.523361, ","[["" 126.773"", "" 124.395"", ""  57.923""], ["" 126.469"", "" 122.927"", ""  57.610""], ["" 125.347"", "" 122.461"", ""  57.819""], ["" 127.527"", "" 122.247"", ""  57.109""], ["" 128.048"", "" 122.562"", ""  55.824""], ["" 129.229"", "" 123.525"", ""  55.977""], ["" 127.188"", "" 124.557"", ""  59.279""], ["" 128.140"", "" 123.699"", ""  59.800""], ["" 129.477"", "" 123.671"", ""  59.372""], ["" 127.724"", "" 122.818"", ""  60.807""], ["" 130.387"", "" 122.788"", ""  59.945""], ["" 128.654"", "" 121.927"", ""  61.370""], ["" 129.992"", "" 121.911"", ""  60.961""], ["" 126.395"", "" 122.884"", ""  61.190""], ["" 125.957"", "" 123.951"", ""  62.023""], ["" 130.993"", "" 120.929"", ""  61.620""], ["" 132.296"", "" 121.684"", ""  62.135""], ["" 133.172"", "" 122.300"", ""  61.002""], ["" 132.013"", "" 122.588"", ""  63.373""], ["" 133.161"", "" 121.891"", ""  59.842""], ["" 134.099"", "" 123.460"", ""  61.398""], ["" 132.992"", "" 123.743"", ""  63.633""], ["" 131.067"", "" 122.397"", ""  64.137""], ["" 133.452"", "" 124.492"", ""  62.356""], ["" 134.556"", "" 125.486"", ""  62.777""], ["" 132.254"", "" 125.209"", ""  61.675""], ["" 131.253"", "" 119.616"", ""  60.766""], ["" 132.663"", "" 119.003"", ""  60.925""], ["" 130.203"", "" 118.494"", ""  60.961""], ["" 133.501"", "" 119.361"", ""  61.753""], ["" 132.924"", "" 117.845"", ""  59.946""], ["" 130.398"", "" 117.316"", ""  59.991""], ["" 129.302"", "" 118.513"", ""  61.798""], ["" 131.843"", "" 116.718"", ""  60.034""], ["" 132.008"", "" 115.825"", ""  58.787""], ["" 132.031"", "" 115.926"", ""  61.354""]]",[],ZINC100050078
6,12363,ZINC100050142,receptor_tmp,1,7,-7.05,-0.19054054054054054,0.0,0.0,4,189.63,-10.63,-10.06,-0.57,-10.63,0.0,-4.29,3.58,-4.29,38,5,0.0,0.0,0.0,9.611507,14.807383,4.871443,-0.57189074,-0.78210915,0.24747981,121.35791,"349.052643, 245.042038, 156.568008, 260.314728, 268.858459, 82.050323, 345.616791, 126.025597, 60.512203, 170.198532, 242.648621, 21.120932, ","[["" 125.464"", "" 131.294"", ""  61.261""], ["" 125.471"", "" 130.035"", ""  60.641""], ["" 126.398"", "" 129.677"", ""  59.640""], ["" 127.343"", "" 130.652"", ""  59.257""], ["" 127.353"", "" 131.907"", ""  59.884""], ["" 126.422"", "" 132.246"", ""  60.868""], ["" 124.579"", "" 131.627"", ""  62.274""], ["" 123.427"", "" 130.824"", ""  62.511""], ["" 126.514"", "" 133.545"", ""  61.425""], ["" 125.354"", "" 134.445"", ""  61.408""], ["" 125.665"", "" 135.951"", ""  61.292""], ["" 127.043"", "" 136.249"", ""  61.347""], ["" 127.484"", "" 135.789"", ""  60.629""], ["" 127.383"", "" 133.623"", ""  62.600""], ["" 128.162"", "" 132.326"", ""  62.881""], ["" 129.443"", "" 132.268"", ""  62.160""], ["" 130.451"", "" 132.222"", ""  61.593""], ["" 126.423"", "" 128.408"", ""  59.013""], ["" 127.476"", "" 127.716"", ""  59.159""], ["" 127.364"", "" 126.491"", ""  58.494""], ["" 127.031"", "" 125.343"", ""  59.242""], ["" 127.543"", "" 126.361"", ""  57.090""], ["" 126.904"", "" 124.099"", ""  58.632""], ["" 127.412"", "" 125.088"", ""  56.508""], ["" 127.095"", "" 123.950"", ""  57.258""], ["" 126.767"", "" 125.426"", ""  60.954""], ["" 127.864"", "" 127.517"", ""  56.195""], ["" 128.861"", "" 127.492"", ""  55.481""], ["" 127.111"", "" 128.488"", ""  56.202""], ["" 126.961"", "" 122.621"", ""  56.612""], ["" 127.930"", "" 122.155"", ""  56.019""], ["" 125.886"", "" 122.034"", ""  56.694""], ["" 128.297"", "" 130.317"", ""  58.268""], ["" 129.199"", "" 131.117"", ""  57.661""], ["" 129.321"", "" 132.326"", ""  57.856""], ["" 128.208"", "" 129.381"", ""  57.902""], ["" 130.097"", "" 130.440"", ""  56.630""]]",[],ZINC100050142
7,904,ZINC100052783,receptor_tmp,1,18,-10.77,-0.22914893617021276,0.0,0.0,9,184.74,-14.35,-14.31,-0.04,-14.35,0.0,-2.61,3.58,-2.61,100,5,0.0,0.0,0.0,9.393112,16.397491,5.324067,0.18833993,0.71934948,-0.66862875,82.797249,"169.411316, 203.30687, 254.526276, 55.825905, 311.528381, 124.169739, 201.533875, 155.257767, 282.173889, 314.056519, 93.089432, 64.683327, ","[["" 124.802"", "" 131.540"", ""  60.303""], ["" 123.917"", "" 130.902"", ""  59.436""], ["" 124.513"", "" 130.251"", ""  58.356""], ["" 125.904"", "" 130.338"", ""  58.307""], ["" 126.419"", "" 131.298"", ""  59.677""], ["" 124.527"", "" 132.345"", ""  61.592""], ["" 125.118"", "" 131.591"", ""  62.814""], ["" 126.201"", "" 130.207"", ""  65.043""], ["" 125.117"", "" 129.684"", ""  64.319""], ["" 126.720"", "" 131.446"", ""  64.634""], ["" 124.586"", "" 130.363"", ""  63.227""], ["" 126.188"", "" 132.125"", ""  63.542""], ["" 126.746"", "" 129.513"", ""  66.161""], ["" 125.934"", "" 128.528"", ""  66.876""], ["" 127.877"", "" 130.082"", ""  66.896""], ["" 123.108"", "" 132.424"", ""  61.695""], ["" 122.890"", "" 133.141"", ""  62.294""], ["" 125.081"", "" 133.793"", ""  61.530""], ["" 126.453"", "" 134.069"", ""  61.448""], ["" 124.192"", "" 134.872"", ""  61.586""], ["" 126.914"", "" 135.381"", ""  61.407""], ["" 124.654"", "" 136.184"", ""  61.547""], ["" 126.026"", "" 136.468"", ""  61.454""], ["" 126.501"", "" 137.810"", ""  61.421""], ["" 125.972"", "" 138.799"", ""  62.362""], ["" 127.136"", "" 138.334"", ""  60.210""], ["" 126.898"", "" 129.754"", ""  57.277""], ["" 126.360"", "" 130.048"", ""  55.993""], ["" 125.769"", "" 130.799"", ""  56.079""], ["" 128.299"", "" 130.422"", ""  57.348""], ["" 129.363"", "" 129.709"", ""  57.913""], ["" 128.556"", "" 131.705"", ""  56.847""], ["" 130.636"", "" 130.263"", ""  57.994""], ["" 129.831"", "" 132.259"", ""  56.925""], ["" 130.899"", "" 131.554"", ""  57.503""], ["" 132.202"", "" 132.121"", ""  57.579""], ["" 133.214"", "" 131.521"", ""  58.450""], ["" 132.693"", "" 132.982"", ""  56.502""], ["" 126.945"", "" 128.213"", ""  57.467""], ["" 126.390"", "" 127.585"", ""  58.591""], ["" 127.532"", "" 127.407"", ""  56.483""], ["" 126.435"", "" 126.202"", ""  58.729""], ["" 127.574"", "" 126.023"", ""  56.621""], ["" 127.026"", "" 125.389"", ""  57.748""], ["" 127.074"", "" 123.973"", ""  57.892""], ["" 127.275"", "" 123.376"", ""  59.213""], ["" 126.471"", "" 123.114"", ""  56.873""]]",[],ZINC100052783
8,8784,ZINC100053898,receptor_tmp,1,9,-9.77,-0.2272093023255814,0.0,0.0,4,187.44,-13.65,-12.99,-0.65,-13.65,0.0,-2.39,3.88,-2.39,80,16,0.0,0.0,0.0,12.928393,11.051135,9.636061,0.27573544,0.961015,0.02049731,74.442261,"148.650742, 272.978943, 184.276993, 272.942596, 8.587887, 79.837143, 304.199219, 346.003357, 333.400391, 356.976593, 266.357147, 212.868683, 0.572073, ","[["" 130.494"", "" 125.916"", ""  66.088""], ["" 130.624"", "" 124.826"", ""  65.307""], ["" 130.399"", "" 123.666"", ""  65.663""], ["" 130.683"", "" 126.847"", ""  65.746""], ["" 130.073"", "" 125.837"", ""  67.364""], ["" 129.787"", "" 126.972"", ""  67.864""], ["" 129.301"", "" 127.153"", ""  69.239""], ["" 129.793"", "" 127.676"", ""  71.584""], ["" 130.211"", "" 127.485"", ""  70.253""], ["" 128.435"", "" 127.521"", ""  71.889""], ["" 127.520"", "" 127.189"", ""  70.893""], ["" 127.949"", "" 127.009"", ""  69.581""], ["" 130.647"", "" 128.012"", ""  72.620""], ["" 131.339"", "" 126.987"", ""  73.326""], ["" 130.447"", "" 125.743"", ""  73.380""], ["" 127.984"", "" 127.695"", ""  73.173""], ["" 128.672"", "" 127.986"", ""  73.776""], ["" 131.109"", "" 125.088"", ""  63.864""], ["" 132.410"", "" 124.307"", ""  63.546""], ["" 132.780"", "" 124.235"", ""  62.071""], ["" 133.619"", "" 123.204"", ""  61.599""], ["" 132.278"", "" 125.195"", ""  61.169""], ["" 133.953"", "" 123.134"", ""  60.232""], ["" 132.613"", "" 125.127"", ""  59.802""], ["" 133.451"", "" 124.095"", ""  59.333""], ["" 133.777"", "" 124.026"", ""  58.010""], ["" 134.480"", "" 124.629"", ""  57.761""], ["" 130.072"", "" 124.750"", ""  62.882""], ["" 129.759"", "" 123.514"", ""  62.446""], ["" 130.323"", "" 122.497"", ""  62.856""], ["" 129.561"", "" 125.539"", ""  62.513""], ["" 128.635"", "" 123.422"", ""  61.435""], ["" 128.930"", "" 123.205"", ""  60.083""], ["" 127.290"", "" 123.554"", ""  61.813""], ["" 127.918"", "" 123.112"", ""  59.117""], ["" 126.254"", "" 123.466"", ""  60.873""], ["" 126.586"", "" 123.243"", ""  59.530""], ["" 128.251"", "" 122.878"", ""  57.690""], ["" 127.424"", "" 122.314"", ""  56.978""], ["" 129.339"", "" 123.257"", ""  57.269""], ["" 124.836"", "" 123.607"", ""  61.291""], ["" 124.583"", "" 123.713"", ""  62.489""], ["" 123.965"", "" 123.614"", ""  60.426""]]",[],ZINC100053898
9,3973,ZINC100058471,receptor_tmp,1,15,-8.47,-0.3682608695652174,0.0,0.0,10,186.05,-9.06,-9.12,0.05,-9.06,0.0,-0.31,0.6,-0.31,54,0,0.0,0.0,0.0,13.815435,4.690813,6.651431,0.52735599,0.60250799,-0.59906576,215.374191,"336.432678, 70.707207, ","[["" 130.346"", "" 122.648"", ""  61.413""], ["" 131.110"", "" 123.735"", ""  61.863""], ["" 130.655"", "" 125.045"", ""  61.703""], ["" 129.427"", "" 125.287"", ""  61.090""], ["" 128.655"", "" 124.220"", ""  60.637""], ["" 126.812"", "" 124.579"", ""  59.716""], ["" 129.110"", "" 122.910"", ""  60.797""], ["" 130.857"", "" 121.284"", ""  61.597""], ["" 131.274"", "" 120.543"", ""  60.638""], ["" 131.715"", "" 119.298"", ""  60.995""], ["" 129.631"", "" 118.380"", ""  61.523""], ["" 130.853"", "" 118.311"", ""  61.374""], ["" 131.691"", "" 117.068"", ""  61.651""], ["" 133.107"", "" 117.451"", ""  61.224""], ["" 131.359"", "" 115.817"", ""  60.774""], ["" 132.990"", "" 118.888"", ""  60.729""], ["" 133.473"", "" 116.387"", ""  60.138""], ["" 132.297"", "" 114.697"", ""  61.233""], ["" 132.127"", "" 116.125"", ""  59.513""], ["" 133.913"", "" 119.535"", ""  60.230""], ["" 133.554"", "" 115.036"", ""  60.853""], ["" 131.917"", "" 115.419"", ""  58.186""], ["" 131.566"", "" 116.883"", ""  58.326""]]",[],ZINC100058471
