,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,5838,ZINC100024116,receptor_tmp,5,5,-5.34,-0.445,0.0,0.0,20,185.11,-5.34,-5.23,-0.11,-5.34,0.0,0.0,0.0,0.0,28,0,0.0,0.0,0.0,9.715032,9.705545,3.561758,-0.2234941,-0.84687311,0.4825519,142.041748,,"[["" 127.824"", "" 123.100"", ""  60.000""], ["" 127.169"", "" 124.704"", ""  59.541""], ["" 127.865"", "" 125.217"", ""  58.248""], ["" 127.567"", "" 126.975"", ""  58.101""], ["" 127.378"", "" 124.522"", ""  56.943""], ["" 128.081"", "" 122.877"", ""  56.820""], ["" 125.829"", "" 124.473"", ""  56.852""], ["" 125.319"", "" 123.585"", ""  55.382""], ["" 125.164"", "" 123.883"", ""  58.123""], ["" 123.384"", "" 124.013"", ""  57.971""], ["" 125.624"", "" 124.649"", ""  59.390""], ["" 124.877"", "" 123.969"", ""  60.869""]]",[],ZINC100024116
1,12367,ZINC100034590,receptor_tmp,1,7,-2.95,-0.10535714285714286,0.0,0.0,8,199.42,-5.64,-5.62,-0.02,-5.64,0.0,-0.7,2.68,-0.7,65,2,0.0,0.0,0.0,15.737117,21.214283,16.854737,0.10643226,0.30814051,0.9453685,171.545593,"53.977043, 132.134384, 22.997093, 1.133195, 339.176514, 48.674187, 323.86264, 88.468948, 331.462921, ","[["" 132.245"", "" 135.995"", ""  71.938""], ["" 131.815"", "" 135.527"", ""  73.117""], ["" 133.602"", "" 135.605"", ""  71.667""], ["" 134.434"", "" 135.112"", ""  72.721""], ["" 134.320"", "" 133.782"", ""  72.776""], ["" 134.055"", "" 135.608"", ""  73.901""], ["" 135.884"", "" 135.515"", ""  72.394""], ["" 136.139"", "" 136.798"", ""  72.656""], ["" 136.208"", "" 135.274"", ""  71.122""], ["" 137.092"", "" 134.500"", ""  73.453""], ["" 138.049"", "" 133.774"", ""  72.610""], ["" 136.400"", "" 133.866"", ""  74.581""], ["" 137.920"", "" 135.748"", ""  74.086""], ["" 132.195"", "" 137.549"", ""  71.943""], ["" 132.535"", "" 138.057"", ""  73.127""], ["" 133.031"", "" 138.075"", ""  71.047""], ["" 130.978"", "" 138.010"", ""  71.648""], ["" 131.390"", "" 135.356"", ""  70.811""], ["" 131.243"", "" 136.188"", ""  69.776""], ["" 131.984"", "" 134.249"", ""  70.355""], ["" 130.109"", "" 135.023"", ""  71.359""], ["" 129.905"", "" 133.715"", ""  71.907""], ["" 129.346"", "" 132.913"", ""  70.997""], ["" 131.073"", "" 133.178"", ""  72.270""], ["" 128.979"", "" 133.866"", ""  73.129""], ["" 129.466"", "" 133.215"", ""  74.185""], ["" 128.839"", "" 135.144"", ""  73.483""], ["" 127.764"", "" 133.375"", ""  72.887""]]",[],ZINC100034590
2,951,ZINC100043079,receptor_tmp,2,8,-2.28,-0.08444444444444443,0.0,0.0,13,183.62,-3.17,-3.17,0.0,-3.17,0.0,0.08,0.89,0.08,63,0,0.0,0.0,0.0,7.769031,5.589507,18.860298,0.57419107,0.03305289,0.81805386,160.768631,"5.890971, 67.704391, 22.336855, ","[["" 126.372"", "" 120.033"", ""  71.744""], ["" 125.639"", "" 120.608"", ""  70.786""], ["" 126.194"", "" 118.714"", ""  71.616""], ["" 127.867"", "" 120.350"", ""  71.468""], ["" 128.147"", "" 121.641"", ""  71.645""], ["" 128.201"", "" 120.043"", ""  70.212""], ["" 128.682"", "" 119.664"", ""  72.269""], ["" 125.866"", "" 120.501"", ""  73.149""], ["" 126.884"", "" 120.375"", ""  74.005""], ["" 125.641"", "" 121.816"", ""  73.077""], ["" 124.576"", "" 119.729"", ""  73.675""], ["" 123.412"", "" 119.657"", ""  72.621""], ["" 124.012"", "" 120.294"", ""  75.029""], ["" 122.157"", "" 118.890"", ""  73.136""], ["" 122.758"", "" 119.527"", ""  75.546""], ["" 121.635"", "" 119.480"", ""  74.474""], ["" 124.897"", "" 118.455"", ""  73.931""], ["" 123.041"", "" 120.900"", ""  72.300""], ["" 123.845"", "" 119.084"", ""  71.495""], ["" 124.961"", "" 120.267"", ""  75.969""], ["" 123.679"", "" 121.577"", ""  74.857""], ["" 121.189"", "" 118.924"", ""  72.216""], ["" 122.474"", "" 117.606"", ""  73.323""], ["" 122.298"", "" 120.100"", ""  76.661""], ["" 123.109"", "" 118.278"", ""  75.863""], ["" 121.192"", "" 120.721"", ""  74.257""], ["" 120.601"", "" 118.764"", ""  74.922""]]",[],ZINC100043079
3,4690,ZINC100045963,receptor_tmp,1,3,-9.0,-0.23684210526315788,0.0,0.0,4,183.46,-11.98,-11.39,-0.59,-11.98,0.0,-2.74,2.98,-2.74,50,6,0.0,0.0,0.0,14.507129,11.385272,6.298503,0.89493535,0.4449771,0.03295598,283.491455,"339.701324, 63.405201, 263.884094, 128.113663, 153.679352, 316.548187, 337.49646, 132.339981, 116.438438, 73.786697, ","[["" 127.809"", "" 123.787"", ""  55.534""], ["" 126.484"", "" 123.183"", ""  55.045""], ["" 125.251"", "" 123.978"", ""  55.512""], ["" 124.347"", "" 123.176"", ""  56.463""], ["" 123.438"", "" 124.068"", ""  57.320""], ["" 128.045"", "" 123.345"", ""  56.869""], ["" 127.798"", "" 124.206"", ""  57.922""], ["" 128.624"", "" 125.325"", ""  58.016""], ["" 126.785"", "" 124.019"", ""  58.875""], ["" 128.458"", "" 126.241"", ""  59.051""], ["" 126.619"", "" 124.936"", ""  59.911""], ["" 127.466"", "" 126.039"", ""  60.014""], ["" 127.273"", "" 126.999"", ""  61.111""], ["" 126.729"", "" 128.237"", ""  61.055""], ["" 126.481"", "" 129.114"", ""  62.209""], ["" 126.268"", "" 129.034"", ""  59.897""], ["" 126.730"", "" 128.870"", ""  63.563""], ["" 125.950"", "" 130.336"", ""  61.796""], ["" 125.679"", "" 130.223"", ""  60.337""], ["" 126.333"", "" 128.752"", ""  58.530""], ["" 126.499"", "" 129.859"", ""  64.525""], ["" 125.828"", "" 131.382"", ""  62.735""], ["" 124.969"", "" 131.022"", ""  59.416""], ["" 125.743"", "" 129.600"", ""  57.586""], ["" 126.062"", "" 131.115"", ""  64.089""], ["" 125.045"", "" 130.719"", ""  58.051""], ["" 126.750"", "" 129.596"", ""  65.963""], ["" 126.223"", "" 128.617"", ""  66.483""], ["" 127.478"", "" 130.367"", ""  66.583""], ["" 125.568"", "" 132.780"", ""  62.347""], ["" 126.449"", "" 133.390"", ""  61.748""], ["" 124.460"", "" 133.245"", ""  62.595""], ["" 124.060"", "" 132.105"", ""  59.830""], ["" 122.894"", "" 131.810"", ""  60.073""], ["" 124.498"", "" 133.252"", ""  59.860""], ["" 125.819"", "" 129.296"", ""  56.137""], ["" 124.990"", "" 129.802"", ""  55.386""], ["" 126.708"", "" 128.550"", ""  55.737""]]",[],ZINC100045963
4,6069,ZINC100046143,receptor_tmp,1,16,-3.77,-0.13,0.0,0.0,5,187.33,-7.65,-7.04,-0.61,-7.65,0.0,-0.2,3.88,-0.2,72,3,0.0,0.0,0.0,10.617426,5.202035,16.567384,0.09470667,-0.79279876,0.60208037,252.415298,"190.7229, 235.309891, 232.688538, 281.716705, 66.898026, 24.201769, 264.550049, 154.20993, 5.668109, 79.730759, 8.951599, 353.077942, 257.33902, ","[["" 128.243"", "" 120.982"", ""  70.941""], ["" 128.702"", "" 122.065"", ""  71.938""], ["" 130.004"", "" 121.689"", ""  72.668""], ["" 130.182"", "" 122.432"", ""  74.003""], ["" 131.355"", "" 123.431"", ""  73.970""], ["" 130.904"", "" 124.776"", ""  73.828""], ["" 131.622"", "" 125.827"", ""  74.315""], ["" 131.174"", "" 126.672"", ""  75.092""], ["" 133.002"", "" 125.889"", ""  73.838""], ["" 133.940"", "" 126.732"", ""  74.314""], ["" 127.395"", "" 119.851"", ""  71.577""], ["" 127.402"", "" 118.794"", ""  70.760""], ["" 127.979"", "" 119.454"", ""  72.709""], ["" 125.930"", "" 120.307"", ""  71.856""], ["" 125.952"", "" 121.283"", ""  72.768""], ["" 125.434"", "" 120.862"", ""  70.746""], ["" 124.987"", "" 119.155"", ""  72.337""], ["" 125.122"", "" 118.107"", ""  71.521""], ["" 125.387"", "" 118.731"", ""  73.538""], ["" 123.479"", "" 119.565"", ""  72.409""], ["" 123.266"", "" 120.619"", ""  71.617""], ["" 122.726"", "" 118.582"", ""  71.910""], ["" 122.986"", "" 119.902"", ""  73.854""], ["" 123.279"", "" 118.898"", ""  74.684""], ["" 123.637"", "" 120.970"", ""  74.323""], ["" 121.463"", "" 120.180"", ""  73.943""], ["" 120.980"", "" 120.611"", ""  72.776""], ["" 120.773"", "" 119.088"", ""  74.275""], ["" 121.177"", "" 121.110"", ""  74.856""]]",[],ZINC100046143
5,6046,ZINC100050078,receptor_tmp,1,18,-8.89,-0.24694444444444447,0.0,0.0,10,186.75,-11.58,-11.35,-0.23,-11.58,0.0,-2.77,2.68,-2.77,54,4,0.0,0.0,0.0,14.025211,10.648091,2.050943,0.77991759,-0.56278206,0.27387024,208.511078,"74.033669, 193.813293, 209.091171, 310.714233, 351.554871, 348.733887, 148.544464, 245.427979, 23.102558, ","[["" 130.396"", "" 130.006"", ""  56.523""], ["" 129.819"", "" 131.382"", ""  56.180""], ["" 128.614"", "" 131.608"", ""  56.313""], ["" 130.743"", "" 132.264"", ""  55.734""], ["" 132.035"", "" 131.822"", ""  55.339""], ["" 133.049"", "" 132.175"", ""  56.431""], ["" 129.715"", "" 128.971"", ""  55.815""], ["" 129.714"", "" 127.688"", ""  56.333""], ["" 130.353"", "" 126.601"", ""  55.715""], ["" 129.031"", "" 127.486"", ""  57.540""], ["" 130.320"", "" 125.336"", ""  56.294""], ["" 129.002"", "" 126.201"", ""  58.108""], ["" 129.654"", "" 125.120"", ""  57.505""], ["" 128.415"", "" 128.590"", ""  58.106""], ["" 127.067"", "" 128.489"", ""  58.550""], ["" 129.617"", "" 123.721"", ""  58.172""], ["" 128.122"", "" 123.226"", ""  58.403""], ["" 127.388"", "" 123.929"", ""  59.585""], ["" 127.329"", "" 123.081"", ""  57.070""], ["" 127.976"", "" 124.453"", ""  60.529""], ["" 125.852"", "" 123.927"", ""  59.543""], ["" 125.796"", "" 123.140"", ""  57.160""], ["" 127.876"", "" 122.904"", ""  55.982""], ["" 125.253"", "" 124.210"", ""  58.142""], ["" 123.726"", "" 124.011"", ""  58.244""], ["" 125.621"", "" 125.640"", ""  57.659""], ["" 130.587"", "" 123.585"", ""  59.421""], ["" 130.436"", "" 122.272"", ""  60.225""], ["" 132.088"", "" 123.801"", ""  59.108""], ["" 129.757"", "" 121.306"", ""  59.878""], ["" 131.264"", "" 122.268"", ""  61.521""], ["" 132.966"", "" 123.830"", ""  60.371""], ["" 132.558"", "" 123.932"", ""  57.979""], ["" 132.779"", "" 122.570"", ""  61.278""], ["" 133.409"", "" 122.892"", ""  62.649""], ["" 133.445"", "" 121.345"", ""  60.598""]]",[],ZINC100050078
6,3029,ZINC100050142,receptor_tmp,1,19,-7.86,-0.21243243243243243,0.0,0.0,6,187.98,-11.44,-10.69,-0.75,-11.44,0.0,-3.42,3.58,-3.42,45,8,0.0,0.0,0.0,12.026047,11.431517,4.92606,-0.89720783,0.29666989,-0.32711633,110.307869,"49.830845, 60.288837, 33.41452, 11.955906, 292.612305, 125.34642, 328.414276, 199.894653, 177.620956, 356.328339, 68.98082, 45.283699, ","[["" 130.723"", "" 124.838"", ""  60.736""], ["" 129.699"", "" 125.789"", ""  60.594""], ["" 128.748"", "" 125.745"", ""  59.554""], ["" 128.862"", "" 124.693"", ""  58.620""], ["" 129.871"", "" 123.730"", ""  58.764""], ["" 130.809"", "" 123.795"", ""  59.797""], ["" 131.628"", "" 124.862"", ""  61.784""], ["" 131.176"", "" 125.070"", ""  63.117""], ["" 131.795"", "" 122.779"", ""  59.840""], ["" 133.185"", "" 123.076"", ""  59.475""], ["" 133.384"", "" 124.083"", ""  58.324""], ["" 134.250"", "" 123.619"", ""  57.311""], ["" 134.946"", "" 124.268"", ""  57.184""], ["" 131.596"", "" 121.810"", ""  60.919""], ["" 130.176"", "" 121.220"", ""  60.968""], ["" 130.143"", "" 119.795"", ""  60.608""], ["" 130.116"", "" 118.672"", ""  60.325""], ["" 127.705"", "" 126.691"", ""  59.405""], ["" 128.043"", "" 127.873"", ""  59.092""], ["" 126.920"", "" 128.697"", ""  58.975""], ["" 126.419"", "" 129.326"", ""  60.133""], ["" 126.280"", "" 128.949"", ""  57.731""], ["" 125.304"", "" 130.157"", ""  60.075""], ["" 125.154"", "" 129.791"", ""  57.711""], ["" 124.653"", "" 130.401"", ""  58.866""], ["" 127.162"", "" 129.092"", ""  61.682""], ["" 126.747"", "" 128.362"", ""  56.436""], ["" 126.385"", "" 128.845"", ""  55.369""], ["" 127.492"", "" 127.386"", ""  56.472""], ["" 123.463"", "" 131.287"", ""  58.807""], ["" 123.029"", "" 131.758"", ""  59.855""], ["" 122.957"", "" 131.520"", ""  57.714""], ["" 127.912"", "" 124.613"", ""  57.575""], ["" 127.625"", "" 123.563"", ""  56.776""], ["" 128.190"", "" 122.469"", ""  56.809""], ["" 127.477"", "" 125.491"", ""  57.336""], ["" 126.534"", "" 123.801"", ""  55.737""]]",[],ZINC100050142
7,13182,ZINC100052783,receptor_tmp,1,9,-7.52,-0.16,0.0,0.0,7,182.72,-11.1,-11.08,-0.01,-11.1,0.0,-2.39,3.58,-2.39,111,2,0.0,0.0,0.0,11.601009,12.561906,2.515055,-0.33169668,-0.70726805,-0.62429898,253.223877,"315.351837, 72.44561, 174.553848, 33.705727, 93.414665, 130.072266, 298.47818, 253.732666, 115.296524, 37.184097, 35.160187, 25.889183, ","[["" 127.738"", "" 126.020"", ""  56.617""], ["" 127.295"", "" 126.397"", ""  55.350""], ["" 127.184"", "" 127.772"", ""  55.147""], ["" 127.532"", "" 128.563"", ""  56.243""], ["" 127.985"", "" 127.484"", ""  57.546""], ["" 127.990"", "" 124.616"", ""  57.207""], ["" 129.478"", "" 124.487"", ""  57.631""], ["" 132.199"", "" 124.246"", ""  58.403""], ["" 131.223"", "" 123.364"", ""  58.894""], ["" 131.779"", "" 125.260"", ""  57.528""], ["" 129.889"", "" 123.483"", ""  58.517""], ["" 130.444"", "" 125.380"", ""  57.150""], ["" 133.565"", "" 124.124"", ""  58.787""], ["" 134.601"", "" 123.969"", ""  57.765""], ["" 133.908"", "" 123.672"", ""  60.137""], ["" 127.692"", "" 123.702"", ""  56.155""], ["" 128.489"", "" 123.209"", ""  55.951""], ["" 127.057"", "" 124.286"", ""  58.403""], ["" 125.715"", "" 123.922"", ""  58.230""], ["" 127.554"", "" 124.379"", ""  59.708""], ["" 124.904"", "" 123.646"", ""  59.327""], ["" 126.743"", "" 124.105"", ""  60.805""], ["" 125.400"", "" 123.728"", ""  60.639""], ["" 124.567"", "" 123.454"", ""  61.760""], ["" 124.888"", "" 124.023"", ""  63.070""], ["" 123.694"", "" 122.279"", ""  61.755""], ["" 127.536"", "" 130.101"", ""  56.394""], ["" 126.938"", "" 130.619"", ""  55.212""], ["" 126.158"", "" 131.119"", ""  55.463""], ["" 126.675"", "" 130.589"", ""  57.591""], ["" 125.305"", "" 130.299"", ""  57.605""], ["" 127.213"", "" 131.290"", ""  58.680""], ["" 124.495"", "" 130.710"", ""  58.659""], ["" 126.402"", "" 131.699"", ""  59.735""], ["" 125.026"", "" 131.423"", ""  59.747""], ["" 124.200"", "" 131.839"", ""  60.830""], ["" 123.893"", "" 130.910"", ""  61.918""], ["" 124.026"", "" 133.264"", ""  61.116""], ["" 129.013"", "" 130.578"", ""  56.466""], ["" 129.822"", "" 130.325"", ""  57.583""], ["" 129.578"", "" 131.260"", ""  55.381""], ["" 131.145"", "" 130.753"", ""  57.615""], ["" 130.903"", "" 131.685"", ""  55.414""], ["" 131.716"", "" 131.441"", ""  56.532""], ["" 133.071"", "" 131.881"", ""  56.567""], ["" 134.126"", "" 130.969"", ""  57.011""], ["" 133.491"", "" 133.018"", ""  55.749""]]",[],ZINC100052783
8,5654,ZINC100053898,receptor_tmp,1,16,-10.26,-0.2386046511627907,0.0,0.0,5,187.43,-14.14,-13.29,-0.84,-14.14,0.0,-2.25,3.88,-2.25,60,10,0.0,0.0,0.0,13.167867,11.648405,9.415893,-0.32522073,-0.94561795,-0.00617783,282.553955,"355.594391, 292.978271, 35.88213, 237.377411, 28.436384, 110.318825, 44.803383, 290.365143, 332.615234, 160.840805, 197.806213, 100.280479, 348.352661, ","[["" 130.812"", "" 126.364"", ""  65.839""], ["" 130.855"", "" 125.314"", ""  64.996""], ["" 130.582"", "" 124.149"", ""  65.300""], ["" 131.038"", "" 127.302"", ""  65.538""], ["" 130.436"", "" 126.238"", ""  67.125""], ["" 129.853"", "" 127.275"", ""  67.577""], ["" 129.343"", "" 127.386"", ""  68.950""], ["" 129.796"", "" 127.377"", ""  71.360""], ["" 130.234"", "" 127.271"", ""  70.027""], ["" 128.433"", "" 127.595"", ""  71.603""], ["" 127.536"", "" 127.708"", ""  70.543""], ["" 127.987"", "" 127.606"", ""  69.230""], ["" 130.633"", "" 127.280"", ""  72.458""], ["" 131.282"", "" 126.046"", ""  72.745""], ["" 132.258"", "" 126.265"", ""  73.906""], ["" 127.961"", "" 127.701"", ""  72.886""], ["" 127.090"", "" 127.314"", ""  72.999""], ["" 131.299"", "" 125.629"", ""  63.551""], ["" 132.701"", "" 125.043"", ""  63.242""], ["" 132.716"", "" 123.881"", ""  62.259""], ["" 131.955"", "" 122.721"", ""  62.520""], ["" 133.484"", "" 123.961"", ""  61.080""], ["" 131.962"", "" 121.650"", ""  61.605""], ["" 133.494"", "" 122.889"", ""  60.166""], ["" 132.732"", "" 121.733"", ""  60.429""], ["" 132.739"", "" 120.693"", ""  59.545""], ["" 133.189"", "" 119.914"", ""  59.879""], ["" 130.324"", "" 125.132"", ""  62.573""], ["" 130.292"", "" 125.429"", ""  61.258""], ["" 131.121"", "" 126.164"", ""  60.717""], ["" 129.621"", "" 124.513"", ""  62.948""], ["" 129.189"", "" 124.777"", ""  60.449""], ["" 127.931"", "" 124.567"", ""  61.028""], ["" 129.392"", "" 124.368"", ""  59.122""], ["" 126.885"", "" 123.969"", ""  60.312""], ["" 128.368"", "" 123.767"", ""  58.377""], ["" 127.121"", "" 123.577"", ""  58.987""], ["" 125.558"", "" 123.757"", ""  60.941""], ["" 124.562"", "" 123.738"", ""  60.222""], ["" 125.500"", "" 123.608"", ""  62.158""], ["" 128.600"", "" 123.341"", ""  56.975""], ["" 127.856"", "" 122.495"", ""  56.485""], ["" 129.527"", "" 123.850"", ""  56.350""]]",[],ZINC100053898
9,10025,ZINC100058471,receptor_tmp,1,10,-8.7,-0.3782608695652174,0.0,0.0,13,187.09,-9.3,-9.36,0.06,-9.3,0.0,-0.39,0.6,-0.39,51,0,0.0,0.0,0.0,12.50456,8.700934,5.797048,-0.35597893,0.21791029,0.90873214,172.714478,"168.814117, 36.516384, ","[["" 127.716"", "" 123.326"", ""  57.400""], ["" 128.053"", "" 123.173"", ""  56.048""], ["" 127.077"", "" 123.253"", ""  55.053""], ["" 125.747"", "" 123.487"", ""  55.397""], ["" 125.394"", "" 123.642"", ""  56.735""], ["" 123.399"", "" 123.993"", ""  57.257""], ["" 126.370"", "" 123.561"", ""  57.730""], ["" 128.769"", "" 123.235"", ""  58.419""], ["" 128.600"", "" 122.701"", ""  59.572""], ["" 129.694"", "" 122.704"", ""  60.396""], ["" 130.441"", "" 120.542"", ""  59.910""], ["" 130.541"", "" 121.637"", ""  60.468""], ["" 131.652"", "" 122.015"", ""  61.441""], ["" 131.395"", "" 123.484"", ""  61.773""], ["" 133.100"", "" 122.011"", ""  60.852""], ["" 130.154"", "" 123.854"", ""  60.969""], ["" 132.718"", "" 124.202"", ""  61.349""], ["" 134.042"", "" 122.396"", ""  61.997""], ["" 133.152"", "" 123.359"", ""  60.178""], ["" 129.667"", "" 124.985"", ""  60.913""], ["" 133.815"", "" 123.700"", ""  62.291""], ["" 134.202"", "" 123.771"", ""  59.163""], ["" 132.759"", "" 123.618"", ""  58.738""]]",[],ZINC100058471
