,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,8245,1a_Ghoteimi_2023,receptor_tmp,1,4,-8.17,-0.19926829268292684,0.0,0.0,1,185.66,-11.45,-11.23,-0.22,-11.45,0.0,-2.01,3.28,-2.01,45,7,0.0,0.0,0.0,15.374619,14.675846,3.926562,-0.20040701,0.48226435,-0.85279431,215.90126,"16.541218, 34.852516, 162.069092, 67.276024, 83.06723, 92.492912, 77.109833, 288.364777, 129.924484, 83.673241, 214.206345, ","[["" 130.445"", "" 131.155"", ""  60.122""], ["" 129.312"", "" 131.356"", ""  59.415""], ["" 130.611"", "" 131.443"", ""  61.307""], ["" 129.316"", "" 131.018"", ""  58.464""], ["" 131.594"", "" 130.506"", ""  59.350""], ["" 131.007"", "" 129.670"", ""  57.847""], ["" 130.460"", "" 128.058"", ""  58.359""], ["" 129.121"", "" 126.046"", ""  58.190""], ["" 129.466"", "" 127.321"", ""  57.680""], ["" 129.776"", "" 125.588"", ""  59.341""], ["" 128.805"", "" 127.860"", ""  56.488""], ["" 130.768"", "" 126.363"", ""  59.955""], ["" 128.282"", "" 128.284"", ""  55.547""], ["" 131.097"", "" 127.584"", ""  59.457""], ["" 128.097"", "" 125.151"", ""  57.571""], ["" 126.164"", "" 123.450"", ""  56.442""], ["" 127.512"", "" 123.308"", ""  56.111""], ["" 125.787"", "" 124.451"", ""  57.351""], ["" 128.471"", "" 124.147"", ""  56.672""], ["" 126.747"", "" 125.289"", ""  57.910""], ["" 125.286"", "" 122.573"", ""  55.838""], ["" 123.894"", "" 122.872"", ""  55.840""], ["" 131.504"", "" 125.918"", ""  61.185""], ["" 131.058"", "" 126.271"", ""  62.470""], ["" 132.667"", "" 125.139"", ""  61.090""], ["" 131.742"", "" 125.856"", ""  63.609""], ["" 133.353"", "" 124.722"", ""  62.226""], ["" 132.892"", "" 125.079"", ""  63.501""], ["" 133.505"", "" 124.711"", ""  64.684""], ["" 133.206"", "" 125.433"", ""  65.874""], ["" 128.091"", "" 131.932"", ""  59.814""], ["" 126.821"", "" 131.444"", ""  59.470""], ["" 128.191"", "" 133.065"", ""  60.622""], ["" 125.675"", "" 132.091"", ""  59.925""], ["" 127.044"", "" 133.712"", ""  61.076""], ["" 125.773"", "" 133.233"", ""  60.734""], ["" 124.557"", "" 133.952"", ""  61.244""], ["" 124.068"", "" 134.938"", ""  60.685""], ["" 124.053"", "" 133.410"", ""  62.382""], ["" 123.795"", "" 132.015"", ""  62.481""], ["" 124.829"", "" 131.373"", ""  63.411""]]",[],1a_Ghoteimi_2023
1,3338,1a_Grossjean_2025,receptor_tmp,1,5,-7.79,-0.2885185185185185,0.0,0.0,1,188.6,-9.88,-9.6,-0.28,-9.88,0.0,-0.96,2.09,-0.96,43,6,0.0,0.0,0.0,11.072519,14.137045,3.523349,0.13136278,-0.99132345,-0.00465079,171.612259,"185.251846, 159.79216, 301.498657, 117.619972, 72.2686, 210.274872, 83.031723, ","[["" 126.918"", "" 127.143"", ""  58.076""], ["" 127.175"", "" 126.978"", ""  56.715""], ["" 127.219"", "" 125.706"", ""  56.153""], ["" 127.004"", "" 124.570"", ""  56.944""], ["" 126.738"", "" 124.739"", ""  58.312""], ["" 126.693"", "" 126.011"", ""  58.875""], ["" 126.900"", "" 128.474"", ""  58.537""], ["" 127.851"", "" 129.429"", ""  58.470""], ["" 128.965"", "" 129.295"", ""  57.962""], ["" 126.023"", "" 128.750"", ""  58.954""], ["" 127.472"", "" 130.776"", ""  59.089""], ["" 128.454"", "" 132.145"", ""  58.404""], ["" 130.169"", "" 131.759"", ""  58.673""], ["" 132.471"", "" 131.418"", ""  57.999""], ["" 131.140"", "" 131.736"", ""  57.643""], ["" 132.771"", "" 131.124"", ""  59.334""], ["" 130.793"", "" 132.000"", ""  56.244""], ["" 131.747"", "" 131.147"", ""  60.278""], ["" 130.522"", "" 132.207"", ""  55.139""], ["" 130.467"", "" 131.452"", ""  59.961""], ["" 133.606"", "" 131.372"", ""  56.979""], ["" 132.006"", "" 130.828"", ""  61.739""], ["" 127.063"", "" 123.211"", ""  56.307""], ["" 128.120"", "" 122.614"", ""  56.079""], ["" 125.838"", "" 122.698"", ""  56.021""], ["" 124.748"", "" 123.547"", ""  55.683""], ["" 123.749"", "" 123.582"", ""  56.842""]]",[],1a_Grossjean_2025
2,7926,1aa_Ghoteimi_2023,receptor_tmp,1,19,-8.16,-0.19902439024390245,0.0,0.0,2,184.67,-11.44,-11.18,-0.26,-11.44,0.0,-2.52,3.28,-2.52,64,10,0.0,0.0,0.0,14.329419,12.434562,8.426956,0.08883878,-0.98781124,0.12781483,104.186371,"110.264267, 180.092468, 330.751434, 132.063385, 121.781906, 84.79763, 354.669189, 288.81308, 77.007797, 178.928284, 252.939667, ","[["" 130.611"", "" 125.291"", ""  65.460""], ["" 130.106"", "" 126.473"", ""  65.883""], ["" 130.672"", "" 124.268"", ""  66.141""], ["" 130.113"", "" 127.220"", ""  65.202""], ["" 131.144"", "" 125.228"", ""  64.020""], ["" 130.878"", "" 126.457"", ""  63.332""], ["" 129.761"", "" 126.578"", ""  62.518""], ["" 128.437"", "" 125.846"", ""  60.621""], ["" 129.582"", "" 125.697"", ""  61.438""], ["" 127.523"", "" 126.859"", ""  60.943""], ["" 130.569"", "" 124.640"", ""  61.206""], ["" 127.749"", "" 127.703"", ""  62.037""], ["" 128.863"", "" 127.562"", ""  62.803""], ["" 131.349"", "" 123.806"", ""  61.024""], ["" 128.144"", "" 124.985"", ""  59.436""], ["" 127.623"", "" 123.351"", ""  57.208""], ["" 128.805"", "" 124.088"", ""  57.285""], ["" 126.700"", "" 123.433"", ""  58.261""], ["" 129.066"", "" 124.895"", ""  58.388""], ["" 126.962"", "" 124.241"", ""  59.364""], ["" 127.449"", "" 122.578"", ""  56.076""], ["" 127.223"", "" 123.219"", ""  54.826""], ["" 126.811"", "" 128.813"", ""  62.416""], ["" 126.725"", "" 129.264"", ""  63.741""], ["" 125.995"", "" 129.436"", ""  61.457""], ["" 125.854"", "" 130.291"", ""  64.095""], ["" 125.124"", "" 130.462"", ""  61.809""], ["" 125.045"", "" 130.899"", ""  63.138""], ["" 124.212"", "" 131.909"", ""  63.581""], ["" 123.852"", "" 132.955"", ""  62.685""], ["" 129.558"", "" 126.838"", ""  67.126""], ["" 128.191"", "" 127.022"", ""  67.383""], ["" 130.478"", "" 127.015"", ""  68.161""], ["" 127.762"", "" 127.383"", ""  68.658""], ["" 130.048"", "" 127.375"", ""  69.434""], ["" 128.685"", "" 127.564"", ""  69.699""], ["" 128.254"", "" 127.954"", ""  71.084""], ["" 127.076"", "" 128.155"", ""  71.395""], ["" 129.287"", "" 128.063"", ""  71.958""], ["" 129.554"", "" 127.040"", ""  72.910""], ["" 130.842"", "" 126.308"", ""  72.524""]]",[],1aa_Ghoteimi_2023
3,8213,1b_Ghoteimi_2023,receptor_tmp,1,20,-8.24,-0.23542857142857143,0.0,0.0,3,185.0,-10.63,-10.15,-0.47,-10.63,0.0,-1.25,2.39,-1.25,46,7,0.0,0.0,0.0,11.40226,12.655153,4.276467,0.73681671,-0.60453093,-0.30272676,148.232422,"201.180908, 43.867355, 348.972992, 231.155563, 24.294626, 19.090715, 335.66391, 51.387524, ","[["" 129.293"", "" 128.931"", ""  58.971""], ["" 129.471"", "" 127.532"", ""  58.845""], ["" 130.435"", "" 126.987"", ""  57.884""], ["" 131.196"", "" 126.558"", ""  57.125""], ["" 128.739"", "" 126.690"", ""  59.712""], ["" 127.921"", "" 127.178"", ""  60.676""], ["" 127.751"", "" 128.519"", ""  60.807""], ["" 128.430"", "" 129.407"", ""  59.966""], ["" 129.981"", "" 129.937"", ""  58.106""], ["" 131.280"", "" 131.843"", ""  56.500""], ["" 131.966"", "" 131.201"", ""  57.532""], ["" 129.931"", "" 131.529"", ""  56.278""], ["" 131.323"", "" 130.258"", ""  58.329""], ["" 129.291"", "" 130.587"", ""  57.078""], ["" 131.998"", "" 132.764"", ""  55.761""], ["" 133.420"", "" 132.690"", ""  55.753""], ["" 128.830"", "" 124.911"", ""  59.692""], ["" 129.133"", "" 124.384"", ""  57.972""], ["" 127.984"", "" 123.600"", ""  57.321""], ["" 126.754"", "" 124.114"", ""  57.545""], ["" 128.211"", "" 122.589"", ""  56.653""], ["" 126.696"", "" 124.942"", ""  58.118""], ["" 125.539"", "" 123.618"", ""  57.085""], ["" 125.380"", "" 122.699"", ""  56.147""], ["" 124.307"", "" 124.050"", ""  57.574""], ["" 124.006"", "" 122.505"", ""  56.002""], ["" 123.370"", "" 123.327"", ""  56.871""], ["" 126.817"", "" 128.974"", ""  61.893""], ["" 125.571"", "" 129.541"", ""  61.584""], ["" 127.155"", "" 128.840"", ""  63.249""], ["" 124.703"", "" 129.962"", ""  62.587""], ["" 126.289"", "" 129.258"", ""  64.255""], ["" 125.050"", "" 129.826"", ""  63.930""], ["" 124.125"", "" 130.269"", ""  64.856""], ["" 124.130"", "" 129.709"", ""  66.164""]]",[],1b_Ghoteimi_2023
4,7980,1b_Grossjean_2025,receptor_tmp,1,5,-7.67,-0.295,0.0,0.0,2,188.48,-9.46,-9.32,-0.14,-9.46,0.0,-0.75,1.79,-0.75,38,4,0.0,0.0,0.0,9.789099,14.837073,1.615826,-0.53314177,0.83429882,-0.14037571,29.729534,"344.350739, 200.040619, 67.032661, 219.060745, 53.876244, 240.509308, ","[["" 128.130"", "" 129.732"", ""  57.226""], ["" 127.493"", "" 128.969"", ""  56.310""], ["" 128.838"", "" 129.311"", ""  58.139""], ["" 126.941"", "" 129.467"", ""  55.627""], ["" 127.935"", "" 131.241"", ""  57.070""], ["" 128.527"", "" 132.162"", ""  58.522""], ["" 130.248"", "" 131.760"", ""  58.739""], ["" 132.519"", "" 131.376"", ""  57.995""], ["" 131.182"", "" 131.707"", ""  57.679""], ["" 132.866"", "" 131.128"", ""  59.327""], ["" 130.805"", "" 132.014"", ""  56.297""], ["" 131.884"", "" 131.224"", ""  60.311""], ["" 130.510"", "" 132.255"", ""  55.204""], ["" 130.598"", "" 131.539"", ""  60.031""], ["" 133.616"", "" 131.281"", ""  56.936""], ["" 132.200"", "" 130.976"", ""  61.775""], ["" 127.460"", "" 127.570"", ""  56.160""], ["" 126.954"", "" 126.858"", ""  57.248""], ["" 127.889"", "" 126.871"", ""  55.022""], ["" 126.874"", "" 125.470"", ""  57.209""], ["" 127.808"", "" 125.482"", ""  54.984""], ["" 127.300"", "" 124.764"", ""  56.074""], ["" 127.227"", "" 123.265"", ""  55.996""], ["" 128.202"", "" 122.552"", ""  55.741""], ["" 125.982"", "" 122.776"", ""  56.228""], ["" 124.830"", "" 123.442"", ""  55.727""]]",[],1b_Grossjean_2025
5,3677,1c_Ghoteimi_2023,receptor_tmp,1,20,-7.95,-0.22714285714285715,0.0,0.0,1,190.26,-10.34,-10.12,-0.21,-10.34,0.0,-1.52,2.39,-1.52,57,7,0.0,0.0,0.0,11.283155,11.480269,5.960798,0.54762818,0.77470664,0.31612183,163.643784,"214.010376, 350.225952, 149.937698, 354.664886, 114.635994, 113.001038, 162.30127, 40.51812, ","[["" 128.010"", "" 126.218"", ""  59.214""], ["" 127.698"", "" 127.596"", ""  59.297""], ["" 126.666"", "" 128.191"", ""  58.442""], ["" 125.851"", "" 128.659"", ""  57.766""], ["" 128.400"", "" 128.377"", ""  60.238""], ["" 129.365"", "" 127.864"", ""  61.039""], ["" 129.697"", "" 126.551"", ""  60.934""], ["" 129.028"", "" 125.715"", ""  60.034""], ["" 127.293"", "" 125.256"", ""  58.326""], ["" 125.960"", "" 123.410"", ""  56.682""], ["" 125.312"", "" 123.976"", ""  57.780""], ["" 127.289"", "" 123.771"", ""  56.412""], ["" 125.972"", "" 124.889"", ""  58.596""], ["" 127.947"", "" 124.685"", ""  57.230""], ["" 125.227"", "" 122.513"", ""  55.928""], ["" 123.826"", "" 122.717"", ""  55.773""], ["" 127.996"", "" 130.078"", ""  60.569""], ["" 129.595"", "" 130.878"", ""  60.919""], ["" 130.554"", "" 130.800"", ""  59.725""], ["" 130.379"", "" 131.753"", ""  58.783""], ["" 131.377"", "" 129.886"", ""  59.666""], ["" 129.673"", "" 132.452"", ""  58.956""], ["" 131.001"", "" 131.819"", ""  57.547""], ["" 130.487"", "" 132.223"", ""  56.405""], ["" 132.674"", "" 131.367"", ""  57.480""], ["" 131.381"", "" 132.192"", ""  55.435""], ["" 132.655"", "" 131.757"", ""  55.786""], ["" 130.775"", "" 126.055"", ""  61.855""], ["" 130.633"", "" 126.125"", ""  63.249""], ["" 131.961"", "" 125.507"", ""  61.345""], ["" 131.632"", "" 125.659"", ""  64.100""], ["" 132.962"", "" 125.039"", ""  62.192""], ["" 132.803"", "" 125.111"", ""  63.583""], ["" 133.740"", "" 124.672"", ""  64.499""], ["" 133.664"", "" 125.129"", ""  65.845""]]",[],1c_Ghoteimi_2023
6,8134,1c_Grossjean_2025,receptor_tmp,1,7,-7.46,-0.31083333333333335,0.0,0.0,1,193.23,-8.95,-8.68,-0.27,-8.95,0.0,-0.45,1.49,-0.45,57,3,0.0,0.0,0.0,11.384796,11.690537,18.63407,0.20946337,0.15293013,-0.96578334,172.185425,"151.960205, 333.959381, 321.541565, 41.304081, 146.22406, ","[["" 128.380"", "" 128.010"", ""  72.645""], ["" 127.195"", "" 127.708"", ""  73.218""], ["" 128.930"", "" 129.110"", ""  72.678""], ["" 126.908"", "" 126.742"", ""  73.165""], ["" 129.066"", "" 126.856"", ""  71.909""], ["" 130.858"", "" 126.834"", ""  72.207""], ["" 131.256"", "" 125.365"", ""  73.133""], ["" 132.603"", "" 123.988"", ""  74.602""], ["" 132.423"", "" 125.213"", ""  73.919""], ["" 131.628"", "" 122.992"", ""  74.489""], ["" 133.407"", "" 126.288"", ""  74.069""], ["" 130.497"", "" 123.237"", ""  73.714""], ["" 134.185"", "" 127.136"", ""  74.187""], ["" 130.305"", "" 124.401"", ""  73.050""], ["" 133.826"", "" 123.702"", ""  75.472""], ["" 129.396"", "" 122.204"", ""  73.565""], ["" 126.318"", "" 128.534"", ""  73.946""], ["" 124.963"", "" 128.252"", ""  74.176""], ["" 126.877"", "" 129.694"", ""  74.483""], ["" 124.185"", "" 129.135"", ""  74.920""], ["" 126.097"", "" 130.574"", ""  75.227""], ["" 124.738"", "" 130.301"", ""  75.449""], ["" 123.887"", "" 131.114"", ""  76.172""], ["" 123.963"", "" 132.525"", ""  76.001""]]",[],1c_Grossjean_2025
7,4296,1d_Ghoteimi_2023,receptor_tmp,1,4,-7.02,-0.23399999999999999,0.0,0.0,4,188.3,-9.41,-9.13,-0.28,-9.41,0.0,-1.35,2.39,-1.35,45,5,0.0,0.0,0.0,12.606377,11.57001,3.073311,-0.1824665,0.88042929,0.43766453,178.321716,"235.085022, 8.8913, 71.539536, 323.750732, 108.250793, 64.646759, 344.742889, 97.481544, ","[["" 125.962"", "" 125.334"", ""  57.545""], ["" 127.643"", "" 125.916"", ""  57.596""], ["" 129.419"", "" 127.532"", ""  57.257""], ["" 128.042"", "" 127.206"", ""  57.180""], ["" 130.302"", "" 126.578"", ""  57.776""], ["" 127.060"", "" 128.203"", ""  56.742""], ["" 129.833"", "" 125.332"", ""  58.208""], ["" 126.286"", "" 128.991"", ""  56.396""], ["" 128.516"", "" 125.016"", ""  58.108""], ["" 129.986"", "" 128.845"", ""  56.822""], ["" 131.068"", "" 131.313"", ""  56.017""], ["" 131.391"", "" 130.770"", ""  57.260""], ["" 130.203"", "" 130.606"", ""  55.168""], ["" 130.858"", "" 129.547"", ""  57.659""], ["" 129.673"", "" 129.383"", ""  55.568""], ["" 131.637"", "" 132.534"", ""  55.709""], ["" 133.053"", "" 132.670"", ""  55.748""], ["" 130.735"", "" 124.277"", ""  58.781""], ["" 130.216"", "" 123.180"", ""  59.487""], ["" 132.127"", "" 124.360"", ""  58.635""], ["" 131.054"", "" 122.207"", ""  60.023""], ["" 132.969"", "" 123.389"", ""  59.171""], ["" 132.435"", "" 122.300"", ""  59.873""], ["" 133.189"", "" 121.291"", ""  60.441""], ["" 133.956"", "" 121.571"", ""  61.607""], ["" 126.015"", "" 123.533"", ""  57.784""], ["" 126.212"", "" 122.893"", ""  56.413""], ["" 125.254"", "" 122.512"", ""  55.738""], ["" 127.514"", "" 122.815"", ""  56.066""], ["" 128.010"", "" 123.551"", ""  54.959""]]",[],1d_Ghoteimi_2023
8,8034,1d_Grossjean_2025,receptor_tmp,2,18,-8.46,-0.3845454545454546,0.0,0.0,7,192.52,-9.65,-9.45,-0.19,-9.65,0.0,-0.4,1.19,-0.4,52,3,0.0,0.0,0.0,12.501516,12.97785,19.461009,-0.73658714,0.59759822,-0.31672663,128.666595,"261.095367, 167.551437, 317.850555, 342.420837, ","[["" 127.519"", "" 127.795"", ""  72.647""], ["" 127.083"", "" 129.237"", ""  73.592""], ["" 125.706"", "" 130.536"", ""  75.102""], ["" 125.928"", "" 129.326"", ""  74.404""], ["" 126.614"", "" 131.589"", ""  74.954""], ["" 124.965"", "" 128.228"", ""  74.507""], ["" 127.713"", "" 131.422"", ""  74.113""], ["" 124.202"", "" 127.362"", ""  74.590""], ["" 127.947"", "" 130.272"", ""  73.438""], ["" 124.501"", "" 130.748"", ""  76.017""], ["" 128.727"", "" 132.530"", ""  73.902""], ["" 129.304"", "" 127.885"", ""  72.310""], ["" 130.046"", "" 126.639"", ""  72.797""], ["" 131.271"", "" 126.864"", ""  73.320""], ["" 129.515"", "" 125.536"", ""  72.670""], ["" 131.589"", "" 127.822"", ""  73.311""], ["" 132.197"", "" 125.957"", ""  73.868""], ["" 131.667"", "" 124.743"", ""  74.314""], ["" 133.580"", "" 126.188"", ""  73.970""], ["" 132.498"", "" 123.774"", ""  74.868""], ["" 134.409"", "" 125.216"", ""  74.523""], ["" 133.865"", "" 124.014"", ""  74.971""]]",[],1d_Grossjean_2025
9,8266,1e_Grossjean_2025,receptor_tmp,1,20,-8.31,-0.361304347826087,0.0,0.0,2,191.69,-9.5,-9.15,-0.35,-9.5,0.0,-0.4,1.19,-0.4,55,4,0.0,0.0,0.0,12.858778,11.791469,18.845844,0.48829276,0.66589839,0.56404744,138.695526,"152.33136, 332.975494, 348.981018, 326.482819, ","[["" 129.287"", "" 126.582"", ""  72.115""], ["" 131.094"", "" 126.594"", ""  72.319""], ["" 131.562"", "" 125.213"", ""  73.342""], ["" 133.010"", "" 123.971"", ""  74.836""], ["" 132.779"", "" 125.130"", ""  74.061""], ["" 132.034"", "" 122.970"", ""  74.879""], ["" 133.765"", "" 126.213"", ""  74.052""], ["" 130.852"", "" 123.146"", ""  74.162""], ["" 134.546"", "" 127.067"", ""  74.047""], ["" 130.611"", "" 124.246"", ""  73.411""], ["" 134.288"", "" 123.762"", ""  75.646""], ["" 129.749"", "" 122.106"", ""  74.184""], ["" 128.632"", "" 127.815"", ""  72.739""], ["" 127.469"", "" 127.596"", ""  73.391""], ["" 129.168"", "" 128.916"", ""  72.601""], ["" 127.108"", "" 126.653"", ""  73.370""], ["" 126.643"", "" 128.527"", ""  74.044""], ["" 127.121"", "" 129.724"", ""  74.496""], ["" 125.306"", "" 128.154"", ""  74.230""], ["" 126.267"", "" 130.568"", ""  75.130""], ["" 124.441"", "" 129.034"", ""  74.883""], ["" 124.921"", "" 130.260"", ""  75.343""], ["" 126.866"", "" 131.880"", ""  75.603""]]",[],1e_Grossjean_2025
