,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,3329,1a_Ghoteimi_2023,receptor_tmp,1,12,-9.91,-0.24170731707317072,0.0,0.0,5,186.47,-13.19,-12.94,-0.25,-13.19,0.0,-1.6,3.28,-1.6,81,8,0.0,0.0,0.0,4.324385,14.444437,8.898103,-0.8165523,0.57517016,-0.04921011,109.359383,"21.091391, 240.922943, 200.291901, 289.045624, 19.87405, 278.265961, 296.974518, 265.371918, 199.7686, 81.547508, 60.607563, ","[["" 127.188"", "" 127.627"", ""  61.891""], ["" 126.468"", "" 127.014"", ""  60.926""], ["" 128.334"", "" 127.330"", ""  62.226""], ["" 125.559"", "" 127.408"", ""  60.733""], ["" 126.486"", "" 128.786"", ""  62.598""], ["" 127.675"", "" 129.905"", ""  63.396""], ["" 127.820"", "" 131.318"", ""  62.327""], ["" 127.214"", "" 133.518"", ""  61.514""], ["" 126.995"", "" 132.459"", ""  62.427""], ["" 128.229"", "" 133.376"", ""  60.558""], ["" 125.938"", "" 132.543"", ""  63.440""], ["" 129.024"", "" 132.224"", ""  60.527""], ["" 125.103"", "" 132.611"", ""  64.239""], ["" 128.811"", "" 131.213"", ""  61.409""], ["" 126.427"", "" 134.788"", ""  61.508""], ["" 124.952"", "" 137.181"", ""  61.536""], ["" 124.311"", "" 135.957"", ""  61.347""], ["" 126.343"", "" 137.202"", ""  61.717""], ["" 125.039"", "" 134.771"", ""  61.336""], ["" 127.070"", "" 136.014"", ""  61.705""], ["" 124.149"", "" 138.304"", ""  61.533""], ["" 124.732"", "" 139.575"", ""  61.264""], ["" 130.127"", "" 132.023"", ""  59.528""], ["" 131.419"", "" 131.650"", ""  59.933""], ["" 129.902"", "" 132.209"", ""  58.155""], ["" 132.439"", "" 131.464"", ""  59.005""], ["" 130.920"", "" 132.024"", ""  57.225""], ["" 132.203"", "" 131.647"", ""  57.645""], ["" 133.273"", "" 131.438"", ""  56.795""], ["" 134.381"", "" 130.670"", ""  57.252""], ["" 126.807"", "" 125.923"", ""  60.103""], ["" 126.980"", "" 124.604"", ""  60.548""], ["" 126.961"", "" 126.213"", ""  58.747""], ["" 127.311"", "" 123.598"", ""  59.644""], ["" 127.293"", "" 125.206"", ""  57.843""], ["" 127.471"", "" 123.887"", ""  58.280""], ["" 127.825"", "" 122.825"", ""  57.279""], ["" 128.976"", "" 122.626"", ""  56.879""], ["" 126.751"", "" 122.109"", ""  56.856""], ["" 125.429"", "" 122.613"", ""  57.002""], ["" 125.094"", "" 123.513"", ""  55.809""]]",[],1a_Ghoteimi_2023
1,6726,1a_Grossjean_2025,receptor_tmp,1,12,-8.69,-0.32185185185185183,0.0,0.0,1,193.34,-10.77,-10.66,-0.11,-10.77,0.0,-0.9,2.09,-0.9,73,5,0.0,0.0,0.0,5.287791,18.331148,8.496372,-0.81645506,-0.17710698,0.54957643,170.538406,"276.378235, 104.38147, 115.386581, 155.267532, 86.042137, 170.62027, 83.797531, ","[["" 126.721"", "" 135.688"", ""  61.365""], ["" 125.328"", "" 135.704"", ""  61.288""], ["" 124.633"", "" 136.910"", ""  61.303""], ["" 125.321"", "" 138.127"", ""  61.393""], ["" 126.723"", "" 138.108"", ""  61.463""], ["" 127.419"", "" 136.902"", ""  61.448""], ["" 127.319"", "" 134.413"", ""  61.345""], ["" 126.787"", "" 133.201"", ""  61.611""], ["" 125.619"", "" 132.987"", ""  61.935""], ["" 128.286"", "" 134.419"", ""  61.056""], ["" 127.753"", "" 132.020"", ""  61.487""], ["" 129.491"", "" 132.553"", ""  61.489""], ["" 130.152"", "" 132.227"", ""  59.870""], ["" 131.866"", "" 131.554"", ""  58.297""], ["" 131.474"", "" 131.779"", ""  59.637""], ["" 130.952"", "" 131.796"", ""  57.266""], ["" 132.430"", "" 131.579"", ""  60.729""], ["" 129.678"", "" 132.259"", ""  57.587""], ["" 133.187"", "" 131.421"", ""  61.590""], ["" 129.279"", "" 132.478"", ""  58.862""], ["" 133.262"", "" 131.061"", ""  57.921""], ["" 128.645"", "" 132.549"", ""  56.514""], ["" 124.541"", "" 139.410"", ""  61.412""], ["" 124.013"", "" 139.868"", ""  62.429""], ["" 124.487"", "" 140.023"", ""  60.201""], ["" 125.268"", "" 139.558"", ""  59.107""], ["" 126.583"", "" 140.341"", ""  59.049""]]",[],1a_Grossjean_2025
2,2526,1aa_Ghoteimi_2023,receptor_tmp,1,17,-8.69,-0.21195121951219512,0.0,0.0,4,186.97,-11.97,-11.85,-0.12,-11.97,0.0,-1.77,3.28,-1.77,77,8,0.0,0.0,0.0,4.084853,12.971751,10.626356,0.97183805,-0.06392845,-0.22681262,115.985382,"331.430145, 192.25145, 329.551819, 98.406204, 305.085968, 247.150787, 86.626945, 329.256836, 30.369396, 310.909454, 352.137177, ","[["" 127.499"", "" 128.540"", ""  61.807""], ["" 128.108"", "" 127.766"", ""  62.734""], ["" 127.946"", "" 128.778"", ""  60.685""], ["" 127.610"", "" 127.655"", ""  63.606""], ["" 126.147"", "" 129.164"", ""  62.188""], ["" 126.343"", "" 130.408"", ""  62.872""], ["" 126.896"", "" 131.494"", ""  62.208""], ["" 126.799"", "" 133.812"", ""  61.499""], ["" 126.215"", "" 132.723"", ""  62.187""], ["" 128.044"", "" 133.614"", ""  60.886""], ["" 124.939"", "" 132.847"", ""  62.894""], ["" 128.681"", "" 132.368"", ""  60.947""], ["" 128.100"", "" 131.325"", ""  61.595""], ["" 123.931"", "" 132.942"", ""  63.454""], ["" 126.167"", "" 135.160"", ""  61.389""], ["" 124.952"", "" 137.689"", ""  61.202""], ["" 124.211"", "" 136.530"", ""  60.977""], ["" 126.312"", "" 137.577"", ""  61.528""], ["" 124.810"", "" 135.277"", ""  61.072""], ["" 126.910"", "" 136.323"", ""  61.622""], ["" 124.275"", "" 138.888"", ""  61.085""], ["" 124.713"", "" 140.010"", ""  61.843""], ["" 130.006"", "" 132.099"", ""  60.295""], ["" 131.117"", "" 131.704"", ""  61.054""], ["" 130.175"", "" 132.229"", ""  58.906""], ["" 132.348"", "" 131.456"", ""  60.452""], ["" 131.404"", "" 131.983"", ""  58.302""], ["" 132.506"", "" 131.593"", ""  59.075""], ["" 133.763"", "" 131.327"", ""  58.566""], ["" 133.881"", "" 130.812"", ""  57.244""], ["" 129.333"", "" 127.076"", ""  62.683""], ["" 130.150"", "" 126.964"", ""  61.548""], ["" 129.735"", "" 126.473"", ""  63.876""], ["" 131.346"", "" 126.254"", ""  61.615""], ["" 130.930"", "" 125.764"", ""  63.941""], ["" 131.751"", "" 125.645"", ""  62.813""], ["" 133.035"", "" 124.872"", ""  62.916""], ["" 133.858"", "" 125.045"", ""  63.820""], ["" 133.198"", "" 123.966"", ""  61.918""], ["" 133.920"", "" 122.760"", ""  62.133""], ["" 133.359"", "" 121.661"", ""  61.226""]]",[],1aa_Ghoteimi_2023
3,3795,1b_Ghoteimi_2023,receptor_tmp,1,11,-8.79,-0.2511428571428571,0.0,0.0,3,188.39,-11.17,-10.96,-0.21,-11.17,0.0,-2.4,2.39,-2.4,71,9,0.0,0.0,0.0,6.774766,16.836586,9.445573,-0.48083217,-0.03130772,-0.87625353,124.265869,"3.146342, 59.400471, 50.230423, 206.837784, 169.111115, 99.169334, 8.831132, 283.47583, ","[["" 127.088"", "" 133.656"", ""  61.669""], ["" 126.844"", "" 132.656"", ""  62.642""], ["" 125.742"", "" 132.801"", ""  63.598""], ["" 124.872"", "" 132.916"", ""  64.353""], ["" 127.651"", "" 131.497"", ""  62.619""], ["" 128.607"", "" 131.298"", ""  61.679""], ["" 128.842"", "" 132.250"", ""  60.738""], ["" 128.092"", "" 133.430"", ""  60.718""], ["" 126.330"", "" 134.940"", ""  61.590""], ["" 124.897"", "" 137.352"", ""  61.419""], ["" 124.242"", "" 136.128"", ""  61.277""], ["" 126.281"", "" 137.364"", ""  61.642""], ["" 124.952"", "" 134.933"", ""  61.360""], ["" 126.988"", "" 136.168"", ""  61.724""], ["" 124.112"", "" 138.486"", ""  61.322""], ["" 124.732"", "" 139.766"", ""  61.389""], ["" 127.493"", "" 130.144"", ""  63.766""], ["" 125.727"", "" 129.701"", ""  63.873""], ["" 124.920"", "" 129.934"", ""  62.587""], ["" 125.665"", "" 130.028"", ""  61.463""], ["" 123.690"", "" 130.019"", ""  62.622""], ["" 126.667"", "" 129.952"", ""  61.565""], ["" 125.210"", "" 130.237"", ""  60.167""], ["" 124.341"", "" 131.160"", ""  59.788""], ["" 125.629"", "" 129.471"", ""  59.080""], ["" 124.171"", "" 131.012"", ""  58.411""], ["" 124.956"", "" 129.989"", ""  57.997""], ["" 129.927"", "" 131.954"", ""  59.741""], ["" 129.659"", "" 131.942"", ""  58.364""], ["" 131.243"", "" 131.689"", ""  60.152""], ["" 130.661"", "" 131.670"", ""  57.438""], ["" 132.249"", "" 131.418"", ""  59.229""], ["" 131.964"", "" 131.406"", ""  57.857""], ["" 132.893"", "" 131.149"", ""  56.868""], ["" 134.193"", "" 130.704"", ""  57.236""]]",[],1b_Ghoteimi_2023
4,1883,1b_Grossjean_2025,receptor_tmp,1,8,-8.8,-0.3384615384615385,0.0,0.0,1,192.98,-10.59,-10.44,-0.15,-10.59,0.0,-0.72,1.79,-0.72,65,4,0.0,0.0,0.0,7.113573,18.979371,7.57175,0.08854093,0.22220294,-0.97097186,158.574615,"141.714996, 270.668762, 228.60878, 151.893661, 264.275848, 119.009102, ","[["" 127.445"", "" 133.552"", ""  62.258""], ["" 127.461"", "" 134.555"", ""  61.352""], ["" 126.805"", "" 133.549"", ""  63.309""], ["" 128.045"", "" 134.409"", ""  60.542""], ["" 128.297"", "" 132.334"", ""  61.902""], ["" 128.419"", "" 132.083"", ""  60.105""], ["" 130.147"", "" 131.929"", ""  59.706""], ["" 132.073"", "" 132.006"", ""  58.242""], ["" 130.679"", "" 132.163"", ""  58.417""], ["" 132.863"", "" 131.641"", ""  59.336""], ["" 129.838"", "" 132.587"", ""  57.295""], ["" 132.257"", "" 131.452"", ""  60.576""], ["" 129.176"", "" 132.922"", ""  56.407""], ["" 130.925"", "" 131.597"", ""  60.767""], ["" 132.762"", "" 132.224"", ""  56.896""], ["" 133.061"", "" 131.065"", ""  61.803""], ["" 126.800"", "" 135.798"", ""  61.362""], ["" 125.406"", "" 135.739"", ""  61.368""], ["" 127.435"", "" 137.049"", ""  61.368""], ["" 124.649"", "" 136.907"", ""  61.380""], ["" 126.677"", "" 138.216"", ""  61.378""], ["" 125.277"", "" 138.162"", ""  61.385""], ["" 124.492"", "" 139.442"", ""  61.399""], ["" 124.071"", "" 139.968"", ""  62.434""], ["" 124.286"", "" 139.958"", ""  60.160""], ["" 125.206"", "" 139.715"", ""  59.105""]]",[],1b_Grossjean_2025
5,6700,1c_Ghoteimi_2023,receptor_tmp,1,11,-8.47,-0.24200000000000002,0.0,0.0,5,192.55,-10.85,-10.8,-0.05,-10.85,0.0,-2.1,2.39,-2.1,79,6,0.0,0.0,0.0,5.460961,17.756996,6.862407,-0.15231823,0.00244805,-0.98832847,132.315109,"154.338211, 19.219563, 270.890015, 337.865234, 96.498558, 316.246063, 155.452148, 93.566086, ","[["" 126.749"", "" 134.144"", ""  61.519""], ["" 126.005"", "" 133.067"", ""  62.057""], ["" 124.687"", "" 133.285"", ""  62.663""], ["" 123.648"", "" 133.459"", ""  63.140""], ["" 126.564"", "" 131.774"", ""  61.979""], ["" 127.781"", "" 131.536"", ""  61.435""], ["" 128.517"", "" 132.572"", ""  60.954""], ["" 128.015"", "" 133.877"", ""  60.983""], ["" 126.249"", "" 135.549"", ""  61.456""], ["" 125.321"", "" 138.195"", ""  61.291""], ["" 124.463"", "" 137.128"", ""  61.028""], ["" 126.656"", "" 137.931"", ""  61.635""], ["" 124.922"", "" 135.817"", ""  61.107""], ["" 127.112"", "" 136.618"", ""  61.713""], ["" 124.779"", "" 139.462"", ""  61.188""], ["" 123.656"", "" 139.670"", ""  60.338""], ["" 125.672"", "" 130.311"", ""  62.459""], ["" 124.177"", "" 130.314"", ""  61.418""], ["" 124.485"", "" 130.690"", ""  59.964""], ["" 125.241"", "" 129.798"", ""  59.287""], ["" 124.078"", "" 131.762"", ""  59.514""], ["" 125.503"", "" 128.951"", ""  59.769""], ["" 125.786"", "" 129.964"", ""  58.023""], ["" 125.295"", "" 129.556"", ""  56.873""], ["" 127.268"", "" 130.857"", ""  57.915""], ["" 126.061"", "" 129.925"", ""  55.864""], ["" 127.201"", "" 130.652"", ""  56.190""], ["" 129.855"", "" 132.230"", ""  60.365""], ["" 130.112"", "" 132.390"", ""  58.995""], ["" 130.892"", "" 131.736"", ""  61.171""], ["" 131.355"", "" 132.076"", ""  58.453""], ["" 132.137"", "" 131.422"", ""  60.634""], ["" 132.379"", "" 131.592"", ""  59.263""], ["" 133.580"", "" 131.310"", ""  58.642""], ["" 133.590"", "" 131.002"", ""  57.252""]]",[],1c_Ghoteimi_2023
6,2987,1c_Grossjean_2025,receptor_tmp,1,13,-8.74,-0.3641666666666667,0.0,0.0,5,193.13,-10.23,-10.08,-0.15,-10.23,0.0,-0.63,1.49,-0.63,66,4,0.0,0.0,0.0,6.484213,18.185552,7.016273,-0.87663643,-0.4806161,-0.02273172,152.234604,"143.079987, 6.685363, 49.852222, 133.923965, 118.917953, ","[["" 127.004"", "" 133.800"", ""  62.069""], ["" 127.208"", "" 134.957"", ""  61.404""], ["" 126.017"", "" 133.534"", ""  62.755""], ["" 128.034"", "" 134.998"", ""  60.826""], ["" 128.114"", "" 132.756"", ""  61.925""], ["" 128.548"", "" 132.465"", ""  60.184""], ["" 130.290"", "" 132.107"", ""  60.091""], ["" 132.415"", "" 131.790"", ""  58.970""], ["" 131.035"", "" 132.089"", ""  58.888""], ["" 132.987"", "" 131.543"", ""  60.222""], ["" 130.429"", "" 132.404"", ""  57.592""], ["" 132.185"", "" 131.608"", ""  61.358""], ["" 129.951"", "" 132.652"", ""  56.568""], ["" 130.862"", "" 131.889"", ""  61.303""], ["" 133.319"", "" 131.731"", ""  57.741""], ["" 132.749"", "" 131.366"", ""  62.746""], ["" 126.399"", "" 136.107"", ""  61.342""], ["" 126.866"", "" 137.421"", ""  61.493""], ["" 125.045"", "" 135.887"", ""  61.085""], ["" 125.979"", "" 138.490"", ""  61.403""], ["" 124.161"", "" 136.958"", ""  60.995""], ["" 124.623"", "" 138.273"", ""  61.157""], ["" 123.822"", "" 139.397"", ""  61.086""], ["" 123.956"", "" 140.408"", ""  62.079""]]",[],1c_Grossjean_2025
7,7023,1d_Ghoteimi_2023,receptor_tmp,1,16,-8.24,-0.27466666666666667,0.0,0.0,12,192.77,-10.63,-10.34,-0.28,-10.63,0.0,-1.07,2.39,-1.07,71,9,0.0,0.0,0.0,6.018795,17.207294,8.221204,0.64036588,-0.69423722,0.32858213,178.729065,"338.581879, 190.896027, 321.010468, 279.547943, 236.106232, 176.533981, 28.541924, 332.108063, ","[["" 126.410"", "" 129.976"", ""  63.060""], ["" 126.987"", "" 131.441"", ""  62.230""], ["" 126.859"", "" 133.756"", ""  61.516""], ["" 126.294"", "" 132.673"", ""  62.235""], ["" 128.090"", "" 133.561"", ""  60.876""], ["" 125.062"", "" 132.850"", ""  63.009""], ["" 128.743"", "" 132.325"", ""  60.946""], ["" 124.089"", "" 132.991"", ""  63.619""], ["" 128.183"", "" 131.284"", ""  61.614""], ["" 126.221"", "" 135.103"", ""  61.408""], ["" 125.002"", "" 137.628"", ""  61.205""], ["" 124.261"", "" 136.466"", ""  60.994""], ["" 126.363"", "" 137.521"", ""  61.530""], ["" 124.862"", "" 135.214"", ""  61.097""], ["" 126.961"", "" 136.268"", ""  61.633""], ["" 124.324"", "" 138.825"", ""  61.075""], ["" 124.858"", "" 139.996"", ""  61.684""], ["" 130.067"", "" 132.066"", ""  60.287""], ["" 131.188"", "" 131.672"", ""  61.034""], ["" 130.226"", "" 132.219"", ""  58.901""], ["" 132.416"", "" 131.439"", ""  60.422""], ["" 131.453"", "" 131.988"", ""  58.285""], ["" 132.563"", "" 131.594"", ""  59.045""], ["" 133.818"", "" 131.345"", ""  58.525""], ["" 133.929"", "" 130.686"", ""  57.268""], ["" 126.439"", "" 130.329"", ""  64.843""], ["" 125.292"", "" 129.551"", ""  65.483""], ["" 124.147"", "" 129.608"", ""  65.031""], ["" 125.693"", "" 128.831"", ""  66.551""], ["" 127.062"", "" 128.801"", ""  66.926""]]",[],1d_Ghoteimi_2023
8,3175,1d_Grossjean_2025,receptor_tmp,1,4,-9.07,-0.4122727272727273,0.0,0.0,2,192.3,-10.27,-10.13,-0.14,-10.27,0.0,-0.44,1.19,-0.44,60,3,0.0,0.0,0.0,7.648505,19.182009,7.035126,-0.07879993,0.08926452,0.9928859,140.163391,"278.460327, 52.173725, 356.731812, 10.837346, ","[["" 128.248"", "" 132.909"", ""  60.209""], ["" 129.931"", "" 132.358"", ""  60.036""], ["" 131.947"", "" 131.820"", ""  58.807""], ["" 130.608"", "" 132.274"", ""  58.797""], ["" 132.538"", "" 131.461"", ""  60.023""], ["" 129.953"", "" 132.609"", ""  57.530""], ["" 131.789"", "" 131.552"", ""  61.194""], ["" 129.439"", "" 132.873"", ""  56.528""], ["" 130.507"", "" 131.987"", ""  61.208""], ["" 132.784"", "" 131.696"", ""  57.535""], ["" 132.370"", "" 131.168"", ""  62.540""], ["" 128.159"", "" 133.917"", ""  61.720""], ["" 127.041"", "" 134.959"", ""  61.652""], ["" 127.445"", "" 136.226"", ""  61.416""], ["" 125.877"", "" 134.603"", ""  61.832""], ["" 128.442"", "" 136.367"", ""  61.337""], ["" 126.687"", "" 137.403"", ""  61.277""], ["" 127.074"", "" 138.254"", ""  60.238""], ["" 125.589"", "" 137.749"", ""  62.083""], ["" 126.387"", "" 139.443"", ""  60.009""], ["" 124.904"", "" 138.938"", ""  61.852""], ["" 125.305"", "" 139.781"", ""  60.818""]]",[],1d_Grossjean_2025
9,3913,1e_Grossjean_2025,receptor_tmp,1,5,-7.57,-0.3291304347826087,0.0,0.0,1,187.38,-8.76,-8.44,-0.32,-8.76,0.0,-0.8,1.19,-0.8,42,11,0.0,0.0,0.0,2.1226,14.352925,7.34748,-0.90116967,-0.11430477,-0.41812396,197.791504,"155.83696, 160.196014, 109.759598, 40.672783, ","[["" 123.729"", "" 131.317"", ""  60.370""], ["" 124.657"", "" 130.313"", ""  59.172""], ["" 126.309"", "" 130.967"", ""  59.037""], ["" 128.429"", "" 131.384"", ""  57.941""], ["" 127.141"", "" 130.802"", ""  57.904""], ["" 128.822"", "" 132.107"", ""  59.072""], ["" 126.693"", "" 130.091"", ""  56.704""], ["" 127.928"", "" 132.243"", ""  60.132""], ["" 126.342"", "" 129.530"", ""  55.755""], ["" 126.692"", "" 131.692"", ""  60.120""], ["" 129.421"", "" 131.265"", ""  56.785""], ["" 128.288"", "" 133.031"", ""  61.376""], ["" 124.417"", "" 131.361"", ""  61.736""], ["" 124.479"", "" 130.186"", ""  62.400""], ["" 124.846"", "" 132.435"", ""  62.159""], ["" 124.027"", "" 129.395"", ""  61.965""], ["" 125.034"", "" 129.924"", ""  63.666""], ["" 124.264"", "" 129.856"", ""  64.792""], ["" 126.423"", "" 129.760"", ""  63.716""], ["" 124.870"", "" 129.613"", ""  65.981""], ["" 127.032"", "" 129.509"", ""  64.948""], ["" 126.251"", "" 129.434"", ""  66.101""], ["" 123.953"", "" 129.549"", ""  67.188""]]",[],1e_Grossjean_2025
