,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,741,ZINC100024116,4h2i_c_3_mae_prepped,12,12,-5.25,-0.4375,0.0,0.0,20,191.8,-5.25,-5.19,-0.06,-5.25,0.0,0.0,0.0,0.0,24,0,0.0,0.0,0.0,8.974022,15.259224,2.799299,-0.35303366,0.92798627,-0.11920035,191.464081,,"[["" 132.897"", "" 130.449"", ""  57.238""], ["" 131.173"", "" 130.554"", ""  57.718""], ["" 130.689"", "" 132.032"", ""  57.656""], ["" 129.170"", "" 132.172"", ""  58.591""], ["" 130.434"", "" 132.560"", ""  56.215""], ["" 131.993"", "" 132.904"", ""  55.399""], ["" 129.573"", "" 131.576"", ""  55.377""], ["" 129.384"", "" 132.184"", ""  53.703""], ["" 130.122"", "" 130.125"", ""  55.390""], ["" 128.977"", "" 129.055"", ""  54.525""], ["" 130.295"", "" 129.616"", ""  56.845""], ["" 130.945"", "" 127.948"", ""  56.876""]]",[],ZINC100024116
1,9196,ZINC100034590,4h2i_c_3_mae_prepped,1,6,-3.29,-0.11750000000000001,0.0,0.0,6,183.33,-5.97,-5.95,-0.02,-5.97,0.0,-0.83,2.68,-0.83,67,3,0.0,0.0,0.0,5.792269,7.506886,6.894385,0.57735322,0.81420436,0.06111074,246.794205,"125.081085, 192.342102, 85.482056, 32.123089, 153.737381, 307.669464, 87.674599, 351.527161, 169.219666, ","[["" 127.122"", "" 123.644"", ""  60.325""], ["" 127.554"", "" 124.869"", ""  59.998""], ["" 127.127"", "" 122.752"", ""  59.198""], ["" 127.849"", "" 123.094"", ""  58.012""], ["" 128.192"", "" 121.972"", ""  57.375""], ["" 128.968"", "" 123.760"", ""  58.309""], ["" 126.917"", "" 123.948"", ""  57.132""], ["" 127.537"", "" 124.994"", ""  56.581""], ["" 125.852"", "" 124.396"", ""  57.800""], ["" 126.245"", "" 122.903"", ""  55.695""], ["" 125.645"", "" 123.754"", ""  54.660""], ["" 125.590"", "" 121.687"", ""  56.189""], ["" 127.677"", "" 122.421"", ""  55.095""], ["" 125.661"", "" 123.728"", ""  60.852""], ["" 125.409"", "" 122.802"", ""  61.775""], ["" 125.404"", "" 124.910"", ""  61.415""], ["" 124.768"", "" 123.568"", ""  59.874""], ["" 128.111"", "" 123.030"", ""  61.354""], ["" 129.255"", "" 123.718"", ""  61.404""], ["" 127.574"", "" 123.053"", ""  62.577""], ["" 128.370"", "" 121.675"", ""  60.967""], ["" 129.399"", "" 120.943"", ""  61.645""], ["" 129.552"", "" 121.403"", ""  62.889""], ["" 129.075"", "" 119.650"", ""  61.718""], ["" 130.700"", "" 121.127"", ""  60.842""], ["" 131.693"", "" 121.551"", ""  61.626""], ["" 131.099"", "" 119.984"", ""  60.283""], ["" 130.554"", "" 122.027"", ""  59.869""]]",[],ZINC100034590
2,6302,ZINC100043079,4h2i_c_3_mae_prepped,1,8,-2.84,-0.10518518518518517,0.0,0.0,19,187.56,-3.74,-3.63,-0.11,-3.74,0.0,0.16,0.89,0.16,66,0,0.0,0.0,0.0,7.15583,15.314941,2.931351,0.6126682,0.77872955,-0.1349739,300.23645,"324.839417, 305.85022, 351.089111, ","[["" 126.152"", "" 130.216"", ""  56.064""], ["" 126.542"", "" 129.042"", ""  55.557""], ["" 126.003"", "" 131.046"", ""  55.026""], ["" 124.764"", "" 130.020"", ""  56.731""], ["" 124.583"", "" 128.769"", ""  57.156""], ["" 123.776"", "" 130.293"", ""  55.877""], ["" 124.599"", "" 130.815"", ""  57.789""], ["" 127.256"", "" 130.768"", ""  57.027""], ["" 126.891"", "" 132.000"", ""  57.391""], ["" 127.202"", "" 130.050"", ""  58.152""], ["" 128.726"", "" 130.763"", ""  56.415""], ["" 129.844"", "" 131.116"", ""  57.462""], ["" 128.887"", "" 131.690"", ""  55.155""], ["" 131.282"", "" 131.099"", ""  56.862""], ["" 130.324"", "" 131.672"", ""  54.554""], ["" 131.395"", "" 132.025"", ""  55.621""], ["" 129.023"", "" 129.531"", ""  55.986""], ["" 129.609"", "" 132.337"", ""  57.952""], ["" 129.790"", "" 130.272"", ""  58.495""], ["" 128.011"", "" 131.337"", ""  54.211""], ["" 128.592"", "" 132.947"", ""  55.503""], ["" 132.170"", "" 131.468"", ""  57.789""], ["" 131.591"", "" 129.850"", ""  56.500""], ["" 130.403"", "" 132.527"", ""  53.531""], ["" 130.581"", "" 130.455"", ""  54.067""], ["" 131.220"", "" 133.292"", ""  56.008""], ["" 132.618"", "" 131.941"", ""  55.092""]]",[],ZINC100043079
3,2619,ZINC100045963,4h2i_c_3_mae_prepped,1,8,-10.22,-0.26894736842105266,0.0,0.0,11,183.24,-13.2,-12.47,-0.73,-13.2,0.0,-1.3,2.98,-1.3,41,10,0.0,0.0,0.0,4.166001,11.036934,4.751046,-0.28237205,0.23845778,-0.9291953,126.667862,"312.50351, 119.977768, 277.562592, 31.863594, 171.391907, 356.823151, 162.878387, 51.107876, 203.603195, 30.230314, ","[["" 128.981"", "" 130.616"", ""  53.915""], ["" 129.463"", "" 132.049"", ""  53.640""], ["" 130.499"", "" 132.542"", ""  54.665""], ["" 129.969"", "" 132.522"", ""  56.109""], ["" 130.942"", "" 131.863"", ""  57.096""], ["" 127.764"", "" 130.678"", ""  54.654""], ["" 127.491"", "" 129.705"", ""  55.596""], ["" 128.582"", "" 128.983"", ""  56.076""], ["" 126.208"", "" 129.415"", ""  56.085""], ["" 128.403"", "" 127.974"", ""  57.018""], ["" 126.029"", "" 128.406"", ""  57.029""], ["" 127.121"", "" 127.669"", ""  57.484""], ["" 126.914"", "" 126.610"", ""  58.483""], ["" 127.818"", "" 125.724"", ""  58.965""], ["" 127.568"", "" 124.745"", ""  60.034""], ["" 129.223"", "" 125.476"", ""  58.577""], ["" 126.397"", "" 124.530"", ""  60.767""], ["" 128.698"", "" 123.959"", ""  60.256""], ["" 129.796"", "" 124.527"", ""  59.429""], ["" 129.986"", "" 126.046"", ""  57.554""], ["" 126.317"", "" 123.494"", ""  61.703""], ["" 128.594"", "" 122.836"", ""  61.105""], ["" 131.189"", "" 124.312"", ""  59.382""], ["" 131.346"", "" 125.748"", ""  57.413""], ["" 127.421"", "" 122.646"", ""  61.847""], ["" 131.935"", "" 124.895"", ""  58.352""], ["" 125.079"", "" 123.273"", ""  62.491""], ["" 125.178"", "" 122.797"", ""  63.619""], ["" 124.000"", "" 123.573"", ""  61.988""], ["" 129.624"", "" 121.783"", ""  61.171""], ["" 130.011"", "" 121.283"", ""  60.118""], ["" 130.082"", "" 121.501"", ""  62.273""], ["" 131.922"", "" 123.583"", ""  60.434""], ["" 131.685"", "" 123.876"", ""  61.601""], ["" 132.767"", "" 122.762"", ""  60.090""], ["" 132.149"", "" 126.354"", ""  56.323""], ["" 131.559"", "" 126.876"", ""  55.380""], ["" 133.373"", "" 126.315"", ""  56.400""]]",[],ZINC100045963
4,944,ZINC100046143,4h2i_c_3_mae_prepped,1,5,-3.58,-0.12344827586206897,0.0,0.0,6,188.01,-7.46,-7.22,-0.24,-7.46,0.0,-0.51,3.88,-0.51,64,2,0.0,0.0,0.0,6.521901,13.543326,2.590853,-0.23652126,-0.02253698,0.9713649,135.50235,"205.043442, 209.66214, 329.70636, 260.857635, 359.385651, 331.149933, 337.794983, 246.915665, 67.077522, 252.65387, 243.662689, 325.592621, 282.347656, ","[["" 127.660"", "" 127.728"", ""  56.326""], ["" 128.575"", "" 126.614"", ""  56.873""], ["" 127.798"", "" 125.346"", ""  57.270""], ["" 128.621"", "" 124.058"", ""  57.098""], ["" 127.832"", "" 122.797"", ""  57.499""], ["" 126.974"", "" 122.349"", ""  56.453""], ["" 125.618"", "" 122.432"", ""  56.552""], ["" 124.833"", "" 121.658"", ""  56.001""], ["" 125.139"", "" 123.537"", ""  57.381""], ["" 123.936"", "" 123.574"", ""  57.987""], ["" 128.271"", "" 129.150"", ""  56.408""], ["" 127.339"", "" 129.998"", ""  56.851""], ["" 129.246"", "" 129.153"", ""  57.320""], ["" 128.821"", "" 129.628"", ""  55.029""], ["" 130.111"", "" 129.291"", ""  54.942""], ["" 128.205"", "" 128.944"", ""  54.060""], ["" 128.657"", "" 131.163"", ""  54.777""], ["" 129.039"", "" 131.448"", ""  53.530""], ["" 127.363"", "" 131.485"", ""  54.841""], ["" 129.461"", "" 132.054"", ""  55.781""], ["" 129.023"", "" 133.314"", ""  55.707""], ["" 129.207"", "" 131.657"", ""  57.030""], ["" 131.006"", "" 132.034"", ""  55.544""], ["" 131.287"", "" 131.393"", ""  54.408""], ["" 131.462"", "" 133.279"", ""  55.388""], ["" 131.803"", "" 131.363"", ""  56.693""], ["" 131.547"", "" 130.055"", ""  56.760""], ["" 133.121"", "" 131.498"", ""  56.534""], ["" 131.503"", "" 131.885"", ""  57.882""]]",[],ZINC100046143
5,509,ZINC100050078,4h2i_c_3_mae_prepped,1,10,-8.53,-0.23694444444444443,0.0,0.0,6,187.3,-11.21,-10.92,-0.29,-11.21,0.0,-2.28,2.68,-2.28,48,2,0.0,0.0,0.0,7.617483,13.223662,3.911211,0.63275044,0.52034947,0.57346605,95.808083,"122.468086, 116.005516, 114.701004, 87.533386, 335.865662, 79.024361, 112.903709, 86.209373, 46.420609, ","[["" 128.077"", "" 124.285"", ""  57.018""], ["" 127.495"", "" 122.926"", ""  57.418""], ["" 127.733"", "" 122.445"", ""  58.528""], ["" 126.737"", "" 122.354"", ""  56.454""], ["" 125.531"", "" 122.968"", ""  56.021""], ["" 124.614"", "" 123.194"", ""  57.228""], ["" 128.045"", "" 125.201"", ""  58.110""], ["" 127.554"", "" 126.478"", ""  57.906""], ["" 126.194"", "" 126.813"", ""  58.009""], ["" 128.482"", "" 127.475"", ""  57.576""], ["" 125.768"", "" 128.121"", ""  57.799""], ["" 128.034"", "" 128.789"", ""  57.359""], ["" 126.683"", "" 129.131"", ""  57.482""], ["" 129.810"", "" 127.092"", ""  57.482""], ["" 130.646"", "" 127.176"", ""  58.630""], ["" 126.228"", "" 130.596"", ""  57.255""], ["" 127.294"", "" 131.409"", ""  56.398""], ["" 128.378"", "" 132.141"", ""  57.246""], ["" 127.794"", "" 130.612"", ""  55.155""], ["" 128.211"", "" 132.466"", ""  58.420""], ["" 129.701"", "" 132.474"", ""  56.538""], ["" 129.156"", "" 131.016"", ""  54.569""], ["" 127.141"", "" 129.709"", ""  54.633""], ["" 130.240"", "" 131.340"", ""  55.629""], ["" 131.469"", "" 131.895"", ""  54.879""], ["" 130.590"", "" 130.077"", ""  56.464""], ["" 125.715"", "" 131.314"", ""  58.574""], ["" 124.180"", "" 131.323"", ""  58.757""], ["" 126.364"", "" 130.809"", ""  59.887""], ["" 123.381"", "" 130.699"", ""  58.058""], ["" 123.725"", "" 132.183"", ""  59.949""], ["" 125.965"", "" 131.647"", ""  61.113""], ["" 127.117"", "" 129.841"", ""  59.970""], ["" 124.417"", "" 131.777"", ""  61.292""], ["" 124.163"", "" 132.916"", ""  62.301""], ["" 123.841"", "" 130.421"", ""  61.777""]]",[],ZINC100050078
6,6592,ZINC100050142,4h2i_c_3_mae_prepped,1,14,-8.15,-0.22027027027027027,0.0,0.0,9,189.21,-11.73,-11.12,-0.61,-11.73,0.0,-3.14,3.58,-3.14,55,7,0.0,0.0,0.0,5.646582,13.833828,6.574546,0.61168637,-0.63113118,0.47698345,228.083054,"4.709229, 104.498627, 326.23642, 286.171875, 24.405941, 316.138031, 124.97361, 127.567436, 209.892303, 191.45668, 293.889435, 336.013916, ","[["" 127.595"", "" 127.022"", ""  60.967""], ["" 127.679"", "" 128.424"", ""  60.965""], ["" 126.963"", "" 129.234"", ""  60.059""], ["" 126.143"", "" 128.579"", ""  59.116""], ["" 126.041"", "" 127.180"", ""  59.123""], ["" 126.763"", "" 126.394"", ""  60.022""], ["" 128.266"", "" 126.232"", ""  61.886""], ["" 129.078"", "" 126.833"", ""  62.889""], ["" 126.597"", "" 124.990"", ""  59.933""], ["" 125.640"", "" 124.298"", ""  60.804""], ["" 126.221"", "" 123.185"", ""  61.701""], ["" 125.364"", "" 122.804"", ""  62.755""], ["" 125.462"", "" 123.436"", ""  63.472""], ["" 126.741"", "" 124.465"", ""  58.574""], ["" 125.472"", "" 123.781"", ""  58.037""], ["" 125.759"", "" 122.815"", ""  56.966""], ["" 125.985"", "" 122.055"", ""  56.122""], ["" 127.030"", "" 130.648"", ""  60.051""], ["" 126.541"", "" 131.251"", ""  61.055""], ["" 126.678"", "" 132.636"", ""  60.918""], ["" 127.931"", "" 133.222"", ""  61.188""], ["" 125.612"", "" 133.474"", ""  60.490""], ["" 128.125"", "" 134.595"", ""  61.068""], ["" 125.842"", "" 134.857"", ""  60.383""], ["" 127.085"", "" 135.434"", ""  60.667""], ["" 129.287"", "" 132.264"", ""  61.686""], ["" 124.251"", "" 132.955"", ""  60.143""], ["" 123.254"", "" 133.413"", ""  60.690""], ["" 124.164"", "" 132.059"", ""  59.307""], ["" 127.294"", "" 136.898"", ""  60.540""], ["" 128.415"", "" 137.309"", ""  60.254""], ["" 126.339"", "" 137.646"", ""  60.724""], ["" 125.400"", "" 129.366"", ""  58.205""], ["" 125.350"", "" 129.275"", ""  56.859""], ["" 125.994"", "" 128.480"", ""  56.175""], ["" 124.937"", "" 130.161"", ""  58.620""], ["" 124.438"", "" 130.281"", ""  56.162""]]",[],ZINC100050142
7,6707,ZINC100052783,4h2i_c_3_mae_prepped,1,14,-10.0,-0.2127659574468085,0.0,0.0,15,184.06,-13.58,-13.4,-0.17,-13.58,0.0,-2.67,3.58,-2.67,81,5,0.0,0.0,0.0,4.424814,14.723193,5.276906,0.40793947,0.52706777,-0.74550987,83.753502,"149.862, 162.443329, 108.83876, 93.656578, 303.273438, 135.841629, 22.188137, 13.63699, 267.151184, 315.357208, 110.908897, 34.083828, ","[["" 124.821"", "" 131.208"", ""  58.815""], ["" 124.108"", "" 130.843"", ""  57.674""], ["" 124.821"", "" 130.081"", ""  56.750""], ["" 126.140"", "" 129.799"", ""  57.106""], ["" 126.440"", "" 130.561"", ""  58.653""], ["" 124.380"", "" 132.029"", ""  60.046""], ["" 124.653"", "" 131.217"", ""  61.341""], ["" 125.150"", "" 129.727"", ""  63.705""], ["" 123.843"", "" 129.927"", ""  63.233""], ["" 126.202"", "" 130.302"", ""  62.974""], ["" 123.599"", "" 130.659"", ""  62.075""], ["" 125.958"", "" 131.034"", ""  61.815""], ["" 125.401"", "" 128.978"", ""  64.890""], ["" 124.545"", "" 129.157"", ""  66.063""], ["" 126.732"", "" 128.419"", ""  65.135""], ["" 122.981"", "" 132.242"", ""  59.879""], ["" 122.562"", "" 131.390"", ""  59.733""], ["" 125.067"", "" 133.418"", ""  60.124""], ["" 126.414"", "" 133.571"", ""  60.477""], ["" 124.318"", "" 134.571"", ""  59.860""], ["" 126.993"", "" 134.834"", ""  60.550""], ["" 124.897"", "" 135.834"", ""  59.934""], ["" 126.249"", "" 135.994"", ""  60.278""], ["" 126.842"", "" 137.286"", ""  60.360""], ["" 126.701"", "" 138.081"", ""  61.581""], ["" 127.175"", "" 138.019"", ""  59.138""], ["" 127.222"", "" 128.996"", ""  56.348""], ["" 126.757"", "" 128.866"", ""  55.010""], ["" 127.178"", "" 128.097"", ""  54.618""], ["" 128.587"", "" 129.735"", ""  56.286""], ["" 129.530"", "" 129.504"", ""  57.295""], ["" 128.932"", "" 130.610"", ""  55.248""], ["" 130.768"", "" 130.138"", ""  57.280""], ["" 130.172"", "" 131.243"", ""  55.231""], ["" 131.116"", "" 131.025"", ""  56.247""], ["" 132.385"", "" 131.671"", ""  56.226""], ["" 132.558"", "" 132.925"", ""  55.491""], ["" 133.377"", "" 131.375"", ""  57.260""], ["" 127.318"", "" 127.585"", ""  56.991""], ["" 126.444"", "" 127.169"", ""  58.005""], ["" 128.285"", "" 126.678"", ""  56.538""], ["" 126.545"", "" 125.894"", ""  58.554""], ["" 128.383"", "" 125.403"", ""  57.086""], ["" 127.516"", "" 124.982"", ""  58.107""], ["" 127.621"", "" 123.679"", ""  58.672""], ["" 127.346"", "" 123.472"", ""  60.094""], ["" 127.528"", "" 122.500"", ""  57.811""]]",[],ZINC100052783
8,238,ZINC100053898,4h2i_c_3_mae_prepped,1,18,-9.59,-0.2230232558139535,0.0,0.0,2,185.97,-13.47,-13.11,-0.36,-13.47,0.0,-2.39,3.88,-2.39,59,12,0.0,0.0,0.0,6.547153,9.503867,7.863655,0.56966034,-0.70876454,-0.41610085,115.232323,"74.17247, 12.068768, 193.895676, 23.430567, 73.228569, 294.108002, 146.092697, 248.72084, 142.826477, 232.330719, 50.206436, 84.271645, 14.69589, ","[["" 126.538"", "" 126.579"", ""  61.566""], ["" 126.620"", "" 125.701"", ""  60.547""], ["" 126.629"", "" 126.002"", ""  59.350""], ["" 126.543"", "" 126.282"", ""  62.531""], ["" 126.476"", "" 127.908"", ""  61.365""], ["" 127.577"", "" 128.500"", ""  61.605""], ["" 127.768"", "" 129.949"", ""  61.456""], ["" 129.282"", "" 131.829"", ""  61.026""], ["" 129.049"", "" 130.450"", ""  61.185""], ["" 128.201"", "" 132.710"", ""  61.152""], ["" 126.923"", "" 132.227"", ""  61.425""], ["" 126.709"", "" 130.860"", ""  61.574""], ["" 130.524"", "" 132.376"", ""  60.749""], ["" 131.592"", "" 131.531"", ""  60.335""], ["" 132.597"", "" 131.415"", ""  61.485""], ["" 128.382"", "" 134.063"", ""  61.009""], ["" 129.230"", "" 134.288"", ""  60.618""], ["" 126.693"", "" 124.211"", ""  60.948""], ["" 125.777"", "" 123.333"", ""  60.058""], ["" 126.218"", "" 123.196"", ""  58.608""], ["" 127.573"", "" 122.950"", ""  58.298""], ["" 125.273"", "" 123.307"", ""  57.567""], ["" 127.979"", "" 122.815"", ""  56.956""], ["" 125.679"", "" 123.173"", ""  56.224""], ["" 127.033"", "" 122.927"", ""  55.919""], ["" 127.429"", "" 122.797"", ""  54.619""], ["" 127.060"", "" 122.024"", ""  54.187""], ["" 128.072"", "" 123.710"", ""  60.891""], ["" 128.585"", "" 122.703"", ""  61.625""], ["" 127.918"", "" 122.062"", ""  62.441""], ["" 128.672"", "" 124.185"", ""  60.232""], ["" 130.039"", "" 122.361"", ""  61.374""], ["" 130.375"", "" 121.134"", ""  60.788""], ["" 131.075"", "" 123.243"", ""  61.721""], ["" 131.709"", "" 120.782"", ""  60.538""], ["" 132.418"", "" 122.923"", ""  61.485""], ["" 132.717"", "" 121.689"", ""  60.892""], ["" 132.045"", "" 119.479"", ""  59.912""], ["" 131.389"", "" 118.489"", ""  60.226""], ["" 132.966"", "" 119.435"", ""  59.103""], ["" 133.500"", "" 123.868"", ""  61.857""], ["" 134.349"", "" 124.152"", ""  61.015""], ["" 133.510"", "" 124.334"", ""  62.993""]]",[],ZINC100053898
9,10678,ZINC100058471,4h2i_c_3_mae_prepped,1,13,-8.42,-0.3660869565217391,0.0,0.0,4,197.79,-9.01,-8.53,-0.49,-9.01,0.0,-0.37,0.6,-0.37,38,2,0.0,0.0,0.0,7.525615,17.832925,21.886488,-0.73851308,-0.65547947,-0.15794017,299.847687,"8.290006, 279.024841, ","[["" 130.634"", "" 134.842"", ""  72.783""], ["" 130.376"", "" 135.472"", ""  71.558""], ["" 131.422"", "" 135.896"", ""  70.736""], ["" 132.743"", "" 135.694"", ""  71.130""], ["" 133.019"", "" 135.069"", ""  72.344""], ["" 135.001"", "" 134.765"", ""  72.938""], ["" 131.973"", "" 134.646"", ""  73.165""], ["" 129.509"", "" 134.411"", ""  73.622""], ["" 129.070"", "" 133.207"", ""  73.664""], ["" 128.012"", "" 132.987"", ""  74.504""], ["" 126.344"", "" 132.897"", ""  72.868""], ["" 126.744"", "" 132.815"", ""  74.032""], ["" 125.851"", "" 132.551"", ""  75.238""], ["" 126.814"", "" 132.442"", ""  76.418""], ["" 125.098"", "" 131.181"", ""  75.239""], ["" 128.197"", "" 132.649"", ""  75.813""], ["" 126.534"", "" 131.018"", ""  77.001""], ["" 124.257"", "" 131.141"", ""  76.517""], ["" 126.169"", "" 130.254"", ""  75.755""], ["" 129.256"", "" 132.563"", ""  76.439""], ["" 125.112"", "" 131.043"", ""  77.566""], ["" 126.113"", "" 128.740"", ""  75.660""], ["" 127.158"", "" 129.507"", ""  74.881""]]",[],ZINC100058471
