,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,11532,ZINC100024116,receptor_tmp,3,7,-5.35,-0.4458333333333333,0.0,0.0,19,185.2,-5.35,-5.27,-0.08,-5.35,0.0,0.0,0.0,0.0,30,0,0.0,0.0,0.0,5.222091,8.262626,5.000487,-0.23112899,-0.84913816,0.47491449,136.895462,,"[["" 128.241"", "" 122.565"", ""  60.174""], ["" 127.654"", "" 124.218"", ""  59.802""], ["" 128.294"", "" 124.730"", ""  58.479""], ["" 128.093"", "" 126.506"", ""  58.400""], ["" 127.684"", "" 124.104"", ""  57.192""], ["" 128.279"", "" 122.426"", ""  56.979""], ["" 126.132"", "" 124.147"", ""  57.202""], ["" 125.478"", "" 123.335"", ""  55.745""], ["" 125.516"", "" 123.557"", ""  58.498""], ["" 123.742"", "" 123.795"", ""  58.466""], ["" 126.102"", "" 124.257"", ""  59.752""], ["" 125.412"", "" 123.576"", ""  61.257""]]",[],ZINC100024116
1,5279,ZINC100034590,receptor_tmp,1,8,-3.06,-0.10928571428571429,0.0,0.0,6,190.09,-5.75,-5.83,0.08,-5.75,0.0,-1.12,2.68,-1.12,71,3,0.0,0.0,0.0,7.627532,15.957323,3.593421,0.63760431,0.41874831,-0.64661472,129.713547,"261.51416, 352.68454, 303.007263, 317.28299, 321.535004, 275.426331, 61.966328, 262.621216, 233.966293, ","[["" 129.128"", "" 131.168"", ""  56.900""], ["" 129.980"", "" 130.225"", ""  56.476""], ["" 129.172"", "" 131.330"", ""  58.328""], ["" 128.866"", "" 130.229"", ""  59.188""], ["" 128.813"", "" 129.112"", ""  58.459""], ["" 127.677"", "" 130.397"", ""  59.773""], ["" 129.988"", "" 130.135"", ""  60.238""], ["" 131.185"", "" 129.888"", ""  59.701""], ["" 129.745"", "" 129.205"", ""  61.164""], ["" 130.146"", "" 131.784"", ""  61.167""], ["" 129.737"", "" 132.909"", ""  60.316""], ["" 131.368"", "" 131.818"", ""  61.978""], ["" 128.925"", "" 131.556"", ""  62.215""], ["" 127.675"", "" 130.771"", ""  56.516""], ["" 127.563"", "" 129.467"", ""  56.264""], ["" 126.810"", "" 131.047"", ""  57.494""], ["" 127.248"", "" 131.422"", ""  55.433""], ["" 129.569"", "" 132.534"", ""  56.307""], ["" 129.761"", "" 132.456"", ""  54.987""], ["" 128.623"", "" 133.454"", ""  56.521""], ["" 130.782"", "" 132.931"", ""  56.957""], ["" 132.027"", "" 132.395"", ""  56.493""], ["" 131.826"", "" 131.601"", ""  55.439""], ["" 132.845"", "" 133.381"", ""  56.119""], ["" 132.645"", "" 131.595"", ""  57.656""], ["" 132.343"", "" 130.299"", ""  57.563""], ["" 133.975"", "" 131.690"", ""  57.666""], ["" 132.197"", "" 132.021"", ""  58.837""]]",[],ZINC100034590
2,11025,ZINC100043079,receptor_tmp,2,7,-2.29,-0.08481481481481482,0.0,0.0,16,182.87,-3.19,-3.29,0.1,-3.19,0.0,0.03,0.89,0.03,62,0,0.0,0.0,0.0,6.042051,10.136148,6.931488,-0.20805523,-0.85912383,0.4675674,192.90802,"32.041679, 58.551903, 125.894012, ","[["" 129.194"", "" 123.878"", ""  61.143""], ["" 129.333"", "" 124.393"", ""  62.369""], ["" 130.181"", "" 124.392"", ""  60.402""], ["" 129.406"", "" 122.343"", ""  61.235""], ["" 128.255"", "" 121.684"", ""  61.370""], ["" 130.167"", "" 122.023"", ""  62.284""], ["" 130.007"", "" 121.853"", ""  60.150""], ["" 127.810"", "" 124.301"", ""  60.547""], ["" 126.873"", "" 123.986"", ""  61.446""], ["" 127.790"", "" 125.635"", ""  60.486""], ["" 127.480"", "" 123.658"", ""  59.128""], ["" 128.539"", "" 124.004"", ""  58.019""], ["" 126.043"", "" 124.008"", ""  58.596""], ["" 128.219"", "" 123.363"", ""  56.635""], ["" 125.721"", "" 123.367"", ""  57.213""], ["" 126.791"", "" 123.734"", ""  56.150""], ["" 127.502"", "" 122.324"", ""  59.230""], ["" 128.588"", "" 125.331"", ""  57.865""], ["" 129.757"", "" 123.619"", ""  58.409""], ["" 125.119"", "" 123.627"", ""  59.483""], ["" 125.937"", "" 125.336"", ""  58.479""], ["" 129.122"", "" 123.750"", ""  55.730""], ["" 128.311"", "" 122.034"", ""  56.736""], ["" 124.514"", "" 123.758"", ""  56.797""], ["" 125.678"", "" 122.038"", ""  57.346""], ["" 126.740"", "" 125.048"", ""  55.919""], ["" 126.522"", "" 123.120"", ""  54.995""]]",[],ZINC100043079
3,13143,ZINC100045963,receptor_tmp,1,19,-9.21,-0.2423684210526316,0.0,0.0,5,185.27,-12.19,-11.7,-0.48,-12.19,0.0,-2.27,2.98,-2.27,43,6,0.0,0.0,0.0,7.117521,14.667257,6.112505,0.69767693,-0.70809913,0.10882333,206.349701,"214.035034, 310.542664, 297.567902, 232.073257, 151.552322, 155.154175, 265.830811, 357.634827, 338.200958, 348.159302, ","[["" 125.249"", "" 135.969"", ""  61.024""], ["" 125.391"", "" 137.427"", ""  61.490""], ["" 125.706"", "" 138.398"", ""  60.339""], ["" 124.808"", "" 139.647"", ""  60.346""], ["" 124.419"", "" 140.097"", ""  61.761""], ["" 126.287"", "" 135.197"", ""  61.622""], ["" 126.273"", "" 133.822"", ""  61.488""], ["" 127.504"", "" 133.175"", ""  61.589""], ["" 125.115"", "" 133.060"", ""  61.263""], ["" 127.590"", "" 131.792"", ""  61.454""], ["" 125.201"", "" 131.677"", ""  61.128""], ["" 126.439"", "" 131.040"", ""  61.204""], ["" 126.510"", "" 129.578"", ""  61.064""], ["" 127.193"", "" 128.857"", ""  60.144""], ["" 127.296"", "" 127.390"", ""  60.113""], ["" 127.971"", "" 129.293"", ""  58.963""], ["" 126.747"", "" 126.455"", ""  60.996""], ["" 128.038"", "" 126.970"", ""  59.009""], ["" 128.590"", "" 128.192"", ""  58.363""], ["" 128.157"", "" 130.572"", ""  58.434""], ["" 126.887"", "" 125.083"", ""  60.767""], ["" 128.083"", "" 125.595"", ""  58.697""], ["" 129.561"", "" 128.409"", ""  57.363""], ["" 129.023"", "" 130.792"", ""  57.356""], ["" 127.545"", "" 124.671"", ""  59.602""], ["" 129.734"", "" 129.699"", ""  56.849""], ["" 126.316"", "" 124.090"", ""  61.710""], ["" 125.140"", "" 124.208"", ""  62.046""], ["" 127.037"", "" 123.187"", ""  62.121""], ["" 128.576"", "" 125.081"", ""  57.407""], ["" 127.894"", "" 125.277"", ""  56.405""], ["" 129.673"", "" 124.533"", ""  57.392""], ["" 130.483"", "" 127.356"", ""  56.902""], ["" 130.341"", "" 126.932"", ""  55.759""], ["" 131.310"", "" 126.918"", ""  57.698""], ["" 129.213"", "" 132.152"", ""  56.797""], ["" 130.063"", "" 132.881"", ""  57.302""], ["" 128.516"", "" 132.503"", ""  55.850""]]",[],ZINC100045963
4,11120,ZINC100046143,receptor_tmp,1,1,-3.61,-0.12448275862068965,0.0,0.0,1,192.51,-7.48,-7.45,-0.03,-7.48,0.0,-0.25,3.88,-0.25,83,2,0.0,0.0,0.0,6.685712,16.312654,7.72049,0.64431103,-0.59822688,-0.47643248,86.519775,"104.194496, 123.78492, 331.644562, 43.223679, 159.334488, 3.738044, 260.251526, 186.025223, 2.348142, 103.151711, 9.189884, 336.759979, 265.040955, ","[["" 127.768"", "" 133.166"", ""  62.127""], ["" 127.103"", "" 134.492"", ""  61.707""], ["" 125.565"", "" 134.416"", ""  61.712""], ["" 124.897"", "" 135.720"", ""  61.244""], ["" 125.838"", "" 136.935"", ""  61.347""], ["" 125.182"", "" 138.070"", ""  61.907""], ["" 124.869"", "" 139.161"", ""  61.153""], ["" 123.731"", "" 139.620"", ""  61.036""], ["" 126.008"", "" 139.770"", ""  60.468""], ["" 126.288"", "" 139.613"", ""  59.159""], ["" 127.857"", "" 132.112"", ""  60.994""], ["" 127.883"", "" 130.893"", ""  61.537""], ["" 126.746"", "" 132.171"", ""  60.256""], ["" 129.114"", "" 132.329"", ""  60.095""], ["" 128.849"", "" 133.300"", ""  59.216""], ["" 130.110"", "" 132.792"", ""  60.854""], ["" 129.581"", "" 131.043"", ""  59.337""], ["" 129.649"", "" 130.025"", ""  60.198""], ["" 128.653"", "" 130.697"", ""  58.442""], ["" 130.960"", "" 131.204"", ""  58.615""], ["" 131.825"", "" 131.803"", ""  59.438""], ["" 131.476"", "" 129.998"", ""  58.367""], ["" 130.881"", "" 132.010"", ""  57.278""], ["" 130.002"", "" 131.441"", ""  56.451""], ["" 130.424"", "" 133.242"", ""  57.512""], ["" 132.240"", "" 132.125"", ""  56.540""], ["" 133.180"", "" 131.391"", ""  57.137""], ["" 132.161"", "" 131.709"", ""  55.275""], ["" 132.685"", "" 133.382"", ""  56.505""]]",[],ZINC100046143
5,13889,ZINC100050078,receptor_tmp,1,13,-9.28,-0.2577777777777778,0.0,0.0,12,187.05,-11.96,-11.61,-0.35,-11.96,0.0,-1.91,2.68,-1.91,52,4,0.0,0.0,0.0,8.436287,10.114813,3.720391,-0.75299271,0.6453359,0.12862171,195.002869,"91.788704, 179.616226, 147.741623, 106.782051, 358.03363, 321.740631, 87.900604, 25.531252, 17.472256, ","[["" 130.110"", "" 130.489"", ""  56.630""], ["" 129.673"", "" 131.951"", ""  56.769""], ["" 128.520"", "" 132.232"", ""  57.101""], ["" 130.655"", "" 132.840"", ""  56.491""], ["" 131.953"", "" 132.394"", ""  56.119""], ["" 132.785"", "" 132.144"", ""  57.380""], ["" 129.086"", "" 129.601"", ""  57.074""], ["" 129.416"", "" 128.297"", ""  57.396""], ["" 130.692"", "" 127.904"", ""  57.830""], ["" 128.407"", "" 127.333"", ""  57.272""], ["" 130.956"", "" 126.575"", ""  58.145""], ["" 128.691"", "" 125.993"", ""  57.588""], ["" 129.957"", "" 125.602"", ""  58.041""], ["" 127.168"", "" 127.772"", ""  56.837""], ["" 126.351"", "" 128.544"", ""  57.709""], ["" 130.228"", "" 124.118"", ""  58.400""], ["" 128.906"", "" 123.239"", ""  58.279""], ["" 127.819"", "" 123.561"", ""  59.349""], ["" 128.419"", "" 123.094"", ""  56.805""], ["" 128.074"", "" 124.075"", ""  60.437""], ["" 126.372"", "" 123.184"", ""  58.999""], ["" 126.935"", "" 122.757"", ""  56.591""], ["" 129.170"", "" 123.216"", ""  55.838""], ["" 125.965"", "" 123.507"", ""  57.539""], ["" 124.554"", "" 122.922"", ""  57.313""], ["" 126.008"", "" 125.037"", ""  57.276""], ["" 131.058"", "" 123.929"", ""  59.739""], ["" 130.673"", "" 122.686"", ""  60.575""], ["" 132.597"", "" 123.944"", ""  59.560""], ["" 129.911"", "" 121.794"", ""  60.205""], ["" 131.376"", "" 122.646"", ""  61.943""], ["" 133.356"", "" 123.930"", ""  60.898""], ["" 133.177"", "" 123.960"", ""  58.476""], ["" 132.933"", "" 122.749"", ""  61.832""], ["" 133.474"", "" 123.061"", ""  63.242""], ["" 133.496"", "" 121.419"", ""  61.265""]]",[],ZINC100050078
6,8831,ZINC100050142,receptor_tmp,1,15,-7.67,-0.2072972972972973,0.0,0.0,1,187.64,-11.25,-10.48,-0.77,-11.25,0.0,-3.57,3.58,-3.57,40,7,0.0,0.0,0.0,6.853719,9.423516,7.418524,0.84458141,-0.35457027,0.40120091,246.124939,"14.91328, 202.277557, 30.742247, 208.019882, 55.652309, 118.969818, 165.977203, 226.457581, 179.897751, 350.596893, 78.529915, 17.696289, ","[["" 130.114"", "" 123.534"", ""  62.191""], ["" 129.289"", "" 124.655"", ""  62.001""], ["" 128.389"", "" 124.771"", ""  60.922""], ["" 128.345"", "" 123.704"", ""  60.000""], ["" 129.154"", "" 122.574"", ""  60.192""], ["" 130.045"", "" 122.480"", ""  61.262""], ["" 130.966"", "" 123.405"", ""  63.276""], ["" 130.876"", "" 124.312"", ""  64.370""], ["" 130.825"", "" 121.301"", ""  61.353""], ["" 130.180"", "" 119.983"", ""  61.373""], ["" 131.072"", "" 118.784"", ""  60.991""], ["" 130.484"", "" 117.923"", ""  60.041""], ["" 129.750"", "" 118.382"", ""  59.626""], ["" 132.109"", "" 121.389"", ""  60.655""], ["" 132.859"", "" 122.709"", ""  60.903""], ["" 133.216"", "" 123.399"", ""  59.655""], ["" 133.497"", "" 123.944"", ""  58.673""], ["" 127.544"", "" 125.890"", ""  60.724""], ["" 128.079"", "" 126.934"", ""  60.240""], ["" 127.135"", "" 127.955"", ""  60.094""], ["" 126.787"", "" 128.721"", ""  61.226""], ["" 126.532"", "" 128.270"", ""  58.846""], ["" 125.854"", "" 129.750"", ""  61.139""], ["" 125.590"", "" 129.313"", ""  58.797""], ["" 125.239"", "" 130.060"", ""  59.926""], ["" 127.501"", "" 128.417"", ""  62.776""], ["" 126.852"", "" 127.546"", ""  57.576""], ["" 127.036"", "" 128.168"", ""  56.536""], ["" 126.916"", "" 126.320"", ""  57.604""], ["" 124.243"", "" 131.158"", ""  59.837""], ["" 123.960"", "" 131.779"", ""  60.857""], ["" 123.739"", "" 131.407"", ""  58.746""], ["" 127.439"", "" 123.785"", ""  58.916""], ["" 127.358"", "" 122.994"", ""  57.825""], ["" 128.111"", "" 122.055"", ""  57.571""], ["" 126.855"", "" 124.608"", ""  58.920""], ["" 126.255"", "" 123.348"", ""  56.832""]]",[],ZINC100050142
7,4648,ZINC100052783,receptor_tmp,1,5,-10.64,-0.22638297872340427,0.0,0.0,8,184.74,-14.22,-14.21,-0.02,-14.22,0.0,-2.69,3.58,-2.69,96,4,0.0,0.0,0.0,4.511446,15.152594,6.556528,-0.25373802,-0.66861353,0.69897995,276.099731,"351.25177, 23.070873, 254.009888, 53.946442, 312.37674, 131.690491, 212.205322, 151.18515, 288.411255, 341.600494, 83.559647, 52.534058, ","[["" 124.823"", "" 131.448"", ""  60.332""], ["" 123.947"", "" 130.910"", ""  59.390""], ["" 124.556"", "" 130.224"", ""  58.340""], ["" 125.949"", "" 130.181"", ""  58.390""], ["" 126.451"", "" 131.066"", ""  59.815""], ["" 124.532"", "" 132.254"", ""  61.617""], ["" 125.133"", "" 131.514"", ""  62.843""], ["" 126.228"", "" 130.168"", ""  65.089""], ["" 126.741"", "" 131.402"", ""  64.660""], ["" 125.164"", "" 129.616"", ""  64.359""], ["" 126.206"", "" 132.062"", ""  63.558""], ["" 124.627"", "" 130.275"", ""  63.256""], ["" 126.776"", "" 129.492"", ""  66.217""], ["" 125.986"", "" 128.476"", ""  66.914""], ["" 127.868"", "" 130.102"", ""  66.977""], ["" 123.112"", "" 132.310"", ""  61.717""], ["" 122.881"", "" 133.021"", ""  62.319""], ["" 125.064"", "" 133.710"", ""  61.550""], ["" 126.430"", "" 134.007"", ""  61.452""], ["" 124.158"", "" 134.776"", ""  61.617""], ["" 126.871"", "" 135.326"", ""  61.408""], ["" 124.600"", "" 136.095"", ""  61.575""], ["" 125.967"", "" 136.400"", ""  61.466""], ["" 126.420"", "" 137.749"", ""  61.430""], ["" 125.856"", "" 138.738"", ""  62.350""], ["" 127.070"", "" 138.271"", ""  60.226""], ["" 126.956"", "" 129.523"", ""  57.418""], ["" 126.390"", "" 129.641"", ""  56.118""], ["" 125.899"", "" 130.465"", ""  56.077""], ["" 128.326"", "" 130.255"", ""  57.387""], ["" 129.456"", "" 129.603"", ""  57.896""], ["" 128.492"", "" 131.537"", ""  56.846""], ["" 130.705"", "" 130.215"", ""  57.884""], ["" 129.743"", "" 132.149"", ""  56.832""], ["" 130.876"", "" 131.505"", ""  57.354""], ["" 132.154"", "" 132.131"", ""  57.335""], ["" 133.219"", "" 131.651"", ""  58.217""], ["" 132.570"", "" 132.917"", ""  56.173""], ["" 127.074"", "" 128.019"", ""  57.787""], ["" 126.741"", "" 127.537"", ""  59.060""], ["" 127.499"", "" 127.097"", ""  56.821""], ["" 126.844"", "" 126.182"", ""  59.358""], ["" 127.598"", "" 125.742"", ""  57.120""], ["" 127.274"", "" 125.253"", ""  58.395""], ["" 127.381"", "" 123.866"", ""  58.702""], ["" 127.226"", "" 123.407"", ""  60.083""], ["" 127.172"", "" 122.868"", ""  57.654""]]",[],ZINC100052783
8,12073,ZINC100053898,receptor_tmp,1,13,-9.85,-0.22906976744186044,0.0,0.0,1,187.42,-13.73,-13.15,-0.57,-13.73,0.0,-2.31,3.88,-2.31,81,14,0.0,0.0,0.0,8.013707,10.062352,10.660688,0.27045138,0.96232888,0.02791376,76.397835,"327.523682, 245.937195, 186.639587, 259.134155, 14.291466, 112.12075, 294.457611, 347.837677, 359.228882, 333.820831, 84.513863, 217.359695, 359.672729, ","[["" 130.507"", "" 125.968"", ""  65.954""], ["" 130.625"", "" 124.888"", ""  65.158""], ["" 130.426"", "" 123.721"", ""  65.510""], ["" 130.674"", "" 126.905"", ""  65.614""], ["" 130.129"", "" 125.873"", ""  67.242""], ["" 129.736"", "" 126.982"", ""  67.728""], ["" 129.268"", "" 127.139"", ""  69.112""], ["" 129.806"", "" 127.463"", ""  71.482""], ["" 130.205"", "" 127.300"", ""  70.142""], ["" 128.438"", "" 127.453"", ""  71.780""], ["" 127.495"", "" 127.291"", ""  70.768""], ["" 127.906"", "" 127.137"", ""  69.447""], ["" 130.689"", "" 127.634"", ""  72.535""], ["" 130.808"", "" 126.621"", ""  73.529""], ["" 132.264"", "" 126.572"", ""  74.004""], ["" 128.004"", "" 127.605"", ""  73.073""], ["" 128.714"", "" 127.813"", ""  73.685""], ["" 131.060"", "" 125.169"", ""  63.702""], ["" 132.371"", "" 124.425"", ""  63.342""], ["" 132.721"", "" 124.407"", ""  61.861""], ["" 133.727"", "" 123.543"", ""  61.379""], ["" 132.035"", "" 125.249"", ""  60.962""], ["" 134.043"", "" 123.521"", ""  60.006""], ["" 132.352"", "" 125.229"", ""  59.589""], ["" 133.357"", "" 124.364"", ""  59.112""], ["" 133.666"", "" 124.343"", ""  57.782""], ["" 134.542"", "" 124.684"", ""  57.592""], ["" 130.003"", "" 124.808"", ""  62.750""], ["" 129.655"", "" 123.559"", ""  62.382""], ["" 130.199"", "" 122.551"", ""  62.837""], ["" 129.507"", "" 125.589"", ""  62.346""], ["" 128.517"", "" 123.444"", ""  61.388""], ["" 127.194"", "" 123.593"", ""  61.824""], ["" 128.748"", "" 123.184"", ""  60.028""], ["" 126.114"", "" 123.494"", ""  60.935""], ["" 127.692"", "" 123.080"", ""  59.113""], ["" 126.382"", "" 123.239"", ""  59.583""], ["" 124.719"", "" 123.658"", ""  61.415""], ["" 123.804"", "" 123.591"", ""  60.597""], ["" 124.527"", "" 123.854"", ""  62.610""], ["" 127.956"", "" 122.806"", ""  57.678""], ["" 129.024"", "" 123.172"", ""  57.195""], ["" 127.097"", "" 122.223"", ""  57.023""]]",[],ZINC100053898
9,4677,ZINC100058471,receptor_tmp,1,18,-8.76,-0.3808695652173913,0.0,0.0,11,194.06,-9.36,-9.39,0.03,-9.36,0.0,0.0,0.6,0.0,67,0,0.0,0.0,0.0,5.875215,20.453693,7.798323,0.76575293,-0.60469668,0.21900769,241.188507,"308.876038, 79.702942, ","[["" 128.039"", "" 132.861"", ""  61.465""], ["" 127.605"", "" 131.701"", ""  62.123""], ["" 128.209"", "" 130.468"", ""  61.874""], ["" 129.257"", "" 130.377"", ""  60.960""], ["" 129.701"", "" 131.518"", ""  60.297""], ["" 131.274"", "" 131.386"", ""  58.924""], ["" 129.097"", "" 132.751"", ""  60.547""], ["" 127.379"", "" 134.141"", ""  61.752""], ["" 126.487"", "" 134.667"", ""  60.998""], ["" 125.979"", "" 135.866"", ""  61.423""], ["" 128.008"", "" 136.845"", ""  62.052""], ["" 126.786"", "" 136.866"", ""  61.880""], ["" 125.885"", "" 138.048"", ""  62.217""], ["" 124.497"", "" 137.628"", ""  61.736""], ["" 126.173"", "" 139.367"", ""  61.427""], ["" 124.692"", "" 136.233"", ""  61.156""], ["" 124.101"", "" 138.741"", ""  60.711""], ["" 125.174"", "" 140.411"", ""  61.934""], ["" 125.445"", "" 139.103"", ""  60.133""], ["" 123.810"", "" 135.576"", ""  60.597""], ["" 123.942"", "" 140.039"", ""  61.507""], ["" 125.644"", "" 139.901"", ""  58.858""], ["" 126.063"", "" 138.450"", ""  58.914""]]",[],ZINC100058471
