,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,7644,ZINC100024116,receptor_tmp,13,13,-5.35,-0.4458333333333333,0.0,0.0,20,185.1,-5.35,-5.24,-0.11,-5.35,0.0,0.0,0.0,0.0,28,0,0.0,0.0,0.0,4.858018,8.6197,4.695001,-0.22438103,-0.84793934,0.48026246,142.784454,,"[["" 127.820"", "" 123.065"", ""  60.022""], ["" 127.164"", "" 124.667"", ""  59.556""], ["" 127.875"", "" 125.184"", ""  58.272""], ["" 127.573"", "" 126.941"", ""  58.123""], ["" 127.409"", "" 124.488"", ""  56.961""], ["" 128.120"", "" 122.846"", ""  56.846""], ["" 125.861"", "" 124.433"", ""  56.849""], ["" 125.375"", "" 123.545"", ""  55.371""], ["" 125.181"", "" 123.839"", ""  58.110""], ["" 123.404"", "" 123.963"", ""  57.934""], ["" 125.622"", "" 124.607"", ""  59.384""], ["" 124.858"", "" 123.922"", ""  60.852""]]",[],ZINC100024116
1,12463,ZINC100034590,receptor_tmp,1,18,-3.42,-0.12214285714285714,0.0,0.0,7,189.78,-6.1,-6.15,0.05,-6.1,0.0,-0.62,2.68,-0.62,78,3,0.0,0.0,0.0,7.43702,15.85452,2.355056,0.7171897,0.02115811,-0.69655672,109.282631,"237.992065, 85.813499, 253.945221, 357.961456, 151.567886, 109.903252, 74.187263, 305.503662, 233.932419, ","[["" 128.845"", "" 131.044"", ""  55.938""], ["" 129.413"", "" 129.968"", ""  56.499""], ["" 128.438"", "" 132.011"", ""  56.921""], ["" 128.272"", "" 131.624"", ""  58.288""], ["" 127.742"", "" 130.399"", ""  58.329""], ["" 127.442"", "" 132.456"", ""  58.923""], ["" 129.666"", "" 131.630"", ""  58.944""], ["" 130.487"", "" 132.538"", ""  58.413""], ["" 130.263"", "" 130.438"", ""  58.885""], ["" 129.510"", "" 132.059"", ""  60.788""], ["" 128.747"", "" 133.298"", ""  60.978""], ["" 130.766"", "" 131.793"", ""  61.498""], ["" 128.503"", "" 130.852"", ""  61.203""], ["" 127.578"", "" 130.614"", ""  55.147""], ["" 127.342"", "" 131.414"", ""  54.108""], ["" 127.693"", "" 129.377"", ""  54.660""], ["" 126.484"", "" 130.624"", ""  55.911""], ["" 129.906"", "" 131.760"", ""  55.058""], ["" 130.511"", "" 130.905"", ""  54.228""], ["" 129.322"", "" 132.701"", ""  54.310""], ["" 130.870"", "" 132.366"", ""  55.926""], ["" 132.257"", "" 132.055"", ""  55.751""], ["" 132.453"", "" 131.459"", ""  54.572""], ["" 132.989"", "" 133.171"", ""  55.778""], ["" 132.667"", "" 131.115"", ""  56.901""], ["" 132.695"", "" 131.764"", ""  58.065""], ["" 131.813"", "" 130.100"", ""  57.034""], ["" 133.883"", "" 130.602"", ""  56.706""]]",[],ZINC100034590
2,2491,ZINC100043079,receptor_tmp,1,8,-2.83,-0.10481481481481482,0.0,0.0,7,188.25,-3.73,-3.73,0.0,-3.73,0.0,0.19,0.89,0.19,74,0,0.0,0.0,0.0,8.356144,15.442142,2.706771,0.06938578,-0.77317698,-0.6303832,237.688293,"320.236298, 287.044983, 334.953491, ","[["" 132.186"", "" 130.833"", ""  57.410""], ["" 132.158"", "" 129.506"", ""  57.247""], ["" 131.643"", "" 131.079"", ""  58.606""], ["" 133.670"", "" 131.286"", ""  57.448""], ["" 134.478"", "" 130.411"", ""  56.850""], ["" 134.100"", "" 131.425"", ""  58.704""], ["" 133.852"", "" 132.459"", ""  56.840""], ["" 131.333"", "" 131.519"", ""  56.291""], ["" 130.968"", "" 132.721"", ""  56.745""], ["" 132.148"", "" 131.774"", ""  55.264""], ["" 130.066"", "" 130.677"", ""  55.820""], ["" 129.087"", "" 131.482"", ""  54.890""], ["" 129.250"", "" 130.048"", ""  57.007""], ["" 127.854"", "" 130.651"", ""  54.422""], ["" 128.019"", "" 129.216"", ""  56.540""], ["" 127.080"", "" 130.048"", ""  55.625""], ["" 130.474"", "" 129.637"", ""  55.083""], ["" 128.642"", "" 132.553"", ""  55.553""], ["" 129.740"", "" 131.939"", ""  53.819""], ["" 130.045"", "" 129.276"", ""  57.753""], ["" 128.816"", "" 131.031"", ""  57.802""], ["" 127.037"", "" 131.414"", ""  53.691""], ["" 128.270"", "" 129.656"", ""  53.632""], ["" 127.340"", "" 128.768"", ""  57.600""], ["" 128.444"", "" 128.144"", ""  55.866""], ["" 126.548"", "" 131.043"", ""  56.340""], ["" 126.069"", "" 129.291"", ""  55.191""]]",[],ZINC100043079
3,5185,ZINC100045963,receptor_tmp,1,15,-9.04,-0.23789473684210524,0.0,0.0,10,185.61,-12.02,-11.42,-0.6,-12.02,0.0,-2.8,2.98,-2.8,54,7,0.0,0.0,0.0,4.920427,13.758253,7.91604,-0.31438482,0.57428162,-0.75588545,189.425644,"337.952087, 59.298386, 257.711914, 123.841019, 333.642609, 143.962723, 342.302063, 139.961716, 114.002335, 74.805321, ","[["" 129.079"", "" 131.631"", ""  55.658""], ["" 130.359"", "" 132.166"", ""  54.997""], ["" 131.615"", "" 131.364"", ""  55.381""], ["" 132.676"", "" 132.220"", ""  56.094""], ["" 133.639"", "" 131.387"", ""  56.953""], ["" 129.068"", "" 132.038"", ""  57.024""], ["" 129.424"", "" 131.132"", ""  58.005""], ["" 128.538"", "" 130.078"", ""  58.228""], ["" 130.600"", "" 131.212"", ""  58.766""], ["" 128.806"", "" 129.124"", ""  59.205""], ["" 130.869"", "" 130.256"", ""  59.743""], ["" 129.965"", "" 129.221"", ""  59.980""], ["" 130.268"", "" 128.219"", ""  61.013""], ["" 130.822"", "" 126.994"", ""  60.854""], ["" 131.183"", "" 126.072"", ""  61.943""], ["" 131.189"", "" 126.254"", ""  59.627""], ["" 131.052"", "" 126.255"", ""  63.323""], ["" 131.692"", "" 124.879"", ""  61.431""], ["" 131.831"", "" 125.059"", ""  59.961""], ["" 130.999"", "" 126.593"", ""  58.284""], ["" 131.381"", "" 125.230"", ""  64.216""], ["" 131.912"", "" 123.796"", ""  62.309""], ["" 132.467"", "" 124.312"", ""  58.946""], ["" 131.514"", "" 125.797"", ""  57.256""], ["" 131.795"", "" 124.001"", ""  63.689""], ["" 132.266"", "" 124.671"", ""  57.608""], ["" 131.255"", "" 125.427"", ""  65.681""], ["" 131.877"", "" 126.346"", ""  66.207""], ["" 130.532"", "" 124.665"", ""  66.317""], ["" 132.155"", "" 122.421"", ""  61.839""], ["" 133.270"", "" 121.936"", ""  62.014""], ["" 131.212"", "" 121.810"", ""  61.347""], ["" 133.424"", "" 123.228"", ""  59.231""], ["" 133.016"", "" 122.074"", ""  59.163""], ["" 134.563"", "" 123.534"", ""  59.573""], ["" 131.305"", "" 126.161"", ""  55.834""], ["" 132.014"", "" 125.632"", ""  54.982""], ["" 130.431"", "" 126.977"", ""  55.556""]]",[],ZINC100045963
4,3569,ZINC100046143,receptor_tmp,1,15,-3.97,-0.13689655172413795,0.0,0.0,13,188.32,-7.85,-7.77,-0.08,-7.85,0.0,-0.42,3.88,-0.42,84,2,0.0,0.0,0.0,6.176959,13.640695,2.326064,0.01819397,-0.24800177,0.96858872,138.145279,"49.351208, 248.623871, 158.356522, 92.358543, 65.117996, 293.60199, 308.750671, 153.687195, 10.908783, 278.712616, 264.337891, 349.967743, 242.917709, ","[["" 127.498"", "" 127.868"", ""  55.291""], ["" 128.603"", "" 126.852"", ""  54.940""], ["" 128.278"", "" 125.427"", ""  55.422""], ["" 128.015"", "" 124.446"", ""  54.267""], ["" 126.561"", "" 123.939"", ""  54.243""], ["" 126.381"", "" 122.799"", ""  55.080""], ["" 126.279"", "" 122.912"", ""  56.434""], ["" 127.127"", "" 122.506"", ""  57.230""], ["" 125.055"", "" 123.567"", ""  56.895""], ["" 123.816"", "" 123.268"", ""  56.460""], ["" 128.013"", "" 129.150"", ""  55.995""], ["" 126.967"", "" 129.907"", ""  56.336""], ["" 128.616"", "" 128.807"", ""  57.135""], ["" 128.991"", "" 129.959"", ""  55.088""], ["" 130.110"", "" 129.247"", ""  54.923""], ["" 128.454"", "" 130.073"", ""  53.871""], ["" 129.345"", "" 131.377"", ""  55.645""], ["" 129.668"", "" 132.180"", ""  54.629""], ["" 128.258"", "" 131.917"", ""  56.200""], ["" 130.510"", "" 131.371"", ""  56.690""], ["" 130.219"", "" 132.212"", ""  57.685""], ["" 130.595"", "" 130.163"", ""  57.253""], ["" 131.900"", "" 131.751"", ""  56.087""], ["" 132.116"", "" 131.064"", ""  54.963""], ["" 131.912"", "" 133.041"", ""  55.739""], ["" 133.088"", "" 131.495"", ""  57.050""], ["" 132.697"", "" 131.542"", ""  58.325""], ["" 133.644"", "" 130.299"", ""  56.853""], ["" 134.057"", "" 132.400"", ""  56.901""]]",[],ZINC100046143
5,5117,ZINC100050078,receptor_tmp,1,13,-9.21,-0.25583333333333336,0.0,0.0,8,188.43,-11.9,-11.71,-0.19,-11.9,0.0,-2.67,2.68,-2.67,54,5,0.0,0.0,0.0,6.177765,14.205236,4.396182,0.01082104,-0.56678828,0.82379242,86.602814,"40.867889, 261.805206, 245.044662, 28.809616, 349.576935, 352.477875, 335.300903, 331.968933, 5.295573, ","[["" 128.096"", "" 125.579"", ""  55.934""], ["" 127.821"", "" 124.438"", ""  54.950""], ["" 128.330"", "" 124.442"", ""  53.827""], ["" 126.994"", "" 123.485"", ""  55.440""], ["" 125.585"", "" 123.667"", ""  55.417""], ["" 124.991"", "" 123.202"", ""  56.749""], ["" 127.128"", "" 126.617"", ""  55.802""], ["" 127.297"", "" 127.792"", ""  56.514""], ["" 127.994"", "" 127.869"", ""  57.730""], ["" 126.732"", "" 128.954"", ""  55.972""], ["" 128.135"", "" 129.085"", ""  58.391""], ["" 126.877"", "" 130.174"", ""  56.656""], ["" 127.588"", "" 130.258"", ""  57.858""], ["" 126.052"", "" 128.823"", ""  54.773""], ["" 126.014"", "" 129.919"", ""  53.865""], ["" 127.745"", "" 131.624"", ""  58.573""], ["" 129.271"", "" 132.071"", ""  58.647""], ["" 130.105"", "" 131.332"", ""  59.737""], ["" 129.922"", "" 132.208"", ""  57.237""], ["" 129.605"", "" 130.815"", ""  60.734""], ["" 131.627"", "" 131.289"", ""  59.530""], ["" 131.452"", "" 132.101"", ""  57.162""], ["" 129.267"", "" 132.414"", ""  56.216""], ["" 132.063"", "" 131.004"", ""  58.071""], ["" 133.598"", "" 131.156"", ""  58.010""], ["" 131.601"", "" 129.591"", ""  57.618""], ["" 126.932"", "" 131.728"", ""  59.932""], ["" 127.146"", "" 133.041"", ""  60.722""], ["" 125.410"", "" 131.474"", ""  59.803""], ["" 127.752"", "" 134.026"", ""  60.303""], ["" 126.483"", "" 133.017"", ""  62.110""], ["" 124.694"", "" 131.415"", ""  61.164""], ["" 124.809"", "" 131.335"", ""  58.739""], ["" 124.958"", "" 132.676"", ""  62.051""], ["" 124.509"", "" 132.330"", ""  63.486""], ["" 124.182"", "" 133.885"", ""  61.467""]]",[],ZINC100050078
6,134,ZINC100050142,receptor_tmp,1,15,-7.69,-0.20783783783783785,0.0,0.0,3,188.0,-11.27,-10.58,-0.69,-11.27,0.0,-3.39,3.58,-3.39,47,7,0.0,0.0,0.0,7.200419,10.275656,6.178504,0.88586708,-0.31039766,0.34480835,254.511002,"265.015991, 67.837769, 26.162771, 15.332391, 289.488434, 125.024445, 321.578278, 18.146109, 341.143707, 347.666748, 82.633675, 55.21796, ","[["" 130.713"", "" 124.612"", ""  60.828""], ["" 129.702"", "" 125.582"", ""  60.729""], ["" 128.792"", "" 125.636"", ""  59.654""], ["" 128.934"", "" 124.666"", ""  58.639""], ["" 129.930"", "" 123.683"", ""  58.738""], ["" 130.827"", "" 123.650"", ""  59.807""], ["" 131.578"", "" 124.537"", ""  61.907""], ["" 132.887"", "" 125.088"", ""  61.816""], ["" 131.803"", "" 122.624"", ""  59.801""], ["" 133.178"", "" 122.907"", ""  59.371""], ["" 133.337"", "" 123.975"", ""  58.269""], ["" 134.256"", "" 123.613"", ""  57.261""], ["" 134.975"", "" 124.250"", ""  57.260""], ["" 131.646"", "" 121.654"", ""  60.887""], ["" 130.222"", "" 121.085"", ""  61.007""], ["" 130.135"", "" 119.682"", ""  60.577""], ["" 130.066"", "" 118.577"", ""  60.238""], ["" 127.763"", "" 126.602"", ""  59.546""], ["" 128.089"", "" 127.740"", ""  59.089""], ["" 126.981"", "" 128.590"", ""  59.033""], ["" 126.531"", "" 129.193"", ""  60.226""], ["" 126.307"", "" 128.894"", ""  57.819""], ["" 125.433"", "" 130.049"", ""  60.230""], ["" 125.199"", "" 129.760"", ""  57.861""], ["" 124.749"", "" 130.343"", ""  59.050""], ["" 127.318"", "" 128.895"", ""  61.741""], ["" 126.720"", "" 128.339"", ""  56.492""], ["" 127.474"", "" 127.374"", ""  56.430""], ["" 126.292"", "" 128.878"", ""  55.475""], ["" 123.578"", "" 131.255"", ""  59.058""], ["" 123.230"", "" 131.775"", ""  58.002""], ["" 122.998"", "" 131.457"", ""  60.120""], ["" 128.024"", "" 124.684"", ""  57.555""], ["" 127.626"", "" 123.659"", ""  56.773""], ["" 128.030"", "" 122.499"", ""  56.859""], ["" 127.726"", "" 125.606"", ""  57.275""], ["" 126.620"", "" 124.012"", ""  55.681""]]",[],ZINC100050142
7,12139,ZINC100052783,receptor_tmp,1,3,-9.35,-0.19893617021276594,0.0,0.0,9,183.9,-12.93,-12.48,-0.45,-12.93,0.0,-2.8,3.58,-2.8,64,4,0.0,0.0,0.0,7.385495,11.873617,6.530079,0.6495922,0.75712058,0.06927043,185.886398,"109.328636, 99.552803, 353.073456, 237.95813, 120.626289, 114.101166, 130.227585, 345.523499, 71.857361, 93.318954, 232.62207, 116.318153, ","[["" 128.263"", "" 126.544"", ""  60.723""], ["" 127.267"", "" 127.215"", ""  61.430""], ["" 127.402"", "" 128.602"", ""  61.472""], ["" 128.516"", "" 129.108"", ""  60.801""], ["" 129.391"", "" 127.747"", ""  60.133""], ["" 128.449"", "" 125.036"", ""  60.451""], ["" 128.040"", "" 124.714"", ""  58.988""], ["" 127.286"", "" 124.123"", ""  56.316""], ["" 127.562"", "" 123.099"", ""  57.237""], ["" 127.410"", "" 125.449"", ""  56.760""], ["" 127.933"", "" 123.389"", ""  58.546""], ["" 127.781"", "" 125.739"", ""  58.070""], ["" 126.906"", "" 123.827"", ""  54.976""], ["" 127.930"", "" 123.526"", ""  53.976""], ["" 125.611"", "" 124.280"", ""  54.465""], ["" 127.580"", "" 124.375"", ""  61.367""], ["" 127.871"", "" 124.579"", ""  62.259""], ["" 129.895"", "" 124.545"", ""  60.729""], ["" 130.231"", "" 123.809"", ""  61.872""], ["" 130.914"", "" 124.866"", ""  59.825""], ["" 131.542"", "" 123.397"", ""  62.094""], ["" 132.225"", "" 124.455"", ""  60.048""], ["" 132.568"", "" 123.708"", ""  61.187""], ["" 133.909"", "" 123.293"", ""  61.420""], ["" 134.194"", "" 121.906"", ""  61.795""], ["" 134.937"", "" 124.282"", ""  61.748""], ["" 128.990"", "" 130.570"", ""  60.631""], ["" 129.987"", "" 130.783"", ""  61.624""], ["" 129.647"", "" 130.465"", ""  62.464""], ["" 129.659"", "" 130.828"", ""  59.253""], ["" 131.054"", "" 130.936"", ""  59.184""], ["" 128.930"", "" 130.933"", ""  58.061""], ["" 131.698"", "" 131.160"", ""  57.972""], ["" 129.575"", "" 131.156"", ""  56.847""], ["" 130.971"", "" 131.279"", ""  56.775""], ["" 131.629"", "" 131.503"", ""  55.532""], ["" 130.859"", "" 131.518"", ""  54.287""], ["" 132.938"", "" 132.154"", ""  55.501""], ["" 127.784"", "" 131.508"", ""  60.912""], ["" 127.857"", "" 132.553"", ""  61.843""], ["" 126.589"", "" 131.336"", ""  60.204""], ["" 126.765"", "" 133.386"", ""  62.066""], ["" 125.498"", "" 132.172"", ""  60.425""], ["" 125.562"", "" 133.216"", ""  61.361""], ["" 124.444"", "" 134.068"", ""  61.591""], ["" 124.122"", "" 135.130"", ""  60.637""], ["" 123.359"", "" 133.629"", ""  62.470""]]",[],ZINC100052783
8,5067,ZINC100053898,receptor_tmp,1,18,-10.33,-0.2402325581395349,0.0,0.0,3,189.84,-14.2,-13.39,-0.81,-14.2,0.0,-2.25,3.88,-2.25,59,11,0.0,0.0,0.0,6.521112,13.021309,10.675286,-0.56460983,0.21975433,0.79556507,176.766769,"348.755981, 288.442322, 47.027348, 231.747711, 37.957737, 215.902954, 51.266628, 287.36731, 331.521301, 352.821655, 199.878555, 97.634827, 344.580963, ","[["" 127.079"", "" 128.647"", ""  66.013""], ["" 127.082"", "" 129.715"", ""  65.191""], ["" 127.462"", "" 130.848"", ""  65.501""], ["" 126.765"", "" 127.737"", ""  65.708""], ["" 127.523"", "" 128.717"", ""  67.282""], ["" 128.209"", "" 127.701"", ""  67.625""], ["" 128.810"", "" 127.540"", ""  68.956""], ["" 128.522"", "" 127.476"", ""  71.390""], ["" 127.996"", "" 127.631"", ""  70.094""], ["" 129.894"", "" 127.234"", ""  71.532""], ["" 130.716"", "" 127.145"", ""  70.411""], ["" 130.179"", "" 127.295"", ""  69.136""], ["" 127.762"", "" 127.547"", ""  72.546""], ["" 127.232"", "" 128.800"", ""  72.966""], ["" 126.185"", "" 128.546"", ""  74.055""], ["" 130.451"", "" 127.080"", ""  72.777""], ["" 131.253"", "" 127.594"", ""  72.895""], ["" 126.548"", "" 129.466"", ""  63.764""], ["" 125.142"", "" 130.089"", ""  63.561""], ["" 125.104"", "" 131.332"", ""  62.684""], ["" 125.987"", "" 132.404"", ""  62.934""], ["" 124.191"", "" 131.414"", ""  61.613""], ["" 125.957"", "" 133.551"", ""  62.116""], ["" 124.160"", "" 132.562"", ""  60.796""], ["" 125.043"", "" 133.631"", ""  61.048""], ["" 125.014"", "" 134.743"", ""  60.257""], ["" 125.882"", "" 135.123"", ""  60.107""], ["" 127.473"", "" 129.983"", ""  62.749""], ["" 127.453"", "" 129.700"", ""  61.432""], ["" 126.609"", "" 128.959"", ""  60.920""], ["" 128.185"", "" 130.608"", ""  63.100""], ["" 128.511"", "" 130.372"", ""  60.582""], ["" 129.803"", "" 130.554"", ""  61.093""], ["" 128.235"", "" 130.830"", ""  59.285""], ["" 130.810"", "" 131.170"", ""  60.338""], ["" 129.218"", "" 131.450"", ""  58.502""], ["" 130.501"", "" 131.610"", ""  59.044""], ["" 132.174"", "" 131.350"", ""  60.895""], ["" 133.128"", "" 131.368"", ""  60.121""], ["" 132.302"", "" 131.476"", ""  62.109""], ["" 128.908"", "" 131.927"", ""  57.132""], ["" 127.828"", "" 131.622"", ""  56.632""], ["" 129.742"", "" 132.611"", ""  56.543""]]",[],ZINC100053898
9,6849,ZINC100058471,receptor_tmp,1,10,-8.72,-0.3791304347826087,0.0,0.0,15,187.12,-9.31,-9.37,0.05,-9.31,0.0,-0.39,0.6,-0.39,52,0,0.0,0.0,0.0,7.672843,7.707427,6.845222,-0.35158085,0.22117845,0.90965433,173.81398,"171.718414, 32.700642, ","[["" 127.717"", "" 123.325"", ""  57.337""], ["" 128.038"", "" 123.160"", ""  55.983""], ["" 127.049"", "" 123.215"", ""  55.000""], ["" 125.720"", "" 123.436"", ""  55.359""], ["" 125.382"", "" 123.602"", ""  56.700""], ["" 123.390"", "" 123.933"", ""  57.244""], ["" 126.372"", "" 123.546"", ""  57.682""], ["" 128.784"", "" 123.259"", ""  58.343""], ["" 128.619"", "" 122.802"", ""  59.529""], ["" 129.727"", "" 122.817"", ""  60.333""], ["" 130.460"", "" 120.645"", ""  59.877""], ["" 130.572"", "" 121.750"", ""  60.412""], ["" 131.700"", "" 122.143"", ""  61.358""], ["" 131.452"", "" 123.619"", ""  61.666""], ["" 133.139"", "" 122.124"", ""  60.745""], ["" 130.199"", "" 123.976"", ""  60.877""], ["" 132.770"", "" 124.325"", ""  61.206""], ["" 134.101"", "" 122.528"", ""  61.866""], ["" 133.181"", "" 123.458"", ""  60.045""], ["" 129.714"", "" 125.107"", ""  60.808""], ["" 133.882"", "" 123.838"", ""  62.139""], ["" 134.215"", "" 123.849"", ""  59.004""], ["" 132.765"", "" 123.691"", ""  58.606""]]",[],ZINC100058471
