,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,13194,1a_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,19,-9.44,-0.23024390243902437,0.0,0.0,2,185.08,-12.72,-12.34,-0.38,-12.72,0.0,-2.17,3.28,-2.17,71,8,0.0,0.0,0.0,1.794499,14.650775,3.572399,0.96576015,0.06338457,-0.25157448,31.182222,"194.174316, 66.323555, 138.397552, 52.277702, 82.545273, 126.631577, 29.097879, 48.677544, 272.332245, 142.742813, 109.719162, ","[["" 125.855"", "" 129.860"", ""  55.828""], ["" 126.491"", "" 131.050"", ""  55.873""], ["" 126.386"", "" 128.771"", ""  55.609""], ["" 125.923"", "" 131.849"", ""  56.115""], ["" 124.348"", "" 129.910"", ""  56.084""], ["" 123.972"", "" 130.402"", ""  57.792""], ["" 124.968"", "" 129.364"", ""  58.837""], ["" 126.203"", "" 128.829"", ""  60.852""], ["" 125.416"", "" 129.750"", ""  60.119""], ["" 126.501"", "" 127.592"", ""  60.266""], ["" 125.083"", "" 131.066"", ""  60.674""], ["" 126.009"", "" 127.265"", ""  58.996""], ["" 124.821"", "" 132.104"", ""  61.112""], ["" 125.250"", "" 128.153"", ""  58.300""], ["" 126.736"", "" 129.096"", ""  62.222""], ["" 127.776"", "" 129.590"", ""  64.787""], ["" 127.014"", "" 128.449"", ""  64.540""], ["" 128.021"", "" 130.487"", ""  63.735""], ["" 126.501"", "" 128.200"", ""  63.270""], ["" 127.506"", "" 130.237"", ""  62.466""], ["" 128.244"", "" 129.752"", ""  66.076""], ["" 128.201"", "" 128.649"", ""  66.974""], ["" 126.294"", "" 125.953"", ""  58.325""], ["" 127.173"", "" 125.868"", ""  57.233""], ["" 125.685"", "" 124.768"", ""  58.767""], ["" 127.436"", "" 124.649"", ""  56.613""], ["" 125.946"", "" 123.549"", ""  58.150""], ["" 126.829"", "" 123.479"", ""  57.063""], ["" 127.150"", "" 122.316"", ""  56.390""], ["" 127.230"", "" 122.336"", ""  54.970""], ["" 127.852"", "" 131.353"", ""  55.674""], ["" 128.352"", "" 132.169"", ""  54.648""], ["" 128.738"", "" 130.793"", ""  56.594""], ["" 129.720"", "" 132.407"", ""  54.548""], ["" 130.106"", "" 131.032"", ""  56.493""], ["" 130.614"", "" 131.842"", ""  55.469""], ["" 132.094"", "" 132.082"", ""  55.390""], ["" 132.711"", "" 132.171"", ""  54.324""], ["" 132.685"", "" 132.186"", ""  56.608""], ["" 133.241"", "" 131.048"", ""  57.255""], ["" 132.744"", "" 130.995"", ""  58.703""]]",[],1a_Ghoteimi_2023
1,5935,1a_Grossjean_2025,4h2i_c_3_mae_prepped,1,15,-7.53,-0.2788888888888889,0.0,0.0,16,188.09,-9.62,-9.26,-0.35,-9.62,0.0,-1.96,2.09,-1.96,31,4,0.0,0.0,0.0,5.473382,12.74289,2.848705,0.31617768,-0.94825761,0.02896861,40.046677,"122.878357, 293.93396, 66.27095, 97.009506, 79.561005, 169.476898, 273.878906, ","[["" 127.880"", "" 126.981"", ""  56.936""], ["" 126.793"", "" 126.469"", ""  57.644""], ["" 126.727"", "" 125.114"", ""  57.954""], ["" 127.752"", "" 124.242"", ""  57.563""], ["" 128.848"", "" 124.762"", ""  56.857""], ["" 128.915"", "" 126.117"", ""  56.547""], ["" 127.842"", "" 128.365"", ""  56.675""], ["" 127.143"", "" 129.054"", ""  55.747""], ["" 126.373"", "" 128.563"", ""  54.922""], ["" 128.405"", "" 128.916"", ""  57.305""], ["" 127.357"", "" 130.569"", ""  55.758""], ["" 127.682"", "" 131.203"", ""  57.430""], ["" 129.371"", "" 130.814"", ""  57.830""], ["" 131.775"", "" 130.945"", ""  57.558""], ["" 130.485"", "" 131.335"", ""  57.129""], ["" 131.900"", "" 130.059"", ""  58.633""], ["" 130.329"", "" 132.224"", ""  55.974""], ["" 130.747"", "" 129.577"", ""  59.250""], ["" 130.208"", "" 132.925"", ""  55.062""], ["" 129.503"", "" 129.939"", ""  58.859""], ["" 133.051"", "" 131.448"", ""  56.887""], ["" 130.816"", "" 128.607"", ""  60.414""], ["" 127.647"", "" 122.785"", ""  57.910""], ["" 128.058"", "" 122.309"", ""  58.972""], ["" 127.042"", "" 122.046"", ""  56.944""], ["" 126.396"", "" 122.668"", ""  55.841""], ["" 124.883"", "" 122.690"", ""  56.080""]]",[],1a_Grossjean_2025
2,12651,1aa_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,18,-9.19,-0.2241463414634146,0.0,0.0,1,184.03,-12.47,-11.85,-0.62,-12.47,0.0,-2.6,3.28,-2.6,68,8,0.0,0.0,0.0,2.82153,15.536841,5.038465,0.85241452,0.50964121,-0.11685596,63.893299,"140.656494, 120.919571, 121.574821, 229.26355, 349.360718, 111.432571, 334.914124, 82.98027, 138.23175, 287.674713, 355.088501, ","[["" 125.804"", "" 130.312"", ""  56.077""], ["" 126.734"", "" 131.035"", ""  56.742""], ["" 125.988"", "" 129.752"", ""  54.997""], ["" 126.436"", "" 131.425"", ""  57.625""], ["" 124.416"", "" 130.184"", ""  56.726""], ["" 124.511"", "" 130.345"", ""  58.148""], ["" 125.123"", "" 129.372"", ""  58.925""], ["" 126.033"", "" 128.623"", ""  61.045""], ["" 125.405"", "" 129.631"", ""  60.277""], ["" 126.328"", "" 127.404"", ""  60.420""], ["" 125.019"", "" 130.920"", ""  60.855""], ["" 126.016"", "" 127.199"", ""  59.071""], ["" 125.430"", "" 128.182"", ""  58.338""], ["" 124.713"", "" 131.939"", ""  61.309""], ["" 126.400"", "" 128.783"", ""  62.484""], ["" 127.114"", "" 129.107"", ""  65.185""], ["" 128.093"", "" 128.898"", ""  64.214""], ["" 125.767"", "" 129.159"", ""  64.794""], ["" 127.742"", "" 128.740"", ""  62.876""], ["" 125.418"", "" 129.000"", ""  63.456""], ["" 127.555"", "" 129.253"", ""  66.486""], ["" 128.627"", "" 128.441"", ""  66.951""], ["" 126.325"", "" 125.918"", ""  58.350""], ["" 127.327"", "" 125.865"", ""  57.370""], ["" 125.625"", "" 124.735"", ""  58.637""], ["" 127.613"", "" 124.679"", ""  56.699""], ["" 125.909"", "" 123.548"", ""  57.967""], ["" 126.909"", "" 123.512"", ""  56.986""], ["" 127.261"", "" 122.384"", ""  56.270""], ["" 127.176"", "" 122.409"", ""  54.849""], ["" 128.068"", "" 131.332"", ""  56.407""], ["" 128.741"", "" 130.855"", ""  55.272""], ["" 128.739"", "" 132.175"", ""  57.295""], ["" 130.066"", "" 131.217"", ""  55.041""], ["" 130.062"", "" 132.537"", ""  57.062""], ["" 130.743"", "" 132.062"", ""  55.933""], ["" 132.171"", "" 132.470"", ""  55.712""], ["" 132.505"", "" 133.608"", ""  55.367""], ["" 133.057"", "" 131.465"", ""  55.929""], ["" 132.905"", "" 130.578"", ""  57.031""], ["" 133.778"", "" 131.055"", ""  58.195""]]",[],1aa_Ghoteimi_2023
3,12518,1b_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,19,-9.04,-0.2582857142857143,0.0,0.0,2,185.76,-11.43,-10.87,-0.56,-11.43,0.0,-1.41,2.39,-1.41,43,6,0.0,0.0,0.0,7.848914,11.636476,7.523978,0.81609152,0.36882189,0.44493264,57.437283,"197.413345, 347.304382, 7.262717, 139.433868, 47.615295, 184.765839, 172.961517, 88.783424, ","[["" 127.882"", "" 126.568"", ""  59.737""], ["" 129.084"", "" 127.300"", ""  59.576""], ["" 130.021"", "" 126.966"", ""  58.500""], ["" 130.761"", "" 126.701"", ""  57.650""], ["" 129.314"", "" 128.394"", ""  60.441""], ["" 128.412"", "" 128.782"", ""  61.374""], ["" 127.255"", "" 128.088"", ""  61.530""], ["" 126.974"", "" 126.983"", ""  60.720""], ["" 127.519"", "" 125.377"", ""  58.913""], ["" 126.818"", "" 123.129"", ""  57.376""], ["" 125.892"", "" 124.148"", ""  57.605""], ["" 128.103"", "" 123.238"", ""  57.928""], ["" 126.238"", "" 125.260"", ""  58.367""], ["" 128.445"", "" 124.351"", ""  58.691""], ["" 126.386"", "" 122.064"", ""  56.609""], ["" 125.222"", "" 122.215"", ""  55.804""], ["" 130.768"", "" 129.421"", ""  60.390""], ["" 130.229"", "" 131.162"", ""  60.460""], ["" 129.972"", "" 131.818"", ""  59.095""], ["" 130.952"", "" 131.624"", ""  58.184""], ["" 128.940"", "" 132.459"", ""  58.889""], ["" 131.756"", "" 131.089"", ""  58.476""], ["" 130.992"", "" 132.098"", ""  56.878""], ["" 130.109"", "" 132.909"", ""  56.319""], ["" 131.999"", "" 131.759"", ""  55.976""], ["" 130.533"", "" 133.123"", ""  55.007""], ["" 131.677"", "" 132.423"", ""  54.814""], ["" 126.316"", "" 128.580"", ""  62.596""], ["" 126.611"", "" 128.401"", ""  63.956""], ["" 125.120"", "" 129.239"", ""  62.268""], ["" 125.745"", "" 128.857"", ""  64.945""], ["" 124.252"", "" 129.697"", ""  63.254""], ["" 124.560"", "" 129.508"", ""  64.609""], ["" 123.763"", "" 129.926"", ""  65.657""], ["" 124.097"", "" 129.531"", ""  66.982""]]",[],1b_Ghoteimi_2023
4,13709,1b_Grossjean_2025,4h2i_c_3_mae_prepped,2,12,-7.27,-0.2796153846153846,0.0,0.0,9,186.45,-9.06,-8.72,-0.34,-9.06,0.0,-2.08,1.79,-2.08,51,5,0.0,0.0,0.0,6.506347,9.731389,8.097514,-0.70947514,-0.35416686,0.60927076,303.500305,"221.755768, 99.478615, 234.035126, 88.663803, 158.085815, 290.570496, ","[["" 129.045"", "" 123.825"", ""  62.232""], ["" 128.533"", "" 124.439"", ""  61.143""], ["" 128.995"", "" 122.617"", ""  62.461""], ["" 128.648"", "" 125.442"", ""  61.106""], ["" 129.747"", "" 124.743"", ""  63.233""], ["" 130.366"", "" 126.264"", ""  62.451""], ["" 131.104"", "" 125.799"", ""  60.899""], ["" 132.853"", "" 124.901"", ""  59.486""], ["" 132.391"", "" 125.223"", ""  60.783""], ["" 132.029"", "" 125.150"", ""  58.384""], ["" 133.218"", "" 124.930"", ""  61.955""], ["" 130.766"", "" 125.702"", ""  58.594""], ["" 133.875"", "" 124.697"", ""  62.879""], ["" 130.303"", "" 126.018"", ""  59.826""], ["" 134.225"", "" 124.280"", ""  59.233""], ["" 129.822"", "" 125.987"", ""  57.441""], ["" 127.838"", "" 123.904"", ""  60.042""], ["" 126.481"", "" 124.219"", ""  59.974""], ["" 128.408"", "" 123.101"", ""  59.042""], ["" 125.696"", "" 123.744"", ""  58.927""], ["" 127.622"", "" 122.626"", ""  57.996""], ["" 126.259"", "" 122.941"", ""  57.923""], ["" 125.443"", "" 122.413"", ""  56.778""], ["" 124.212"", "" 122.312"", ""  56.812""], ["" 126.194"", "" 122.050"", ""  55.706""], ["" 126.473"", "" 122.975"", ""  54.664""]]",[],1b_Grossjean_2025
5,4496,1c_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,15,-8.11,-0.2317142857142857,0.0,0.0,1,189.87,-10.5,-10.0,-0.51,-10.5,0.0,-2.35,2.39,-2.35,45,8,0.0,0.0,0.0,6.422871,13.58775,4.61944,0.23453282,0.13933421,-0.96207086,214.138412,"196.212646, 295.28302, 57.454613, 216.022659, 24.286972, 19.989986, 132.007767, 93.518463, ","[["" 127.802"", "" 129.680"", ""  59.424""], ["" 126.628"", "" 130.397"", ""  59.095""], ["" 126.459"", "" 131.798"", ""  59.498""], ["" 126.327"", "" 132.903"", ""  59.816""], ["" 125.630"", "" 129.729"", ""  58.356""], ["" 125.747"", "" 128.435"", ""  57.975""], ["" 126.855"", "" 127.729"", ""  58.323""], ["" 127.891"", "" 128.336"", ""  59.040""], ["" 128.973"", "" 130.281"", ""  60.127""], ["" 131.184"", "" 131.371"", ""  61.474""], ["" 131.346"", "" 130.756"", ""  60.233""], ["" 129.903"", "" 131.436"", ""  62.044""], ["" 130.252"", "" 130.214"", ""  59.566""], ["" 128.810"", "" 130.892"", ""  61.375""], ["" 132.325"", "" 131.882"", ""  62.064""], ["" 133.491"", "" 132.072"", ""  61.269""], ["" 124.182"", "" 130.553"", ""  57.730""], ["" 124.240"", "" 130.292"", ""  55.928""], ["" 125.675"", "" 130.153"", ""  55.409""], ["" 126.500"", "" 131.178"", ""  55.718""], ["" 125.984"", "" 129.173"", ""  54.730""], ["" 126.125"", "" 131.919"", ""  56.290""], ["" 127.789"", "" 131.373"", ""  55.248""], ["" 128.206"", "" 131.350"", ""  54.000""], ["" 129.010"", "" 131.743"", ""  56.423""], ["" 129.495"", "" 131.619"", ""  53.916""], ["" 130.150"", "" 131.870"", ""  55.117""], ["" 126.914"", "" 126.301"", ""  57.864""], ["" 127.857"", "" 125.878"", ""  56.914""], ["" 126.023"", "" 125.344"", ""  58.370""], ["" 127.912"", "" 124.552"", ""  56.494""], ["" 126.075"", "" 124.016"", ""  57.955""], ["" 127.026"", "" 123.609"", ""  57.009""], ["" 127.154"", "" 122.316"", ""  56.538""], ["" 127.247"", "" 122.092"", ""  55.136""]]",[],1c_Ghoteimi_2023
6,13112,1c_Grossjean_2025,4h2i_c_3_mae_prepped,1,12,-7.15,-0.29791666666666666,0.0,0.0,6,189.86,-8.64,-8.4,-0.24,-8.64,0.0,-1.85,1.49,-1.85,35,5,0.0,0.0,0.0,7.44367,15.108205,1.761323,0.21910271,-0.4643706,0.85811069,149.546478,"180.063721, 283.279602, 43.318199, 2.375163, 105.808456, ","[["" 129.798"", "" 132.402"", ""  55.386""], ["" 129.324"", "" 131.763"", ""  56.476""], ["" 130.776"", "" 133.149"", ""  55.364""], ["" 128.556"", "" 131.128"", ""  56.322""], ["" 129.030"", "" 132.143"", ""  54.088""], ["" 128.965"", "" 130.372"", ""  53.683""], ["" 128.070"", "" 129.532"", ""  54.973""], ["" 127.713"", "" 127.817"", ""  56.646""], ["" 128.534"", "" 128.373"", ""  55.637""], ["" 126.496"", "" 128.434"", ""  56.955""], ["" 129.836"", "" 127.772"", ""  55.338""], ["" 126.130"", "" 129.588"", ""  56.268""], ["" 130.864"", "" 127.297"", ""  55.102""], ["" 126.898"", "" 130.136"", ""  55.298""], ["" 128.102"", "" 126.562"", ""  57.425""], ["" 124.831"", "" 130.313"", ""  56.568""], ["" 129.788"", "" 131.800"", ""  57.806""], ["" 129.024"", "" 132.216"", ""  58.906""], ["" 131.097"", "" 131.358"", ""  58.007""], ["" 129.578"", "" 132.202"", ""  60.183""], ["" 131.647"", "" 131.345"", ""  59.286""], ["" 130.889"", "" 131.772"", ""  60.387""], ["" 131.350"", "" 131.796"", ""  61.689""], ["" 132.696"", "" 131.418"", ""  61.956""]]",[],1c_Grossjean_2025
7,4522,1d_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,4,-7.91,-0.26366666666666666,0.0,0.0,10,189.19,-10.3,-9.81,-0.49,-10.3,0.0,-0.95,2.39,-0.95,44,7,0.0,0.0,0.0,8.207929,11.15859,5.087156,-0.35741823,0.76700924,0.53286868,184.364395,"249.153885, 17.59671, 336.39975, 78.622849, 71.028488, 283.239929, 180.492538, 48.197979, ","[["" 127.029"", "" 124.846"", ""  57.986""], ["" 128.350"", "" 125.997"", ""  58.297""], ["" 129.638"", "" 128.017"", ""  57.917""], ["" 128.531"", "" 127.200"", ""  57.577""], ["" 130.467"", "" 127.611"", ""  58.971""], ["" 127.573"", "" 127.627"", ""  56.553""], ["" 130.206"", "" 126.427"", ""  59.670""], ["" 126.817"", "" 127.965"", ""  55.745""], ["" 129.158"", "" 125.636"", ""  59.322""], ["" 129.971"", "" 129.296"", ""  57.220""], ["" 130.606"", "" 131.709"", ""  55.923""], ["" 130.728"", "" 131.596"", ""  57.308""], ["" 130.171"", "" 130.599"", ""  55.184""], ["" 130.417"", "" 130.401"", ""  57.951""], ["" 129.861"", "" 129.405"", ""  55.829""], ["" 130.930"", "" 132.934"", ""  55.372""], ["" 132.292"", "" 133.350"", ""  55.354""], ["" 131.056"", "" 125.952"", ""  60.812""], ["" 132.271"", "" 125.286"", ""  60.588""], ["" 130.657"", "" 126.152"", ""  62.142""], ["" 133.055"", "" 124.841"", ""  61.648""], ["" 131.437"", "" 125.707"", ""  63.205""], ["" 132.649"", "" 125.045"", ""  62.965""], ["" 133.488"", "" 124.566"", ""  63.953""], ["" 133.423"", "" 125.139"", ""  65.255""], ["" 127.786"", "" 123.203"", ""  57.808""], ["" 127.126"", "" 122.520"", ""  56.613""], ["" 127.688"", "" 122.456"", ""  55.519""], ["" 125.908"", "" 122.022"", ""  56.915""], ["" 124.731"", "" 122.692"", ""  56.492""]]",[],1d_Ghoteimi_2023
8,13883,1d_Grossjean_2025,4h2i_c_3_mae_prepped,1,17,-7.46,-0.3390909090909091,0.0,0.0,1,189.9,-8.65,-8.31,-0.34,-8.65,0.0,-0.54,1.19,-0.54,47,3,0.0,0.0,0.0,10.983126,7.102337,20.275938,0.73532259,-0.67762911,-0.01093059,148.618454,"320.712036, 114.215492, 344.010345, 112.248581, ","[["" 130.798"", "" 123.445"", ""  74.960""], ["" 131.355"", "" 125.072"", ""  74.507""], ["" 132.993"", "" 126.837"", ""  74.249""], ["" 132.691"", "" 125.516"", ""  74.650""], ["" 131.972"", "" 127.650"", ""  73.746""], ["" 133.733"", "" 124.663"", ""  75.224""], ["" 130.679"", "" 127.139"", ""  73.661""], ["" 134.560"", "" 123.991"", ""  75.678""], ["" 130.367"", "" 125.877"", ""  74.037""], ["" 134.400"", "" 127.425"", ""  74.346""], ["" 129.528"", "" 127.974"", ""  73.135""], ["" 130.734"", "" 122.450"", ""  73.439""], ["" 129.299"", "" 122.215"", ""  72.964""], ["" 128.895"", "" 120.926"", ""  72.961""], ["" 128.621"", "" 123.176"", ""  72.601""], ["" 129.584"", "" 120.244"", ""  73.242""], ["" 127.651"", "" 120.371"", ""  72.606""], ["" 126.622"", "" 120.548"", ""  73.534""], ["" 127.391"", "" 119.693"", ""  71.403""], ["" 125.350"", "" 120.043"", ""  73.279""], ["" 126.117"", "" 119.190"", ""  71.150""], ["" 125.103"", "" 119.365"", ""  72.088""]]",[],1d_Grossjean_2025
9,12982,1e_Grossjean_2025,4h2i_c_3_mae_prepped,1,14,-6.83,-0.29695652173913045,0.0,0.0,1,182.97,-8.03,-8.01,-0.02,-8.03,0.0,-1.64,1.19,-1.64,53,2,0.0,0.0,0.0,6.958106,7.888299,7.714751,-0.2128482,-0.61907604,0.75593684,220.056137,"161.330139, 291.341309, 346.251953, 48.647316, ","[["" 127.378"", "" 123.508"", ""  62.072""], ["" 128.364"", "" 122.036"", ""  62.482""], ["" 129.885"", "" 122.092"", ""  61.555""], ["" 131.788"", "" 121.149"", ""  60.390""], ["" 130.596"", "" 120.947"", ""  61.122""], ["" 132.207"", "" 122.453"", ""  60.108""], ["" 130.113"", "" 119.587"", ""  61.374""], ["" 131.431"", "" 123.523"", ""  60.551""], ["" 129.734"", "" 118.512"", ""  61.572""], ["" 130.288"", "" 123.353"", ""  61.256""], ["" 132.647"", "" 119.993"", ""  59.877""], ["" 131.822"", "" 124.959"", ""  60.261""], ["" 126.748"", "" 123.405"", ""  60.681""], ["" 127.610"", "" 123.226"", ""  59.657""], ["" 125.526"", "" 123.511"", ""  60.566""], ["" 128.593"", "" 123.224"", ""  59.887""], ["" 127.326"", "" 123.112"", ""  58.284""], ["" 126.117"", "" 122.670"", ""  57.831""], ["" 128.359"", "" 123.454"", ""  57.403""], ["" 125.919"", "" 122.572"", ""  56.492""], ["" 128.140"", "" 123.349"", ""  56.028""], ["" 126.905"", "" 122.902"", ""  55.558""], ["" 124.552"", "" 122.076"", ""  56.061""]]",[],1e_Grossjean_2025
