,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,12950,1a_Ghoteimi_2023,receptor_tmp,1,4,-9.21,-0.22463414634146345,0.0,0.0,1,187.16,-12.49,-11.5,-0.99,-12.49,0.0,-1.56,3.28,-1.56,49,6,0.0,0.0,0.0,7.99103,13.205771,10.030352,0.3905529,0.79055489,0.47168995,239.317886,"61.355396, 209.336807, 195.165115, 140.961884, 154.309067, 11.908734, 351.462555, 58.137699, 260.547638, 208.078659, 221.733765, ","[["" 128.505"", "" 127.996"", ""  66.090""], ["" 129.580"", "" 128.011"", ""  66.907""], ["" 127.330"", "" 127.938"", ""  66.453""], ["" 130.478"", "" 128.113"", ""  66.457""], ["" 128.815"", "" 128.066"", ""  64.595""], ["" 128.471"", "" 129.715"", ""  63.913""], ["" 128.433"", "" 129.522"", ""  62.145""], ["" 128.953"", "" 130.150"", ""  59.864""], ["" 129.056"", "" 130.418"", ""  61.251""], ["" 128.234"", "" 129.020"", ""  59.455""], ["" 129.783"", "" 131.594"", ""  61.739""], ["" 127.656"", "" 128.161"", ""  60.398""], ["" 130.356"", "" 132.523"", ""  62.124""], ["" 127.763"", "" 128.422"", ""  61.727""], ["" 129.570"", "" 131.004"", ""  58.804""], ["" 130.753"", "" 132.625"", ""  56.836""], ["" 129.447"", "" 132.867"", ""  57.260""], ["" 131.471"", "" 131.564"", ""  57.408""], ["" 128.860"", "" 132.068"", ""  58.237""], ["" 130.882"", "" 130.765"", ""  58.385""], ["" 131.252"", "" 133.470"", ""  55.864""], ["" 131.641"", "" 132.929"", ""  54.607""], ["" 126.881"", "" 126.934"", ""  60.013""], ["" 126.356"", "" 126.778"", ""  58.720""], ["" 126.652"", "" 125.904"", ""  60.939""], ["" 125.638"", "" 125.639"", ""  58.367""], ["" 125.935"", "" 124.764"", ""  60.589""], ["" 125.421"", "" 124.622"", ""  59.293""], ["" 124.700"", "" 123.527"", ""  58.854""], ["" 124.498"", "" 123.344"", ""  57.458""], ["" 129.646"", "" 127.949"", ""  68.312""], ["" 130.388"", "" 128.823"", ""  69.121""], ["" 128.894"", "" 126.937"", ""  68.910""], ["" 130.378"", "" 128.673"", ""  70.505""], ["" 128.885"", "" 126.789"", ""  70.294""], ["" 129.626"", "" 127.655"", ""  71.109""], ["" 129.592"", "" 127.469"", ""  72.599""], ["" 129.746"", "" 128.394"", ""  73.401""], ["" 129.378"", "" 126.181"", ""  72.973""], ["" 130.439"", "" 125.233"", ""  72.983""], ["" 130.080"", "" 124.061"", ""  72.064""]]",[],1a_Ghoteimi_2023
1,5270,1a_Grossjean_2025,receptor_tmp,1,14,-7.75,-0.28703703703703703,0.0,0.0,8,189.96,-9.84,-9.53,-0.31,-9.84,0.0,-1.5,2.09,-1.5,49,3,0.0,0.0,0.0,3.920384,15.510635,5.681953,-0.95236136,0.25987241,-0.15960628,217.393967,"110.478592, 82.914207, 195.960938, 98.456375, 108.677818, 83.132103, 181.712769, ","[["" 127.141"", "" 131.569"", ""  58.836""], ["" 127.102"", "" 131.029"", ""  57.550""], ["" 128.020"", "" 131.436"", ""  56.586""], ["" 128.998"", "" 132.392"", ""  56.891""], ["" 129.038"", "" 132.927"", ""  58.187""], ["" 128.121"", "" 132.521"", ""  59.153""], ["" 126.164"", "" 131.087"", ""  59.729""], ["" 124.848"", "" 131.378"", ""  59.816""], ["" 124.238"", "" 132.159"", ""  59.085""], ["" 126.509"", "" 130.398"", ""  60.380""], ["" 124.089"", "" 130.654"", ""  60.930""], ["" 123.912"", "" 131.683"", ""  62.419""], ["" 124.334"", "" 130.672"", ""  63.820""], ["" 125.738"", "" 129.159"", ""  65.089""], ["" 125.527"", "" 129.916"", ""  63.913""], ["" 124.766"", "" 129.173"", ""  66.095""], ["" 126.508"", "" 129.879"", ""  62.825""], ["" 123.610"", "" 129.927"", ""  65.908""], ["" 127.285"", "" 129.848"", ""  61.968""], ["" 123.388"", "" 130.662"", ""  64.793""], ["" 126.990"", "" 128.313"", ""  65.308""], ["" 122.514"", "" 129.975"", ""  66.957""], ["" 129.969"", "" 132.812"", ""  55.826""], ["" 130.858"", "" 133.649"", ""  56.010""], ["" 129.782"", "" 132.168"", ""  54.644""], ["" 130.541"", "" 131.013"", ""  54.310""], ["" 131.985"", "" 131.421"", ""  54.006""]]",[],1a_Grossjean_2025
2,13752,1aa_Ghoteimi_2023,receptor_tmp,1,7,-8.78,-0.21414634146341463,0.0,0.0,1,186.12,-12.06,-11.2,-0.87,-12.06,0.0,-2.93,3.28,-2.93,58,11,0.0,0.0,0.0,9.182269,10.283588,12.930209,0.79461901,-0.54467704,-0.26815584,219.308167,"324.433502, 147.805908, 292.701935, 219.61705, 264.277405, 48.046494, 21.877729, 17.357021, 266.045197, 125.574089, 137.009491, ","[["" 133.195"", "" 125.133"", ""  64.997""], ["" 132.224"", "" 124.573"", ""  64.239""], ["" 134.402"", "" 125.045"", ""  64.773""], ["" 131.277"", "" 124.744"", ""  64.546""], ["" 132.750"", "" 125.941"", ""  66.227""], ["" 131.432"", "" 125.551"", ""  66.633""], ["" 130.472"", "" 126.512"", ""  66.920""], ["" 128.741"", "" 128.052"", ""  66.203""], ["" 129.709"", "" 127.071"", ""  65.882""], ["" 128.580"", "" 128.405"", ""  67.549""], ["" 129.918"", "" 126.607"", ""  64.510""], ["" 129.364"", "" 127.807"", ""  68.544""], ["" 130.304"", "" 126.880"", ""  68.221""], ["" 130.084"", "" 126.239"", ""  63.425""], ["" 127.881"", "" 128.732"", ""  65.189""], ["" 126.288"", "" 130.016"", ""  63.260""], ["" 127.523"", "" 130.549"", ""  63.627""], ["" 125.853"", "" 128.826"", ""  63.864""], ["" 128.314"", "" 129.914"", ""  64.580""], ["" 126.646"", "" 128.192"", ""  64.817""], ["" 125.571"", "" 130.714"", ""  62.307""], ["" 124.790"", "" 129.994"", ""  61.360""], ["" 129.242"", "" 128.160"", ""  69.998""], ["" 130.330"", "" 128.694"", ""  70.706""], ["" 128.036"", "" 127.974"", ""  70.694""], ["" 130.220"", "" 129.020"", ""  72.054""], ["" 127.924"", "" 128.298"", ""  72.043""], ["" 129.021"", "" 128.825"", ""  72.737""], ["" 129.005"", "" 129.177"", ""  74.073""], ["" 128.204"", "" 130.276"", ""  74.492""], ["" 132.316"", "" 123.786"", ""  63.076""], ["" 131.535"", "" 122.653"", ""  62.805""], ["" 133.265"", "" 124.202"", ""  62.142""], ["" 131.713"", "" 121.950"", ""  61.615""], ["" 133.441"", "" 123.500"", ""  60.954""], ["" 132.668"", "" 122.365"", ""  60.675""], ["" 132.884"", "" 121.628"", ""  59.384""], ["" 133.127"", "" 120.419"", ""  59.327""], ["" 132.786"", "" 122.424"", ""  58.289""], ["" 133.909"", "" 123.152"", ""  57.806""], ["" 133.430"", "" 124.273"", ""  56.879""]]",[],1aa_Ghoteimi_2023
3,13376,1b_Ghoteimi_2023,receptor_tmp,1,17,-8.98,-0.25657142857142856,0.0,0.0,1,186.78,-11.37,-10.68,-0.69,-11.37,0.0,-1.53,2.39,-1.53,38,7,0.0,0.0,0.0,7.001472,10.868374,12.538218,0.84371996,-0.0230182,-0.53628983,105.87439,"85.690392, 241.792969, 130.622452, 140.51123, 262.018005, 300.269989, 252.112564, 56.252567, ","[["" 127.691"", "" 128.449"", ""  65.839""], ["" 128.589"", "" 127.655"", ""  65.084""], ["" 128.483"", "" 127.594"", ""  63.624""], ["" 128.398"", "" 127.547"", ""  62.470""], ["" 129.618"", "" 126.979"", ""  65.777""], ["" 129.795"", "" 127.105"", ""  67.115""], ["" 128.942"", "" 127.870"", ""  67.843""], ["" 127.889"", "" 128.549"", ""  67.221""], ["" 126.543"", "" 129.197"", ""  65.243""], ["" 124.374"", "" 130.584"", ""  64.115""], ["" 124.163"", "" 129.624"", ""  65.106""], ["" 125.683"", "" 130.844"", ""  63.685""], ["" 125.236"", "" 128.935"", ""  65.663""], ["" 126.754"", "" 130.154"", ""  64.244""], ["" 123.250"", "" 131.216"", ""  63.619""], ["" 122.630"", "" 130.709"", ""  62.442""], ["" 130.830"", "" 125.933"", ""  64.997""], ["" 130.500"", "" 124.213"", ""  65.508""], ["" 130.285"", "" 123.222"", ""  64.355""], ["" 129.441"", "" 123.654"", ""  63.391""], ["" 130.859"", "" 122.131"", ""  64.347""], ["" 129.024"", "" 124.565"", ""  63.515""], ["" 129.062"", "" 122.975"", ""  62.240""], ["" 127.819"", "" 122.769"", ""  61.833""], ["" 129.976"", "" 122.409"", ""  61.352""], ["" 127.900"", "" 122.049"", ""  60.640""], ["" 129.209"", "" 121.839"", ""  60.362""], ["" 129.204"", "" 127.945"", ""  69.322""], ["" 128.400"", "" 127.244"", ""  70.233""], ["" 130.262"", "" 128.710"", ""  69.838""], ["" 128.640"", "" 127.310"", ""  71.602""], ["" 130.506"", "" 128.777"", ""  71.206""], ["" 129.693"", "" 128.074"", ""  72.104""], ["" 129.856"", "" 128.078"", ""  73.476""], ["" 130.341"", "" 126.906"", ""  74.120""]]",[],1b_Ghoteimi_2023
4,12549,1b_Grossjean_2025,receptor_tmp,1,18,-7.35,-0.2826923076923077,0.0,0.0,2,191.52,-9.14,-9.09,-0.05,-9.14,0.0,-1.13,1.79,-1.13,51,5,0.0,0.0,0.0,7.328271,14.8887,7.36383,0.39670007,0.37937113,0.83588672,108.692741,"196.200699, 228.335693, 171.09845, 290.574036, 350.559845, 236.408035, ","[["" 130.014"", "" 131.742"", ""  61.944""], ["" 129.311"", "" 131.643"", ""  60.794""], ["" 131.154"", "" 132.194"", ""  62.048""], ["" 128.388"", "" 131.241"", ""  60.874""], ["" 129.291"", "" 131.250"", ""  63.198""], ["" 128.295"", "" 132.559"", ""  63.973""], ["" 126.705"", "" 132.560"", ""  63.172""], ["" 125.016"", "" 133.403"", ""  61.656""], ["" 126.309"", "" 133.524"", ""  62.215""], ["" 124.193"", "" 132.345"", ""  62.056""], ["" 127.204"", "" 134.598"", ""  61.778""], ["" 124.674"", "" 131.430"", ""  62.990""], ["" 127.909"", "" 135.447"", ""  61.431""], ["" 125.908"", "" 131.526"", ""  63.538""], ["" 124.473"", "" 134.385"", ""  60.619""], ["" 123.834"", "" 130.256"", ""  63.457""], ["" 129.666"", "" 132.000"", ""  59.480""], ["" 130.839"", "" 131.422"", ""  58.994""], ["" 128.937"", "" 132.870"", ""  58.655""], ["" 131.285"", "" 131.703"", ""  57.706""], ["" 129.384"", "" 133.151"", ""  57.368""], ["" 130.561"", "" 132.572"", ""  56.876""], ["" 131.012"", "" 132.897"", ""  55.480""], ["" 130.323"", "" 133.534"", ""  54.677""], ["" 132.247"", "" 132.414"", ""  55.189""], ["" 132.416"", "" 131.349"", ""  54.263""]]",[],1b_Grossjean_2025
5,8671,1c_Ghoteimi_2023,receptor_tmp,1,10,-8.41,-0.2402857142857143,0.0,0.0,6,192.29,-10.8,-10.1,-0.7,-10.8,0.0,-2.08,2.39,-2.08,35,7,0.0,0.0,0.0,8.011562,12.375655,12.758224,-0.39293392,0.85323677,-0.3429139,243.951569,"5.195682, 8.744442, 28.803392, 306.978668, 288.654449, 336.937317, 100.454124, 296.03717, ","[["" 129.485"", "" 126.713"", ""  65.902""], ["" 128.967"", "" 126.379"", ""  67.175""], ["" 129.565"", "" 125.306"", ""  67.978""], ["" 130.038"", "" 124.460"", ""  68.609""], ["" 127.868"", "" 127.119"", ""  67.657""], ["" 127.284"", "" 128.111"", ""  66.941""], ["" 127.752"", "" 128.408"", ""  65.700""], ["" 128.852"", "" 127.725"", ""  65.170""], ["" 130.693"", "" 126.074"", ""  65.302""], ["" 132.980"", "" 124.913"", ""  64.156""], ["" 133.020"", "" 125.419"", ""  65.455""], ["" 131.784"", "" 124.994"", ""  63.427""], ["" 131.889"", "" 125.996"", ""  66.023""], ["" 130.653"", "" 125.573"", ""  63.997""], ["" 134.150"", "" 124.358"", ""  63.674""], ["" 134.206"", "" 123.924"", ""  62.319""], ["" 127.224"", "" 126.924"", ""  69.304""], ["" 128.372"", "" 127.856"", ""  70.368""], ["" 128.946"", "" 126.992"", ""  71.496""], ["" 129.178"", "" 125.701"", ""  71.171""], ["" 129.123"", "" 127.485"", ""  72.611""], ["" 128.999"", "" 125.423"", ""  70.218""], ["" 129.546"", "" 124.682"", ""  72.036""], ["" 129.372"", "" 124.627"", ""  73.339""], ["" 130.282"", "" 123.278"", ""  71.334""], ["" 129.809"", "" 123.486"", ""  73.837""], ["" 130.350"", "" 122.584"", ""  72.926""], ["" 127.056"", "" 129.519"", ""  64.968""], ["" 125.656"", "" 129.611"", ""  64.942""], ["" 127.789"", "" 130.500"", ""  64.283""], ["" 125.014"", "" 130.646"", ""  64.266""], ["" 127.152"", "" 131.536"", ""  63.608""], ["" 125.752"", "" 131.617"", ""  63.595""], ["" 125.034"", "" 132.609"", ""  62.954""], ["" 124.455"", "" 132.336"", ""  61.682""]]",[],1c_Ghoteimi_2023
6,12790,1c_Grossjean_2025,receptor_tmp,2,6,-7.14,-0.2975,0.0,0.0,9,191.86,-8.63,-8.4,-0.23,-8.63,0.0,-1.33,1.49,-1.33,59,3,0.0,0.0,0.0,6.668507,15.873692,8.32503,0.71861634,-0.53266324,-0.44705752,173.650894,"29.272699, 262.730499, 4.96109, 274.872925, 47.105408, ","[["" 129.986"", "" 131.801"", ""  61.900""], ["" 129.354"", "" 131.567"", ""  60.730""], ["" 131.011"", "" 132.467"", ""  62.038""], ["" 128.483"", "" 131.061"", ""  60.787""], ["" 129.334"", "" 131.172"", ""  63.133""], ["" 128.245"", "" 132.345"", ""  63.995""], ["" 127.301"", "" 133.236"", ""  62.775""], ["" 125.507"", "" 133.545"", ""  61.177""], ["" 126.157"", "" 132.719"", ""  62.122""], ["" 126.003"", "" 134.830"", ""  60.936""], ["" 125.619"", "" 131.390"", ""  62.428""], ["" 127.120"", "" 135.268"", ""  61.644""], ["" 125.195"", "" 130.341"", ""  62.668""], ["" 127.759"", "" 134.493"", ""  62.551""], ["" 124.270"", "" 133.095"", ""  60.402""], ["" 127.696"", "" 136.657"", ""  61.440""], ["" 129.698"", "" 131.985"", ""  59.429""], ["" 130.880"", "" 131.629"", ""  58.763""], ["" 128.759"", "" 132.788"", ""  58.779""], ["" 131.116"", "" 132.090"", ""  57.471""], ["" 128.999"", "" 133.247"", ""  57.487""], ["" 130.186"", "" 132.902"", ""  56.822""], ["" 130.510"", "" 133.310"", ""  55.542""], ["" 130.026"", "" 132.562"", ""  54.432""]]",[],1c_Grossjean_2025
7,6874,1d_Ghoteimi_2023,receptor_tmp,1,17,-7.54,-0.25133333333333335,0.0,0.0,2,191.89,-9.92,-9.24,-0.69,-9.92,0.0,-1.01,2.39,-1.01,36,10,0.0,0.0,0.0,7.362908,11.893586,13.317089,0.21531167,0.95134646,0.22041053,138.006134,"87.471779, 7.610672, 288.079376, 224.285477, 48.365643, 162.976089, 347.569031, 331.172058, ","[["" 126.652"", "" 129.641"", ""  65.305""], ["" 127.914"", "" 128.629"", ""  66.046""], ["" 129.743"", "" 127.035"", ""  66.030""], ["" 128.795"", "" 127.805"", ""  65.310""], ["" 129.782"", "" 127.162"", ""  67.424""], ["" 128.779"", "" 127.791"", ""  63.844""], ["" 128.905"", "" 128.028"", ""  68.088""], ["" 128.767"", "" 127.779"", ""  62.687""], ["" 127.983"", "" 128.743"", ""  67.394""], ["" 130.713"", "" 126.098"", ""  65.385""], ["" 132.551"", "" 124.340"", ""  64.187""], ["" 132.981"", "" 125.292"", ""  65.110""], ["" 131.186"", "" 124.264"", ""  63.871""], ["" 132.072"", "" 126.162"", ""  65.707""], ["" 130.279"", "" 125.134"", ""  64.469""], ["" 133.524"", "" 123.525"", ""  63.641""], ["" 134.156"", "" 123.914"", ""  62.428""], ["" 128.912"", "" 128.207"", ""  69.578""], ["" 130.013"", "" 128.774"", ""  70.239""], ["" 127.818"", "" 127.805"", ""  70.359""], ["" 130.020"", "" 128.934"", ""  71.621""], ["" 127.822"", "" 127.962"", ""  71.742""], ["" 128.929"", "" 128.531"", ""  72.387""], ["" 129.025"", "" 128.724"", ""  73.752""], ["" 128.234"", "" 129.736"", ""  74.366""], ["" 125.057"", "" 128.841"", ""  65.650""], ["" 124.016"", "" 129.945"", ""  65.815""], ["" 123.768"", "" 130.434"", ""  66.918""], ["" 123.443"", "" 130.289"", ""  64.642""], ["" 124.046"", "" 129.921"", ""  63.411""]]",[],1d_Ghoteimi_2023
8,12734,1d_Grossjean_2025,receptor_tmp,1,16,-6.84,-0.3109090909090909,0.0,0.0,1,190.14,-8.04,-7.99,-0.04,-8.04,0.0,-1.26,1.19,-1.26,42,3,0.0,0.0,0.0,8.418885,16.554201,6.455233,-0.34979325,0.35007525,-0.8689603,303.729584,"303.498657, 24.346834, 58.470181, 300.633545, ","[["" 128.164"", "" 133.414"", ""  59.489""], ["" 127.804"", "" 132.111"", ""  58.333""], ["" 128.174"", "" 130.780"", ""  56.344""], ["" 128.575"", "" 131.850"", ""  57.176""], ["" 127.036"", "" 130.040"", ""  56.682""], ["" 129.735"", "" 132.669"", ""  56.816""], ["" 126.322"", "" 130.381"", ""  57.828""], ["" 130.651"", "" 133.315"", ""  56.528""], ["" 126.689"", "" 131.400"", ""  58.641""], ["" 128.932"", "" 130.396"", ""  55.074""], ["" 125.075"", "" 129.624"", ""  58.242""], ["" 128.566"", "" 132.631"", ""  61.081""], ["" 130.022"", "" 132.167"", ""  61.143""], ["" 130.487"", "" 131.573"", ""  60.023""], ["" 130.662"", "" 132.332"", ""  62.182""], ["" 129.825"", "" 131.467"", ""  59.268""], ["" 131.765"", "" 131.054"", ""  59.741""], ["" 132.033"", "" 130.803"", ""  58.392""], ["" 132.758"", "" 130.803"", ""  60.703""], ["" 133.269"", "" 130.295"", ""  58.004""], ["" 133.993"", "" 130.296"", ""  60.312""], ["" 134.244"", "" 130.042"", ""  58.965""]]",[],1d_Grossjean_2025
9,12658,1e_Grossjean_2025,receptor_tmp,1,5,-6.89,-0.2995652173913043,0.0,0.0,2,190.15,-8.08,-8.02,-0.06,-8.08,0.0,-1.48,1.19,-1.48,46,4,0.0,0.0,0.0,9.410465,15.094522,6.602852,0.68426605,-0.44240835,-0.57970236,284.667908,"85.391708, 289.871704, 125.883987, 22.896843, ","[["" 132.097"", "" 130.394"", ""  60.691""], ["" 131.523"", "" 131.813"", ""  61.672""], ["" 129.912"", "" 132.298"", ""  61.085""], ["" 127.594"", "" 132.963"", ""  61.315""], ["" 128.811"", "" 132.586"", ""  61.927""], ["" 127.527"", "" 133.055"", ""  59.921""], ["" 128.914"", "" 132.543"", ""  63.387""], ["" 128.667"", "" 132.778"", ""  59.170""], ["" 128.992"", "" 132.510"", ""  64.542""], ["" 129.842"", "" 132.413"", ""  59.734""], ["" 126.334"", "" 133.289"", ""  62.117""], ["" 128.664"", "" 132.878"", ""  57.657""], ["" 132.500"", "" 130.804"", ""  59.273""], ["" 131.491"", "" 130.895"", ""  58.378""], ["" 133.689"", "" 131.002"", ""  59.019""], ["" 130.571"", "" 130.639"", ""  58.706""], ["" 131.558"", "" 131.233"", ""  57.015""], ["" 131.248"", "" 130.337"", ""  56.032""], ["" 131.983"", "" 132.533"", ""  56.715""], ["" 131.349"", "" 130.730"", ""  54.737""], ["" 132.080"", "" 132.922"", ""  55.377""], ["" 131.761"", "" 132.013"", ""  54.369""], ["" 130.987"", "" 129.684"", ""  53.700""]]",[],1e_Grossjean_2025
