,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,12552,1a_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,18,-9.83,-0.2397560975609756,0.0,0.0,2,187.25,-13.11,-12.95,-0.17,-13.11,0.0,-3.31,3.28,-3.31,86,6,0.0,0.0,0.0,2.253584,13.658785,10.119202,-0.69796578,-0.21172337,0.68411766,198.221832,"149.400864, 60.192188, 27.657824, 290.33255, 172.900345, 193.57518, 147.571442, 109.037689, 288.710663, 74.622116, 318.528412, ","[["" 124.152"", "" 130.519"", ""  61.017""], ["" 125.204"", "" 129.861"", ""  60.483""], ["" 123.358"", "" 131.225"", ""  60.394""], ["" 125.732"", "" 129.281"", ""  61.118""], ["" 123.960"", "" 130.340"", ""  62.523""], ["" 125.487"", "" 130.693"", ""  63.442""], ["" 126.534"", "" 131.605"", ""  62.331""], ["" 128.526"", "" 131.960"", ""  60.998""], ["" 127.789"", "" 131.138"", ""  61.885""], ["" 127.977"", "" 133.192"", ""  60.619""], ["" 128.319"", "" 129.845"", ""  62.329""], ["" 126.717"", "" 133.586"", ""  61.085""], ["" 128.738"", "" 128.824"", ""  62.680""], ["" 126.013"", "" 132.789"", ""  61.932""], ["" 129.861"", "" 131.592"", ""  60.437""], ["" 132.387"", "" 130.935"", ""  59.391""], ["" 131.305"", "" 131.160"", ""  58.540""], ["" 132.198"", "" 131.046"", ""  60.778""], ["" 130.055"", "" 131.489"", ""  59.055""], ["" 130.946"", "" 131.374"", ""  61.291""], ["" 133.588"", "" 130.615"", ""  58.790""], ["" 133.580"", "" 129.912"", ""  57.553""], ["" 126.080"", "" 134.892"", ""  60.705""], ["" 124.758"", "" 134.950"", ""  60.234""], ["" 126.791"", "" 136.098"", ""  60.805""], ["" 124.171"", "" 136.162"", ""  59.884""], ["" 126.206"", "" 137.311"", ""  60.456""], ["" 124.885"", "" 137.353"", ""  59.991""], ["" 124.221"", "" 138.508"", ""  59.624""], ["" 124.974"", "" 139.621"", ""  59.154""], ["" 125.663"", "" 129.821"", ""  59.153""], ["" 124.840"", "" 129.875"", ""  58.017""], ["" 127.045"", "" 129.734"", ""  58.991""], ["" 125.402"", "" 129.833"", ""  56.744""], ["" 127.606"", "" 129.692"", ""  57.717""], ["" 126.792"", "" 129.742"", ""  56.578""], ["" 127.428"", "" 129.698"", ""  55.219""], ["" 127.889"", "" 128.667"", ""  54.719""], ["" 127.450"", "" 130.906"", ""  54.599""], ["" 128.667"", "" 131.624"", ""  54.433""], ["" 129.133"", "" 132.153"", ""  55.793""]]",[],1a_Ghoteimi_2023
1,4038,1a_Grossjean_2025,4h2i_c_1_mae_prepped,1,15,-8.19,-0.3033333333333333,0.0,0.0,8,186.26,-10.28,-10.04,-0.24,-10.28,0.0,-2.22,2.09,-2.22,47,5,0.0,0.0,0.0,9.792118,7.829724,7.058887,0.73594183,0.24828493,-0.62987635,113.302055,"180.599869, 180.37262, 178.225616, 300.631927, 105.63015, 121.703369, 303.834076, ","[["" 130.484"", "" 123.371"", ""  58.951""], ["" 129.571"", "" 122.409"", ""  59.386""], ["" 128.364"", "" 122.228"", ""  58.718""], ["" 128.045"", "" 123.006"", ""  57.597""], ["" 128.969"", "" 123.968"", ""  57.158""], ["" 130.177"", "" 124.149"", ""  57.825""], ["" 131.671"", "" 123.470"", ""  59.703""], ["" 132.959"", "" 123.404"", ""  59.304""], ["" 133.341"", "" 123.238"", ""  58.145""], ["" 131.520"", "" 123.646"", ""  60.685""], ["" 133.998"", "" 123.553"", ""  60.417""], ["" 134.230"", "" 122.009"", ""  61.349""], ["" 132.642"", "" 121.217"", ""  61.474""], ["" 131.065"", "" 119.406"", ""  61.156""], ["" 132.372"", "" 119.916"", ""  60.985""], ["" 130.096"", "" 120.201"", ""  61.779""], ["" 133.390"", "" 119.121"", ""  60.292""], ["" 130.445"", "" 121.479"", ""  62.209""], ["" 134.191"", "" 118.491"", ""  59.745""], ["" 131.691"", "" 121.987"", ""  62.058""], ["" 130.656"", "" 118.014"", ""  60.679""], ["" 129.437"", "" 122.393"", ""  62.882""], ["" 126.732"", "" 122.788"", ""  56.903""], ["" 126.388"", "" 121.702"", ""  56.428""], ["" 125.955"", "" 123.902"", ""  56.863""], ["" 125.571"", "" 124.572"", ""  58.057""], ["" 124.487"", "" 123.761"", ""  58.772""]]",[],1a_Grossjean_2025
2,12440,1aa_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,2,-9.03,-0.22024390243902436,0.0,0.0,3,182.54,-12.31,-12.12,-0.19,-12.31,0.0,-3.06,3.28,-3.06,59,8,0.0,0.0,0.0,7.414262,10.131701,9.879657,-0.87833342,0.4647747,0.1118699,179.317764,"231.474152, 345.52536, 168.426392, 268.022308, 295.323975, 111.323425, 330.258698, 352.361389, 255.174606, 16.543463, 166.72168, ","[["" 131.648"", "" 124.902"", ""  62.514""], ["" 130.918"", "" 123.766"", ""  62.427""], ["" 132.847"", "" 124.989"", ""  62.250""], ["" 129.940"", "" 123.855"", ""  62.666""], ["" 130.918"", "" 126.174"", ""  62.974""], ["" 129.540"", "" 126.132"", ""  62.583""], ["" 129.187"", "" 126.244"", ""  61.246""], ["" 128.218"", "" 125.306"", ""  59.229""], ["" 128.564"", "" 125.166"", ""  60.593""], ["" 128.501"", "" 126.525"", ""  58.598""], ["" 128.268"", "" 123.947"", ""  61.348""], ["" 129.117"", "" 127.568"", ""  59.300""], ["" 129.460"", "" 127.414"", ""  60.606""], ["" 128.036"", "" 122.984"", ""  61.945""], ["" 127.570"", "" 124.230"", ""  58.422""], ["" 126.338"", "" 122.226"", ""  56.880""], ["" 125.619"", "" 123.351"", ""  57.284""], ["" 127.686"", "" 122.110"", ""  57.250""], ["" 126.228"", "" 124.346"", ""  58.044""], ["" 128.293"", "" 123.105"", ""  58.011""], ["" 125.652"", "" 121.292"", ""  56.129""], ["" 124.937"", "" 121.718"", ""  54.975""], ["" 129.455"", "" 128.887"", ""  58.668""], ["" 130.487"", "" 128.992"", ""  57.724""], ["" 128.746"", "" 130.055"", ""  58.996""], ["" 130.804"", "" 130.215"", ""  57.138""], ["" 129.061"", "" 131.278"", ""  58.412""], ["" 130.099"", "" 131.368"", ""  57.474""], ["" 130.483"", "" 132.535"", ""  56.843""], ["" 131.697"", "" 132.555"", ""  56.100""], ["" 131.297"", "" 122.465"", ""  62.047""], ["" 130.510"", "" 121.316"", ""  62.208""], ["" 132.560"", "" 122.353"", ""  61.464""], ["" 130.990"", "" 120.076"", ""  61.793""], ["" 133.038"", "" 121.114"", ""  61.048""], ["" 132.260"", "" 119.959"", ""  61.208""], ["" 132.806"", "" 118.637"", ""  60.750""], ["" 134.002"", "" 118.444"", ""  60.514""], ["" 131.853"", "" 117.678"", ""  60.622""], ["" 130.955"", "" 117.678"", ""  59.519""], ["" 130.119"", "" 116.396"", ""  59.543""]]",[],1aa_Ghoteimi_2023
3,12939,1b_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,5,-9.45,-0.26999999999999996,0.0,0.0,1,185.7,-11.83,-11.29,-0.55,-11.83,0.0,-1.41,2.39,-1.41,57,9,0.0,0.0,0.0,7.533545,11.667527,6.086751,0.53080281,0.79027095,0.30613754,155.636505,"245.165207, 72.825142, 243.934082, 187.848663, 239.926743, 252.279739, 177.431519, 216.768539, ","[["" 128.166"", "" 125.447"", ""  59.641""], ["" 127.677"", "" 126.776"", ""  59.623""], ["" 126.533"", "" 127.138"", ""  58.781""], ["" 125.630"", "" 127.423"", ""  58.116""], ["" 128.286"", "" 127.717"", ""  60.484""], ["" 129.276"", "" 127.378"", ""  61.345""], ["" 129.745"", "" 126.103"", ""  61.371""], ["" 129.200"", "" 125.128"", ""  60.530""], ["" 127.636"", "" 124.356"", ""  58.768""], ["" 126.629"", "" 122.293"", ""  57.146""], ["" 125.761"", "" 123.122"", ""  57.858""], ["" 128.012"", "" 122.498"", ""  57.255""], ["" 126.259"", "" 124.143"", ""  58.663""], ["" 128.507"", "" 123.519"", ""  58.062""], ["" 126.045"", "" 121.307"", ""  56.374""], ["" 125.240"", "" 121.683"", ""  55.261""], ["" 127.809"", "" 129.430"", ""  60.592""], ["" 129.206"", "" 130.357"", ""  61.310""], ["" 130.049"", "" 131.148"", ""  60.300""], ["" 129.628"", "" 131.055"", ""  59.019""], ["" 131.024"", "" 131.806"", ""  60.671""], ["" 128.821"", "" 130.476"", ""  58.838""], ["" 130.193"", "" 131.657"", ""  57.901""], ["" 129.601"", "" 132.536"", ""  57.109""], ["" 131.492"", "" 131.393"", ""  57.470""], ["" 130.526"", "" 132.874"", ""  56.120""], ["" 131.664"", "" 132.177"", ""  56.351""], ["" 130.852"", "" 125.816"", ""  62.347""], ["" 130.700"", "" 126.093"", ""  63.714""], ["" 132.069"", "" 125.256"", ""  61.925""], ["" 131.722"", "" 125.826"", ""  64.620""], ["" 133.092"", "" 124.986"", ""  62.828""], ["" 132.926"", "" 125.272"", ""  64.190""], ["" 133.882"", "" 125.041"", ""  65.160""], ["" 133.621"", "" 125.439"", ""  66.501""]]",[],1b_Ghoteimi_2023
4,12607,1b_Grossjean_2025,4h2i_c_1_mae_prepped,1,3,-7.94,-0.3053846153846154,0.0,0.0,5,185.95,-9.72,-9.5,-0.23,-9.72,0.0,-2.08,1.79,-2.08,45,5,0.0,0.0,0.0,10.177792,7.16335,7.176509,0.61842139,0.76610169,0.17505193,127.926491,"59.329807, 108.136215, 337.447632, 98.328209, 123.090149, 301.616669, ","[["" 132.967"", "" 123.401"", ""  59.258""], ["" 131.684"", "" 123.483"", ""  59.675""], ["" 133.331"", "" 123.210"", ""  58.098""], ["" 131.550"", "" 123.635"", ""  60.664""], ["" 134.023"", "" 123.577"", ""  60.350""], ["" 134.240"", "" 122.070"", ""  61.344""], ["" 132.650"", "" 121.280"", ""  61.464""], ["" 131.071"", "" 119.472"", ""  61.145""], ["" 132.381"", "" 119.977"", ""  60.981""], ["" 130.107"", "" 120.262"", ""  61.779""], ["" 133.419"", "" 119.151"", ""  60.359""], ["" 130.466"", "" 121.525"", ""  62.243""], ["" 134.236"", "" 118.496"", ""  59.868""], ["" 131.714"", "" 122.030"", ""  62.097""], ["" 130.659"", "" 118.083"", ""  60.659""], ["" 129.468"", "" 122.426"", ""  62.947""], ["" 130.484"", "" 123.372"", ""  58.947""], ["" 129.624"", "" 122.352"", ""  59.352""], ["" 130.113"", "" 124.199"", ""  57.875""], ["" 128.409"", "" 122.153"", ""  58.704""], ["" 128.899"", "" 123.998"", ""  57.227""], ["" 128.031"", "" 122.975"", ""  57.631""], ["" 126.727"", "" 122.789"", ""  56.909""], ["" 126.388"", "" 121.723"", ""  56.385""], ["" 125.963"", "" 123.911"", ""  56.884""], ["" 125.149"", "" 124.266"", ""  57.994""]]",[],1b_Grossjean_2025
5,3089,1c_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,19,-9.03,-0.258,0.0,0.0,1,191.6,-11.42,-11.31,-0.1,-11.42,0.0,-1.37,2.39,-1.37,60,5,0.0,0.0,0.0,3.378504,16.559883,8.575708,0.25976392,-0.91321006,0.31395875,238.675583,"278.589661, 16.086952, 132.697556, 216.596466, 340.365112, 206.660477, 346.090881, 214.447769, ","[["" 126.020"", "" 131.476"", ""  62.220""], ["" 125.618"", "" 130.643"", ""  61.149""], ["" 125.627"", "" 129.182"", ""  61.281""], ["" 125.635"", "" 128.029"", ""  61.387""], ["" 125.195"", "" 131.261"", ""  59.954""], ["" 125.181"", "" 132.606"", ""  59.793""], ["" 125.605"", "" 133.409"", ""  60.804""], ["" 126.020"", "" 132.862"", ""  62.022""], ["" 126.412"", "" 130.965"", ""  63.567""], ["" 127.122"", "" 130.038"", ""  66.122""], ["" 126.015"", "" 129.507"", ""  65.460""], ["" 127.874"", "" 131.045"", ""  65.497""], ["" 125.661"", "" 129.967"", ""  64.195""], ["" 127.518"", "" 131.503"", ""  64.232""], ["" 127.399"", "" 129.521"", ""  67.373""], ["" 128.400"", "" 128.518"", ""  67.505""], ["" 124.505"", "" 130.349"", ""  58.591""], ["" 125.709"", "" 129.021"", ""  58.262""], ["" 126.982"", "" 129.548"", ""  57.592""], ["" 126.785"", "" 130.249"", ""  56.453""], ["" 128.081"", "" 129.284"", ""  58.081""], ["" 125.832"", "" 130.403"", ""  56.162""], ["" 127.762"", "" 130.700"", ""  55.579""], ["" 127.846"", "" 130.486"", ""  54.283""], ["" 129.007"", "" 131.709"", ""  56.240""], ["" 128.888"", "" 131.102"", ""  53.759""], ["" 129.675"", "" 131.839"", ""  54.639""], ["" 125.559"", "" 134.888"", ""  60.552""], ["" 126.696"", "" 135.693"", ""  60.724""], ["" 124.374"", "" 135.512"", ""  60.137""], ["" 126.652"", "" 137.064"", ""  60.485""], ["" 124.325"", "" 136.882"", ""  59.896""], ["" 125.471"", "" 137.672"", ""  60.068""], ["" 125.518"", "" 139.036"", ""  59.851""], ["" 124.455"", "" 139.665"", ""  59.143""]]",[],1c_Ghoteimi_2023
6,13007,1c_Grossjean_2025,4h2i_c_1_mae_prepped,1,9,-7.51,-0.3129166666666667,0.0,0.0,1,192.46,-9.0,-8.9,-0.1,-9.0,0.0,-0.68,1.49,-0.68,52,2,0.0,0.0,0.0,5.952674,17.253698,6.509904,0.8862966,0.36588849,-0.28390835,195.127747,"143.557785, 358.880768, 75.470642, 43.646465, 267.065643, ","[["" 127.292"", "" 133.716"", ""  61.658""], ["" 127.110"", "" 134.417"", ""  60.519""], ["" 126.740"", "" 133.946"", ""  62.734""], ["" 127.579"", "" 134.063"", ""  59.699""], ["" 128.268"", "" 132.543"", ""  61.558""], ["" 128.394"", "" 131.910"", ""  59.859""], ["" 130.106"", "" 131.556"", ""  59.516""], ["" 132.007"", "" 131.046"", ""  58.104""], ["" 130.623"", "" 131.310"", ""  58.222""], ["" 132.805"", "" 131.051"", ""  59.253""], ["" 129.781"", "" 131.363"", ""  57.024""], ["" 132.216"", "" 131.328"", ""  60.484""], ["" 129.117"", "" 131.404"", ""  56.078""], ["" 130.894"", "" 131.582"", ""  60.621""], ["" 132.679"", "" 130.756"", ""  56.763""], ["" 133.031"", "" 131.365"", ""  61.764""], ["" 126.301"", "" 135.545"", ""  60.282""], ["" 124.911"", "" 135.505"", ""  60.097""], ["" 126.960"", "" 136.775"", ""  60.264""], ["" 124.204"", "" 136.685"", ""  59.880""], ["" 126.250"", "" 137.952"", ""  60.048""], ["" 124.861"", "" 137.915"", ""  59.850""], ["" 124.074"", "" 139.028"", ""  59.627""], ["" 124.527"", "" 140.028"", ""  58.720""]]",[],1c_Grossjean_2025
7,3086,1d_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,18,-7.9,-0.26333333333333336,0.0,0.0,14,187.72,-10.29,-9.82,-0.47,-10.29,0.0,-1.24,2.39,-1.24,34,8,0.0,0.0,0.0,7.257635,9.6206,5.455276,-0.05534185,0.17605933,0.98282267,209.055038,"188.971191, 157.723267, 266.132172, 66.623199, 153.114227, 233.72905, 38.630558, 278.851837, ","[["" 126.106"", "" 123.186"", ""  58.945""], ["" 127.502"", "" 124.280"", ""  59.085""], ["" 129.583"", "" 125.073"", ""  60.044""], ["" 128.539"", "" 124.116"", ""  60.031""], ["" 129.555"", "" 126.105"", ""  59.097""], ["" 128.573"", "" 122.958"", ""  60.930""], ["" 128.517"", "" 126.185"", ""  58.161""], ["" 128.601"", "" 122.045"", ""  61.640""], ["" 127.506"", "" 125.279"", ""  58.170""], ["" 130.725"", "" 125.043"", ""  61.010""], ["" 132.858"", "" 124.989"", ""  62.840""], ["" 131.616"", "" 125.497"", ""  63.216""], ["" 133.027"", "" 124.494"", ""  61.537""], ["" 130.557"", "" 125.523"", ""  62.312""], ["" 131.967"", "" 124.520"", ""  60.635""], ["" 133.852"", "" 125.010"", ""  63.800""], ["" 133.513"", "" 125.335"", ""  65.143""], ["" 128.443"", "" 127.264"", ""  57.119""], ["" 127.738"", "" 128.455"", ""  57.352""], ["" 129.072"", "" 127.110"", ""  55.875""], ["" 127.666"", "" 129.451"", ""  56.383""], ["" 129.001"", "" 128.103"", ""  54.902""], ["" 128.293"", "" 129.287"", ""  55.150""], ["" 128.165"", "" 130.326"", ""  54.248""], ["" 129.091"", "" 131.407"", ""  54.299""], ["" 125.616"", "" 123.169"", ""  57.194""], ["" 126.309"", "" 121.979"", ""  56.535""], ["" 127.472"", "" 121.680"", ""  56.809""], ["" 125.505"", "" 121.338"", ""  55.661""], ["" 124.869"", "" 122.049"", ""  54.610""]]",[],1d_Ghoteimi_2023
8,12708,1d_Grossjean_2025,4h2i_c_1_mae_prepped,1,8,-7.26,-0.33,0.0,0.0,12,188.29,-8.45,-8.27,-0.18,-8.45,0.0,-1.52,1.19,-1.52,30,7,0.0,0.0,0.0,9.136781,14.620831,1.093073,-0.83805292,0.30610602,0.45162639,99.668915,"294.468109, 50.23024, 147.215302, 244.34462, ","[["" 128.916"", "" 129.471"", ""  53.555""], ["" 128.460"", "" 128.867"", ""  55.165""], ["" 128.599"", "" 127.376"", ""  57.068""], ["" 129.060"", "" 127.745"", ""  55.784""], ["" 127.570"", "" 128.114"", ""  57.664""], ["" 130.102"", "" 126.959"", ""  55.121""], ["" 127.020"", "" 129.191"", ""  56.971""], ["" 130.926"", "" 126.334"", ""  54.599""], ["" 127.448"", "" 129.563"", ""  55.742""], ["" 129.175"", "" 126.191"", ""  57.840""], ["" 125.896"", "" 130.022"", ""  57.558""], ["" 129.345"", "" 131.229"", ""  53.735""], ["" 129.827"", "" 131.562"", ""  55.148""], ["" 130.740"", "" 130.711"", ""  55.663""], ["" 129.357"", "" 132.542"", ""  55.728""], ["" 130.991"", "" 129.925"", ""  55.082""], ["" 131.394"", "" 130.735"", ""  56.909""], ["" 132.752"", "" 130.405"", ""  56.887""], ["" 130.784"", "" 131.080"", ""  58.127""], ["" 133.494"", "" 130.404"", ""  58.064""], ["" 131.529"", "" 131.079"", ""  59.303""], ["" 132.880"", "" 130.740"", ""  59.268""]]",[],1d_Grossjean_2025
9,12829,1e_Grossjean_2025,4h2i_c_1_mae_prepped,1,9,-7.4,-0.32173913043478264,0.0,0.0,13,187.56,-8.59,-8.38,-0.21,-8.59,0.0,-1.46,1.19,-1.46,30,7,0.0,0.0,0.0,6.754604,15.459502,1.069412,-0.86015849,0.29271939,-0.41766341,250.909668,"183.127563, 241.01712, 49.217133, 155.615036, ","[["" 129.380"", "" 131.298"", ""  53.787""], ["" 128.919"", "" 129.555"", ""  53.555""], ["" 128.502"", "" 128.859"", ""  55.141""], ["" 128.632"", "" 127.238"", ""  56.937""], ["" 129.057"", "" 127.664"", ""  55.658""], ["" 127.704"", "" 128.010"", ""  57.643""], ["" 130.072"", "" 126.898"", ""  54.931""], ["" 127.229"", "" 129.188"", ""  57.070""], ["" 130.873"", "" 126.290"", ""  54.358""], ["" 127.620"", "" 129.614"", ""  55.846""], ["" 129.152"", "" 125.960"", ""  57.595""], ["" 126.237"", "" 130.078"", ""  57.793""], ["" 129.864"", "" 131.578"", ""  55.211""], ["" 130.797"", "" 130.728"", ""  55.692""], ["" 129.378"", "" 132.521"", ""  55.837""], ["" 131.059"", "" 129.957"", ""  55.095""], ["" 131.412"", "" 130.728"", ""  56.957""], ["" 130.725"", "" 131.046"", ""  58.094""], ["" 132.774"", "" 130.406"", ""  56.989""], ["" 131.388"", "" 131.038"", ""  59.278""], ["" 133.441"", "" 130.400"", ""  58.215""], ["" 132.745"", "" 130.720"", ""  59.381""], ["" 130.562"", "" 131.399"", ""  60.499""]]",[],1e_Grossjean_2025
