,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,138,1a_Ghoteimi_2023,receptor_tmp,1,13,-10.52,-0.25658536585365854,0.0,0.0,2,186.42,-13.8,-13.64,-0.16,-13.8,0.0,-1.56,3.28,-1.56,79,7,0.0,0.0,0.0,5.834392,13.001992,10.594329,-0.55188925,0.20346261,0.80871579,202.461319,"343.618103, 255.57869, 143.904572, 98.295853, 109.269211, 80.707787, 304.289581, 87.25071, 253.167801, 65.046295, 214.356659, ","[["" 127.156"", "" 127.733"", ""  61.369""], ["" 127.623"", "" 126.466"", ""  61.400""], ["" 126.505"", "" 128.234"", ""  60.452""], ["" 128.097"", "" 126.188"", ""  62.247""], ["" 127.478"", "" 128.582"", ""  62.598""], ["" 126.220"", "" 129.863"", ""  62.880""], ["" 126.841"", "" 131.344"", ""  62.117""], ["" 126.741"", "" 133.674"", ""  61.460""], ["" 126.135"", "" 132.566"", ""  62.100""], ["" 128.001"", "" 133.497"", ""  60.872""], ["" 124.811"", "" 132.685"", ""  62.719""], ["" 128.655"", "" 132.261"", ""  60.942""], ["" 123.766"", "" 132.780"", ""  63.208""], ["" 128.069"", "" 131.203"", ""  61.563""], ["" 126.118"", "" 135.029"", ""  61.373""], ["" 124.947"", "" 137.582"", ""  61.250""], ["" 124.189"", "" 136.442"", ""  60.984""], ["" 126.302"", "" 137.437"", ""  61.585""], ["" 124.765"", "" 135.177"", ""  61.048""], ["" 126.878"", "" 136.170"", ""  61.648""], ["" 124.290"", "" 138.793"", ""  61.164""], ["" 124.882"", "" 139.948"", ""  61.749""], ["" 130.007"", "" 132.020"", ""  60.335""], ["" 130.220"", "" 132.149"", ""  58.953""], ["" 131.102"", "" 131.651"", ""  61.132""], ["" 131.474"", "" 131.925"", ""  58.393""], ["" 132.357"", "" 131.427"", ""  60.576""], ["" 132.554"", "" 131.564"", ""  59.195""], ["" 133.763"", "" 131.365"", ""  58.555""], ["" 133.773"", "" 130.763"", ""  57.265""], ["" 127.514"", "" 125.440"", ""  60.441""], ["" 127.235"", "" 124.096"", ""  60.730""], ["" 127.691"", "" 125.831"", ""  59.114""], ["" 127.144"", "" 123.163"", ""  59.701""], ["" 127.600"", "" 124.897"", ""  58.084""], ["" 127.326"", "" 123.552"", ""  58.365""], ["" 127.231"", "" 122.572"", ""  57.232""], ["" 128.191"", "" 122.267"", ""  56.517""], ["" 125.985"", "" 122.058"", ""  57.071""], ["" 124.931"", "" 122.844"", ""  56.529""], ["" 124.158"", "" 123.513"", ""  57.670""]]",[],1a_Ghoteimi_2023
1,9180,1a_Grossjean_2025,receptor_tmp,1,7,-8.74,-0.3237037037037037,0.0,0.0,1,193.34,-10.83,-10.76,-0.07,-10.83,0.0,-1.04,2.09,-1.04,69,3,0.0,0.0,0.0,6.456661,18.752865,7.242492,0.40625362,0.28477621,0.86825141,207.035172,"282.298523, 100.839478, 120.109077, 325.315399, 106.746819, 146.740433, 287.735809, ","[["" 126.557"", "" 135.359"", ""  61.379""], ["" 127.330"", "" 136.479"", ""  61.688""], ["" 126.741"", "" 137.735"", ""  61.799""], ["" 125.363"", "" 137.896"", ""  61.604""], ["" 124.587"", "" 136.766"", ""  61.300""], ["" 125.175"", "" 135.509"", ""  61.190""], ["" 127.257"", "" 134.140"", ""  61.289""], ["" 126.840"", "" 132.880"", ""  61.536""], ["" 125.710"", "" 132.559"", ""  61.902""], ["" 128.206"", "" 134.236"", ""  60.960""], ["" 127.894"", "" 131.789"", ""  61.331""], ["" 129.587"", "" 132.447"", ""  61.414""], ["" 130.327"", "" 132.219"", ""  59.813""], ["" 132.111"", "" 131.617"", ""  58.288""], ["" 131.651"", "" 131.758"", ""  59.618""], ["" 131.258"", "" 131.949"", ""  57.230""], ["" 132.544"", "" 131.463"", ""  60.743""], ["" 129.978"", "" 132.417"", ""  57.515""], ["" 133.250"", "" 131.230"", ""  61.629""], ["" 129.515"", "" 132.557"", ""  58.780""], ["" 133.516"", "" 131.121"", ""  57.952""], ["" 129.009"", "" 132.803"", ""  56.412""], ["" 124.761"", "" 139.266"", ""  61.726""], ["" 124.588"", "" 139.837"", ""  62.807""], ["" 124.439"", "" 139.819"", ""  60.528""], ["" 125.203"", "" 139.541"", ""  59.362""], ["" 126.544"", "" 140.277"", ""  59.443""]]",[],1a_Grossjean_2025
2,253,1aa_Ghoteimi_2023,receptor_tmp,1,4,-9.54,-0.23268292682926828,0.0,0.0,2,185.36,-12.82,-12.75,-0.07,-12.82,0.0,-1.51,3.28,-1.51,78,7,0.0,0.0,0.0,6.951151,12.390142,10.278275,0.56795433,0.10622293,-0.8161768,134.408096,"349.881287, 194.835526, 142.631195, 271.270905, 5.880235, 86.088097, 175.139206, 217.770447, 246.676712, 272.576172, 33.716473, ","[["" 126.695"", "" 128.023"", ""  61.330""], ["" 127.392"", "" 126.868"", ""  61.217""], ["" 125.849"", "" 128.415"", ""  60.527""], ["" 128.045"", "" 126.676"", ""  61.964""], ["" 126.986"", "" 128.903"", ""  62.556""], ["" 126.262"", "" 130.137"", ""  62.471""], ["" 126.865"", "" 131.271"", ""  61.946""], ["" 126.830"", "" 133.643"", ""  61.441""], ["" 126.194"", "" 132.504"", ""  61.987""], ["" 128.114"", "" 133.486"", ""  60.900""], ["" 124.873"", "" 132.580"", ""  62.613""], ["" 128.738"", "" 132.233"", ""  60.894""], ["" 128.108"", "" 131.143"", ""  61.405""], ["" 123.828"", "" 132.637"", ""  63.108""], ["" 126.215"", "" 135.003"", ""  61.408""], ["" 125.030"", "" 137.553"", ""  61.364""], ["" 124.285"", "" 136.421"", ""  61.038""], ["" 126.379"", "" 137.402"", ""  61.720""], ["" 124.868"", "" 135.157"", ""  61.061""], ["" 126.961"", "" 136.138"", ""  61.742""], ["" 124.367"", "" 138.765"", ""  61.313""], ["" 125.003"", "" 139.926"", ""  61.836""], ["" 130.105"", "" 132.007"", ""  60.313""], ["" 130.331"", "" 132.121"", ""  58.933""], ["" 131.199"", "" 131.682"", ""  61.131""], ["" 131.596"", "" 131.911"", ""  58.393""], ["" 132.465"", "" 131.470"", ""  60.593""], ["" 132.674"", "" 131.582"", ""  59.212""], ["" 133.891"", "" 131.391"", ""  58.588""], ["" 133.926"", "" 130.756"", ""  57.314""], ["" 127.352"", "" 125.873"", ""  60.223""], ["" 127.153"", "" 126.107"", ""  58.854""], ["" 127.533"", "" 124.564"", ""  60.674""], ["" 127.133"", "" 125.041"", ""  57.958""], ["" 127.514"", "" 123.500"", ""  59.778""], ["" 127.313"", "" 123.724"", ""  58.409""], ["" 127.296"", "" 122.553"", ""  57.469""], ["" 128.315"", "" 122.088"", ""  56.949""], ["" 126.051"", "" 122.059"", ""  57.248""], ["" 125.072"", "" 122.820"", ""  56.553""], ["" 125.740"", "" 123.588"", ""  55.409""]]",[],1aa_Ghoteimi_2023
3,114,1b_Ghoteimi_2023,receptor_tmp,1,20,-9.21,-0.2631428571428572,0.0,0.0,5,188.29,-11.59,-11.38,-0.21,-11.59,0.0,-2.23,2.39,-2.23,81,9,0.0,0.0,0.0,4.80082,16.306887,7.132401,0.41089505,-0.91132996,0.02535657,160.132797,"170.516785, 231.530716, 289.420105, 238.955338, 172.435959, 296.764893, 320.307648, 126.838142, ","[["" 128.276"", "" 132.480"", ""  61.042""], ["" 127.376"", "" 131.482"", ""  61.488""], ["" 127.822"", "" 130.095"", ""  61.649""], ["" 128.176"", "" 129.000"", ""  61.775""], ["" 126.063"", "" 131.877"", ""  61.830""], ["" 125.662"", "" 133.171"", ""  61.787""], ["" 126.521"", "" 134.135"", ""  61.366""], ["" 127.829"", "" 133.807"", ""  60.993""], ["" 129.682"", "" 132.203"", ""  60.624""], ["" 132.322"", "" 131.663"", ""  59.823""], ["" 131.364"", "" 132.055"", ""  58.887""], ["" 131.950"", "" 131.536"", ""  61.169""], ["" 130.056"", "" 132.320"", ""  59.282""], ["" 130.641"", "" 131.802"", ""  61.561""], ["" 133.594"", "" 131.420"", ""  59.339""], ["" 133.806"", "" 131.380"", ""  57.932""], ["" 124.798"", "" 130.761"", ""  62.402""], ["" 123.476"", "" 130.721"", ""  61.146""], ["" 123.954"", "" 130.856"", ""  59.693""], ["" 124.938"", "" 129.997"", ""  59.342""], ["" 123.453"", "" 131.694"", ""  58.940""], ["" 125.274"", "" 129.364"", ""  60.052""], ["" 125.561"", "" 129.894"", ""  58.104""], ["" 125.027"", "" 129.388"", ""  57.004""], ["" 126.867"", "" 130.323"", ""  57.871""], ["" 125.996"", "" 129.481"", ""  56.005""], ["" 127.103"", "" 130.048"", ""  56.543""], ["" 125.991"", "" 135.541"", ""  61.337""], ["" 124.649"", "" 135.800"", ""  61.020""], ["" 126.816"", "" 136.638"", ""  61.633""], ["" 124.154"", "" 137.100"", ""  60.995""], ["" 126.324"", "" 137.939"", ""  61.610""], ["" 124.982"", "" 138.182"", ""  61.288""], ["" 124.404"", "" 139.436"", ""  61.239""], ["" 124.743"", "" 140.395"", ""  62.234""]]",[],1b_Ghoteimi_2023
4,117,1b_Grossjean_2025,receptor_tmp,1,10,-8.2,-0.3153846153846154,0.0,0.0,1,192.82,-9.99,-9.91,-0.08,-9.99,0.0,-1.15,1.79,-1.15,68,3,0.0,0.0,0.0,7.040473,18.473395,7.936772,0.22529925,0.23812529,-0.94474155,158.39035,"148.472031, 34.016117, 310.246002, 127.85247, 269.927856, 132.01947, ","[["" 127.072"", "" 133.015"", ""  62.181""], ["" 127.351"", "" 134.088"", ""  61.409""], ["" 126.186"", "" 132.957"", ""  63.033""], ["" 128.118"", "" 133.979"", ""  60.761""], ["" 127.949"", "" 131.786"", ""  61.936""], ["" 129.722"", "" 132.188"", ""  61.984""], ["" 130.332"", "" 132.096"", ""  60.314""], ["" 132.017"", "" 131.730"", ""  58.614""], ["" 131.668"", "" 131.770"", ""  59.984""], ["" 131.039"", "" 132.001"", ""  57.652""], ["" 132.664"", "" 131.447"", ""  61.008""], ["" 129.742"", "" 132.292"", ""  58.068""], ["" 133.454"", "" 131.191"", ""  61.815""], ["" 129.386"", "" 132.336"", ""  59.373""], ["" 133.428"", "" 131.397"", ""  58.134""], ["" 128.635"", "" 132.586"", ""  57.071""], ["" 126.748"", "" 135.359"", ""  61.370""], ["" 125.355"", "" 135.364"", ""  61.302""], ["" 127.439"", "" 136.580"", ""  61.398""], ["" 124.653"", "" 136.566"", ""  61.261""], ["" 126.736"", "" 137.781"", ""  61.356""], ["" 125.337"", "" 137.791"", ""  61.288""], ["" 124.612"", "" 139.106"", ""  61.246""], ["" 124.251"", "" 139.713"", ""  62.260""], ["" 124.389"", "" 139.556"", ""  59.985""], ["" 125.453"", "" 139.659"", ""  59.047""]]",[],1b_Grossjean_2025
5,9564,1c_Ghoteimi_2023,receptor_tmp,1,5,-8.17,-0.23342857142857143,0.0,0.0,2,192.53,-10.56,-10.57,0.01,-10.56,0.0,-2.52,2.39,-2.52,79,3,0.0,0.0,0.0,6.32856,17.697603,8.662281,-0.43126052,0.8989288,-0.0770803,207.43924,"353.874817, 353.636261, 125.740295, 320.550476, 83.412605, 149.592285, 110.82132, 120.4636, ","[["" 128.068"", "" 132.573"", ""  61.057""], ["" 127.155"", "" 131.608"", ""  61.545""], ["" 127.521"", "" 130.190"", ""  61.622""], ["" 127.811"", "" 129.071"", ""  61.682""], ["" 125.886"", "" 132.055"", ""  61.970""], ["" 125.510"", "" 133.355"", ""  61.905""], ["" 126.369"", "" 134.279"", ""  61.400""], ["" 127.650"", "" 133.906"", ""  60.978""], ["" 129.470"", "" 132.258"", ""  60.653""], ["" 132.121"", "" 131.713"", ""  59.899""], ["" 131.720"", "" 131.571"", ""  61.228""], ["" 131.184"", "" 132.136"", ""  58.944""], ["" 130.408"", "" 131.843"", ""  61.603""], ["" 129.872"", "" 132.407"", ""  59.322""], ["" 133.443"", "" 131.421"", ""  59.619""], ["" 133.880"", "" 131.418"", ""  58.264""], ["" 124.704"", "" 130.985"", ""  62.759""], ["" 123.392"", "" 130.743"", ""  61.518""], ["" 123.929"", "" 130.823"", ""  60.085""], ["" 125.026"", "" 130.074"", ""  59.839""], ["" 123.381"", "" 131.567"", ""  59.271""], ["" 125.374"", "" 129.500"", ""  60.592""], ["" 125.794"", "" 130.083"", ""  58.685""], ["" 127.066"", "" 130.395"", ""  58.564""], ["" 125.018"", "" 129.581"", ""  57.218""], ["" 127.482"", "" 130.253"", ""  57.320""], ["" 126.534"", "" 129.815"", ""  56.401""], ["" 125.883"", "" 135.699"", ""  61.362""], ["" 126.733"", "" 136.770"", ""  61.679""], ["" 124.559"", "" 135.998"", ""  61.010""], ["" 126.280"", "" 138.086"", ""  61.638""], ["" 124.102"", "" 137.312"", ""  60.966""], ["" 124.965"", "" 138.371"", ""  61.281""], ["" 124.602"", "" 139.704"", ""  61.264""], ["" 124.503"", "" 140.414"", ""  62.494""]]",[],1c_Ghoteimi_2023
6,123,1c_Grossjean_2025,receptor_tmp,1,20,-8.75,-0.3645833333333333,0.0,0.0,4,193.13,-10.24,-10.09,-0.16,-10.24,0.0,-0.63,1.49,-0.63,65,4,0.0,0.0,0.0,6.453733,18.212329,6.957961,0.87765085,0.47902941,0.01611888,208.241806,"143.176147, 8.56566, 52.610447, 131.607224, 118.756592, ","[["" 126.998"", "" 133.825"", ""  62.026""], ["" 127.192"", "" 134.983"", ""  61.359""], ["" 126.022"", "" 133.559"", ""  62.727""], ["" 128.009"", "" 135.025"", ""  60.768""], ["" 128.105"", "" 132.781"", ""  61.863""], ["" 128.568"", "" 132.551"", ""  60.121""], ["" 130.298"", "" 132.133"", ""  60.049""], ["" 132.435"", "" 131.788"", ""  58.960""], ["" 131.068"", "" 132.141"", ""  58.862""], ["" 132.969"", "" 131.464"", ""  60.211""], ["" 130.504"", "" 132.537"", ""  57.569""], ["" 132.143"", "" 131.507"", ""  61.332""], ["" 130.059"", "" 132.848"", ""  56.548""], ["" 130.833"", "" 131.840"", ""  61.261""], ["" 133.364"", "" 131.750"", ""  57.749""], ["" 132.667"", "" 131.182"", ""  62.719""], ["" 126.382"", "" 136.134"", ""  61.311""], ["" 126.852"", "" 137.447"", ""  61.459""], ["" 125.025"", "" 135.914"", ""  61.071""], ["" 125.964"", "" 138.516"", ""  61.383""], ["" 124.140"", "" 136.986"", ""  60.996""], ["" 124.605"", "" 138.300"", ""  61.155""], ["" 123.803"", "" 139.424"", ""  61.098""], ["" 123.916"", "" 140.409"", ""  62.119""]]",[],1c_Grossjean_2025
7,10347,1d_Ghoteimi_2023,receptor_tmp,1,10,-8.22,-0.274,0.0,0.0,10,192.77,-10.61,-10.38,-0.22,-10.61,0.0,-1.07,2.39,-1.07,64,5,0.0,0.0,0.0,6.082033,17.07167,8.199378,0.39635688,-0.91659393,-0.0525051,152.654297,"156.317368, 355.546661, 153.635147, 116.043076, 355.215729, 182.693573, 85.075562, 340.222046, ","[["" 125.331"", "" 130.731"", ""  63.228""], ["" 126.415"", "" 131.819"", ""  62.329""], ["" 128.425"", "" 132.393"", ""  61.099""], ["" 127.652"", "" 131.417"", ""  61.775""], ["" 127.907"", "" 133.689"", ""  60.980""], ["" 128.097"", "" 130.022"", ""  61.838""], ["" 126.656"", "" 134.010"", ""  61.519""], ["" 128.449"", "" 128.921"", ""  61.888""], ["" 125.931"", "" 133.076"", ""  62.187""], ["" 129.764"", "" 132.118"", ""  60.494""], ["" 132.277"", "" 131.609"", ""  59.340""], ["" 131.202"", "" 132.007"", ""  58.546""], ["" 132.091"", "" 131.475"", ""  60.724""], ["" 129.957"", "" 132.262"", ""  59.117""], ["" 130.846"", "" 131.732"", ""  61.292""], ["" 133.472"", "" 131.372"", ""  58.687""], ["" 133.455"", "" 131.059"", ""  57.299""], ["" 126.051"", "" 135.380"", ""  61.411""], ["" 126.821"", "" 136.534"", ""  61.619""], ["" 124.692"", "" 135.547"", ""  61.107""], ["" 126.258"", "" 137.803"", ""  61.526""], ["" 124.124"", "" 136.815"", ""  61.014""], ["" 124.907"", "" 137.958"", ""  61.223""], ["" 124.432"", "" 139.254"", ""  61.155""], ["" 125.095"", "" 140.275"", ""  61.893""], ["" 126.319"", "" 129.968"", ""  64.549""], ["" 125.357"", "" 129.545"", ""  65.656""], ["" 124.136"", "" 129.631"", ""  65.513""], ["" 126.002"", "" 129.087"", ""  66.749""], ["" 127.420"", "" 129.098"", ""  66.806""]]",[],1d_Ghoteimi_2023
8,42,1d_Grossjean_2025,receptor_tmp,1,6,-9.05,-0.4113636363636364,0.0,0.0,7,192.29,-10.25,-10.11,-0.13,-10.25,0.0,-0.44,1.19,-0.44,60,3,0.0,0.0,0.0,7.640788,19.218109,6.901166,0.06934752,-0.13600922,-0.9882775,219.25293,"283.767792, 87.614891, 348.680786, 13.206914, ","[["" 128.228"", "" 132.928"", ""  60.269""], ["" 129.902"", "" 132.362"", ""  60.061""], ["" 131.890"", "" 131.813"", ""  58.791""], ["" 130.556"", "" 132.282"", ""  58.809""], ["" 132.499"", "" 131.436"", ""  59.992""], ["" 129.882"", "" 132.637"", ""  57.558""], ["" 131.771"", "" 131.524"", ""  61.177""], ["" 129.352"", "" 132.916"", ""  56.567""], ["" 130.495"", "" 131.973"", ""  61.219""], ["" 132.702"", "" 131.693"", ""  57.503""], ["" 132.372"", "" 131.121"", ""  62.510""], ["" 128.209"", "" 134.051"", ""  61.700""], ["" 127.053"", "" 135.050"", ""  61.632""], ["" 127.413"", "" 136.337"", ""  61.437""], ["" 125.900"", "" 134.645"", ""  61.777""], ["" 128.405"", "" 136.519"", ""  61.386""], ["" 126.612"", "" 137.488"", ""  61.311""], ["" 126.423"", "" 137.954"", ""  60.007""], ["" 125.998"", "" 138.158"", ""  62.382""], ["" 125.644"", "" 139.082"", ""  59.769""], ["" 125.217"", "" 139.286"", ""  62.142""], ["" 125.044"", "" 139.745"", ""  60.838""]]",[],1d_Grossjean_2025
9,232,1e_Grossjean_2025,receptor_tmp,1,7,-9.38,-0.4078260869565218,0.0,0.0,4,191.62,-10.58,-10.4,-0.18,-10.58,0.0,-0.38,1.19,-0.38,64,3,0.0,0.0,0.0,7.135345,19.112433,7.337437,-0.17982533,-0.90115534,0.39443871,169.24855,"167.323166, 7.063026, 232.373611, 8.57942, ","[["" 128.102"", "" 133.901"", ""  61.751""], ["" 128.272"", "" 132.927"", ""  60.225""], ["" 129.955"", "" 132.358"", ""  60.095""], ["" 132.000"", "" 131.781"", ""  58.930""], ["" 130.665"", "" 132.243"", ""  58.876""], ["" 132.569"", "" 131.476"", ""  60.171""], ["" 130.074"", "" 132.623"", ""  57.590""], ["" 131.806"", "" 131.643"", ""  61.325""], ["" 129.609"", "" 132.922"", ""  56.573""], ["" 130.525"", "" 132.082"", ""  61.296""], ["" 132.863"", "" 131.606"", ""  57.682""], ["" 132.372"", "" 131.348"", ""  62.700""], ["" 127.034"", "" 134.988"", ""  61.621""], ["" 127.488"", "" 136.226"", ""  61.327""], ["" 125.852"", "" 134.695"", ""  61.807""], ["" 128.489"", "" 136.339"", ""  61.266""], ["" 126.751"", "" 137.412"", ""  61.160""], ["" 127.043"", "" 138.312"", ""  60.175""], ["" 125.713"", "" 137.635"", ""  62.073""], ["" 126.296"", "" 139.442"", ""  60.084""], ["" 124.954"", "" 138.802"", ""  61.965""], ["" 125.244"", "" 139.723"", ""  60.959""], ["" 126.676"", "" 140.394"", ""  58.966""]]",[],1e_Grossjean_2025
