ID,ACTIVE_LABEL,SMILES,SOL_CD73_INHIB_PERCENT_5uM,SOL_CD73_INHIB_PERCENT_5uM_SD,CELL_CD_73_INHIB_PERCENT_100uM,CELL_CD_73_INHIB_PERCENT_100uM_SD,KI_uM,KI_uM_SD,NOTE
RR1_Rahimova_2017,False,O=C(CSC1=NC(C2=CC=CN=C2)=NN1CC(NNC(C3=CC(OC)=C(OC)C=C3)=O)=O)NC4=CC=C(OC)C=C4,-14,7,NA,NA,NA,NA,NA
RR2_Rahimova_2017,True,CC1=CC=C(S(NC2=CC=C(C3=NN=C(SCC(NNC(C4=CC=C(OC)C=C4)=O)=O)N3C5=CC=C(OC)C=C5)C=C2)(=O)=O)C=C1,64,13,NA,NA,4.9,1.7,Mixed mode inhib. alt Ki=1.7 +- 0.2 uM
RR3_Rahimova_2017,True,C1(C2=CC=C(C3=C(C4=CC=C(C5=CC=CC=C5)C=C4)NC(C6=CNC7=C6C=CC=C7)=N3)C=C2)=CC=CC=C1,93,5,NA,NA,0.53,0.02,NA
RR4_Rahimova_2017,True,COC1=CC=C(C2=CC(C3=CC=C(OC)C=C3)=NC(SCC(NC4=C(C#N)C(CCCC5)=C5S4)=O)=C2C#N)C=C1,73,4,NA,NA,1.20,0.08,NA
RR5_Rahimova_2017,False,O=C(C[C@H](NC(OCC1C(C=CC=C2)=C2C3=C1C=CC=C3)=O)C(O)=O)NC(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6,-10,15,NA,NA,NA,NA,NA
RR6_Rahimova_2017,True,CC(C=C1)=CC=C1C2=CC(C3=CC=C(OC)C=C3)=C(C#N)C(SCC(NC4=CC=C(C(OC)=O)C=C4)=O)=N2,80,0.5,NA,NA,0.68,0.05,NA
RR7_Rahimova_2017,True,O[C@@H](C[C@H](N1C(N=CN=C2NC(C3=CC=CC=C3)=O)=C2N=C1)O4)[C@H]4COC(C5=CC=CC=C5)(C6=CC=C(OC)C=C6)C7=CC=CC=C7,56,12,NA,NA,NA,NA,NA
RR8_A_Rahimova_2017,True,O=C(O[C@@H]1[C@H]([C@@H]([C@@H](COCC2=CC=CC=C2)O1)OCC3=CC=CC=C3)OCC4=CC=CC=C4)C5=CC=C([N+]([O-])=O)C=C5,68,14,NA,NA,17.2,2.5,Two isomers for underspecified anomeric center.
RR8_B_Rahimova_2017,True,O=C(O[C@H]1[C@H]([C@@H]([C@@H](COCC2=CC=CC=C2)O1)OCC3=CC=CC=C3)OCC4=CC=CC=C4)C5=CC=C([N+]([O-])=O)C=C5,68,14,NA,NA,17.2,2.5,Two isomers for underspecified anomeric center.
RR9_Rahimova_2017,True,CC(C=C1)=CC=C1C2=NNC3=C2C(C(NCCC4=CC=CC=C4)=O)=CC(C5=CC=C(OCC)C=C5)=N3,65,9,NA,NA,2.7,0.3,NA
RR10_Rahimova_2017,False,O=S(C1=CC2=C(NC(C3=CC=CC=C3)=N2)C=C1)(N4CC(C(NC5CCC(C)CC5)=O)CCC4)=O,17,13,NA,NA,9.39,0.62,NA
RR11_Rahimova_2017,True,NC(C=C1)=CC=C1C(N2)=NC(C2=C3)=CC=C3CC4=CC5=C(C=C4)NC(C6=CC=C(N)C=C6)=N5,78,8,NA,NA,6.1,0.6,NA
RR12_Rahimova_2017,False,O=C(COC1=CC=CC=C1)NCCCC2=NC3=CC=CC=C3N2CCC,-36,1,NA,NA,NA,NA,NA
RR13_Rahimova_2017,False,ClC1=CC=CC=C1C(N2CCN(C(C3=NN=NN3CCC4=CC=CC=C4)C5=CC=CC=C5Cl)CC2)C6=NN=NN6CCC7=CC=CC=C7,35,2,NA,NA,NA,NA,NA
RR14_Rahimova_2017,False,CC1=C(NC(C(CN(CC2=NN=NN2CC3=CC=C(OC)C=C3)CCCN4CCOCC4)=C5)=O)C5=C(C)C=C1,-36,4,NA,NA,NA,NA,NA
RR15_Rahimova_2017,False,FC1=CC=C(C(N(CCCN2CCOCC2)C(CN3N=C(C4=CC(OC)=C(OC)C=C4)N=N3)=O)C(NCC5OCCC5)=O)C=C1,17,0.5,NA,NA,NA,NA,NA
